,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A38,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,NETWORK,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526457616800,-23,-39,-40,-47,-42,-48,-61,-59,-52,-52,-56,-66,-62,-69,-54,-54,-58,-67,-66,-74,-68,-74,-67,-78,-54,-64,-77,-77,-89,-70,-92,-79,-87,-82,-63,-80,-200,-200,-83,-84,-81,-84,-76,-89,-83,-200,-92,-87,-90,-200,-89,-94,-91,-94,-95,-96,-200,-72,-81,-80,-91,-88,-200,-90,-95,-84,-94,-91,-200,-200,-92,-85,-96,-92,-200,-82,-97,-94,-200,-76,-84,-94,-74,-88,-200,-200,-90,-97,-87,-92,-94,-95,-200,-200,-200,-200,-200
1526457619853,-24,-43,-44,-46,-45,-49,-60,-57,-53,-53,-66,-67,-58,-57,-53,-62,-57,-65,-66,-73,-73,-79,-67,-78,-53,-64,-78,-78,-96,-68,-92,-80,-87,-83,-65,-79,-200,-200,-83,-85,-83,-84,-78,-88,-83,-200,-93,-93,-90,-200,-87,-90,-91,-94,-95,-93,-200,-72,-74,-83,-91,-91,-200,-90,-95,-85,-200,-88,-200,-200,-90,-85,-96,-95,-200,-85,-97,-94,-200,-74,-87,-95,-74,-88,-200,-200,-90,-200,-87,-92,-94,-95,-86,-200,-200,-200,-200
1526457622906,-22,-46,-40,-48,-46,-48,-59,-61,-51,-54,-65,-72,-60,-57,-51,-63,-60,-69,-68,-71,-70,-74,-67,-78,-50,-63,-79,-76,-96,-72,-200,-82,-85,-83,-67,-78,-82,-200,-83,-86,-81,-85,-77,-91,-84,-200,-93,-88,-90,-200,-84,-90,-200,-94,-95,-93,-200,-72,-74,-85,-91,-91,-200,-200,-95,-85,-200,-91,-200,-200,-90,-84,-96,-95,-200,-92,-97,-94,-200,-74,-87,-95,-73,-88,-200,-200,-200,-200,-84,-92,-94,-95,-86,-78,-200,-200,-200
1526457625961,-25,-40,-44,-44,-43,-56,-55,-61,-51,-49,-58,-71,-60,-58,-56,-59,-60,-73,-67,-78,-68,-68,-66,-78,-50,-62,-79,-77,-85,-73,-200,-83,-89,-82,-60,-79,-82,-88,-83,-82,-76,-81,-68,-91,-79,-200,-93,-88,-200,-200,-85,-86,-200,-90,-200,-93,-200,-77,-74,-85,-86,-84,-91,-91,-200,-80,-94,-91,-200,-200,-91,-88,-200,-95,-96,-85,-200,-95,-200,-74,-87,-95,-73,-200,-200,-200,-89,-200,-84,-200,-200,-200,-91,-78,-200,-200,-200
1526457629009,-30,-41,-39,-45,-50,-65,-57,-70,-54,-54,-54,-65,-63,-60,-56,-66,-59,-71,-64,-75,-70,-68,-68,-200,-57,-67,-82,-80,-89,-74,-200,-80,-89,-83,-61,-73,-82,-88,-82,-86,-78,-85,-76,-91,-85,-200,-200,-90,-89,-200,-88,-87,-200,-89,-93,-200,-200,-74,-200,-84,-87,-92,-91,-91,-200,-82,-94,-91,-200,-200,-91,-89,-200,-200,-96,-84,-200,-94,-200,-74,-200,-200,-73,-200,-200,-200,-89,-200,-82,-200,-200,-200,-91,-78,-93,-200,-200
1526457632058,-31,-47,-43,-44,-42,-44,-57,-56,-54,-56,-65,-65,-70,-57,-57,-56,-57,-64,-63,-74,-66,-74,-71,-200,-57,-67,-79,-79,-90,-74,-200,-77,-89,-79,-69,-77,-200,-88,-87,-82,-79,-85,-74,-200,-80,-200,-94,-92,-89,-200,-88,-87,-200,-90,-93,-200,-200,-74,-76,-84,-85,-88,-97,-91,-200,-85,-94,-91,-200,-200,-91,-89,-200,-200,-96,-84,-200,-94,-200,-78,-200,-200,-200,-200,-200,-200,-89,-200,-82,-200,-200,-200,-91,-200,-93,-93,-200
1526457635103,-24,-44,-45,-45,-43,-47,-58,-57,-53,-52,-57,-65,-68,-57,-56,-56,-54,-62,-65,-76,-66,-74,-66,-200,-57,-64,-79,-78,-89,-71,-200,-76,-89,-81,-67,-77,-200,-87,-87,-85,-80,-85,-76,-200,-80,-200,-94,-92,-85,-200,-92,-87,-200,-90,-93,-200,-200,-70,-76,-84,-85,-86,-97,-200,-200,-83,-200,-90,-200,-200,-200,-89,-200,-200,-200,-84,-200,-94,-200,-78,-88,-96,-200,-200,-200,-200,-93,-200,-82,-91,-200,-200,-92,-200,-93,-93,-200
1526457638149,-27,-41,-41,-44,-46,-49,-56,-63,-53,-53,-59,-65,-66,-58,-55,-73,-58,-63,-62,-77,-68,-67,-67,-69,-200,-63,-81,-78,-92,-71,-93,-79,-91,-81,-62,-77,-86,-87,-78,-88,-79,-83,-76,-93,-84,-200,-94,-92,-85,-200,-92,-87,-200,-84,-94,-200,-200,-83,-76,-84,-85,-86,-90,-200,-200,-83,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-88,-96,-75,-88,-200,-200,-93,-200,-200,-91,-200,-200,-92,-200,-93,-93,-200
1526457641192,-26,-42,-42,-44,-49,-58,-55,-61,-52,-53,-57,-72,-65,-65,-51,-68,-58,-70,-66,-78,-68,-67,-67,-69,-200,-64,-82,-79,-92,-73,-91,-77,-91,-83,-62,-77,-86,-88,-83,-90,-78,-82,-61,-93,-78,-200,-200,-88,-89,-86,-89,-86,-200,-88,-92,-95,-200,-76,-200,-81,-86,-86,-90,-200,-200,-80,-200,-90,-200,-200,-93,-200,-200,-200,-96,-86,-92,-200,-200,-200,-88,-96,-75,-88,-200,-200,-93,-200,-200,-91,-200,-200,-92,-200,-93,-92,-200
1526457644239,-25,-39,-43,-44,-50,-54,-62,-54,-53,-54,-61,-73,-66,-66,-54,-62,-58,-62,-65,-77,-68,-73,-67,-72,-45,-64,-81,-80,-92,-72,-91,-73,-91,-84,-61,-79,-79,-87,-83,-83,-75,-84,-74,-93,-79,-200,-200,-90,-89,-86,-89,-90,-91,-91,-93,-95,-200,-75,-71,-78,-88,-88,-90,-200,-200,-79,-200,-200,-200,-200,-95,-86,-92,-200,-96,-87,-92,-94,-200,-200,-200,-200,-75,-88,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200
1526457647287,-35,-41,-43,-44,-49,-52,-59,-58,-51,-53,-58,-73,-62,-61,-54,-62,-60,-64,-64,-76,-63,-69,-66,-72,-57,-60,-84,-81,-91,-73,-91,-76,-200,-84,-61,-79,-79,-88,-82,-86,-73,-81,-76,-200,-79,-200,-200,-91,-89,-86,-90,-86,-91,-91,-92,-95,-200,-78,-71,-80,-88,-87,-200,-200,-200,-78,-200,-89,-200,-200,-95,-86,-92,-200,-96,-87,-92,-92,-200,-86,-81,-200,-200,-200,-200,-96,-200,-200,-200,-200,-200,-96,-91,-200,-200,-95,-86
1526457650347,-22,-40,-45,-47,-47,-47,-58,-58,-52,-53,-65,-65,-59,-61,-54,-62,-62,-58,-67,-75,-82,-65,-67,-68,-57,-62,-77,-79,-88,-73,-200,-85,-87,-85,-64,-79,-79,-88,-90,-83,-82,-84,-79,-93,-78,-200,-89,-91,-85,-96,-87,-89,-91,-90,-92,-200,-200,-78,-71,-79,-88,-87,-200,-200,-200,-79,-200,-91,-200,-200,-95,-85,-92,-200,-93,-87,-96,-92,-200,-86,-81,-200,-76,-90,-200,-96,-200,-200,-200,-200,-200,-96,-91,-200,-200,-95,-86
