,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro
1526457302068,-37,-41,-63,-43,-61,-61,-44,-65,-54,-59,-53,-57,-48,-68,-64,-60,-59,-61,-56,-76,-68,-62,-59,-68,-69,-75,-60,-86,-82,-86,-77,-81,-78,-80,-84,-82,-95,-200,-76,-87,-81,-83,-80,-94,-95,-77,-85,-96,-95,-91,-87,-92,-89,-200,-97,-96,-92,-91,-91,-200,-87,-200,-73,-79,-83,-92,-89,-200,-200,-84,-200,-79,-72,-200,-90,-200,-200,-88,-89,-200,-200,-91,-82,-80,-82,-91,-200,-200,-97,-200,-200,-200,-200,-95,-88,-94,-95,-200,-200,-200,-200,-200,-200,-200,-200
1526457305119,-41,-39,-64,-43,-61,-59,-47,-56,-59,-65,-55,-54,-50,-68,-55,-55,-68,-60,-61,-75,-68,-62,-59,-68,-66,-75,-64,-84,-78,-89,-80,-79,-78,-78,-78,-83,-95,-200,-83,-200,-82,-86,-84,-89,-90,-77,-90,-93,-200,-95,-94,-200,-90,-200,-200,-90,-92,-91,-91,-200,-87,-200,-72,-79,-72,-93,-87,-89,-200,-85,-94,-79,-200,-200,-90,-200,-200,-88,-89,-200,-200,-200,-82,-80,-74,-91,-200,-200,-97,-200,-200,-200,-93,-200,-200,-89,-200,-99,-200,-200,-200,-200,-200,-200,-200
1526457308171,-41,-45,-64,-41,-55,-53,-45,-51,-60,-64,-53,-57,-61,-68,-61,-60,-65,-57,-63,-84,-78,-70,-61,-72,-65,-79,-64,-84,-79,-91,-79,-82,-75,-74,-78,-84,-95,-82,-83,-84,-80,-86,-83,-89,-90,-78,-84,-95,-200,-93,-94,-200,-88,-89,-200,-87,-92,-91,-200,-200,-87,-200,-73,-79,-77,-93,-87,-89,-95,-85,-94,-78,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-80,-74,-95,-200,-200,-97,-200,-200,-200,-93,-200,-200,-89,-200,-99,-200,-200,-200,-200,-200,-200,-200
1526457311225,-43,-45,-66,-49,-53,-52,-46,-53,-55,-60,-55,-57,-57,-69,-56,-65,-65,-59,-65,-73,-78,-53,-59,-73,-71,-78,-64,-83,-81,-86,-77,-77,-77,-76,-78,-84,-93,-82,-80,-84,-78,-85,-82,-83,-90,-84,-86,-95,-93,-93,-91,-200,-92,-89,-200,-87,-200,-91,-200,-200,-87,-200,-70,-88,-77,-82,-87,-89,-95,-85,-85,-83,-200,-200,-93,-200,-200,-200,-88,-200,-96,-200,-82,-78,-74,-93,-200,-200,-200,-200,-200,-200,-93,-200,-200,-89,-100,-93,-89,-94,-95,-200,-200,-200,-200
1526457314283,-40,-40,-66,-47,-54,-56,-47,-55,-61,-69,-54,-52,-57,-67,-68,-59,-64,-59,-66,-73,-76,-64,-58,-67,-67,-77,-62,-82,-84,-86,-80,-79,-78,-78,-84,-76,-87,-82,-78,-84,-71,-86,-82,-89,-200,-81,-82,-95,-91,-93,-91,-200,-92,-89,-96,-87,-200,-200,-94,-200,-87,-200,-70,-84,-66,-82,-86,-81,-95,-200,-93,-82,-69,-200,-93,-200,-200,-92,-92,-200,-96,-200,-76,-75,-76,-94,-200,-200,-200,-200,-200,-200,-95,-200,-200,-200,-100,-93,-89,-94,-95,-85,-200,-200,-200
1526457317331,-41,-46,-68,-46,-51,-53,-44,-55,-65,-62,-57,-50,-60,-70,-58,-62,-63,-57,-68,-75,-75,-64,-61,-68,-65,-78,-62,-82,-86,-73,-80,-79,-77,-78,-84,-84,-87,-81,-78,-200,-79,-85,-82,-72,-200,-79,-82,-200,-92,-200,-91,-200,-88,-200,-96,-200,-200,-200,-94,-200,-87,-200,-70,-84,-67,-94,-86,-81,-91,-200,-85,-82,-73,-200,-93,-200,-200,-93,-92,-200,-97,-200,-74,-79,-78,-94,-200,-200,-97,-200,-200,-200,-95,-200,-200,-200,-100,-93,-89,-94,-95,-85,-200,-200,-200
1526457320385,-37,-48,-64,-43,-57,-53,-49,-56,-58,-67,-53,-48,-49,-65,-66,-62,-60,-57,-72,-75,-72,-64,-53,-62,-68,-76,-66,-80,-78,-87,-76,-77,-74,-78,-84,-86,-87,-81,-74,-200,-79,-87,-83,-72,-90,-77,-83,-200,-92,-90,-92,-200,-90,-96,-96,-88,-95,-200,-94,-200,-200,-200,-70,-79,-67,-94,-88,-86,-93,-87,-94,-79,-73,-200,-200,-86,-83,-93,-92,-200,-97,-200,-74,-79,-78,-94,-75,-200,-97,-200,-200,-200,-95,-92,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200
1526457323444,-37,-49,-57,-47,-62,-48,-49,-57,-52,-60,-48,-52,-59,-65,-60,-59,-58,-58,-72,-71,-60,-66,-63,-68,-67,-78,-66,-81,-80,-79,-76,-77,-72,-70,-200,-80,-95,-84,-73,-200,-80,-84,-87,-72,-90,-78,-89,-92,-92,-92,-92,-95,-89,-96,-93,-87,-92,-92,-93,-200,-200,-200,-78,-80,-78,-94,-88,-83,-86,-87,-94,-79,-73,-200,-95,-86,-83,-85,-92,-200,-97,-200,-74,-79,-78,-94,-75,-200,-97,-200,-200,-200,-200,-92,-200,-200,-200,-92,-200,-200,-200,-92,-97,-200,-200
1526457326496,-36,-52,-54,-44,-59,-53,-47,-55,-55,-62,-52,-52,-59,-64,-62,-60,-58,-65,-65,-77,-63,-65,-53,-57,-66,-78,-67,-79,-82,-80,-77,-87,-79,-83,-82,-83,-95,-84,-80,-200,-86,-82,-84,-82,-90,-79,-84,-92,-200,-91,-91,-94,-92,-93,-93,-94,-96,-92,-93,-200,-200,-200,-71,-79,-78,-200,-86,-83,-92,-87,-94,-74,-200,-200,-89,-86,-83,-85,-91,-200,-97,-200,-84,-200,-200,-97,-75,-200,-200,-200,-200,-200,-200,-92,-92,-200,-200,-92,-200,-200,-200,-92,-97,-200,-200
1526457329557,-37,-50,-54,-43,-68,-53,-54,-55,-52,-57,-52,-49,-55,-66,-62,-61,-59,-64,-66,-81,-64,-65,-49,-66,-65,-78,-68,-79,-80,-77,-75,-82,-76,-83,-83,-83,-95,-84,-81,-200,-85,-83,-88,-82,-94,-79,-84,-93,-200,-91,-92,-94,-92,-93,-93,-94,-96,-92,-93,-200,-200,-200,-74,-80,-78,-84,-86,-83,-92,-87,-90,-74,-83,-200,-88,-200,-200,-85,-91,-200,-200,-200,-84,-80,-200,-95,-200,-200,-200,-200,-200,-200,-200,-92,-92,-200,-200,-92,-200,-200,-200,-200,-97,-95,-99
1526457332612,-32,-51,-56,-40,-58,-53,-51,-54,-50,-58,-50,-49,-55,-68,-61,-58,-56,-64,-64,-81,-66,-65,-48,-68,-67,-81,-67,-87,-82,-78,-73,-87,-77,-80,-82,-83,-200,-200,-81,-200,-85,-83,-88,-82,-94,-76,-80,-93,-92,-92,-95,-94,-92,-93,-200,-94,-96,-92,-94,-200,-200,-200,-74,-83,-200,-84,-86,-81,-84,-91,-90,-73,-83,-200,-88,-200,-200,-200,-87,-200,-200,-94,-84,-80,-200,-95,-200,-200,-200,-200,-200,-200,-200,-92,-87,-200,-200,-200,-200,-200,-200,-200,-200,-95,-99
1526457335666,-26,-52,-54,-47,-57,-51,-49,-56,-50,-63,-56,-50,-55,-68,-64,-60,-59,-61,-64,-76,-66,-77,-64,-63,-67,-80,-74,-77,-77,-78,-73,-87,-79,-80,-84,-82,-91,-81,-82,-200,-85,-85,-83,-200,-93,-81,-81,-93,-91,-92,-92,-200,-91,-94,-200,-93,-94,-93,-96,-200,-200,-200,-73,-82,-74,-84,-200,-81,-90,-91,-90,-79,-83,-200,-88,-200,-200,-91,-84,-97,-200,-94,-200,-80,-200,-96,-200,-200,-200,-200,-200,-200,-200,-93,-87,-200,-200,-200,-200,-200,-200,-200,-200,-95,-99
