,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,0120.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,011a.0012-vlucci.com A1.4.0.1,null,0114.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,0125.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,0113.0012-vlucci.com A1.4.0.1,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null
1526452173512,-66,-74,-81,-200,-200,-200,-88,-200,-87,-200,-61,-200,-200,-200,-69,-200,-200,-79,-200,-87,-200,-200,-200,-200,-87,-200,-200,-200
1526452174633,-200,-74,-200,-84,-200,-200,-86,-200,-200,-200,-62,-90,-200,-200,-73,-200,-200,-75,-200,-200,-94,-200,-200,-200,-84,-200,-200,-200
1526452175723,-69,-79,-200,-200,-79,-80,-200,-84,-96,-200,-200,-200,-200,-200,-200,-200,-200,-83,-94,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526452176824,-70,-78,-79,-90,-200,-75,-200,-200,-200,-89,-64,-200,-200,-92,-71,-200,-200,-80,-200,-200,-91,-200,-200,-200,-200,-200,-94,-200
1526452177938,-200,-200,-200,-200,-79,-200,-200,-200,-87,-200,-200,-89,-84,-84,-68,-200,-200,-200,-200,-92,-200,-90,-200,-200,-200,-200,-200,-200
1526452179015,-200,-200,-76,-200,-200,-200,-86,-83,-200,-200,-67,-86,-200,-200,-200,-200,-200,-81,-94,-200,-91,-200,-200,-200,-200,-200,-200,-200
1526452180131,-72,-200,-200,-200,-83,-200,-200,-93,-200,-200,-200,-86,-84,-200,-68,-200,-200,-88,-91,-95,-200,-200,-200,-200,-85,-200,-200,-200
1526452181232,-200,-200,-80,-200,-200,-200,-200,-88,-200,-200,-64,-200,-200,-200,-200,-200,-200,-200,-100,-200,-92,-93,-200,-200,-200,-200,-200,-200
1526452182319,-200,-200,-200,-200,-84,-80,-200,-87,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-94,-200,-200,-200,-90,-200,-200,-200
1526452184518,-71,-200,-200,-200,-200,-200,-200,-88,-92,-200,-200,-88,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526452185606,-200,-72,-83,-200,-81,-81,-79,-200,-200,-200,-63,-95,-90,-90,-77,-200,-94,-81,-95,-93,-95,-200,-200,-200,-200,-87,-200,-200
1526452188996,-70,-74,-90,-200,-93,-200,-200,-200,-93,-200,-63,-200,-200,-200,-81,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452191118,-71,-200,-200,-200,-95,-200,-81,-200,-200,-200,-65,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-88,-200,-200,-200,-200
1526452191216,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-64,-200,-87,-200,-84,-200,-200,-200,-101,-200,-200,-200,-200,-200,-78,-200,-200,-99
1526452192271,-200,-200,-200,-200,-200,-200,-200,-81,-94,-200,-64,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452193347,-68,-74,-79,-200,-200,-79,-76,-79,-91,-200,-200,-200,-200,-92,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98,-200
1526452195518,-200,-200,-200,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452195532,-200,-200,-200,-200,-90,-200,-200,-200,-96,-200,-200,-200,-200,-90,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-91,-96,-97
1526452195641,-69,-75,-200,-200,-90,-200,-200,-200,-200,-200,-64,-200,-93,-200,-82,-200,-200,-82,-97,-200,-200,-200,-200,-200,-84,-200,-200,-200
1526452197748,-68,-77,-200,-200,-200,-82,-82,-200,-200,-200,-200,-200,-200,-200,-80,-94,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200
1526452198830,-72,-74,-200,-88,-84,-200,-200,-75,-93,-90,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-92,-86,-200,-200,-97
1526452201021,-70,-75,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-93,-200,-86,-200,-200,-200,-95
1526452202165,-72,-200,-82,-200,-86,-200,-200,-200,-200,-200,-63,-200,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-88,-200,-96
1526452203257,-69,-200,-200,-200,-200,-200,-200,-200,-91,-200,-72,-91,-82,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-98
1526452204353,-75,-75,-87,-200,-200,-82,-83,-200,-92,-200,-65,-200,-82,-200,-75,-200,-200,-78,-200,-200,-200,-94,-200,-85,-200,-96,-200,-101
1526452206529,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-66,-200,-80,-200,-200,-200,-200,-88,-95,-200,-200,-200,-200,-200,-200,-92,-200,-200
1526452207624,-72,-82,-200,-92,-200,-200,-92,-200,-200,-200,-200,-200,-200,-91,-75,-200,-200,-200,-96,-200,-200,-98,-95,-95,-200,-200,-200,-200
1526452207747,-200,-78,-200,-200,-86,-200,-84,-76,-200,-200,-68,-200,-200,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452208815,-200,-76,-200,-200,-77,-79,-200,-72,-200,-200,-73,-200,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452209905,-72,-200,-79,-94,-90,-80,-200,-81,-94,-200,-67,-200,-82,-200,-200,-200,-200,-79,-200,-200,-98,-95,-200,-200,-81,-200,-200,-200
1526452211043,-70,-200,-200,-200,-200,-200,-200,-81,-200,-200,-200,-200,-89,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-200,-200
1526452212129,-68,-200,-84,-200,-90,-83,-200,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-101,-200,-200,-92,-200,-200,-200,-200
1526452213260,-200,-75,-93,-200,-88,-200,-79,-200,-96,-200,-66,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-83,-200,-200,-200
1526452214326,-200,-200,-83,-86,-200,-200,-200,-200,-200,-200,-62,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200
1526452215422,-200,-200,-200,-93,-200,-77,-83,-200,-200,-200,-65,-200,-200,-90,-76,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452216526,-200,-200,-200,-200,-200,-83,-80,-200,-200,-200,-63,-94,-200,-92,-74,-92,-200,-76,-98,-200,-200,-94,-200,-200,-82,-200,-200,-200
1526452217708,-73,-200,-200,-93,-200,-200,-83,-200,-200,-200,-66,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-94,-200,-86,-200,-200,-200,-200
