,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,DLINK_D07F10,WHU-2018,WHU-2018,WHU-2018
1526452069071,-47,-42,-56,-55,-52,-55,-61,-58,-60,-48,-64,-57,-65,-66,-68,-62,-78,-64,-60,-69,-72,-70,-68,-67,-68,-69,-74,-80,-72,-73,-83,-77,-80,-72,-75,-72,-83,-91,-80,-79,-83,-83,-80,-91,-87,-86,-200,-87,-79,-89,-86,-91,-80,-85,-90,-86,-88,-200,-89,-89,-94,-90,-86,-91,-95,-87,-94,-200,-93,-200,-95,-91,-92,-200,-200,-96,-76,-85,-200,-74,-80,-85,-84,-95,-200,-96,-96,-200,-200,-200,-200,-200,-90,-79
1526452071731,-44,-39,-50,-50,-56,-53,-63,-53,-61,-54,-60,-55,-69,-59,-66,-59,-78,-67,-62,-69,-72,-67,-67,-66,-67,-74,-73,-63,-71,-72,-84,-84,-80,-72,-79,-74,-200,-91,-81,-82,-81,-85,-81,-90,-200,-87,-200,-86,-87,-90,-89,-88,-79,-83,-90,-86,-89,-200,-89,-90,-94,-87,-86,-92,-94,-84,-93,-96,-91,-200,-94,-95,-96,-200,-97,-95,-73,-84,-200,-77,-78,-85,-84,-94,-200,-93,-95,-200,-200,-200,-200,-200,-85,-78
1526452072104,-44,-39,-50,-50,-56,-53,-63,-53,-61,-54,-60,-55,-69,-59,-66,-59,-78,-67,-62,-69,-72,-67,-67,-66,-67,-74,-73,-63,-71,-72,-84,-84,-80,-72,-79,-74,-200,-91,-81,-82,-81,-85,-81,-90,-200,-87,-200,-86,-87,-90,-89,-88,-79,-83,-90,-86,-89,-200,-89,-90,-94,-87,-86,-92,-94,-84,-93,-96,-91,-200,-94,-95,-96,-200,-97,-95,-73,-84,-200,-77,-78,-85,-84,-94,-200,-93,-95,-200,-200,-200,-200,-200,-85,-78
1526452074783,-45,-40,-51,-53,-55,-52,-65,-56,-62,-53,-64,-56,-67,-64,-67,-60,-78,-67,-62,-67,-71,-64,-67,-65,-66,-68,-76,-73,-77,-70,-85,-80,-76,-76,-74,-71,-84,-89,-76,-78,-81,-80,-80,-90,-81,-88,-88,-86,-85,-87,-90,-85,-83,-83,-90,-200,-89,-200,-90,-87,-200,-89,-200,-90,-89,-86,-93,-94,-91,-200,-94,-95,-96,-200,-97,-95,-74,-86,-200,-75,-77,-85,-84,-94,-200,-93,-95,-82,-200,-200,-200,-200,-85,-78
1526452075185,-45,-40,-51,-53,-55,-52,-65,-56,-62,-53,-64,-56,-67,-64,-67,-60,-78,-67,-62,-67,-71,-64,-67,-65,-66,-68,-76,-73,-77,-70,-85,-80,-76,-76,-74,-71,-84,-89,-76,-78,-81,-80,-80,-90,-81,-88,-88,-86,-85,-87,-90,-85,-83,-83,-90,-200,-89,-200,-90,-87,-200,-89,-200,-90,-89,-86,-93,-94,-91,-200,-94,-95,-96,-200,-97,-95,-74,-86,-200,-75,-77,-85,-84,-94,-200,-93,-95,-82,-200,-200,-200,-200,-85,-78
1526452077844,-39,-39,-51,-51,-55,-50,-63,-56,-61,-57,-57,-57,-68,-66,-66,-61,-200,-67,-62,-71,-69,-72,-68,-67,-66,-68,-71,-69,-73,-71,-84,-76,-75,-72,-71,-74,-84,-88,-77,-81,-81,-82,-80,-85,-85,-88,-88,-200,-84,-86,-88,-85,-80,-86,-200,-200,-89,-200,-91,-89,-95,-90,-200,-91,-91,-85,-92,-94,-91,-200,-200,-95,-200,-200,-97,-95,-74,-85,-200,-76,-78,-85,-88,-94,-200,-200,-94,-82,-200,-200,-200,-200,-200,-82
1526452078243,-39,-39,-51,-51,-55,-50,-63,-56,-61,-57,-57,-57,-68,-66,-66,-61,-200,-67,-62,-71,-69,-72,-68,-67,-66,-68,-71,-69,-73,-71,-84,-76,-75,-72,-71,-74,-84,-88,-77,-81,-81,-82,-80,-85,-85,-88,-88,-200,-84,-86,-88,-85,-80,-86,-200,-200,-89,-200,-91,-89,-95,-90,-200,-91,-91,-85,-92,-94,-91,-200,-200,-95,-200,-200,-97,-95,-74,-85,-200,-76,-78,-85,-88,-94,-200,-200,-94,-82,-200,-200,-200,-200,-200,-82
1526452080894,-46,-38,-52,-50,-56,-57,-66,-55,-60,-51,-60,-57,-69,-73,-66,-63,-200,-65,-62,-82,-72,-68,-66,-67,-70,-73,-72,-67,-73,-69,-86,-77,-75,-72,-73,-73,-76,-88,-78,-81,-200,-82,-80,-85,-80,-87,-200,-87,-83,-86,-88,-85,-80,-86,-200,-200,-86,-200,-92,-87,-96,-88,-200,-95,-91,-85,-92,-94,-93,-200,-94,-200,-92,-200,-200,-95,-74,-77,-200,-74,-78,-85,-91,-200,-200,-200,-95,-82,-200,-200,-200,-97,-200,-82
1526452081287,-46,-38,-52,-50,-56,-57,-66,-55,-60,-51,-60,-57,-69,-73,-66,-63,-200,-65,-62,-82,-72,-68,-66,-67,-70,-73,-72,-67,-73,-69,-86,-77,-75,-72,-73,-73,-76,-88,-78,-81,-200,-82,-80,-85,-80,-87,-200,-87,-83,-86,-88,-85,-80,-86,-200,-200,-86,-200,-92,-87,-96,-88,-200,-95,-91,-85,-92,-94,-93,-200,-94,-200,-92,-200,-200,-95,-74,-77,-200,-74,-78,-85,-91,-200,-200,-200,-95,-82,-200,-200,-200,-97,-200,-82
1526452083942,-42,-40,-50,-51,-56,-54,-62,-54,-62,-58,-65,-57,-68,-73,-66,-61,-200,-66,-62,-72,-73,-73,-66,-67,-69,-72,-72,-70,-75,-72,-86,-76,-79,-73,-72,-74,-76,-89,-77,-80,-76,-83,-80,-92,-80,-86,-200,-87,-82,-89,-88,-85,-81,-86,-200,-200,-86,-200,-91,-87,-93,-90,-88,-92,-91,-85,-93,-200,-93,-200,-94,-90,-92,-200,-200,-95,-75,-86,-98,-74,-78,-200,-85,-200,-200,-200,-95,-200,-200,-200,-200,-97,-200,-200
1526452084355,-42,-40,-50,-51,-56,-54,-62,-54,-62,-58,-65,-57,-68,-73,-66,-61,-200,-66,-62,-72,-73,-73,-66,-67,-69,-72,-72,-70,-75,-72,-86,-76,-79,-73,-72,-74,-76,-89,-77,-80,-76,-83,-80,-92,-80,-86,-200,-87,-82,-89,-88,-85,-81,-86,-200,-200,-86,-200,-91,-87,-93,-90,-88,-92,-91,-85,-93,-200,-93,-200,-94,-90,-92,-200,-200,-95,-75,-86,-98,-74,-78,-200,-85,-200,-200,-200,-95,-200,-200,-200,-200,-97,-200,-200
1526452086992,-46,-40,-47,-53,-55,-53,-62,-60,-62,-53,-58,-57,-69,-64,-66,-62,-200,-66,-62,-68,-72,-73,-69,-68,-70,-72,-69,-76,-72,-70,-85,-77,-76,-73,-73,-74,-76,-89,-77,-82,-76,-81,-80,-92,-85,-86,-200,-87,-83,-85,-90,-85,-79,-200,-200,-87,-200,-200,-90,-89,-94,-89,-92,-92,-91,-85,-91,-200,-200,-200,-92,-90,-91,-200,-200,-96,-75,-84,-97,-74,-78,-85,-85,-200,-200,-200,-94,-200,-200,-200,-80,-95,-200,-200
1526452087421,-46,-40,-47,-53,-55,-53,-62,-60,-62,-53,-58,-57,-69,-64,-66,-62,-200,-66,-62,-68,-72,-73,-69,-68,-70,-72,-69,-76,-72,-70,-85,-77,-76,-73,-73,-74,-76,-89,-77,-82,-76,-81,-80,-92,-85,-86,-200,-87,-83,-85,-90,-85,-79,-200,-200,-87,-200,-200,-90,-89,-94,-89,-92,-92,-91,-85,-91,-200,-200,-200,-92,-90,-91,-200,-200,-96,-75,-84,-97,-74,-78,-85,-85,-200,-200,-200,-94,-200,-200,-200,-80,-95,-200,-200
1526452090044,-41,-40,-50,-51,-55,-55,-64,-56,-62,-53,-64,-57,-69,-67,-66,-63,-79,-67,-62,-68,-72,-73,-66,-58,-65,-73,-69,-76,-70,-73,-85,-77,-76,-76,-72,-71,-200,-200,-78,-82,-73,-76,-80,-200,-83,-87,-200,-87,-85,-85,-90,-85,-79,-200,-200,-87,-200,-200,-90,-87,-96,-88,-93,-92,-92,-85,-93,-200,-200,-200,-96,-90,-95,-200,-200,-96,-76,-84,-97,-76,-78,-85,-88,-200,-200,-200,-94,-89,-200,-200,-80,-95,-200,-200
1526452090480,-41,-40,-50,-51,-55,-55,-64,-56,-62,-53,-64,-57,-69,-67,-66,-63,-79,-67,-62,-68,-72,-73,-66,-58,-65,-73,-69,-76,-70,-73,-85,-77,-76,-76,-72,-71,-200,-200,-78,-82,-73,-76,-80,-200,-83,-87,-200,-87,-85,-85,-90,-85,-79,-200,-200,-87,-200,-200,-90,-87,-96,-88,-93,-92,-92,-85,-93,-200,-200,-200,-96,-90,-95,-200,-200,-96,-76,-84,-97,-76,-78,-85,-88,-200,-200,-200,-94,-89,-200,-200,-80,-95,-200,-200
