,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011314,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A18,DLINK_D00E98,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526451874250,-36,-42,-47,-50,-60,-65,-66,-50,-64,-63,-56,-52,-64,-71,-61,-55,-62,-57,-64,-62,-63,-200,-45,-75,-62,-64,-72,-76,-85,-77,-86,-68,-80,-80,-74,-83,-76,-200,-73,-80,-80,-74,-87,-89,-80,-72,-74,-89,-93,-83,-87,-91,-80,-200,-89,-80,-76,-75,-88,-77,-93,-92,-78,-93,-200,-82,-88,-93,-90,-88,-91,-85,-86,-200,-96,-92,-95,-92,-85,-200,-89,-200,-90,-200,-200,-200,-200,-95,-76,-86,-92,-92,-96,-94,-74,-80,-200,-200,-200,-88,-200,-94,-200,-200,-96,-200,-200,-86,-200,-200
1526451874688,-36,-42,-47,-50,-60,-65,-66,-50,-64,-63,-56,-52,-64,-71,-61,-55,-62,-57,-64,-62,-63,-200,-45,-75,-62,-64,-72,-76,-85,-77,-86,-68,-80,-80,-74,-83,-76,-200,-73,-80,-80,-74,-87,-89,-80,-72,-74,-89,-93,-83,-87,-91,-80,-200,-89,-80,-76,-75,-88,-77,-93,-92,-78,-93,-200,-82,-88,-93,-90,-88,-91,-85,-86,-200,-96,-92,-95,-92,-85,-200,-89,-200,-90,-200,-200,-200,-200,-95,-76,-86,-92,-92,-96,-94,-74,-80,-200,-200,-200,-88,-200,-94,-200,-200,-96,-200,-200,-86,-200,-200
1526451877307,-41,-41,-49,-46,-61,-66,-66,-52,-64,-58,-59,-60,-65,-73,-60,-54,-61,-71,-65,-57,-67,-89,-46,-77,-59,-67,-74,-74,-80,-76,-87,-69,-76,-77,-74,-85,-76,-200,-71,-79,-80,-78,-88,-200,-80,-71,-75,-88,-92,-84,-93,-93,-84,-200,-82,-79,-76,-84,-88,-80,-92,-92,-82,-83,-200,-81,-86,-91,-91,-87,-92,-87,-88,-200,-96,-91,-94,-92,-85,-200,-200,-200,-91,-200,-93,-200,-200,-95,-76,-89,-86,-92,-96,-200,-200,-78,-200,-200,-95,-87,-89,-94,-87,-200,-92,-200,-200,-86,-200,-200
1526451877747,-41,-41,-49,-46,-61,-66,-66,-52,-64,-58,-59,-60,-65,-73,-60,-54,-61,-71,-65,-57,-67,-89,-46,-77,-59,-67,-74,-74,-80,-76,-87,-69,-76,-77,-74,-85,-76,-200,-71,-79,-80,-78,-88,-200,-80,-71,-75,-88,-92,-84,-93,-93,-84,-200,-82,-79,-76,-84,-88,-80,-92,-92,-82,-83,-200,-81,-86,-91,-91,-87,-92,-87,-88,-200,-96,-91,-94,-92,-85,-200,-200,-200,-91,-200,-93,-200,-200,-95,-76,-89,-86,-92,-96,-200,-200,-78,-200,-200,-95,-87,-89,-94,-87,-200,-92,-200,-200,-86,-200,-200
1526451880358,-39,-41,-51,-53,-61,-68,-64,-52,-58,-62,-56,-60,-64,-70,-61,-54,-62,-60,-63,-62,-61,-89,-47,-76,-61,-64,-74,-76,-82,-76,-85,-73,-76,-77,-76,-85,-200,-200,-73,-82,-80,-66,-87,-200,-200,-77,-74,-88,-90,-84,-93,-90,-84,-200,-81,-79,-76,-75,-200,-74,-92,-92,-79,-80,-200,-81,-85,-91,-92,-84,-89,-84,-90,-200,-200,-90,-94,-82,-84,-200,-200,-200,-88,-200,-93,-200,-200,-95,-79,-86,-86,-92,-200,-200,-200,-79,-200,-200,-95,-87,-89,-200,-87,-200,-92,-200,-92,-86,-200,-200
1526451880783,-39,-41,-51,-53,-61,-68,-64,-52,-58,-62,-56,-60,-64,-70,-61,-54,-62,-60,-63,-62,-61,-89,-47,-76,-61,-64,-74,-76,-82,-76,-85,-73,-76,-77,-76,-85,-200,-200,-73,-82,-80,-66,-87,-200,-200,-77,-74,-88,-90,-84,-93,-90,-84,-200,-81,-79,-76,-75,-200,-74,-92,-92,-79,-80,-200,-81,-85,-91,-92,-84,-89,-84,-90,-200,-200,-90,-94,-82,-84,-200,-200,-200,-88,-200,-93,-200,-200,-95,-79,-86,-86,-92,-200,-200,-200,-79,-200,-200,-95,-87,-89,-200,-87,-200,-92,-200,-92,-86,-200,-200
1526451883407,-38,-44,-49,-42,-62,-68,-64,-52,-65,-61,-60,-57,-64,-70,-56,-55,-64,-62,-65,-53,-62,-89,-46,-76,-61,-63,-74,-77,-82,-60,-90,-74,-78,-79,-74,-87,-79,-200,-71,-80,-81,-72,-87,-86,-200,-70,-73,-89,-87,-85,-93,-89,-84,-200,-81,-74,-77,-75,-200,-80,-200,-200,-77,-85,-200,-88,-88,-91,-90,-86,-89,-86,-88,-200,-200,-93,-94,-91,-86,-200,-89,-200,-93,-200,-93,-200,-93,-95,-76,-83,-95,-90,-200,-200,-75,-79,-200,-200,-91,-88,-200,-200,-87,-200,-93,-200,-92,-200,-200,-200
1526451883818,-38,-44,-49,-42,-62,-68,-64,-52,-65,-61,-60,-57,-64,-70,-56,-55,-64,-62,-65,-53,-62,-89,-46,-76,-61,-63,-74,-77,-82,-60,-90,-74,-78,-79,-74,-87,-79,-200,-71,-80,-81,-72,-87,-86,-200,-70,-73,-89,-87,-85,-93,-89,-84,-200,-81,-74,-77,-75,-200,-80,-200,-200,-77,-85,-200,-88,-88,-91,-90,-86,-89,-86,-88,-200,-200,-93,-94,-91,-86,-200,-89,-200,-93,-200,-93,-200,-93,-95,-76,-83,-95,-90,-200,-200,-75,-79,-200,-200,-91,-88,-200,-200,-87,-200,-93,-200,-92,-200,-200,-200
1526451886459,-38,-44,-50,-47,-61,-64,-65,-48,-64,-60,-55,-57,-65,-72,-61,-59,-62,-59,-66,-61,-63,-200,-53,-76,-63,-70,-71,-75,-82,-70,-82,-72,-81,-79,-77,-85,-79,-200,-72,-79,-79,-73,-88,-89,-76,-72,-76,-89,-87,-77,-92,-89,-80,-200,-86,-78,-81,-75,-200,-79,-200,-88,-78,-86,-200,-88,-83,-91,-90,-87,-88,-87,-86,-200,-98,-94,-93,-91,-82,-200,-89,-200,-93,-200,-200,-200,-93,-200,-71,-89,-94,-90,-95,-200,-74,-78,-200,-200,-91,-88,-200,-200,-83,-200,-94,-200,-92,-200,-200,-200
1526451886877,-38,-44,-50,-47,-61,-64,-65,-48,-64,-60,-55,-57,-65,-72,-61,-59,-62,-59,-66,-61,-63,-200,-53,-76,-63,-70,-71,-75,-82,-70,-82,-72,-81,-79,-77,-85,-79,-200,-72,-79,-79,-73,-88,-89,-76,-72,-76,-89,-87,-77,-92,-89,-80,-200,-86,-78,-81,-75,-200,-79,-200,-88,-78,-86,-200,-88,-83,-91,-90,-87,-88,-87,-86,-200,-98,-94,-93,-91,-82,-200,-89,-200,-93,-200,-200,-200,-93,-200,-71,-89,-94,-90,-95,-200,-74,-78,-200,-200,-91,-88,-200,-200,-83,-200,-94,-200,-92,-200,-200,-200
1526451889515,-37,-42,-48,-50,-59,-63,-63,-59,-60,-59,-61,-57,-66,-69,-60,-56,-63,-63,-66,-53,-64,-200,-46,-80,-63,-59,-74,-75,-82,-76,-88,-69,-74,-84,-77,-85,-79,-200,-73,-80,-81,-61,-86,-89,-76,-73,-74,-82,-90,-85,-91,-93,-80,-200,-86,-80,-77,-75,-200,-80,-91,-92,-78,-89,-200,-82,-85,-95,-92,-88,-94,-84,-85,-200,-98,-93,-93,-90,-82,-200,-89,-200,-92,-200,-200,-200,-93,-96,-71,-91,-94,-93,-95,-200,-74,-78,-200,-200,-200,-91,-200,-200,-83,-200,-94,-200,-200,-200,-200,-83
1526451889913,-37,-42,-48,-50,-59,-63,-63,-59,-60,-59,-61,-57,-66,-69,-60,-56,-63,-63,-66,-53,-64,-200,-46,-80,-63,-59,-74,-75,-82,-76,-88,-69,-74,-84,-77,-85,-79,-200,-73,-80,-81,-61,-86,-89,-76,-73,-74,-82,-90,-85,-91,-93,-80,-200,-86,-80,-77,-75,-200,-80,-91,-92,-78,-89,-200,-82,-85,-95,-92,-88,-94,-84,-85,-200,-98,-93,-93,-90,-82,-200,-89,-200,-92,-200,-200,-200,-93,-96,-71,-91,-94,-93,-95,-200,-74,-78,-200,-200,-200,-91,-200,-200,-83,-200,-94,-200,-200,-200,-200,-83
1526451892548,-37,-45,-48,-49,-62,-64,-64,-50,-62,-60,-63,-54,-63,-71,-58,-55,-62,-61,-71,-53,-68,-200,-46,-75,-61,-66,-73,-75,-67,-67,-86,-70,-76,-81,-74,-84,-78,-200,-73,-79,-82,-75,-86,-89,-79,-71,-75,-81,-91,-84,-95,-88,-200,-200,-86,-77,-77,-75,-200,-77,-91,-88,-79,-89,-200,-82,-86,-95,-91,-88,-93,-85,-86,-200,-98,-89,-96,-87,-82,-200,-200,-200,-90,-200,-200,-200,-200,-96,-200,-90,-92,-91,-96,-200,-80,-79,-200,-200,-88,-88,-200,-200,-83,-200,-200,-200,-200,-200,-200,-83
1526451892976,-37,-45,-48,-49,-62,-64,-64,-50,-62,-60,-63,-54,-63,-71,-58,-55,-62,-61,-71,-53,-68,-200,-46,-75,-61,-66,-73,-75,-67,-67,-86,-70,-76,-81,-74,-84,-78,-200,-73,-79,-82,-75,-86,-89,-79,-71,-75,-81,-91,-84,-95,-88,-200,-200,-86,-77,-77,-75,-200,-77,-91,-88,-79,-89,-200,-82,-86,-95,-91,-88,-93,-85,-86,-200,-98,-89,-96,-87,-82,-200,-200,-200,-90,-200,-200,-200,-200,-96,-200,-90,-92,-91,-96,-200,-80,-79,-200,-200,-88,-88,-200,-200,-83,-200,-200,-200,-200,-200,-200,-83
1526451895600,-41,-42,-51,-50,-59,-64,-50,-55,-62,-61,-59,-57,-66,-70,-61,-54,-62,-64,-68,-62,-68,-200,-46,-75,-62,-67,-73,-74,-82,-69,-90,-70,-76,-81,-77,-86,-77,-200,-69,-80,-83,-74,-86,-200,-79,-71,-75,-92,-93,-85,-87,-87,-84,-200,-86,-81,-76,-75,-200,-77,-91,-91,-79,-85,-200,-86,-86,-93,-90,-85,-90,-85,-87,-200,-200,-91,-96,-87,-73,-200,-200,-200,-90,-200,-200,-200,-200,-96,-71,-90,-87,-91,-96,-200,-80,-79,-200,-200,-88,-88,-200,-200,-83,-200,-200,-95,-200,-200,-200,-83
1526451896022,-41,-42,-51,-50,-59,-64,-50,-55,-62,-61,-59,-57,-66,-70,-61,-54,-62,-64,-68,-62,-68,-200,-46,-75,-62,-67,-73,-74,-82,-69,-90,-70,-76,-81,-77,-86,-77,-200,-69,-80,-83,-74,-86,-200,-79,-71,-75,-92,-93,-85,-87,-87,-84,-200,-86,-81,-76,-75,-200,-77,-91,-91,-79,-85,-200,-86,-86,-93,-90,-85,-90,-85,-87,-200,-200,-91,-96,-87,-73,-200,-200,-200,-90,-200,-200,-200,-200,-96,-71,-90,-87,-91,-96,-200,-80,-79,-200,-200,-88,-88,-200,-200,-83,-200,-200,-95,-200,-200,-200,-83
1526451898652,-37,-44,-47,-48,-61,-63,-63,-51,-60,-59,-57,-58,-64,-72,-60,-56,-63,-60,-66,-55,-63,-200,-45,-76,-62,-65,-75,-76,-83,-59,-86,-69,-74,-81,-77,-86,-72,-200,-71,-81,-76,-74,-87,-90,-78,-71,-75,-90,-89,-82,-85,-87,-82,-200,-84,-77,-79,-75,-200,-78,-97,-91,-79,-88,-200,-82,-86,-93,-90,-86,-90,-85,-86,-200,-96,-93,-96,-88,-84,-200,-200,-200,-91,-200,-200,-200,-200,-200,-71,-87,-86,-89,-94,-200,-80,-79,-200,-200,-200,-88,-200,-200,-84,-200,-200,-95,-200,-200,-98,-200
1526451899083,-37,-44,-47,-48,-61,-63,-63,-51,-60,-59,-57,-58,-64,-72,-60,-56,-63,-60,-66,-55,-63,-200,-45,-76,-62,-65,-75,-76,-83,-59,-86,-69,-74,-81,-77,-86,-72,-200,-71,-81,-76,-74,-87,-90,-78,-71,-75,-90,-89,-82,-85,-87,-82,-200,-84,-77,-79,-75,-200,-78,-97,-91,-79,-88,-200,-82,-86,-93,-90,-86,-90,-85,-86,-200,-96,-93,-96,-88,-84,-200,-200,-200,-91,-200,-200,-200,-200,-200,-71,-87,-86,-89,-94,-200,-80,-79,-200,-200,-200,-88,-200,-200,-84,-200,-200,-95,-200,-200,-98,-200
1526451901705,-36,-43,-50,-49,-59,-62,-65,-51,-61,-59,-59,-55,-67,-70,-58,-60,-63,-60,-64,-55,-68,-200,-46,-75,-62,-67,-75,-75,-83,-70,-84,-74,-70,-81,-75,-86,-72,-200,-71,-80,-82,-78,-85,-88,-78,-71,-75,-90,-91,-83,-86,-89,-85,-200,-91,-82,-76,-75,-200,-76,-95,-91,-78,-88,-200,-82,-75,-200,-88,-86,-94,-200,-88,-200,-96,-91,-200,-88,-85,-200,-200,-200,-90,-200,-200,-200,-200,-94,-71,-86,-94,-92,-94,-200,-80,-77,-200,-200,-89,-88,-200,-200,-84,-200,-95,-200,-200,-85,-97,-200
1526451902146,-36,-43,-50,-49,-59,-62,-65,-51,-61,-59,-59,-55,-67,-70,-58,-60,-63,-60,-64,-55,-68,-200,-46,-75,-62,-67,-75,-75,-83,-70,-84,-74,-70,-81,-75,-86,-72,-200,-71,-80,-82,-78,-85,-88,-78,-71,-75,-90,-91,-83,-86,-89,-85,-200,-91,-82,-76,-75,-200,-76,-95,-91,-78,-88,-200,-82,-75,-200,-88,-86,-94,-200,-88,-200,-96,-91,-200,-88,-85,-200,-200,-200,-90,-200,-200,-200,-200,-94,-71,-86,-94,-92,-94,-200,-80,-77,-200,-200,-89,-88,-200,-200,-84,-200,-95,-200,-200,-85,-97,-200
1526451904760,-36,-42,-47,-47,-62,-66,-65,-54,-58,-59,-56,-56,-67,-68,-60,-54,-63,-61,-66,-63,-67,-200,-46,-80,-61,-64,-75,-74,-83,-71,-83,-70,-70,-80,-74,-84,-72,-200,-73,-82,-83,-68,-89,-88,-78,-71,-73,-90,-90,-82,-89,-77,-82,-200,-84,-76,-77,-75,-200,-78,-93,-91,-79,-89,-200,-88,-86,-92,-91,-86,-93,-200,-87,-200,-200,-91,-200,-88,-82,-200,-200,-200,-90,-200,-200,-200,-200,-96,-70,-86,-89,-92,-200,-200,-75,-81,-200,-200,-89,-89,-200,-94,-86,-200,-95,-200,-200,-85,-96,-200
1526451905210,-36,-42,-47,-47,-62,-66,-65,-54,-58,-59,-56,-56,-67,-68,-60,-54,-63,-61,-66,-63,-67,-200,-46,-80,-61,-64,-75,-74,-83,-71,-83,-70,-70,-80,-74,-84,-72,-200,-73,-82,-83,-68,-89,-88,-78,-71,-73,-90,-90,-82,-89,-77,-82,-200,-84,-76,-77,-75,-200,-78,-93,-91,-79,-89,-200,-88,-86,-92,-91,-86,-93,-200,-87,-200,-200,-91,-200,-88,-82,-200,-200,-200,-90,-200,-200,-200,-200,-96,-70,-86,-89,-92,-200,-200,-75,-81,-200,-200,-89,-89,-200,-94,-86,-200,-95,-200,-200,-85,-96,-200
