,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro
1526452204060,-43,-37,-46,-50,-55,-55,-61,-54,-70,-66,-58,-68,-57,-62,-59,-63,-59,-73,-75,-80,-55,-63,-60,-200,-79,-73,-63,-72,-75,-67,-75,-73,-69,-58,-88,-92,-73,-70,-67,-74,-200,-86,-200,-75,-79,-78,-76,-74,-75,-200,-80,-79,-73,-88,-80,-90,-79,-79,-79,-83,-89,-89,-85,-93,-87,-200,-96,-84,-83,-85,-200,-200,-85,-96,-90,-86,-84,-200,-200,-200,-200,-200,-93,-94,-200,-200,-200,-93,-200,-200,-200,-200,-92,-200,-200,-93,-78,-94,-200,-200,-96,-200,-96,-200,-200,-200,-200
1526452207109,-41,-38,-47,-49,-55,-54,-61,-53,-69,-64,-58,-68,-57,-65,-58,-66,-62,-73,-75,-81,-56,-62,-59,-200,-78,-73,-63,-72,-78,-67,-68,-74,-78,-63,-88,-88,-73,-70,-70,-74,-200,-86,-200,-64,-82,-78,-77,-74,-75,-200,-81,-86,-73,-88,-80,-90,-82,-80,-82,-83,-89,-89,-83,-93,-87,-84,-96,-85,-83,-87,-200,-81,-85,-96,-90,-89,-83,-200,-200,-200,-200,-200,-91,-94,-95,-200,-200,-93,-200,-200,-200,-90,-200,-200,-200,-93,-82,-95,-200,-200,-96,-200,-96,-200,-200,-200,-200
1526452210165,-45,-38,-47,-49,-53,-54,-60,-54,-69,-67,-58,-71,-56,-64,-57,-65,-60,-73,-73,-81,-53,-62,-61,-89,-79,-73,-61,-71,-77,-71,-70,-70,-78,-58,-88,-88,-72,-71,-68,-75,-200,-81,-200,-66,-80,-78,-77,-76,-69,-90,-82,-89,-72,-83,-84,-89,-80,-79,-82,-83,-89,-86,-83,-95,-200,-84,-96,-84,-83,-81,-200,-79,-85,-96,-89,-91,-84,-85,-200,-200,-200,-200,-91,-94,-95,-200,-200,-91,-200,-200,-200,-92,-200,-82,-91,-93,-80,-95,-200,-200,-97,-94,-200,-80,-200,-200,-200
1526452213218,-44,-40,-46,-49,-55,-56,-61,-54,-69,-67,-58,-64,-58,-64,-54,-64,-58,-71,-72,-81,-51,-62,-60,-89,-79,-72,-61,-70,-75,-71,-69,-71,-78,-64,-89,-88,-71,-70,-70,-76,-200,-81,-200,-78,-81,-78,-77,-73,-69,-88,-82,-77,-73,-83,-84,-90,-77,-79,-82,-81,-89,-89,-83,-93,-87,-84,-200,-84,-82,-81,-200,-79,-200,-200,-89,-91,-84,-85,-200,-200,-200,-200,-91,-200,-95,-200,-200,-91,-200,-200,-89,-92,-200,-82,-91,-95,-80,-93,-200,-200,-97,-94,-200,-80,-96,-200,-200
1526452216272,-46,-37,-45,-56,-55,-53,-61,-54,-68,-67,-58,-63,-58,-64,-59,-64,-56,-70,-72,-81,-55,-61,-63,-81,-79,-73,-64,-70,-77,-67,-67,-71,-78,-64,-88,-88,-67,-71,-68,-76,-200,-81,-200,-78,-81,-78,-77,-73,-91,-88,-82,-85,-73,-91,-84,-89,-77,-80,-82,-81,-89,-87,-84,-93,-87,-200,-200,-84,-83,-81,-200,-78,-200,-200,-89,-91,-84,-85,-200,-200,-200,-200,-92,-96,-200,-200,-200,-97,-200,-200,-89,-92,-200,-82,-94,-95,-74,-93,-200,-84,-97,-94,-200,-80,-95,-200,-200
1526452219325,-43,-38,-46,-56,-56,-56,-61,-52,-69,-67,-58,-71,-58,-65,-57,-63,-57,-72,-72,-81,-55,-62,-60,-81,-79,-72,-65,-71,-76,-67,-69,-71,-200,-58,-88,-89,-72,-68,-68,-76,-200,-81,-200,-78,-78,-76,-77,-75,-91,-88,-83,-85,-72,-83,-200,-90,-82,-80,-200,-81,-89,-87,-82,-93,-87,-200,-200,-80,-84,-82,-200,-82,-200,-200,-90,-90,-84,-200,-200,-200,-200,-200,-92,-96,-200,-200,-200,-97,-200,-200,-89,-200,-90,-88,-89,-95,-78,-93,-200,-84,-200,-200,-200,-80,-95,-200,-200
1526452222378,-43,-38,-47,-54,-56,-55,-62,-54,-69,-65,-58,-68,-53,-67,-52,-62,-56,-59,-73,-81,-51,-63,-61,-88,-79,-74,-66,-72,-77,-68,-74,-73,-78,-64,-88,-88,-71,-69,-69,-76,-200,-81,-200,-79,-80,-78,-77,-75,-91,-87,-83,-86,-72,-83,-83,-89,-82,-78,-83,-77,-91,-87,-82,-93,-200,-200,-200,-84,-84,-82,-200,-81,-82,-200,-90,-90,-84,-200,-200,-200,-200,-200,-92,-96,-200,-200,-200,-97,-200,-99,-200,-87,-90,-88,-89,-94,-73,-94,-200,-84,-200,-200,-91,-80,-95,-200,-200
1526452225425,-44,-38,-44,-50,-55,-53,-61,-54,-69,-65,-58,-64,-59,-61,-57,-63,-60,-69,-75,-80,-54,-60,-63,-65,-80,-73,-66,-72,-76,-70,-75,-73,-78,-58,-88,-89,-72,-71,-69,-75,-200,-83,-200,-77,-83,-77,-79,-75,-89,-87,-80,-86,-73,-83,-82,-89,-82,-79,-80,-77,-91,-86,-82,-93,-200,-200,-200,-84,-84,-83,-200,-81,-82,-200,-89,-91,-84,-200,-200,-200,-200,-200,-91,-200,-96,-200,-200,-200,-200,-99,-89,-90,-89,-88,-89,-95,-78,-93,-200,-200,-200,-200,-91,-80,-94,-88,-200
1526452228484,-46,-36,-47,-49,-55,-53,-61,-54,-69,-64,-58,-71,-56,-62,-55,-58,-59,-69,-75,-81,-54,-59,-60,-82,-79,-72,-67,-71,-76,-66,-69,-74,-78,-57,-88,-89,-70,-72,-68,-75,-200,-80,-200,-77,-74,-77,-79,-76,-89,-84,-80,-86,-72,-84,-82,-90,-82,-79,-79,-82,-88,-79,-83,-94,-200,-200,-95,-79,-85,-83,-200,-82,-82,-200,-88,-91,-84,-200,-200,-200,-200,-200,-91,-200,-96,-200,-200,-92,-200,-99,-88,-88,-89,-88,-94,-90,-78,-93,-200,-83,-200,-200,-91,-200,-94,-88,-95
1526452231540,-47,-39,-43,-56,-56,-55,-60,-54,-72,-65,-58,-62,-56,-63,-51,-62,-58,-72,-72,-75,-58,-61,-60,-82,-79,-72,-63,-70,-78,-68,-71,-71,-200,-64,-90,-89,-73,-71,-68,-75,-200,-82,-200,-77,-74,-77,-77,-76,-89,-84,-80,-86,-72,-83,-82,-89,-200,-80,-81,-80,-89,-90,-82,-94,-200,-200,-95,-83,-79,-84,-200,-81,-83,-200,-88,-88,-84,-200,-200,-200,-200,-200,-92,-200,-96,-200,-200,-95,-200,-200,-81,-90,-93,-88,-94,-90,-78,-92,-200,-83,-200,-200,-200,-77,-94,-88,-95
1526452234595,-48,-36,-45,-49,-54,-52,-61,-54,-70,-66,-58,-67,-50,-64,-59,-64,-57,-69,-72,-81,-52,-60,-61,-89,-79,-71,-63,-71,-74,-62,-75,-72,-200,-57,-88,-89,-73,-71,-68,-74,-200,-80,-200,-77,-74,-78,-77,-76,-200,-84,-81,-86,-73,-84,-82,-89,-200,-80,-79,-79,-89,-86,-85,-92,-86,-200,-95,-83,-79,-81,-200,-82,-81,-200,-88,-88,-83,-200,-200,-200,-200,-200,-92,-200,-96,-200,-200,-95,-200,-200,-90,-89,-93,-200,-94,-83,-77,-94,-200,-85,-200,-200,-200,-80,-200,-200,-95
1526452237659,-44,-36,-47,-52,-55,-54,-61,-54,-70,-57,-58,-63,-56,-64,-56,-63,-60,-74,-72,-78,-52,-60,-61,-88,-79,-74,-62,-70,-74,-74,-69,-73,-79,-62,-89,-88,-77,-72,-68,-76,-90,-80,-200,-64,-80,-77,-77,-200,-200,-200,-81,-85,-73,-88,-83,-90,-200,-80,-79,-80,-89,-86,-81,-93,-86,-85,-200,-83,-82,-82,-200,-81,-83,-200,-200,-87,-83,-200,-96,-200,-200,-200,-92,-97,-96,-200,-200,-94,-200,-200,-90,-88,-95,-88,-200,-84,-77,-94,-200,-85,-200,-200,-200,-77,-200,-200,-200
