,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D00EC0,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D02A60,whu2011309,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro
1526452501582,-37,-44,-65,-63,-46,-63,-53,-63,-63,-58,-60,-63,-64,-63,-61,-64,-71,-71,-66,-58,-72,-67,-73,-64,-64,-61,-79,-74,-58,-71,-59,-78,-79,-86,-81,-84,-82,-61,-78,-200,-77,-91,-84,-85,-86,-83,-200,-76,-200,-89,-90,-83,-200,-91,-86,-93,-86,-91,-87,-200,-90,-93,-91,-94,-200,-200,-94,-200,-96,-200,-83,-200,-85,-84,-95,-87,-200,-200,-93,-200,-200,-82,-87,-93,-94,-200,-200,-81,-200,-83,-200,-77,-83,-97,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452504635,-38,-41,-64,-57,-46,-64,-49,-61,-66,-62,-61,-63,-58,-73,-68,-66,-76,-68,-61,-59,-72,-68,-73,-67,-64,-65,-64,-74,-56,-73,-60,-78,-80,-87,-81,-86,-82,-61,-78,-200,-76,-91,-88,-85,-72,-83,-200,-80,-200,-89,-90,-83,-200,-91,-88,-93,-88,-200,-84,-200,-93,-92,-89,-95,-200,-90,-200,-200,-200,-88,-85,-83,-87,-83,-88,-87,-200,-200,-93,-76,-200,-80,-89,-200,-92,-200,-200,-81,-93,-82,-200,-200,-83,-97,-200,-200,-96,-82,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452507690,-35,-39,-64,-67,-45,-65,-50,-55,-64,-65,-58,-64,-55,-62,-60,-65,-80,-64,-73,-62,-72,-68,-72,-66,-64,-61,-64,-73,-56,-74,-64,-76,-79,-87,-81,-85,-82,-76,-78,-200,-76,-91,-84,-86,-81,-83,-83,-76,-200,-89,-91,-83,-200,-87,-87,-93,-86,-200,-88,-200,-93,-92,-92,-95,-200,-89,-200,-200,-200,-88,-91,-80,-86,-83,-88,-87,-200,-200,-93,-77,-200,-80,-90,-94,-92,-96,-200,-200,-93,-82,-200,-200,-83,-200,-200,-200,-90,-82,-96,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452510742,-40,-45,-59,-58,-48,-67,-55,-59,-64,-57,-60,-65,-59,-64,-65,-65,-69,-69,-65,-65,-77,-66,-70,-65,-62,-61,-68,-77,-59,-71,-63,-79,-79,-84,-78,-85,-82,-75,-78,-200,-79,-200,-83,-86,-81,-83,-83,-75,-200,-89,-88,-83,-200,-87,-88,-93,-88,-200,-88,-200,-93,-94,-93,-97,-200,-89,-200,-200,-200,-83,-80,-82,-85,-83,-88,-89,-200,-200,-200,-77,-92,-84,-88,-94,-92,-96,-200,-200,-93,-82,-200,-200,-83,-200,-200,-200,-94,-82,-96,-92,-91,-96,-96,-200,-200,-200,-200,-200,-200
1526452513795,-42,-44,-64,-50,-46,-66,-50,-59,-66,-54,-62,-64,-63,-64,-62,-71,-69,-66,-67,-54,-75,-75,-70,-65,-63,-60,-70,-74,-57,-69,-62,-76,-79,-82,-81,-85,-82,-78,-78,-200,-85,-200,-84,-88,-83,-84,-83,-75,-200,-87,-88,-83,-200,-87,-89,-200,-85,-200,-88,-200,-92,-94,-90,-94,-200,-92,-91,-200,-200,-83,-86,-82,-87,-200,-89,-89,-200,-96,-200,-76,-92,-81,-88,-94,-92,-99,-200,-200,-200,-83,-200,-71,-85,-200,-200,-200,-94,-200,-200,-92,-91,-96,-96,-88,-200,-200,-200,-200,-200
1526452516849,-39,-43,-58,-61,-45,-63,-49,-60,-61,-61,-61,-67,-65,-72,-60,-65,-72,-68,-64,-63,-73,-66,-74,-66,-64,-65,-69,-74,-58,-74,-62,-61,-79,-82,-81,-84,-82,-79,-79,-200,-76,-95,-85,-88,-83,-80,-200,-78,-200,-87,-91,-200,-200,-200,-86,-92,-86,-200,-89,-200,-92,-93,-90,-94,-200,-92,-92,-200,-200,-87,-86,-82,-87,-78,-89,-89,-94,-96,-94,-76,-86,-81,-88,-200,-92,-99,-200,-200,-91,-83,-86,-71,-85,-200,-200,-200,-94,-200,-200,-200,-91,-96,-96,-88,-94,-96,-200,-200,-200
1526452519892,-40,-41,-57,-54,-49,-64,-54,-60,-66,-58,-61,-63,-65,-65,-61,-65,-76,-69,-65,-59,-72,-70,-72,-67,-64,-62,-64,-74,-59,-72,-61,-61,-79,-82,-83,-86,-82,-79,-78,-200,-76,-95,-84,-88,-81,-80,-87,-74,-200,-87,-88,-82,-200,-200,-89,-93,-85,-200,-87,-200,-92,-93,-88,-94,-200,-92,-93,-200,-200,-87,-82,-200,-86,-78,-89,-89,-94,-96,-92,-76,-86,-85,-87,-200,-200,-99,-200,-200,-91,-84,-86,-78,-85,-200,-200,-200,-94,-80,-95,-200,-200,-96,-200,-88,-94,-96,-93,-200,-200
1526452522943,-38,-43,-65,-60,-47,-65,-50,-65,-63,-58,-63,-63,-58,-65,-59,-69,-81,-69,-68,-60,-73,-71,-73,-65,-64,-61,-68,-74,-62,-72,-57,-61,-83,-200,-78,-84,-83,-77,-78,-200,-79,-92,-85,-85,-84,-80,-87,-76,-200,-85,-88,-81,-200,-87,-86,-95,-88,-200,-87,-200,-91,-91,-88,-96,-84,-200,-93,-200,-200,-87,-84,-200,-84,-80,-200,-88,-94,-95,-94,-200,-87,-85,-87,-96,-90,-96,-200,-200,-91,-82,-86,-78,-85,-200,-200,-200,-94,-80,-95,-200,-91,-96,-200,-200,-92,-96,-95,-97,-200
1526452525993,-40,-41,-59,-59,-48,-65,-50,-63,-63,-57,-62,-64,-65,-63,-67,-66,-69,-69,-65,-59,-73,-73,-72,-67,-64,-61,-71,-76,-62,-72,-63,-76,-81,-87,-78,-87,-84,-76,-77,-200,-79,-92,-86,-85,-83,-82,-87,-75,-200,-85,-88,-82,-80,-88,-86,-95,-85,-200,-88,-200,-91,-94,-90,-96,-84,-90,-91,-200,-200,-200,-84,-82,-84,-80,-87,-75,-200,-95,-94,-76,-87,-85,-87,-96,-92,-96,-200,-80,-200,-81,-200,-78,-200,-200,-200,-200,-94,-80,-95,-200,-91,-96,-200,-200,-97,-95,-95,-97,-200
1526452529048,-36,-42,-60,-59,-48,-66,-49,-64,-61,-49,-59,-65,-57,-62,-62,-67,-69,-67,-67,-60,-72,-68,-71,-66,-64,-59,-68,-74,-62,-72,-62,-75,-80,-83,-78,-87,-84,-75,-78,-200,-79,-92,-85,-200,-82,-75,-200,-77,-200,-85,-88,-80,-80,-89,-84,-95,-85,-200,-88,-200,-200,-94,-90,-200,-84,-90,-95,-95,-96,-200,-84,-82,-87,-77,-78,-75,-200,-95,-200,-76,-200,-85,-87,-92,-93,-96,-200,-79,-200,-82,-200,-200,-82,-200,-200,-200,-94,-200,-200,-200,-92,-200,-200,-200,-97,-95,-94,-97,-200
1526452532102,-37,-41,-61,-56,-47,-63,-49,-64,-64,-57,-61,-64,-60,-65,-58,-70,-79,-71,-66,-60,-73,-77,-71,-66,-63,-61,-66,-73,-59,-74,-60,-75,-77,-83,-200,-85,-86,-61,-78,-200,-82,-200,-86,-87,-82,-82,-85,-75,-200,-200,-88,-81,-80,-89,-84,-93,-85,-200,-88,-200,-200,-91,-90,-200,-200,-90,-95,-95,-96,-200,-84,-82,-86,-81,-88,-75,-200,-97,-95,-77,-200,-85,-90,-92,-91,-96,-200,-79,-200,-83,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-97,-95,-94,-200,-200
1526452535156,-40,-40,-66,-59,-46,-63,-50,-63,-63,-58,-68,-64,-60,-69,-71,-63,-72,-67,-61,-57,-73,-69,-68,-68,-62,-60,-63,-73,-58,-72,-59,-75,-76,-83,-80,-85,-84,-61,-78,-200,-82,-200,-85,-87,-83,-82,-85,-74,-200,-85,-88,-85,-200,-89,-88,-93,-88,-200,-85,-200,-90,-90,-89,-94,-200,-81,-92,-95,-96,-200,-81,-200,-86,-81,-88,-75,-200,-97,-95,-73,-200,-200,-90,-92,-91,-200,-200,-79,-200,-83,-200,-200,-84,-200,-93,-200,-95,-200,-200,-200,-92,-200,-200,-200,-200,-200,-94,-200,-92
