,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,DLINK_D00EC0,DLINK_D02A48,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526452650874,-41,-36,-46,-60,-57,-49,-47,-70,-64,-58,-53,-62,-63,-59,-69,-51,-66,-62,-69,-60,-83,-72,-68,-85,-86,-71,-200,-66,-79,-82,-76,-74,-75,-71,-82,-82,-81,-58,-82,-87,-78,-91,-79,-200,-77,-88,-89,-94,-200,-200,-80,-90,-92,-90,-81,-91,-90,-83,-79,-88,-87,-92,-92,-83,-200,-93,-200,-87,-200,-200,-94,-86,-92,-94,-200,-96,-93,-200,-88,-200,-87,-86,-200,-83,-76,-200,-91,-91,-90,-200,-200,-93,-200,-92,-95,-92,-97,-99,-200,-200,-200,-200
1526452653926,-47,-37,-46,-60,-55,-49,-47,-65,-58,-58,-55,-64,-56,-61,-66,-53,-66,-62,-71,-61,-200,-66,-69,-79,-86,-76,-200,-46,-76,-82,-77,-74,-73,-70,-84,-83,-81,-76,-82,-82,-78,-90,-78,-200,-81,-88,-91,-94,-200,-200,-81,-89,-92,-90,-80,-90,-91,-87,-79,-88,-87,-92,-92,-83,-200,-93,-200,-87,-200,-200,-94,-87,-92,-94,-200,-94,-92,-200,-89,-200,-87,-86,-200,-81,-81,-200,-83,-87,-94,-200,-200,-95,-200,-200,-95,-92,-97,-99,-200,-200,-200,-200
1526452656979,-43,-35,-46,-60,-56,-48,-47,-73,-63,-55,-53,-65,-58,-61,-65,-55,-68,-61,-66,-66,-200,-71,-68,-79,-86,-72,-200,-46,-76,-82,-77,-71,-75,-70,-82,-85,-81,-74,-200,-83,-78,-90,-79,-200,-81,-90,-91,-200,-200,-200,-80,-91,-200,-92,-81,-89,-92,-87,-79,-200,-87,-92,-92,-83,-200,-95,-200,-87,-200,-95,-94,-84,-92,-200,-200,-94,-93,-200,-88,-200,-87,-86,-200,-81,-81,-200,-83,-87,-94,-200,-200,-93,-200,-92,-95,-200,-97,-99,-200,-200,-200,-200
1526452660029,-46,-36,-46,-59,-55,-50,-47,-69,-62,-57,-54,-60,-57,-61,-64,-54,-67,-62,-61,-64,-200,-67,-66,-79,-72,-69,-76,-65,-78,-82,-74,-82,-75,-71,-88,-85,-200,-70,-200,-82,-72,-90,-79,-82,-81,-90,-89,-93,-200,-200,-80,-91,-92,-92,-80,-90,-88,-91,-200,-90,-200,-96,-200,-88,-200,-95,-200,-88,-200,-95,-94,-87,-200,-200,-200,-94,-92,-200,-88,-200,-200,-200,-200,-88,-81,-200,-83,-87,-94,-91,-200,-94,-200,-92,-200,-92,-200,-200,-200,-200,-200,-200
1526452663091,-42,-36,-48,-60,-56,-50,-47,-72,-62,-55,-55,-59,-58,-57,-77,-53,-67,-63,-69,-60,-81,-65,-65,-200,-83,-72,-77,-64,-78,-82,-74,-82,-74,-74,-88,-85,-88,-70,-200,-83,-79,-200,-79,-82,-81,-88,-89,-95,-200,-200,-80,-91,-92,-92,-80,-89,-90,-87,-78,-89,-200,-96,-92,-88,-200,-95,-200,-88,-200,-95,-200,-85,-200,-200,-200,-200,-92,-200,-87,-200,-88,-200,-200,-68,-200,-79,-200,-91,-200,-91,-200,-94,-200,-92,-200,-92,-200,-200,-200,-200,-200,-200
1526452666143,-42,-38,-47,-60,-56,-50,-46,-71,-63,-57,-55,-61,-58,-62,-70,-56,-66,-64,-68,-60,-85,-71,-67,-62,-83,-72,-76,-65,-77,-82,-78,-84,-75,-72,-88,-83,-88,-69,-200,-81,-76,-87,-79,-83,-81,-88,-91,-94,-200,-200,-80,-200,-92,-91,-79,-89,-91,-87,-79,-86,-200,-96,-94,-87,-200,-200,-200,-88,-200,-95,-85,-86,-200,-200,-200,-94,-92,-200,-87,-200,-88,-97,-200,-82,-200,-81,-82,-91,-200,-95,-88,-93,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200
1526452669192,-43,-36,-47,-60,-54,-49,-46,-67,-61,-60,-54,-61,-61,-60,-70,-53,-66,-62,-62,-61,-81,-65,-64,-62,-83,-73,-76,-64,-79,-82,-73,-84,-76,-74,-86,-85,-88,-68,-200,-83,-76,-90,-79,-83,-81,-88,-78,-94,-200,-200,-80,-200,-92,-91,-79,-88,-91,-87,-78,-89,-87,-200,-94,-87,-200,-200,-200,-87,-200,-96,-92,-84,-200,-200,-200,-95,-91,-200,-88,-200,-88,-97,-200,-90,-73,-81,-82,-91,-200,-90,-89,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452672247,-43,-37,-47,-59,-57,-48,-46,-65,-62,-57,-55,-63,-66,-60,-65,-54,-67,-62,-62,-61,-81,-66,-68,-83,-83,-71,-76,-66,-79,-82,-77,-84,-72,-73,-83,-81,-82,-76,-200,-83,-76,-90,-81,-83,-77,-91,-89,-94,-200,-200,-80,-90,-200,-91,-81,-90,-89,-200,-80,-87,-87,-200,-95,-87,-200,-95,-200,-87,-200,-93,-94,-83,-200,-200,-200,-93,-91,-200,-88,-96,-200,-97,-200,-81,-73,-81,-82,-86,-200,-90,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452675298,-48,-35,-45,-61,-53,-53,-47,-70,-62,-56,-52,-66,-58,-62,-67,-55,-66,-63,-68,-65,-81,-69,-65,-83,-82,-73,-76,-65,-81,-81,-81,-200,-77,-77,-86,-86,-82,-72,-200,-91,-77,-90,-81,-200,-83,-92,-91,-96,-200,-200,-79,-90,-89,-91,-79,-89,-94,-200,-80,-89,-86,-200,-95,-200,-200,-92,-200,-87,-200,-90,-94,-87,-94,-200,-200,-93,-94,-200,-88,-96,-90,-200,-200,-84,-73,-200,-200,-90,-200,-90,-90,-92,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526452678350,-53,-37,-47,-60,-57,-49,-50,-66,-61,-59,-54,-62,-60,-62,-75,-51,-65,-63,-66,-69,-84,-70,-72,-84,-82,-68,-76,-69,-79,-80,-83,-82,-80,-72,-85,-80,-81,-74,-200,-87,-78,-94,-81,-91,-80,-89,-91,-96,-200,-200,-81,-91,-86,-91,-79,-93,-94,-86,-80,-89,-87,-200,-95,-200,-200,-92,-200,-89,-200,-90,-91,-87,-91,-200,-200,-93,-90,-200,-90,-96,-96,-200,-200,-84,-200,-200,-91,-90,-200,-91,-90,-91,-94,-200,-200,-200,-200,-200,-90,-92,-200,-200
1526452681402,-47,-36,-47,-59,-57,-50,-47,-69,-59,-59,-54,-67,-60,-62,-70,-54,-66,-62,-63,-66,-83,-70,-73,-84,-84,-69,-75,-63,-78,-80,-83,-71,-72,-71,-78,-87,-81,-77,-200,-87,-77,-86,-200,-91,-82,-90,-90,-96,-200,-200,-81,-90,-89,-95,-82,-87,-88,-87,-79,-87,-87,-200,-94,-83,-200,-92,-200,-89,-200,-90,-92,-89,-91,-200,-200,-93,-90,-200,-87,-200,-96,-200,-200,-84,-200,-85,-90,-90,-200,-93,-90,-91,-94,-200,-200,-200,-200,-200,-90,-92,-200,-200
1526452684459,-47,-35,-47,-59,-56,-52,-48,-64,-59,-56,-54,-67,-57,-65,-65,-53,-69,-65,-65,-66,-83,-68,-74,-84,-82,-76,-77,-72,-79,-84,-79,-82,-78,-76,-82,-83,-81,-78,-200,-84,-79,-86,-200,-91,-83,-90,-89,-94,-200,-84,-80,-91,-90,-95,-80,-90,-86,-86,-79,-90,-89,-200,-94,-83,-200,-200,-200,-89,-200,-94,-92,-89,-91,-200,-200,-93,-94,-200,-89,-200,-91,-200,-200,-84,-200,-85,-90,-91,-200,-92,-200,-91,-92,-200,-200,-200,-200,-200,-90,-95,-93,-94
