,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,DLINK_D02A18,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A38,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED0,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,WHU-2018,DLINK_D02A20
1526451944961,-38,-34,-47,-46,-51,-54,-54,-55,-59,-58,-59,-57,-60,-62,-63,-82,-62,-65,-59,-65,-63,-56,-68,-70,-67,-64,-65,-67,-69,-68,-69,-78,-200,-70,-79,-80,-77,-75,-78,-79,-87,-80,-79,-200,-84,-83,-85,-82,-200,-83,-86,-86,-200,-84,-86,-89,-200,-90,-84,-92,-88,-90,-95,-200,-93,-200,-53,-76,-81,-88,-86,-200,-87,-86,-200,-85,-200,-77,-80,-92,-91,-96,-200,-75,-84,-200,-200,-200,-91,-200,-200,-96,-77,-200,-200,-200,-94,-200,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451948014,-38,-35,-48,-47,-49,-49,-53,-52,-59,-58,-59,-60,-59,-61,-68,-200,-63,-67,-59,-64,-61,-65,-64,-68,-61,-65,-63,-68,-62,-68,-74,-78,-78,-70,-71,-77,-76,-75,-80,-79,-87,-80,-85,-200,-83,-83,-85,-84,-82,-82,-87,-87,-200,-88,-80,-89,-200,-90,-84,-92,-200,-93,-94,-200,-94,-96,-62,-76,-81,-87,-86,-86,-87,-89,-71,-85,-81,-200,-80,-92,-91,-96,-200,-83,-84,-82,-200,-200,-88,-200,-200,-96,-77,-200,-200,-75,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526451951072,-37,-36,-48,-48,-49,-52,-55,-53,-58,-58,-61,-56,-60,-61,-67,-200,-62,-65,-58,-64,-68,-68,-63,-68,-64,-67,-65,-66,-67,-68,-71,-78,-77,-70,-71,-75,-82,-75,-77,-77,-79,-81,-78,-200,-82,-81,-83,-83,-81,-83,-89,-87,-200,-86,-88,-87,-89,-93,-84,-92,-200,-93,-94,-200,-96,-96,-69,-75,-78,-88,-86,-86,-86,-89,-71,-85,-88,-82,-80,-92,-91,-96,-200,-83,-83,-82,-200,-200,-88,-200,-200,-96,-77,-89,-200,-77,-93,-92,-95,-200,-200,-98,-200,-200,-200,-200,-200,-200
1526451954126,-40,-36,-48,-43,-55,-52,-57,-56,-58,-57,-60,-59,-61,-61,-63,-200,-69,-73,-58,-63,-62,-61,-70,-67,-68,-64,-65,-72,-69,-64,-71,-76,-70,-200,-76,-76,-82,-73,-79,-79,-77,-81,-79,-200,-83,-83,-82,-81,-81,-84,-84,-87,-200,-86,-88,-88,-88,-90,-88,-200,-200,-91,-95,-95,-92,-96,-64,-77,-78,-88,-84,-86,-86,-88,-71,-87,-88,-82,-200,-200,-92,-200,-200,-73,-84,-82,-200,-200,-88,-97,-200,-96,-80,-92,-200,-77,-91,-92,-95,-95,-200,-98,-85,-200,-200,-200,-200,-200
1526451957189,-38,-35,-48,-47,-58,-53,-56,-58,-57,-58,-62,-59,-62,-61,-63,-200,-64,-67,-58,-64,-73,-61,-70,-76,-64,-65,-65,-65,-68,-80,-71,-76,-70,-68,-76,-76,-78,-75,-78,-76,-79,-82,-79,-200,-85,-86,-88,-84,-81,-85,-82,-86,-200,-86,-88,-88,-88,-90,-88,-92,-89,-91,-94,-93,-93,-96,-69,-81,-77,-83,-83,-200,-87,-88,-200,-87,-88,-82,-80,-200,-93,-200,-200,-73,-84,-200,-200,-200,-200,-97,-200,-96,-81,-92,-200,-77,-91,-92,-95,-95,-200,-98,-85,-200,-200,-200,-200,-200
1526451960214,-41,-35,-49,-44,-51,-54,-60,-55,-56,-58,-62,-58,-59,-61,-66,-200,-62,-65,-58,-67,-70,-63,-64,-69,-69,-65,-65,-63,-70,-75,-71,-80,-75,-70,-67,-76,-82,-67,-76,-79,-78,-84,-79,-200,-87,-83,-82,-84,-200,-85,-88,-89,-200,-85,-85,-88,-89,-90,-89,-93,-89,-91,-94,-93,-93,-200,-62,-78,-77,-85,-86,-200,-88,-91,-200,-86,-200,-200,-80,-90,-93,-200,-200,-73,-83,-200,-200,-200,-200,-97,-200,-96,-81,-92,-200,-200,-91,-200,-200,-95,-200,-200,-85,-86,-97,-200,-200,-200
1526451963271,-38,-34,-49,-44,-50,-54,-52,-53,-56,-55,-62,-64,-49,-59,-63,-82,-61,-65,-57,-69,-64,-64,-66,-72,-68,-71,-67,-66,-70,-75,-68,-79,-75,-75,-67,-75,-81,-76,-77,-79,-79,-85,-79,-200,-83,-83,-81,-84,-200,-83,-88,-87,-200,-86,-85,-200,-89,-200,-89,-92,-89,-200,-94,-93,-95,-200,-68,-78,-79,-85,-85,-84,-84,-91,-75,-86,-200,-200,-80,-90,-93,-200,-200,-200,-84,-200,-200,-200,-93,-200,-200,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-97,-200,-200,-200
1526451966326,-40,-32,-49,-49,-55,-55,-53,-61,-52,-58,-57,-63,-60,-60,-66,-82,-63,-67,-56,-62,-63,-75,-69,-71,-66,-67,-67,-66,-67,-75,-75,-79,-75,-70,-67,-75,-78,-75,-75,-80,-87,-80,-80,-200,-83,-82,-89,-86,-200,-86,-88,-84,-200,-86,-93,-200,-91,-89,-89,-92,-90,-200,-94,-93,-96,-97,-66,-77,-79,-85,-89,-84,-86,-85,-75,-86,-200,-200,-83,-92,-91,-200,-200,-89,-80,-200,-200,-200,-90,-200,-200,-200,-80,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-86,-97,-76,-200,-200
1526451969376,-44,-36,-45,-50,-54,-52,-66,-62,-52,-60,-56,-63,-59,-71,-75,-82,-59,-68,-52,-71,-61,-75,-67,-62,-68,-73,-64,-66,-68,-70,-78,-76,-200,-70,-81,-75,-78,-75,-83,-84,-86,-81,-88,-200,-76,-81,-89,-86,-78,-86,-84,-84,-200,-87,-90,-200,-91,-85,-200,-92,-90,-200,-94,-200,-96,-97,-54,-78,-91,-200,-89,-84,-88,-86,-75,-200,-200,-200,-83,-94,-95,-200,-200,-89,-80,-200,-200,-200,-90,-200,-200,-200,-77,-200,-200,-200,-94,-200,-200,-94,-200,-200,-200,-200,-200,-76,-200,-200
1526451972430,-44,-39,-46,-49,-53,-55,-57,-63,-52,-60,-57,-62,-59,-70,-66,-200,-58,-68,-54,-70,-64,-75,-67,-63,-70,-73,-68,-69,-67,-70,-78,-76,-200,-83,-72,-75,-79,-75,-84,-81,-84,-80,-90,-200,-78,-78,-86,-86,-79,-87,-83,-83,-200,-88,-90,-200,-91,-84,-200,-92,-90,-89,-200,-200,-96,-97,-56,-78,-77,-200,-89,-200,-86,-86,-79,-200,-89,-200,-86,-94,-90,-97,-200,-89,-79,-200,-200,-200,-90,-200,-200,-200,-77,-200,-200,-200,-94,-200,-200,-94,-200,-200,-200,-200,-200,-76,-97,-200
1526451975474,-48,-39,-51,-53,-56,-50,-58,-63,-54,-62,-60,-68,-61,-65,-74,-200,-64,-66,-56,-65,-70,-72,-66,-67,-70,-77,-67,-75,-67,-73,-71,-76,-200,-77,-72,-73,-79,-78,-88,-77,-85,-78,-90,-85,-87,-79,-86,-200,-79,-85,-83,-89,-200,-88,-93,-200,-200,-86,-200,-90,-90,-89,-200,-200,-200,-200,-55,-78,-77,-89,-200,-200,-86,-86,-79,-200,-89,-87,-79,-95,-90,-97,-200,-200,-84,-200,-200,-200,-90,-200,-200,-200,-77,-200,-200,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-97,-200
1526451978523,-44,-41,-53,-52,-56,-55,-62,-67,-52,-57,-60,-68,-65,-70,-75,-200,-68,-68,-55,-70,-72,-74,-70,-71,-74,-65,-69,-75,-67,-76,-72,-77,-200,-77,-79,-73,-80,-79,-85,-77,-84,-82,-91,-85,-83,-84,-92,-200,-84,-83,-84,-87,-200,-87,-94,-200,-200,-86,-86,-90,-93,-90,-200,-200,-93,-99,-55,-80,-88,-92,-200,-200,-84,-91,-79,-200,-89,-87,-80,-95,-90,-97,-200,-91,-86,-200,-200,-200,-85,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-98
