,WHU-2018,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D02A18,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526452130976,-38,-49,-50,-49,-53,-54,-54,-59,-50,-59,-62,-56,-63,-59,-76,-73,-62,-64,-65,-63,-67,-62,-65,-70,-73,-67,-68,-71,-64,-65,-73,-74,-73,-75,-74,-74,-200,-76,-76,-80,-73,-82,-200,-75,-81,-81,-85,-85,-86,-82,-83,-84,-89,-88,-88,-84,-200,-90,-84,-87,-87,-77,-79,-85,-90,-89,-200,-93,-90,-92,-89,-93,-93,-94,-71,-200,-68,-200,-84,-200,-82,-80,-89,-93,-200,-200,-200,-200,-92,-200,-200,-86,-82,-92,-200,-200,-200,-82,-97,-200,-92,-89,-97,-200,-200,-200
1526452134029,-38,-48,-48,-49,-54,-68,-53,-58,-49,-55,-61,-54,-64,-61,-66,-68,-59,-62,-66,-64,-62,-66,-68,-72,-69,-200,-67,-69,-63,-66,-74,-75,-74,-78,-74,-200,-76,-77,-76,-82,-77,-81,-200,-200,-82,-81,-84,-83,-84,-83,-78,-84,-89,-90,-86,-84,-200,-88,-84,-87,-87,-77,-88,-85,-88,-200,-200,-90,-89,-89,-88,-93,-93,-94,-71,-200,-69,-82,-82,-200,-80,-85,-89,-94,-200,-200,-79,-200,-92,-200,-200,-86,-89,-200,-95,-200,-200,-200,-200,-200,-92,-89,-97,-200,-200,-200
1526452137084,-38,-50,-47,-50,-51,-54,-52,-57,-47,-61,-62,-53,-65,-62,-76,-70,-59,-58,-67,-64,-61,-62,-68,-68,-74,-65,-68,-72,-69,-70,-75,-74,-73,-75,-74,-73,-76,-76,-200,-77,-80,-81,-81,-82,-83,-82,-86,-82,-83,-82,-85,-84,-87,-86,-87,-84,-81,-90,-85,-86,-87,-77,-80,-87,-89,-90,-200,-90,-90,-90,-89,-93,-96,-92,-71,-200,-66,-82,-86,-81,-84,-82,-89,-94,-200,-96,-79,-200,-92,-200,-88,-85,-89,-200,-95,-200,-200,-86,-200,-200,-92,-200,-97,-200,-200,-200
1526452140123,-38,-50,-52,-50,-52,-60,-56,-66,-46,-59,-60,-56,-67,-60,-65,-68,-65,-65,-61,-79,-67,-65,-68,-75,-68,-62,-64,-70,-63,-72,-74,-77,-72,-80,-74,-77,-76,-78,-200,-80,-80,-80,-81,-85,-80,-82,-84,-83,-83,-82,-85,-84,-92,-91,-85,-84,-82,-90,-85,-87,-87,-77,-86,-87,-89,-74,-200,-90,-90,-90,-92,-94,-96,-92,-69,-200,-68,-82,-86,-81,-84,-82,-86,-94,-200,-96,-79,-200,-92,-200,-88,-85,-89,-200,-95,-200,-200,-82,-97,-94,-92,-200,-95,-200,-200,-200
1526452143185,-40,-46,-51,-50,-50,-61,-52,-75,-51,-58,-61,-54,-64,-62,-62,-75,-63,-63,-64,-78,-67,-64,-69,-71,-64,-71,-65,-70,-62,-68,-72,-71,-71,-78,-75,-73,-76,-77,-200,-80,-80,-81,-82,-80,-80,-82,-83,-81,-83,-80,-82,-85,-88,-91,-83,-84,-82,-90,-84,-86,-87,-77,-82,-88,-89,-92,-200,-200,-89,-91,-90,-93,-96,-92,-68,-200,-69,-200,-80,-80,-84,-82,-86,-94,-200,-96,-200,-200,-92,-200,-88,-85,-200,-200,-200,-200,-200,-85,-97,-94,-89,-200,-95,-87,-200,-200
1526452146237,-37,-51,-50,-51,-53,-60,-51,-61,-46,-61,-61,-56,-69,-62,-62,-65,-62,-59,-63,-78,-62,-65,-70,-71,-67,-71,-67,-78,-62,-67,-75,-75,-72,-77,-74,-73,-76,-80,-200,-80,-73,-80,-82,-80,-80,-82,-86,-80,-81,-82,-82,-85,-91,-93,-85,-200,-82,-200,-85,-84,-87,-200,-84,-86,-88,-92,-200,-200,-92,-89,-91,-92,-90,-95,-69,-200,-69,-200,-87,-81,-83,-200,-88,-91,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-80,-97,-94,-89,-200,-96,-87,-200,-200
1526452149289,-41,-49,-51,-49,-52,-65,-53,-63,-46,-59,-60,-56,-66,-62,-70,-61,-65,-63,-69,-78,-65,-64,-70,-77,-68,-62,-74,-72,-71,-69,-75,-79,-71,-78,-76,-73,-78,-78,-75,-82,-74,-80,-82,-80,-80,-82,-83,-82,-82,-84,-82,-83,-91,-90,-82,-200,-72,-200,-85,-86,-89,-81,-84,-89,-87,-92,-94,-200,-92,-91,-90,-92,-90,-95,-69,-200,-74,-200,-81,-81,-81,-83,-86,-90,-200,-200,-200,-200,-94,-200,-90,-200,-200,-200,-200,-200,-85,-80,-97,-200,-89,-200,-96,-87,-200,-200
1526452152346,-39,-50,-48,-60,-51,-66,-56,-57,-50,-59,-61,-56,-71,-59,-67,-73,-65,-64,-67,-66,-65,-67,-66,-80,-67,-60,-68,-72,-70,-63,-73,-77,-72,-81,-76,-75,-78,-78,-76,-81,-77,-79,-200,-80,-74,-84,-84,-88,-88,-83,-84,-83,-87,-90,-91,-83,-81,-200,-84,-86,-89,-81,-84,-89,-88,-200,-94,-200,-91,-92,-87,-92,-90,-96,-71,-200,-60,-200,-81,-81,-80,-83,-86,-90,-200,-200,-86,-200,-94,-200,-84,-200,-85,-200,-200,-200,-85,-80,-200,-200,-200,-200,-96,-200,-200,-200
1526452155400,-39,-51,-47,-63,-51,-59,-49,-58,-48,-58,-61,-58,-66,-63,-69,-63,-59,-65,-67,-56,-71,-65,-67,-75,-68,-63,-68,-71,-60,-66,-72,-76,-75,-82,-76,-74,-73,-77,-76,-79,-78,-82,-80,-80,-82,-84,-83,-82,-87,-81,-79,-83,-84,-91,-87,-84,-85,-91,-84,-87,-91,-81,-84,-89,-89,-88,-94,-200,-91,-92,-87,-200,-200,-96,-70,-200,-71,-200,-79,-87,-82,-85,-91,-94,-200,-200,-86,-200,-94,-200,-87,-200,-85,-95,-99,-200,-85,-86,-200,-94,-200,-200,-200,-200,-90,-200
1526452158454,-40,-48,-49,-59,-55,-60,-48,-58,-50,-64,-60,-56,-61,-60,-69,-71,-61,-65,-68,-64,-63,-67,-71,-72,-70,-63,-69,-70,-63,-65,-72,-78,-73,-82,-78,-68,-78,-75,-79,-81,-77,-82,-84,-80,-80,-84,-86,-86,-87,-79,-81,-200,-84,-91,-87,-84,-85,-86,-84,-87,-91,-200,-86,-84,-89,-88,-200,-200,-91,-90,-88,-84,-200,-96,-69,-200,-71,-200,-91,-87,-82,-86,-92,-91,-200,-95,-86,-200,-200,-200,-87,-200,-91,-95,-99,-200,-83,-79,-95,-94,-200,-200,-98,-200,-90,-96
1526452161513,-38,-53,-50,-63,-52,-57,-51,-58,-51,-65,-61,-54,-61,-67,-68,-68,-64,-67,-67,-60,-63,-64,-71,-72,-70,-65,-70,-72,-62,-62,-71,-72,-74,-82,-73,-68,-79,-75,-77,-81,-77,-82,-83,-200,-81,-200,-80,-84,-86,-80,-82,-200,-84,-87,-90,-85,-82,-91,-87,-88,-89,-200,-89,-90,-91,-88,-92,-200,-91,-91,-90,-84,-96,-200,-72,-200,-69,-200,-86,-87,-81,-84,-90,-85,-200,-95,-200,-200,-200,-200,-87,-200,-92,-95,-99,-200,-83,-79,-95,-93,-200,-200,-98,-200,-90,-96
1526452164573,-39,-48,-52,-60,-52,-55,-58,-61,-49,-61,-60,-55,-62,-65,-68,-63,-58,-63,-65,-60,-64,-64,-67,-66,-73,-66,-66,-71,-71,-70,-74,-71,-74,-74,-73,-68,-79,-75,-77,-81,-84,-80,-77,-200,-81,-200,-79,-80,-85,-81,-82,-200,-85,-87,-90,-85,-82,-90,-87,-87,-88,-200,-89,-90,-89,-200,-92,-81,-89,-91,-90,-84,-96,-92,-72,-200,-69,-200,-81,-80,-85,-79,-90,-91,-200,-95,-86,-200,-93,-200,-85,-200,-92,-200,-200,-200,-83,-83,-95,-93,-200,-200,-98,-200,-200,-96
