,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00E98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A60,WHU-2018,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,whu2011309,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,DLINK_D00EB8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526452783342,-40,-44,-53,-50,-37,-55,-58,-52,-55,-48,-56,-59,-53,-64,-62,-65,-63,-62,-62,-55,-72,-63,-54,-71,-74,-85,-77,-74,-67,-79,-83,-79,-81,-79,-83,-79,-83,-67,-85,-78,-84,-76,-80,-73,-86,-74,-200,-200,-97,-90,-78,-83,-85,-87,-96,-77,-85,-92,-90,-91,-90,-86,-91,-200,-92,-200,-200,-91,-200,-89,-93,-95,-200,-94,-87,-200,-98,-78,-92,-200,-91,-200,-94,-200,-81,-85,-91,-200,-200,-96,-200,-90,-200,-94,-200,-91,-92,-200,-200,-200,-200
1526452786399,-40,-44,-56,-49,-38,-57,-58,-50,-60,-50,-56,-62,-57,-62,-63,-65,-57,-63,-60,-55,-71,-73,-53,-71,-75,-88,-75,-73,-71,-79,-83,-80,-81,-76,-83,-79,-83,-68,-85,-78,-84,-67,-80,-73,-86,-71,-86,-86,-200,-90,-82,-83,-85,-87,-96,-77,-85,-93,-91,-91,-89,-86,-91,-200,-200,-200,-200,-91,-200,-89,-96,-95,-97,-94,-87,-200,-200,-78,-92,-200,-200,-200,-200,-200,-79,-85,-91,-200,-200,-97,-91,-91,-200,-95,-200,-91,-92,-200,-200,-200,-200
1526452789454,-40,-44,-55,-50,-39,-57,-57,-55,-51,-50,-56,-62,-62,-61,-62,-60,-64,-63,-65,-52,-74,-62,-56,-71,-74,-86,-74,-74,-71,-79,-82,-82,-81,-76,-83,-77,-85,-67,-84,-77,-85,-67,-77,-73,-86,-77,-86,-86,-200,-91,-78,-88,-85,-87,-94,-77,-85,-93,-91,-92,-90,-87,-91,-200,-200,-200,-200,-91,-200,-88,-96,-95,-97,-94,-87,-200,-200,-79,-90,-200,-95,-94,-95,-200,-79,-200,-200,-200,-200,-97,-91,-91,-200,-95,-200,-91,-92,-98,-200,-200,-200
1526452792510,-37,-44,-56,-50,-38,-54,-58,-50,-56,-49,-56,-59,-62,-64,-63,-65,-57,-62,-65,-55,-72,-62,-54,-71,-73,-85,-77,-70,-69,-200,-83,-81,-200,-76,-200,-79,-85,-66,-84,-77,-81,-69,-77,-71,-86,-75,-87,-86,-200,-92,-81,-88,-200,-87,-94,-77,-84,-93,-91,-91,-90,-87,-91,-200,-200,-200,-200,-91,-200,-88,-96,-200,-97,-200,-88,-200,-200,-79,-92,-200,-95,-94,-95,-200,-79,-200,-200,-200,-200,-97,-91,-91,-200,-95,-98,-200,-200,-98,-97,-200,-200
1526452795561,-39,-45,-51,-49,-37,-55,-58,-52,-55,-47,-56,-61,-57,-65,-62,-65,-64,-62,-65,-54,-73,-73,-53,-77,-75,-84,-75,-72,-69,-200,-82,-81,-200,-79,-85,-79,-85,-71,-85,-78,-81,-68,-77,-71,-200,-67,-87,-86,-200,-91,-81,-88,-86,-86,-94,-77,-85,-93,-200,-93,-89,-87,-200,-200,-200,-200,-200,-91,-200,-89,-93,-200,-200,-96,-84,-200,-200,-79,-90,-200,-87,-86,-95,-200,-79,-200,-200,-200,-89,-200,-91,-200,-200,-93,-98,-200,-200,-98,-96,-200,-200
1526452798607,-38,-44,-56,-49,-38,-54,-58,-55,-56,-48,-56,-62,-57,-66,-64,-66,-59,-62,-65,-55,-71,-64,-55,-72,-71,-84,-73,-75,-70,-78,-83,-82,-200,-79,-84,-79,-200,-72,-84,-77,-81,-68,-200,-72,-200,-77,-81,-86,-200,-92,-78,-200,-89,-86,-200,-77,-85,-200,-90,-93,-89,-200,-84,-200,-200,-200,-200,-200,-200,-89,-94,-200,-200,-96,-84,-200,-96,-79,-91,-200,-88,-94,-200,-200,-79,-200,-200,-200,-89,-200,-91,-90,-200,-93,-98,-200,-200,-200,-96,-200,-200
1526452801663,-40,-44,-58,-50,-41,-55,-58,-53,-56,-57,-56,-63,-56,-66,-63,-61,-66,-63,-64,-55,-71,-63,-57,-77,-76,-84,-76,-75,-70,-78,-82,-80,-200,-79,-83,-78,-83,-71,-85,-79,-83,-69,-200,-74,-87,-76,-81,-86,-200,-92,-79,-84,-89,-86,-200,-77,-86,-200,-90,-93,-90,-86,-91,-200,-200,-200,-200,-91,-200,-89,-94,-200,-96,-96,-86,-200,-96,-79,-91,-200,-88,-94,-95,-200,-79,-200,-200,-200,-89,-200,-91,-90,-200,-93,-200,-200,-200,-200,-96,-200,-200
1526452804721,-38,-43,-55,-49,-39,-57,-58,-55,-57,-50,-56,-62,-58,-65,-64,-65,-66,-62,-65,-55,-72,-63,-54,-70,-75,-200,-73,-74,-70,-78,-82,-88,-200,-78,-84,-78,-83,-67,-85,-77,-83,-76,-80,-74,-87,-75,-81,-88,-200,-90,-79,-84,-86,-89,-81,-77,-86,-92,-91,-200,-89,-85,-91,-200,-200,-91,-200,-92,-200,-88,-94,-200,-96,-200,-89,-200,-96,-78,-91,-74,-92,-94,-95,-200,-78,-200,-200,-200,-200,-200,-91,-91,-200,-95,-200,-93,-200,-200,-200,-94,-95
1526452807773,-39,-45,-53,-51,-38,-56,-58,-52,-53,-48,-56,-62,-57,-67,-63,-66,-58,-64,-65,-54,-71,-64,-54,-70,-76,-200,-74,-74,-69,-200,-83,-81,-200,-80,-84,-79,-85,-69,-85,-78,-83,-77,-77,-72,-87,-76,-200,-83,-200,-90,-81,-88,-89,-89,-95,-77,-85,-91,-91,-200,-89,-87,-91,-200,-200,-91,-200,-92,-200,-88,-94,-200,-96,-200,-87,-200,-96,-78,-91,-74,-92,-94,-95,-200,-78,-91,-200,-200,-87,-200,-91,-91,-200,-95,-200,-93,-200,-200,-200,-94,-95
1526452810826,-37,-43,-55,-51,-38,-55,-58,-50,-57,-50,-56,-62,-63,-65,-64,-64,-64,-63,-62,-55,-66,-65,-56,-70,-77,-84,-76,-74,-70,-200,-83,-81,-200,-78,-83,-79,-85,-71,-86,-77,-83,-77,-80,-74,-200,-77,-85,-83,-200,-90,-81,-88,-86,-82,-95,-78,-85,-93,-91,-200,-89,-87,-200,-200,-200,-91,-200,-92,-200,-87,-94,-200,-81,-200,-87,-200,-96,-79,-91,-74,-92,-94,-200,-200,-78,-82,-200,-97,-87,-200,-91,-91,-200,-95,-98,-93,-200,-200,-200,-94,-95
1526452813873,-39,-45,-55,-50,-39,-56,-58,-59,-55,-49,-56,-59,-58,-64,-64,-71,-58,-64,-61,-54,-62,-63,-51,-70,-77,-84,-80,-74,-70,-200,-84,-82,-200,-80,-80,-78,-85,-65,-85,-78,-81,-69,-80,-77,-82,-77,-86,-85,-200,-93,-81,-82,-84,-88,-95,-76,-86,-93,-200,-200,-91,-88,-92,-200,-200,-200,-200,-91,-200,-88,-93,-200,-81,-200,-84,-200,-200,-77,-91,-200,-95,-94,-94,-200,-200,-83,-200,-97,-87,-200,-200,-200,-200,-200,-98,-200,-93,-200,-200,-200,-200
1526452816923,-39,-42,-57,-49,-43,-57,-57,-55,-55,-53,-58,-64,-65,-58,-65,-61,-58,-66,-63,-52,-74,-63,-49,-71,-74,-84,-83,-75,-70,-200,-87,-76,-200,-78,-80,-79,-200,-68,-85,-78,-85,-69,-80,-74,-83,-74,-86,-89,-92,-92,-78,-82,-84,-88,-89,-77,-85,-93,-200,-200,-90,-88,-92,-200,-200,-92,-200,-92,-200,-92,-90,-200,-81,-200,-86,-200,-200,-77,-91,-200,-94,-93,-94,-200,-83,-83,-200,-97,-200,-200,-200,-200,-200,-95,-94,-200,-93,-200,-200,-200,-200
