,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,DLINK_D00E98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526452930308,-41,-52,-57,-62,-57,-50,-66,-53,-59,-68,-59,-66,-57,-69,-64,-65,-68,-55,-67,-64,-65,-64,-61,-72,-65,-73,-73,-80,-80,-75,-74,-79,-79,-83,-61,-77,-68,-200,-88,-84,-77,-80,-200,-75,-200,-82,-84,-83,-88,-81,-79,-200,-200,-87,-78,-86,-80,-200,-83,-91,-86,-87,-86,-86,-87,-89,-93,-85,-91,-93,-93,-200,-200,-200,-91,-200,-94,-200,-200,-200,-200,-200,-81,-78,-81,-200,-200,-200,-94,-200,-87,-200,-200,-87,-96,-92,-91,-94,-200,-200,-200
1526452933364,-42,-46,-54,-61,-53,-47,-68,-53,-62,-72,-60,-63,-57,-69,-67,-64,-68,-52,-61,-64,-67,-65,-64,-72,-64,-73,-73,-75,-80,-73,-75,-81,-79,-200,-62,-78,-68,-200,-88,-84,-77,-77,-200,-75,-200,-82,-84,-87,-84,-80,-81,-200,-200,-87,-79,-88,-81,-200,-82,-92,-86,-89,-86,-86,-87,-89,-92,-86,-91,-93,-200,-200,-97,-88,-91,-200,-97,-200,-97,-200,-200,-200,-83,-78,-81,-200,-200,-200,-94,-200,-87,-92,-200,-87,-96,-93,-91,-94,-200,-200,-200
1526452936413,-44,-49,-58,-60,-54,-56,-68,-53,-53,-67,-64,-59,-58,-68,-65,-63,-68,-54,-73,-67,-62,-64,-62,-71,-63,-73,-74,-81,-83,-72,-75,-74,-79,-87,-63,-77,-68,-200,-83,-84,-77,-77,-200,-75,-200,-82,-85,-89,-84,-80,-81,-200,-200,-87,-79,-88,-82,-200,-82,-92,-88,-88,-83,-86,-200,-88,-93,-86,-91,-95,-91,-200,-96,-88,-91,-200,-97,-200,-97,-200,-200,-200,-83,-78,-81,-200,-200,-200,-93,-82,-87,-92,-200,-87,-96,-93,-91,-94,-200,-200,-200
1526452939466,-36,-50,-55,-63,-59,-48,-65,-53,-60,-68,-63,-63,-55,-68,-68,-64,-68,-54,-67,-68,-67,-65,-67,-72,-63,-72,-72,-84,-82,-71,-75,-80,-80,-87,-59,-76,-68,-91,-79,-83,-79,-84,-200,-76,-200,-80,-85,-89,-88,-80,-79,-200,-95,-87,-78,-89,-81,-200,-84,-92,-88,-88,-83,-200,-88,-88,-93,-84,-200,-95,-90,-200,-96,-88,-90,-200,-97,-200,-97,-200,-200,-200,-80,-200,-83,-82,-200,-200,-93,-82,-88,-92,-200,-86,-96,-93,-200,-200,-200,-200,-200
1526452942518,-38,-47,-56,-63,-55,-51,-64,-54,-59,-68,-71,-58,-58,-68,-64,-64,-65,-57,-67,-67,-66,-61,-62,-72,-64,-72,-72,-84,-83,-74,-76,-82,-77,-87,-57,-76,-200,-91,-80,-84,-79,-84,-81,-62,-200,-86,-84,-89,-90,-80,-80,-200,-95,-87,-70,-89,-81,-200,-83,-90,-86,-88,-90,-88,-87,-92,-96,-85,-92,-95,-91,-93,-96,-86,-92,-200,-200,-200,-200,-200,-200,-200,-83,-200,-81,-84,-94,-200,-92,-78,-87,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200
1526452945572,-36,-50,-56,-63,-59,-49,-65,-54,-59,-67,-66,-61,-57,-200,-65,-65,-65,-52,-77,-65,-65,-65,-60,-72,-63,-64,-73,-81,-80,-71,-76,-82,-77,-83,-58,-76,-200,-91,-80,-84,-79,-82,-81,-76,-200,-86,-85,-90,-90,-82,-79,-200,-95,-87,-79,-89,-81,-200,-84,-92,-85,-91,-86,-69,-88,-92,-95,-84,-92,-91,-93,-93,-200,-86,-92,-200,-96,-200,-200,-200,-200,-200,-80,-200,-81,-84,-94,-93,-95,-78,-87,-92,-93,-86,-200,-200,-200,-200,-200,-200,-200
1526452948624,-41,-52,-55,-65,-60,-56,-65,-54,-61,-71,-65,-61,-58,-68,-66,-64,-69,-56,-67,-73,-63,-64,-61,-71,-66,-71,-73,-73,-82,-73,-76,-79,-77,-77,-63,-76,-200,-200,-80,-84,-200,-82,-93,-76,-200,-85,-82,-89,-90,-78,-79,-200,-200,-85,-79,-88,-81,-200,-84,-91,-86,-89,-86,-69,-88,-92,-95,-84,-92,-93,-93,-93,-95,-88,-92,-200,-96,-200,-200,-200,-200,-200,-80,-200,-81,-83,-94,-93,-94,-83,-87,-92,-93,-200,-200,-200,-200,-200,-200,-200,-200
1526452951674,-40,-48,-51,-65,-53,-47,-68,-54,-62,-73,-65,-65,-57,-69,-65,-66,-67,-48,-68,-73,-59,-64,-64,-76,-68,-73,-74,-88,-79,-75,-76,-73,-78,-77,-56,-73,-69,-200,-83,-82,-78,-79,-82,-76,-200,-80,-84,-87,-90,-77,-79,-200,-200,-85,-78,-88,-81,-200,-80,-91,-87,-88,-86,-86,-91,-200,-93,-83,-89,-96,-90,-200,-95,-86,-200,-200,-96,-200,-200,-200,-200,-200,-81,-200,-81,-85,-200,-93,-95,-83,-200,-85,-93,-200,-200,-200,-200,-200,-92,-200,-200
1526452954723,-38,-48,-52,-61,-59,-46,-70,-58,-61,-71,-64,-76,-55,-70,-64,-66,-68,-57,-77,-67,-63,-64,-60,-78,-63,-73,-71,-88,-81,-75,-75,-77,-82,-77,-63,-71,-69,-200,-86,-84,-63,-76,-82,-78,-200,-78,-86,-89,-86,-69,-78,-200,-95,-85,-76,-87,-79,-200,-79,-91,-87,-90,-200,-90,-90,-200,-87,-88,-89,-96,-90,-200,-95,-86,-89,-200,-200,-200,-200,-200,-200,-200,-81,-200,-83,-86,-200,-200,-95,-83,-90,-85,-200,-92,-96,-200,-200,-200,-92,-93,-200
1526452957777,-45,-48,-52,-59,-61,-50,-67,-54,-63,-69,-65,-63,-58,-71,-64,-65,-68,-54,-70,-69,-61,-63,-61,-72,-69,-73,-74,-76,-82,-79,-75,-77,-76,-82,-50,-72,-69,-200,-86,-83,-63,-76,-79,-75,-89,-78,-86,-89,-87,-80,-80,-200,-95,-200,-79,-87,-80,-200,-82,-92,-87,-91,-200,-88,-92,-91,-87,-89,-89,-96,-92,-200,-95,-87,-89,-200,-200,-200,-200,-200,-200,-200,-79,-200,-80,-84,-200,-200,-94,-200,-90,-85,-200,-92,-96,-200,-200,-200,-92,-93,-200
1526452960830,-40,-49,-51,-60,-58,-51,-63,-53,-60,-75,-65,-69,-57,-70,-66,-65,-65,-55,-67,-66,-67,-67,-61,-75,-62,-72,-70,-76,-82,-71,-76,-82,-83,-75,-52,-73,-200,-200,-86,-88,-75,-77,-84,-79,-89,-78,-83,-81,-87,-80,-80,-92,-95,-200,-80,-87,-81,-200,-81,-92,-85,-88,-200,-83,-92,-91,-87,-87,-200,-90,-91,-200,-95,-87,-86,-200,-93,-200,-200,-200,-200,-200,-77,-200,-81,-84,-200,-200,-94,-200,-88,-93,-200,-92,-96,-200,-200,-200,-92,-93,-95
1526452963880,-41,-51,-48,-59,-54,-51,-70,-61,-62,-66,-65,-69,-58,-70,-64,-65,-62,-55,-72,-65,-67,-65,-63,-72,-62,-73,-74,-76,-81,-73,-76,-78,-83,-75,-62,-78,-200,-85,-89,-90,-75,-76,-84,-78,-89,-80,-92,-86,-87,-85,-80,-92,-200,-89,-80,-88,-82,-200,-86,-91,-88,-88,-200,-83,-89,-91,-86,-89,-200,-90,-91,-200,-200,-87,-86,-200,-95,-200,-200,-200,-200,-200,-86,-200,-81,-84,-200,-200,-94,-200,-87,-93,-200,-200,-200,-200,-200,-200,-200,-200,-95
