,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,DLINK_D02A28,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,DLINK_D00EC0,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D00EB8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526460347869,-33,-37,-37,-42,-40,-57,-44,-53,-56,-50,-52,-49,-63,-61,-66,-67,-60,-51,-66,-72,-57,-76,-70,-74,-83,-73,-74,-76,-74,-200,-67,-81,-77,-86,-84,-200,-75,-200,-75,-200,-73,-83,-200,-90,-85,-200,-200,-83,-82,-86,-87,-200,-84,-84,-89,-200,-200,-54,-200,-77,-83,-200,-200,-94,-200,-82,-83,-87,-89,-200,-200,-200,-200,-200
1526460350915,-37,-45,-39,-42,-39,-62,-40,-53,-56,-50,-53,-49,-59,-59,-69,-63,-61,-58,-70,-77,-57,-67,-65,-74,-83,-74,-77,-76,-74,-200,-71,-81,-73,-83,-84,-200,-75,-200,-74,-200,-74,-83,-200,-86,-85,-200,-200,-200,-82,-86,-86,-200,-84,-84,-89,-200,-200,-54,-200,-77,-83,-200,-200,-94,-200,-200,-200,-87,-89,-83,-200,-200,-200,-200
1526460353976,-36,-45,-38,-45,-39,-61,-40,-52,-57,-50,-53,-51,-55,-67,-70,-67,-56,-58,-67,-77,-59,-67,-65,-76,-71,-74,-76,-68,-74,-200,-74,-83,-74,-83,-84,-200,-75,-200,-74,-200,-74,-78,-200,-86,-85,-200,-200,-200,-81,-86,-86,-200,-200,-84,-87,-200,-200,-200,-200,-77,-200,-200,-200,-94,-200,-200,-200,-200,-89,-84,-200,-200,-200,-200
1526460357021,-35,-46,-39,-40,-41,-58,-40,-54,-58,-52,-50,-50,-55,-63,-70,-67,-60,-58,-66,-76,-59,-67,-60,-73,-70,-74,-75,-69,-73,-200,-69,-80,-74,-83,-77,-200,-200,-200,-81,-200,-74,-78,-200,-86,-200,-200,-200,-200,-81,-86,-86,-200,-200,-84,-87,-200,-200,-51,-200,-77,-200,-200,-200,-94,-200,-200,-200,-200,-89,-84,-78,-81,-200,-200
1526460360048,-36,-41,-38,-37,-40,-61,-44,-55,-56,-53,-57,-50,-51,-63,-73,-67,-59,-56,-66,-75,-57,-67,-60,-74,-70,-74,-75,-70,-74,-200,-72,-80,-73,-83,-77,-200,-200,-200,-81,-200,-73,-82,-200,-86,-86,-200,-200,-200,-80,-89,-86,-200,-200,-200,-90,-200,-200,-50,-200,-77,-200,-200,-200,-200,-200,-200,-83,-200,-89,-84,-78,-81,-200,-200
1526460363096,-37,-40,-38,-45,-37,-57,-41,-56,-56,-52,-50,-50,-59,-65,-73,-61,-62,-63,-66,-75,-58,-72,-60,-72,-79,-72,-74,-70,-73,-200,-72,-80,-82,-83,-77,-200,-200,-200,-81,-200,-73,-85,-200,-84,-86,-200,-200,-200,-82,-89,-86,-200,-200,-200,-90,-200,-200,-54,-200,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-84,-78,-81,-200,-200
1526460366127,-38,-46,-37,-45,-37,-57,-38,-56,-57,-52,-50,-46,-59,-66,-71,-61,-60,-60,-66,-75,-59,-72,-60,-72,-83,-72,-74,-70,-73,-200,-74,-80,-82,-85,-78,-200,-200,-200,-80,-200,-74,-85,-200,-84,-86,-200,-200,-200,-83,-89,-200,-200,-200,-200,-90,-200,-200,-56,-200,-200,-89,-200,-200,-200,-200,-200,-83,-200,-87,-84,-78,-81,-88,-200
1526460369187,-34,-48,-36,-41,-37,-59,-41,-56,-57,-51,-50,-45,-57,-66,-71,-63,-61,-60,-70,-73,-59,-72,-60,-72,-72,-73,-74,-70,-72,-200,-71,-80,-75,-85,-79,-200,-200,-200,-80,-200,-74,-85,-200,-84,-86,-88,-200,-84,-81,-89,-200,-200,-200,-200,-90,-200,-200,-50,-200,-200,-89,-200,-200,-200,-200,-200,-83,-200,-87,-200,-78,-81,-88,-200
1526460372231,-30,-40,-36,-41,-37,-57,-49,-52,-57,-50,-50,-46,-53,-66,-67,-63,-63,-56,-65,-73,-59,-72,-60,-72,-72,-73,-76,-70,-75,-200,-73,-76,-70,-85,-76,-200,-200,-200,-80,-200,-74,-85,-200,-89,-88,-88,-200,-84,-83,-89,-87,-200,-200,-200,-87,-200,-200,-50,-200,-200,-89,-200,-200,-200,-200,-200,-83,-200,-87,-200,-200,-200,-88,-200
1526460375281,-28,-42,-35,-37,-37,-55,-45,-52,-61,-49,-50,-45,-56,-66,-67,-66,-59,-56,-66,-73,-59,-72,-60,-77,-68,-77,-76,-70,-72,-200,-69,-80,-72,-85,-76,-200,-200,-200,-80,-200,-74,-82,-200,-89,-86,-88,-86,-84,-83,-200,-87,-200,-200,-200,-87,-200,-200,-61,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-88,-200
1526460378305,-29,-39,-38,-45,-48,-55,-45,-54,-61,-46,-50,-45,-55,-69,-67,-66,-56,-56,-68,-74,-60,-200,-60,-77,-68,-73,-73,-70,-72,-200,-69,-80,-72,-85,-81,-200,-200,-200,-80,-200,-72,-80,-200,-89,-86,-88,-86,-84,-85,-200,-87,-200,-88,-200,-87,-200,-200,-61,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-88,-200
1526460381325,-28,-38,-37,-41,-41,-55,-45,-54,-57,-47,-50,-42,-54,-69,-67,-66,-57,-60,-72,-74,-60,-67,-58,-77,-68,-81,-73,-74,-72,-200,-66,-78,-73,-85,-81,-200,-200,-200,-74,-200,-80,-80,-200,-89,-88,-87,-86,-84,-84,-200,-87,-200,-88,-82,-87,-200,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-89,-200,-200,-200,-76
