,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D02A18,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526460970990,-23,-30,-35,-42,-45,-51,-36,-48,-200,-53,-52,-50,-66,-58,-53,-52,-71,-56,-62,-65,-53,-56,-64,-200,-60,-70,-69,-59,-72,-64,-200,-63,-67,-75,-71,-79,-76,-75,-200,-200,-68,-200,-86,-84,-79,-200,-86,-200,-200,-89,-80,-200,-200,-86,-200,-80,-200,-80,-88,-88,-80,-86,-88,-88,-85,-89,-200,-200,-200,-200,-200
1526460974037,-24,-30,-36,-43,-49,-58,-37,-51,-200,-53,-56,-51,-66,-57,-54,-52,-61,-56,-61,-64,-50,-64,-59,-200,-60,-70,-66,-59,-72,-64,-200,-63,-67,-82,-71,-79,-76,-76,-200,-200,-68,-78,-86,-81,-81,-200,-84,-200,-200,-89,-80,-200,-200,-86,-82,-80,-200,-200,-87,-88,-80,-81,-88,-88,-85,-89,-85,-200,-200,-200,-200
1526460977110,-28,-30,-37,-39,-49,-54,-40,-54,-63,-54,-54,-50,-66,-57,-53,-52,-58,-53,-60,-67,-58,-67,-85,-200,-62,-70,-74,-59,-72,-64,-200,-63,-67,-78,-70,-79,-77,-74,-200,-200,-68,-78,-82,-83,-79,-200,-84,-200,-200,-88,-80,-200,-200,-86,-82,-80,-82,-200,-87,-200,-80,-81,-88,-88,-85,-89,-85,-200,-200,-200,-200
1526460980162,-32,-30,-35,-40,-48,-52,-39,-53,-63,-54,-54,-50,-65,-53,-54,-53,-58,-54,-64,-66,-58,-65,-63,-200,-66,-72,-70,-61,-71,-65,-200,-63,-67,-74,-73,-200,-73,-74,-200,-200,-75,-78,-82,-82,-81,-200,-83,-200,-200,-88,-80,-200,-200,-86,-82,-80,-82,-200,-87,-200,-80,-80,-88,-87,-85,-89,-85,-200,-200,-200,-200
1526460983215,-25,-30,-37,-41,-44,-55,-38,-52,-63,-49,-54,-50,-61,-49,-54,-53,-58,-60,-61,-66,-56,-65,-60,-200,-64,-69,-70,-61,-72,-69,-200,-64,-67,-74,-71,-200,-73,-77,-200,-200,-75,-78,-82,-82,-81,-200,-86,-200,-200,-88,-80,-200,-200,-200,-82,-80,-82,-200,-87,-200,-80,-80,-88,-87,-85,-89,-85,-200,-200,-200,-200
1526460986264,-30,-32,-33,-39,-44,-55,-37,-54,-63,-49,-56,-51,-61,-60,-54,-53,-59,-59,-61,-67,-60,-58,-64,-200,-62,-69,-71,-60,-74,-69,-200,-66,-67,-74,-70,-82,-75,-80,-200,-84,-70,-79,-82,-82,-81,-200,-86,-81,-89,-88,-200,-71,-200,-200,-82,-200,-82,-200,-87,-200,-200,-80,-200,-87,-200,-89,-85,-81,-200,-200,-200
1526460989308,-31,-32,-29,-48,-48,-52,-38,-49,-63,-49,-56,-50,-52,-56,-53,-51,-59,-59,-63,-66,-62,-64,-60,-200,-62,-69,-71,-63,-73,-66,-200,-66,-78,-79,-70,-82,-74,-76,-200,-84,-70,-79,-82,-82,-81,-200,-89,-81,-89,-88,-82,-69,-200,-88,-86,-200,-82,-200,-200,-200,-89,-88,-200,-87,-200,-89,-200,-81,-92,-200,-200
1526460992369,-27,-34,-30,-48,-53,-48,-38,-47,-200,-49,-47,-53,-52,-58,-55,-53,-57,-58,-63,-66,-64,-64,-64,-200,-61,-68,-71,-65,-69,-67,-200,-69,-75,-79,-72,-82,-77,-77,-200,-84,-78,-79,-200,-84,-81,-200,-85,-81,-89,-92,-82,-69,-200,-88,-86,-200,-200,-76,-200,-200,-89,-88,-88,-87,-200,-89,-200,-81,-92,-200,-200
1526460995426,-23,-34,-32,-37,-49,-46,-35,-48,-200,-62,-47,-51,-52,-52,-54,-52,-56,-58,-63,-66,-71,-65,-64,-200,-61,-71,-74,-65,-69,-70,-200,-69,-75,-75,-72,-82,-77,-77,-200,-84,-72,-83,-81,-84,-83,-200,-85,-81,-89,-92,-82,-69,-200,-89,-86,-200,-200,-76,-200,-200,-82,-82,-88,-200,-80,-89,-200,-81,-92,-86,-92
1526460998495,-23,-35,-32,-53,-46,-49,-35,-54,-200,-62,-47,-54,-52,-52,-56,-51,-63,-62,-63,-65,-67,-63,-58,-200,-61,-71,-70,-66,-69,-70,-75,-65,-75,-75,-72,-82,-76,-76,-200,-84,-72,-83,-81,-84,-82,-200,-85,-81,-89,-92,-82,-69,-200,-89,-86,-200,-200,-76,-200,-200,-82,-82,-88,-200,-80,-200,-200,-81,-92,-88,-92
1526461001548,-29,-35,-32,-45,-47,-48,-36,-46,-65,-62,-47,-52,-52,-62,-55,-52,-55,-61,-63,-66,-66,-63,-59,-200,-65,-71,-73,-66,-69,-70,-75,-66,-70,-75,-73,-79,-76,-75,-200,-200,-73,-83,-81,-84,-82,-200,-85,-81,-92,-92,-82,-69,-200,-89,-86,-200,-200,-76,-200,-200,-82,-82,-88,-200,-80,-200,-200,-200,-92,-88,-92
1526461004590,-29,-37,-32,-45,-48,-48,-39,-49,-65,-50,-46,-53,-52,-54,-55,-51,-53,-61,-63,-65,-66,-63,-58,-67,-64,-70,-73,-66,-69,-69,-77,-67,-70,-75,-71,-79,-76,-74,-200,-200,-75,-83,-81,-84,-81,-200,-88,-200,-92,-92,-78,-200,-200,-89,-200,-200,-200,-76,-200,-200,-82,-82,-88,-200,-80,-200,-200,-200,-200,-88,-92
