,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526463690957,-59,-51,-70,-64,-72,-56,-76,-68,-200,-80,-55,-67,-71,-78,-66,-65,-67,-73,-75,-75,-85,-73,-89,-200,-81,-76,-83,-78,-74,-200,-85,-200,-90,-91,-200,-200,-200,-66,-200,-200,-66,-71,-85,-200,-200,-86,-84,-86,-91,-74,-86,-87,-88,-89,-200,-200
1526463693999,-59,-51,-70,-64,-72,-56,-76,-68,-200,-80,-55,-67,-71,-78,-66,-65,-67,-73,-75,-75,-85,-73,-89,-200,-81,-76,-83,-78,-74,-200,-85,-200,-90,-91,-200,-200,-200,-66,-200,-200,-66,-71,-85,-200,-200,-86,-84,-86,-91,-74,-86,-87,-88,-89,-200,-200
1526463697028,-59,-51,-70,-64,-72,-56,-76,-68,-200,-80,-55,-67,-71,-78,-66,-65,-67,-73,-75,-75,-85,-73,-89,-200,-81,-76,-83,-78,-74,-200,-85,-200,-90,-91,-200,-200,-200,-66,-200,-200,-66,-71,-85,-200,-200,-86,-84,-86,-91,-74,-86,-87,-88,-89,-200,-200
1526463700065,-55,-51,-68,-62,-74,-57,-72,-69,-200,-77,-57,-67,-72,-81,-61,-63,-67,-69,-200,-75,-200,-73,-200,-78,-81,-81,-83,-200,-76,-76,-200,-200,-200,-200,-200,-200,-86,-70,-70,-200,-70,-200,-87,-200,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200,-87,-200
1526463703101,-59,-51,-67,-66,-70,-57,-73,-74,-200,-80,-57,-67,-72,-81,-65,-72,-64,-69,-200,-77,-200,-73,-200,-78,-80,-81,-83,-200,-76,-76,-85,-200,-200,-200,-200,-200,-86,-70,-70,-200,-70,-75,-87,-200,-200,-200,-200,-90,-200,-77,-200,-200,-92,-200,-87,-200
1526463706135,-59,-51,-67,-66,-70,-57,-73,-74,-200,-80,-57,-67,-72,-81,-65,-72,-64,-69,-200,-77,-200,-73,-200,-78,-80,-81,-83,-200,-76,-76,-85,-200,-200,-200,-200,-200,-86,-70,-70,-200,-70,-75,-87,-200,-200,-200,-200,-90,-200,-77,-200,-200,-92,-200,-87,-200
1526463709147,-59,-51,-67,-66,-70,-57,-73,-74,-200,-80,-57,-67,-72,-81,-65,-72,-64,-69,-200,-77,-200,-73,-200,-78,-80,-81,-83,-200,-76,-76,-85,-200,-200,-200,-200,-200,-86,-70,-70,-200,-70,-75,-87,-200,-200,-200,-200,-90,-200,-77,-200,-200,-92,-200,-87,-200
1526463712182,-59,-51,-67,-66,-71,-56,-73,-74,-200,-80,-57,-74,-200,-81,-65,-72,-64,-69,-200,-77,-200,-200,-200,-200,-86,-81,-81,-200,-78,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-75,-200,-200,-200,-200,-200,-90,-200,-200,-200,-200,-92,-200,-200,-200
1526463715228,-49,-48,-71,-61,-69,-55,-64,-66,-79,-76,-59,-71,-200,-66,-61,-72,-72,-80,-75,-70,-200,-200,-200,-200,-86,-81,-81,-200,-78,-200,-85,-200,-200,-200,-200,-200,-200,-60,-200,-200,-200,-76,-89,-200,-200,-83,-200,-90,-200,-200,-200,-82,-92,-200,-85,-200
1526463718267,-49,-48,-71,-61,-69,-55,-64,-66,-79,-76,-59,-71,-200,-66,-61,-72,-72,-80,-75,-70,-200,-200,-200,-200,-86,-81,-81,-200,-78,-200,-85,-200,-200,-200,-200,-200,-200,-60,-200,-200,-200,-76,-89,-200,-200,-83,-200,-90,-200,-200,-200,-82,-92,-200,-85,-200
1526463721306,-49,-48,-71,-61,-69,-55,-64,-66,-79,-76,-59,-71,-200,-66,-61,-72,-72,-80,-75,-70,-200,-200,-200,-200,-86,-81,-81,-200,-78,-200,-85,-200,-200,-200,-200,-200,-200,-60,-200,-200,-200,-76,-89,-200,-200,-83,-200,-90,-200,-200,-200,-82,-92,-200,-85,-200
1526463724361,-54,-44,-65,-63,-66,-57,-68,-66,-76,-76,-67,-71,-200,-68,-59,-200,-68,-75,-75,-72,-200,-75,-200,-80,-82,-76,-79,-200,-200,-200,-85,-200,-89,-200,-200,-200,-200,-64,-82,-85,-68,-76,-89,-200,-200,-83,-200,-200,-200,-76,-200,-82,-200,-84,-84,-89
