,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526463765160,-62,-57,-49,-78,-61,-62,-69,-67,-58,-70,-93,-60,-73,-79,-87,-71,-200,-56,-200,-64,-74,-87,-200,-70,-90,-87,-67,-200,-200,-69,-200,-200,-200,-200,-80,-200,-200,-90,-200,-200,-86,-78,-88,-200,-200,-89,-200,-200,-80,-86,-87,-92,-86,-87,-91,-200
1526463768202,-62,-57,-49,-78,-61,-62,-69,-67,-58,-70,-93,-60,-73,-79,-87,-71,-200,-56,-200,-64,-74,-87,-200,-70,-90,-87,-67,-200,-200,-69,-200,-200,-200,-200,-80,-200,-200,-90,-200,-200,-86,-78,-88,-200,-200,-89,-200,-200,-80,-86,-87,-92,-86,-87,-91,-200
1526463771230,-62,-57,-49,-78,-61,-62,-69,-67,-58,-70,-93,-60,-73,-79,-87,-71,-200,-56,-200,-64,-74,-87,-200,-70,-90,-87,-67,-200,-200,-69,-200,-200,-200,-200,-80,-200,-200,-90,-200,-200,-86,-78,-88,-200,-200,-89,-200,-200,-80,-86,-87,-92,-86,-87,-91,-200
1526463774269,-63,-58,-50,-78,-60,-61,-70,-68,-58,-70,-93,-58,-73,-70,-87,-71,-87,-56,-70,-69,-200,-200,-200,-69,-200,-86,-67,-200,-200,-68,-84,-81,-200,-83,-80,-200,-200,-200,-200,-200,-85,-78,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-85,-200,-90,-200
1526463777314,-63,-58,-50,-78,-60,-61,-70,-68,-58,-70,-93,-58,-73,-70,-87,-71,-87,-56,-70,-69,-200,-200,-200,-69,-200,-86,-67,-200,-200,-68,-84,-81,-200,-83,-80,-200,-200,-200,-200,-200,-85,-78,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-85,-200,-90,-200
1526463780355,-63,-58,-50,-78,-60,-61,-70,-68,-58,-70,-93,-58,-73,-70,-87,-71,-87,-56,-70,-69,-200,-200,-200,-69,-200,-86,-67,-200,-200,-68,-84,-81,-200,-83,-80,-200,-200,-200,-200,-200,-85,-78,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-85,-200,-90,-200
1526463783385,-63,-58,-50,-78,-60,-61,-70,-68,-58,-70,-93,-58,-73,-70,-87,-71,-87,-56,-70,-69,-200,-200,-200,-69,-200,-86,-67,-200,-200,-68,-84,-81,-200,-83,-80,-200,-200,-200,-200,-200,-85,-78,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-85,-200,-90,-200
1526463786423,-62,-59,-48,-81,-65,-61,-72,-68,-61,-72,-91,-56,-76,-69,-200,-70,-200,-55,-200,-65,-200,-86,-200,-69,-90,-83,-66,-200,-200,-73,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-90,-200
1526463789465,-61,-59,-48,-74,-65,-60,-70,-67,-61,-71,-91,-58,-69,-65,-200,-70,-89,-55,-200,-66,-200,-86,-200,-69,-90,-83,-66,-200,-200,-73,-200,-83,-200,-200,-79,-200,-200,-85,-200,-200,-200,-85,-200,-200,-200,-91,-200,-200,-81,-89,-200,-200,-82,-200,-90,-200
1526463792504,-61,-59,-48,-74,-65,-60,-70,-67,-61,-71,-91,-58,-69,-65,-200,-70,-89,-55,-200,-66,-200,-86,-200,-69,-90,-83,-66,-200,-200,-73,-200,-83,-200,-200,-79,-200,-200,-85,-200,-200,-200,-85,-200,-200,-200,-91,-200,-200,-81,-89,-200,-200,-82,-200,-90,-200
1526463795544,-61,-59,-48,-74,-65,-60,-70,-67,-61,-71,-91,-58,-69,-65,-200,-70,-89,-55,-200,-66,-200,-86,-200,-69,-90,-83,-66,-200,-200,-73,-200,-83,-200,-200,-79,-200,-200,-85,-200,-200,-200,-85,-200,-200,-200,-91,-200,-200,-81,-89,-200,-200,-82,-200,-90,-200
1526463798588,-62,-58,-50,-77,-62,-61,-70,-67,-55,-71,-200,-61,-79,-65,-88,-70,-88,-55,-200,-65,-73,-84,-200,-69,-200,-200,-68,-79,-200,-68,-200,-82,-91,-200,-79,-200,-200,-85,-200,-200,-200,-80,-200,-200,-200,-91,-200,-200,-83,-89,-90,-200,-200,-200,-200,-92
