,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526463839350,-47,-46,-75,-57,-62,-61,-83,-58,-65,-73,-60,-59,-80,-57,-70,-61,-71,-200,-75,-76,-74,-74,-74,-67,-200,-73,-88,-81,-200,-200,-79,-85,-200,-200,-200,-200,-200,-90,-87,-77,-87,-200,-200,-90,-82,-69,-92,-71,-200,-200,-200,-200,-200,-200
1526463842386,-47,-46,-75,-57,-62,-61,-83,-58,-65,-73,-60,-59,-80,-57,-70,-61,-71,-200,-75,-76,-74,-74,-74,-67,-200,-73,-88,-81,-200,-200,-79,-85,-200,-200,-200,-200,-200,-90,-87,-77,-87,-200,-200,-90,-82,-69,-92,-71,-200,-200,-200,-200,-200,-200
1526463845431,-47,-46,-75,-57,-62,-61,-83,-58,-65,-73,-60,-59,-80,-57,-70,-61,-71,-200,-75,-76,-74,-74,-74,-67,-200,-73,-88,-81,-200,-200,-79,-85,-200,-200,-200,-200,-200,-90,-87,-77,-87,-200,-200,-90,-82,-69,-92,-71,-200,-200,-200,-200,-200,-200
1526463848469,-45,-50,-74,-53,-58,-59,-85,-58,-64,-72,-59,-61,-79,-58,-72,-62,-71,-67,-75,-76,-74,-78,-78,-69,-78,-200,-88,-82,-85,-200,-79,-200,-200,-200,-200,-87,-200,-90,-85,-200,-87,-200,-200,-89,-82,-200,-200,-72,-81,-87,-200,-200,-200,-200
1526463851510,-45,-50,-74,-53,-58,-59,-85,-58,-64,-72,-59,-61,-79,-58,-72,-62,-71,-67,-75,-76,-74,-78,-78,-69,-78,-200,-88,-82,-85,-200,-79,-200,-200,-200,-200,-87,-200,-90,-85,-200,-87,-200,-200,-89,-82,-200,-200,-72,-81,-87,-200,-200,-200,-200
1526463854554,-45,-50,-74,-53,-58,-59,-85,-58,-64,-72,-59,-61,-79,-58,-72,-62,-71,-67,-75,-76,-74,-78,-78,-69,-78,-200,-88,-82,-85,-200,-79,-200,-200,-200,-200,-87,-200,-90,-85,-200,-87,-200,-200,-89,-82,-200,-200,-72,-81,-87,-200,-200,-200,-200
1526463857594,-45,-50,-74,-53,-58,-59,-85,-58,-64,-72,-59,-61,-79,-58,-72,-62,-71,-67,-75,-76,-74,-78,-78,-69,-78,-200,-88,-82,-85,-200,-79,-200,-200,-200,-200,-87,-200,-90,-85,-200,-87,-200,-200,-89,-82,-200,-200,-72,-81,-87,-200,-200,-200,-200
1526463860638,-45,-49,-75,-52,-67,-57,-80,-59,-64,-66,-62,-60,-75,-59,-75,-61,-75,-200,-79,-77,-73,-80,-72,-67,-78,-77,-86,-80,-84,-87,-200,-200,-200,-200,-200,-89,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-84,-200,-89,-89,-94,-200
1526463863672,-48,-50,-75,-52,-60,-60,-80,-53,-64,-62,-56,-60,-71,-56,-71,-63,-75,-70,-78,-73,-72,-74,-72,-70,-80,-75,-86,-79,-84,-87,-80,-200,-200,-200,-200,-89,-87,-86,-200,-200,-200,-200,-200,-200,-73,-72,-200,-70,-83,-200,-89,-89,-94,-89
1526463866709,-48,-50,-75,-52,-60,-60,-80,-53,-64,-62,-56,-60,-71,-56,-71,-63,-75,-70,-78,-73,-72,-74,-72,-70,-80,-75,-86,-79,-84,-87,-80,-200,-200,-200,-200,-89,-87,-86,-200,-200,-200,-200,-200,-200,-73,-72,-200,-70,-83,-200,-89,-89,-94,-89
1526463869755,-48,-50,-75,-52,-60,-60,-80,-53,-64,-62,-56,-60,-71,-56,-71,-63,-75,-70,-78,-73,-72,-74,-72,-70,-80,-75,-86,-79,-84,-87,-80,-200,-200,-200,-200,-89,-87,-86,-200,-200,-200,-200,-200,-200,-73,-72,-200,-70,-83,-200,-89,-89,-94,-89
1526463872792,-48,-49,-74,-56,-62,-60,-73,-62,-68,-69,-60,-63,-77,-59,-77,-60,-71,-70,-74,-76,-77,-75,-76,-69,-80,-78,-200,-79,-200,-200,-80,-88,-200,-90,-92,-200,-87,-200,-200,-82,-200,-200,-200,-86,-84,-72,-200,-70,-83,-89,-200,-91,-200,-89
