,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DQKJ,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526448236481,-43,-26,-49,-40,-46,-41,-40,-51,-54,-55,-39,-52,-48,-37,-43,-48,-35,-60,-54,-38,-45,-56,-56,-48,-48,-47,-60,-65,-200,-62,-200,-58,-200,-68,-200,-62,-200,-48,-200,-56,-67,-200,-69,-72,-73,-71,-75,-62,-66,-200,-200,-77,-72,-81,-87,-89,-85,-78,-86,-86,-200,-56,-65,-66,-64,-87,-200,-200,-200,-200,-200,-200,-200
1526448239512,-46,-24,-49,-40,-46,-41,-37,-51,-54,-55,-40,-52,-49,-38,-43,-48,-35,-60,-54,-42,-45,-56,-56,-48,-44,-50,-63,-67,-200,-62,-200,-58,-200,-65,-200,-62,-62,-48,-200,-61,-67,-200,-65,-72,-73,-68,-75,-62,-62,-200,-200,-77,-67,-84,-87,-89,-85,-82,-89,-86,-59,-56,-65,-67,-64,-87,-64,-70,-200,-200,-200,-200,-200
1526448242547,-42,-26,-50,-41,-46,-41,-39,-51,-50,-47,-40,-52,-49,-37,-43,-48,-35,-60,-54,-39,-45,-55,-57,-44,-44,-47,-61,-67,-200,-62,-200,-200,-200,-67,-200,-61,-63,-52,-200,-58,-67,-200,-65,-72,-77,-71,-74,-62,-66,-200,-200,-76,-71,-80,-86,-89,-83,-80,-87,-88,-59,-61,-65,-67,-61,-88,-64,-70,-90,-200,-200,-200,-200
1526448245581,-41,-23,-50,-42,-46,-40,-39,-51,-55,-47,-40,-52,-49,-38,-43,-49,-36,-60,-51,-40,-45,-55,-57,-44,-44,-48,-61,-67,-200,-62,-200,-200,-200,-67,-200,-63,-64,-52,-200,-57,-67,-200,-65,-72,-77,-69,-74,-62,-66,-200,-200,-75,-78,-79,-85,-200,-84,-82,-87,-88,-59,-61,-65,-67,-61,-88,-65,-70,-90,-68,-200,-200,-200
1526448248600,-41,-26,-53,-41,-55,-40,-39,-51,-48,-48,-38,-53,-49,-38,-43,-49,-35,-61,-51,-54,-45,-55,-54,-44,-44,-46,-63,-67,-200,-62,-200,-56,-200,-67,-200,-61,-63,-51,-76,-57,-67,-200,-65,-72,-77,-71,-74,-62,-65,-200,-200,-78,-71,-80,-87,-200,-83,-83,-87,-86,-59,-61,-65,-66,-61,-88,-65,-72,-90,-68,-200,-200,-200
1526448251631,-41,-27,-60,-41,-49,-40,-39,-50,-53,-48,-39,-53,-49,-38,-37,-47,-35,-61,-51,-41,-42,-55,-54,-44,-44,-46,-59,-65,-200,-59,-200,-56,-200,-69,-200,-65,-64,-47,-76,-59,-67,-200,-65,-72,-77,-69,-75,-62,-63,-200,-200,-79,-71,-81,-83,-200,-83,-84,-88,-85,-59,-61,-200,-66,-61,-88,-65,-72,-90,-68,-200,-200,-200
1526448254644,-37,-31,-60,-41,-56,-40,-46,-51,-49,-41,-47,-55,-47,-43,-34,-47,-39,-61,-52,-39,-38,-55,-52,-44,-41,-46,-54,-64,-200,-60,-200,-54,-68,-72,-200,-66,-64,-47,-76,-59,-200,-200,-66,-72,-77,-67,-74,-200,-59,-200,-200,-76,-69,-86,-87,-88,-83,-84,-87,-85,-54,-61,-200,-66,-61,-88,-65,-72,-90,-68,-68,-200,-200
1526448257679,-41,-31,-52,-41,-57,-40,-45,-55,-51,-43,-52,-55,-47,-44,-33,-46,-39,-65,-52,-39,-41,-55,-54,-43,-45,-46,-56,-64,-200,-59,-200,-54,-68,-67,-200,-66,-64,-47,-76,-59,-200,-200,-66,-200,-77,-68,-71,-200,-59,-200,-200,-75,-73,-86,-86,-88,-83,-82,-87,-85,-54,-61,-200,-66,-61,-88,-65,-72,-90,-68,-68,-200,-200
1526448260711,-41,-31,-52,-41,-53,-45,-51,-55,-51,-43,-44,-51,-49,-41,-36,-46,-39,-65,-54,-46,-41,-51,-54,-47,-41,-46,-58,-64,-200,-58,-200,-55,-68,-70,-200,-65,-62,-47,-76,-60,-200,-200,-62,-200,-77,-67,-76,-200,-59,-200,-200,-73,-71,-86,-83,-91,-86,-80,-86,-86,-54,-61,-200,-66,-61,-88,-65,-72,-90,-68,-68,-65,-200
1526448263745,-41,-34,-48,-39,-53,-45,-49,-55,-54,-45,-44,-51,-53,-37,-32,-46,-43,-65,-58,-47,-40,-51,-54,-47,-40,-49,-58,-64,-200,-59,-200,-55,-68,-68,-200,-69,-62,-53,-76,-56,-200,-200,-65,-200,-68,-67,-75,-200,-59,-73,-200,-71,-69,-86,-86,-91,-88,-82,-89,-86,-54,-200,-200,-66,-200,-88,-65,-72,-200,-68,-68,-65,-200
1526448266781,-37,-34,-48,-39,-47,-40,-45,-47,-54,-43,-47,-51,-47,-39,-33,-48,-45,-65,-58,-43,-40,-51,-54,-45,-39,-49,-58,-64,-200,-58,-200,-55,-68,-76,-200,-63,-62,-58,-76,-60,-200,-200,-65,-200,-68,-67,-71,-57,-59,-73,-200,-73,-70,-86,-85,-91,-89,-82,-85,-86,-54,-200,-200,-66,-200,-200,-200,-72,-200,-200,-68,-65,-200
1526448269811,-37,-14,-50,-39,-43,-39,-49,-49,-53,-48,-43,-51,-62,-44,-43,-49,-45,-65,-58,-51,-40,-49,-54,-48,-39,-45,-62,-64,-200,-62,-200,-55,-62,-69,-200,-63,-62,-58,-200,-61,-200,-200,-65,-200,-68,-66,-73,-56,-72,-73,-200,-78,-71,-86,-85,-90,-85,-85,-85,-85,-55,-200,-200,-200,-200,-87,-200,-200,-200,-200,-68,-65,-67
