,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018
1526447798725,-31,-42,-44,-39,-49,-48,-40,-50,-45,-45,-44,-49,-43,-46,-45,-51,-49,-61,-55,-53,-57,-52,-64,-62,-65,-61,-55,-58,-64,-200,-63,-61,-75,-200,-60,-66,-50,-200,-55,-70,-200,-64,-75,-76,-200,-73,-71,-82,-200,-200,-80,-83,-86,-77,-76,-83,-200,-86,-88,-58,-82,-85,-88,-200,-200
1526447801755,-31,-45,-43,-37,-52,-44,-48,-49,-47,-48,-44,-45,-39,-42,-40,-51,-53,-59,-59,-50,-57,-48,-64,-62,-59,-64,-53,-61,-64,-200,-63,-62,-75,-200,-59,-65,-52,-200,-55,-200,-200,-64,-72,-71,-200,-74,-69,-82,-200,-200,-78,-84,-86,-73,-76,-85,-200,-86,-87,-58,-82,-85,-88,-66,-200
1526447804782,-31,-45,-53,-37,-52,-40,-48,-49,-47,-46,-40,-45,-43,-45,-40,-51,-63,-58,-59,-50,-57,-48,-64,-61,-59,-63,-52,-63,-64,-200,-63,-62,-75,-200,-59,-65,-52,-200,-200,-200,-200,-64,-74,-68,-79,-74,-70,-86,-200,-200,-77,-84,-88,-75,-73,-85,-200,-86,-87,-58,-200,-85,-88,-66,-200
1526447807812,-34,-45,-42,-41,-52,-48,-42,-46,-47,-46,-43,-45,-43,-45,-40,-51,-53,-56,-59,-50,-60,-48,-64,-68,-57,-62,-51,-69,-64,-200,-60,-61,-75,-200,-59,-67,-50,-200,-200,-200,-200,-64,-74,-72,-79,-74,-71,-82,-200,-200,-77,-85,-86,-75,-73,-85,-200,-86,-85,-58,-200,-200,-91,-66,-200
1526447810835,-37,-45,-43,-40,-52,-49,-46,-54,-44,-49,-43,-50,-45,-45,-43,-45,-51,-59,-59,-50,-62,-48,-64,-60,-61,-62,-51,-58,-68,-200,-58,-59,-75,-200,-59,-62,-60,-200,-200,-73,-200,-59,-74,-70,-79,-74,-72,-82,-200,-200,-77,-84,-89,-78,-78,-85,-200,-88,-89,-58,-200,-200,-91,-65,-200
1526447813869,-44,-45,-43,-40,-56,-51,-43,-58,-44,-49,-42,-49,-45,-49,-45,-45,-49,-59,-59,-56,-62,-48,-64,-60,-63,-62,-51,-51,-68,-200,-57,-59,-75,-65,-59,-63,-52,-200,-200,-73,-200,-59,-71,-74,-75,-78,-71,-82,-200,-200,-81,-83,-87,-78,-73,-85,-200,-87,-89,-200,-200,-200,-91,-65,-80
1526447816900,-44,-47,-39,-42,-56,-47,-43,-58,-44,-49,-42,-49,-46,-50,-44,-45,-52,-57,-59,-56,-62,-60,-64,-54,-63,-62,-51,-55,-68,-200,-61,-62,-200,-65,-59,-61,-54,-200,-200,-73,-200,-59,-70,-70,-75,-78,-71,-86,-200,-200,-80,-83,-87,-79,-74,-85,-200,-87,-88,-200,-200,-200,-91,-65,-80
1526447819933,-45,-43,-42,-44,-54,-44,-40,-50,-44,-49,-42,-49,-45,-47,-39,-46,-52,-57,-59,-56,-64,-56,-64,-54,-59,-62,-51,-55,-68,-200,-63,-62,-80,-65,-59,-62,-54,-200,-200,-73,-200,-57,-73,-70,-75,-78,-71,-81,-200,-200,-79,-84,-87,-79,-70,-88,-87,-87,-89,-200,-200,-200,-91,-65,-80
1526447822959,-47,-50,-38,-42,-58,-49,-44,-50,-47,-45,-41,-49,-47,-50,-42,-44,-61,-59,-200,-52,-64,-60,-64,-52,-51,-60,-51,-58,-68,-200,-63,-58,-80,-61,-60,-65,-51,-200,-200,-73,-72,-59,-74,-68,-75,-78,-73,-84,-200,-200,-78,-85,-87,-74,-73,-88,-87,-87,-89,-200,-200,-200,-91,-65,-80
1526447825989,-47,-50,-43,-43,-58,-49,-42,-50,-46,-45,-43,-49,-45,-46,-45,-44,-53,-59,-200,-52,-64,-60,-64,-55,-53,-54,-55,-55,-68,-200,-59,-58,-73,-61,-64,-61,-52,-200,-200,-73,-72,-59,-70,-70,-75,-78,-73,-83,-200,-200,-80,-83,-87,-77,-69,-88,-87,-87,-86,-200,-200,-200,-91,-65,-80
1526447829013,-41,-49,-47,-40,-58,-46,-42,-50,-47,-48,-43,-46,-45,-47,-46,-43,-53,-55,-200,-51,-64,-58,-200,-55,-55,-55,-55,-55,-68,-200,-66,-58,-73,-61,-64,-61,-53,-200,-200,-73,-72,-59,-70,-67,-75,-78,-74,-85,-200,-200,-80,-83,-86,-77,-69,-88,-87,-87,-86,-200,-200,-200,-200,-65,-80
1526447832029,-40,-49,-46,-39,-58,-47,-39,-53,-47,-49,-43,-45,-45,-47,-49,-44,-50,-55,-200,-51,-64,-56,-63,-57,-57,-56,-61,-54,-200,-200,-61,-55,-73,-61,-64,-61,-53,-200,-200,-200,-72,-63,-71,-73,-75,-78,-70,-81,-200,-200,-80,-83,-89,-78,-70,-88,-87,-87,-86,-200,-200,-200,-200,-200,-80
