,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526448672728,-37,-40,-29,-41,-48,-52,-50,-40,-44,-37,-38,-56,-200,-40,-45,-46,-60,-49,-52,-53,-47,-53,-57,-52,-58,-60,-56,-63,-54,-58,-66,-63,-200,-70,-200,-57,-63,-200,-200,-66,-73,-200,-69,-75,-72,-81,-200,-81,-79,-87,-83,-81,-79,-89,-200,-90,-63,-57,-78,-76,-200,-200,-200,-200,-200,-200
1526448675757,-40,-36,-29,-41,-48,-51,-49,-41,-42,-38,-39,-56,-200,-44,-50,-48,-57,-47,-52,-53,-48,-53,-56,-52,-58,-60,-58,-65,-54,-62,-200,-64,-200,-200,-200,-57,-63,-200,-200,-65,-73,-200,-70,-70,-74,-81,-200,-85,-82,-85,-81,-85,-78,-89,-200,-90,-200,-57,-78,-76,-86,-200,-200,-200,-200,-200
1526448678780,-36,-36,-30,-41,-44,-47,-52,-44,-40,-39,-42,-56,-200,-39,-47,-48,-57,-47,-45,-56,-48,-53,-57,-56,-58,-55,-58,-64,-54,-57,-200,-65,-200,-200,-200,-57,-63,-200,-200,-63,-66,-200,-72,-70,-74,-81,-200,-85,-84,-86,-85,-83,-81,-90,-200,-90,-200,-57,-78,-76,-86,-200,-200,-200,-200,-200
1526448681812,-37,-36,-30,-39,-42,-46,-52,-40,-40,-42,-47,-52,-200,-39,-49,-48,-53,-47,-53,-52,-48,-49,-55,-51,-58,-56,-58,-68,-54,-62,-200,-66,-200,-200,-69,-57,-63,-200,-200,-60,-66,-200,-73,-73,-72,-200,-200,-82,-84,-86,-89,-84,-79,-90,-200,-90,-200,-57,-78,-76,-86,-200,-200,-200,-200,-200
1526448684839,-49,-36,-28,-43,-42,-43,-54,-39,-36,-39,-39,-52,-200,-42,-48,-50,-56,-47,-49,-52,-46,-49,-55,-54,-58,-56,-60,-68,-53,-63,-67,-66,-200,-200,-69,-57,-66,-200,-200,-64,-66,-200,-72,-70,-74,-200,-200,-80,-82,-88,-85,-84,-77,-90,-200,-90,-200,-57,-200,-76,-86,-200,-200,-200,-200,-200
1526448687868,-39,-36,-28,-40,-41,-49,-48,-44,-39,-38,-39,-52,-55,-45,-44,-50,-56,-47,-49,-56,-46,-49,-52,-54,-58,-56,-60,-69,-54,-59,-67,-65,-65,-200,-69,-57,-66,-200,-200,-65,-66,-200,-76,-72,-75,-200,-200,-83,-83,-88,-84,-82,-77,-90,-200,-200,-200,-57,-200,-76,-86,-200,-200,-200,-200,-200
1526448690886,-33,-40,-28,-44,-45,-46,-52,-43,-39,-42,-40,-49,-48,-47,-44,-53,-57,-55,-49,-56,-46,-49,-55,-50,-58,-57,-60,-70,-54,-62,-67,-63,-65,-200,-69,-63,-66,-200,-200,-70,-72,-72,-70,-69,-75,-200,-200,-83,-83,-87,-84,-84,-79,-89,-200,-200,-58,-57,-200,-76,-86,-77,-200,-200,-200,-200
1526448693925,-37,-36,-28,-42,-43,-43,-49,-43,-40,-38,-41,-49,-48,-42,-47,-49,-54,-55,-51,-53,-46,-49,-55,-53,-200,-59,-61,-67,-54,-58,-67,-63,-65,-77,-69,-63,-66,-200,-69,-66,-72,-74,-69,-69,-74,-200,-200,-84,-83,-87,-86,-82,-79,-90,-200,-200,-58,-200,-200,-200,-86,-77,-81,-200,-200,-200
1526448696953,-37,-36,-28,-43,-47,-43,-47,-41,-40,-38,-41,-50,-48,-42,-46,-49,-54,-52,-51,-52,-47,-49,-55,-53,-200,-55,-61,-67,-56,-57,-67,-64,-65,-69,-69,-63,-66,-200,-69,-64,-72,-74,-75,-72,-78,-200,-200,-87,-81,-87,-88,-82,-77,-90,-200,-200,-58,-200,-200,-200,-200,-77,-81,-200,-200,-200
1526448699982,-32,-36,-28,-43,-47,-47,-50,-41,-40,-37,-49,-50,-50,-42,-46,-53,-53,-52,-50,-52,-49,-49,-52,-53,-200,-55,-61,-61,-56,-58,-67,-60,-65,-69,-72,-63,-66,-200,-69,-64,-72,-74,-71,-68,-79,-200,-200,-87,-84,-86,-84,-82,-81,-90,-200,-92,-58,-200,-200,-200,-200,-77,-81,-79,-90,-200
1526448703014,-35,-36,-31,-44,-47,-47,-48,-42,-40,-38,-43,-50,-50,-42,-47,-51,-55,-56,-50,-52,-48,-56,-55,-52,-200,-55,-61,-61,-56,-61,-67,-63,-65,-69,-72,-63,-66,-200,-69,-64,-72,-74,-68,-73,-75,-200,-200,-85,-82,-86,-87,-87,-77,-88,-200,-92,-58,-58,-200,-200,-200,-77,-81,-79,-90,-77
1526448706049,-39,-36,-31,-45,-47,-44,-48,-42,-38,-38,-42,-54,-50,-39,-47,-51,-53,-56,-53,-52,-46,-55,-55,-52,-200,-55,-61,-61,-56,-67,-200,-67,-65,-69,-72,-63,-66,-200,-69,-65,-72,-74,-69,-69,-74,-200,-200,-86,-83,-86,-87,-85,-76,-88,-200,-92,-58,-62,-200,-200,-200,-77,-81,-79,-89,-77
