,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,whu2011309,DQKJ,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526448163790,-38,-36,-47,-36,-43,-38,-44,-45,-47,-41,-54,-44,-43,-44,-52,-55,-60,-50,-48,-53,-57,-54,-57,-55,-45,-61,-61,-53,-63,-51,-62,-62,-61,-200,-66,-63,-65,-70,-70,-66,-69,-200,-64,-200,-62,-65,-70,-78,-72,-85,-82,-80,-200,-84,-88,-88,-88,-89,-48,-56,-71,-68,-78,-61,-66,-75,-79,-200,-200,-200,-200
1526448166817,-38,-36,-47,-36,-47,-38,-34,-41,-46,-41,-54,-44,-43,-44,-52,-49,-64,-49,-52,-54,-57,-54,-57,-55,-47,-62,-61,-53,-59,-51,-62,-62,-58,-200,-66,-63,-69,-70,-70,-64,-67,-200,-64,-200,-62,-65,-66,-76,-74,-85,-81,-79,-200,-86,-86,-88,-88,-200,-47,-56,-71,-65,-78,-61,-66,-75,-79,-200,-200,-200,-200
1526448169869,-38,-37,-44,-36,-47,-38,-42,-41,-45,-42,-54,-44,-43,-40,-52,-45,-64,-49,-52,-55,-56,-54,-54,-55,-50,-68,-61,-53,-59,-55,-62,-62,-59,-200,-66,-63,-66,-70,-70,-65,-71,-66,-64,-200,-62,-65,-64,-75,-73,-83,-81,-82,-200,-86,-87,-88,-88,-200,-47,-56,-71,-64,-78,-61,-66,-75,-79,-200,-200,-200,-200
1526448172900,-41,-37,-44,-36,-41,-38,-47,-41,-45,-42,-47,-44,-40,-48,-52,-43,-60,-50,-52,-54,-56,-52,-54,-52,-50,-68,-65,-48,-59,-55,-62,-61,-59,-200,-66,-61,-66,-70,-70,-65,-71,-69,-64,-200,-62,-68,-65,-74,-73,-84,-79,-84,-200,-85,-84,-89,-88,-88,-45,-56,-71,-64,-200,-61,-66,-75,-79,-200,-200,-200,-200
1526448175930,-38,-47,-44,-37,-41,-38,-47,-44,-45,-54,-46,-43,-36,-48,-52,-43,-58,-50,-52,-53,-56,-52,-54,-52,-46,-65,-65,-48,-60,-55,-61,-61,-59,-200,-200,-62,-66,-70,-71,-70,-68,-69,-200,-76,-69,-68,-66,-77,-75,-85,-82,-82,-200,-83,-86,-89,-88,-88,-45,-56,-71,-64,-200,-61,-200,-75,-79,-72,-200,-200,-200
1526448178966,-36,-37,-41,-37,-54,-38,-38,-44,-42,-43,-46,-43,-38,-49,-52,-45,-55,-52,-51,-56,-58,-52,-55,-51,-46,-68,-58,-48,-59,-55,-61,-63,-59,-64,-67,-63,-66,-70,-71,-64,-72,-69,-200,-76,-69,-68,-67,-75,-73,-85,-82,-85,-200,-82,-86,-89,-87,-90,-45,-56,-71,-64,-200,-200,-200,-75,-79,-71,-63,-200,-200
1526448181997,-36,-34,-38,-35,-43,-38,-37,-44,-42,-40,-42,-46,-37,-50,-52,-45,-55,-52,-50,-56,-58,-54,-52,-43,-46,-65,-58,-48,-59,-55,-62,-63,-58,-63,-66,-63,-66,-70,-71,-64,-72,-67,-200,-76,-69,-64,-67,-75,-74,-85,-81,-84,-200,-86,-86,-89,-87,-89,-45,-64,-71,-65,-200,-200,-200,-200,-200,-71,-63,-200,-200
1526448185031,-38,-34,-38,-38,-45,-36,-38,-44,-46,-40,-42,-52,-43,-46,-200,-49,-55,-50,-55,-58,-58,-54,-54,-47,-46,-66,-61,-48,-67,-55,-63,-63,-58,-63,-65,-65,-66,-200,-71,-65,-71,-67,-200,-76,-67,-68,-66,-77,-77,-84,-84,-80,-200,-86,-86,-89,-86,-89,-44,-64,-200,-65,-200,-200,-200,-200,-200,-71,-63,-61,-200
1526448188059,-41,-32,-42,-34,-45,-36,-38,-44,-46,-40,-45,-44,-42,-46,-200,-49,-55,-50,-55,-54,-58,-54,-54,-48,-48,-68,-58,-48,-64,-55,-60,-63,-55,-63,-65,-65,-66,-200,-71,-65,-67,-66,-200,-76,-67,-68,-66,-74,-72,-84,-83,-79,-200,-85,-86,-89,-87,-90,-51,-64,-200,-65,-200,-200,-200,-200,-200,-71,-63,-61,-200
1526448191092,-41,-32,-42,-33,-46,-39,-46,-41,-47,-45,-44,-47,-42,-49,-52,-47,-55,-50,-51,-54,-58,-57,-54,-48,-48,-64,-58,-48,-62,-200,-60,-63,-61,-63,-65,-62,-67,-200,-67,-63,-66,-66,-200,-76,-67,-68,-66,-77,-72,-84,-80,-79,-200,-84,-84,-89,-88,-90,-49,-64,-200,-65,-200,-200,-200,-200,-200,-71,-63,-61,-200
1526448194118,-46,-35,-40,-36,-44,-42,-41,-44,-46,-52,-40,-47,-50,-56,-53,-42,-69,-53,-51,-54,-58,-51,-50,-48,-48,-68,-58,-51,-58,-200,-60,-63,-61,-63,-72,-63,-67,-200,-67,-63,-67,-66,-200,-76,-67,-68,-68,-77,-76,-84,-80,-78,-200,-84,-88,-200,-84,-87,-49,-64,-200,-65,-200,-200,-200,-200,-200,-71,-63,-61,-200
1526448197150,-41,-35,-40,-36,-43,-43,-43,-44,-45,-52,-40,-45,-49,-49,-53,-42,-69,-55,-55,-54,-58,-51,-50,-48,-48,-67,-58,-51,-58,-200,-60,-63,-61,-63,-72,-64,-67,-200,-67,-64,-67,-66,-200,-200,-67,-68,-68,-81,-79,-84,-82,-84,-200,-84,-88,-200,-84,-87,-51,-51,-200,-65,-200,-200,-200,-200,-200,-71,-63,-61,-73
