,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011314,WHU-2018
1526447871373,-36,-38,-44,-46,-37,-47,-52,-42,-35,-48,-43,-44,-48,-48,-39,-57,-56,-47,-49,-55,-58,-59,-50,-61,-63,-56,-42,-60,-59,-63,-53,-60,-200,-65,-52,-64,-75,-72,-200,-200,-69,-73,-79,-200,-81,-87,-86,-80,-89,-89,-84,-78,-67,-50,-72,-55,-73,-200,-200,-200,-200,-200,-200,-200
1526447874388,-36,-34,-40,-45,-41,-54,-54,-42,-36,-47,-43,-44,-48,-49,-39,-55,-56,-47,-49,-53,-58,-59,-52,-55,-63,-56,-39,-60,-59,-63,-53,-60,-200,-65,-54,-61,-74,-69,-200,-200,-66,-73,-78,-200,-81,-87,-84,-80,-89,-89,-82,-78,-67,-50,-72,-55,-67,-69,-90,-200,-200,-200,-200,-200
1526447877416,-33,-37,-40,-45,-42,-50,-54,-44,-40,-50,-43,-44,-45,-45,-40,-55,-51,-47,-46,-54,-58,-61,-52,-55,-59,-56,-43,-54,-59,-63,-53,-60,-200,-66,-53,-62,-73,-73,-200,-200,-66,-73,-85,-200,-81,-88,-84,-81,-89,-86,-81,-78,-67,-53,-72,-55,-67,-69,-90,-77,-200,-200,-200,-200
1526447880449,-33,-40,-38,-45,-40,-52,-50,-42,-39,-50,-43,-44,-46,-46,-54,-62,-51,-51,-50,-55,-60,-62,-54,-55,-61,-52,-43,-54,-59,-63,-53,-60,-200,-74,-53,-62,-77,-72,-200,-71,-65,-71,-79,-200,-86,-88,-84,-82,-89,-86,-81,-200,-67,-53,-72,-59,-67,-69,-89,-77,-200,-200,-200,-200
1526447883464,-31,-40,-42,-48,-39,-52,-52,-41,-37,-47,-43,-48,-47,-47,-46,-62,-51,-51,-50,-55,-60,-63,-54,-59,-61,-52,-47,-56,-59,-63,-53,-60,-67,-74,-51,-66,-77,-73,-200,-71,-69,-81,-79,-200,-81,-86,-88,-84,-89,-86,-81,-200,-67,-53,-66,-59,-65,-73,-89,-77,-200,-200,-200,-200
1526447886477,-33,-38,-44,-48,-38,-52,-52,-41,-35,-45,-43,-46,-47,-47,-44,-62,-55,-51,-51,-55,-60,-63,-50,-63,-61,-56,-46,-59,-59,-63,-53,-60,-67,-74,-51,-66,-74,-72,-200,-71,-68,-80,-81,-200,-81,-88,-89,-84,-89,-90,-85,-200,-71,-53,-66,-59,-65,-73,-89,-77,-200,-200,-200,-200
1526447889510,-34,-33,-46,-48,-38,-52,-50,-41,-36,-49,-43,-46,-47,-47,-44,-58,-55,-51,-51,-55,-60,-61,-50,-70,-57,-56,-46,-60,-59,-68,-53,-60,-67,-74,-51,-64,-75,-72,-200,-71,-69,-77,-85,-200,-83,-88,-89,-86,-92,-90,-85,-200,-61,-53,-66,-55,-65,-73,-89,-77,-200,-200,-200,-200
1526447892542,-32,-36,-45,-48,-38,-52,-50,-44,-37,-47,-44,-46,-51,-49,-40,-54,-55,-51,-48,-55,-60,-60,-50,-65,-58,-53,-46,-56,-200,-68,-200,-59,-67,-74,-51,-68,-75,-74,-200,-71,-68,-74,-81,-78,-82,-88,-89,-80,-92,-90,-82,-200,-61,-55,-66,-55,-65,-73,-89,-77,-200,-200,-200,-200
1526447895579,-32,-40,-40,-48,-40,-55,-50,-42,-39,-48,-44,-53,-51,-49,-43,-54,-55,-51,-45,-55,-56,-62,-50,-59,-58,-53,-46,-58,-200,-68,-50,-59,-67,-63,-51,-64,-76,-70,-200,-71,-72,-75,-81,-78,-82,-87,-88,-83,-92,-90,-82,-200,-61,-55,-66,-55,-65,-73,-89,-77,-75,-200,-200,-200
1526447898609,-35,-40,-42,-48,-40,-55,-50,-41,-43,-48,-43,-53,-51,-49,-43,-54,-55,-50,-45,-54,-60,-56,-50,-63,-55,-55,-46,-62,-200,-68,-50,-62,-67,-63,-50,-62,-72,-80,-200,-71,-67,-76,-81,-78,-77,-85,-86,-81,-92,-90,-82,-200,-63,-55,-66,-55,-65,-73,-89,-200,-75,-66,-75,-83
1526447901633,-33,-36,-41,-47,-39,-56,-53,-41,-36,-51,-43,-49,-52,-49,-43,-53,-55,-48,-47,-54,-60,-56,-50,-63,-54,-55,-46,-60,-200,-68,-50,-61,-67,-63,-50,-62,-73,-75,-200,-200,-68,-76,-79,-78,-78,-85,-84,-81,-92,-90,-82,-200,-63,-55,-66,-55,-65,-73,-200,-200,-75,-66,-75,-83
1526447904647,-53,-53,-38,-51,-39,-56,-52,-43,-41,-50,-41,-49,-49,-47,-45,-53,-53,-48,-48,-54,-53,-52,-50,-58,-54,-57,-42,-60,-63,-68,-60,-61,-67,-71,-52,-66,-75,-75,-200,-200,-70,-74,-79,-78,-77,-87,-81,-80,-92,-87,-83,-200,-63,-55,-67,-55,-200,-200,-200,-200,-75,-66,-75,-83
