,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DQKJ,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,TP-LINK_1398,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018
1526448962119,-57,-44,-42,-44,-53,-34,-50,-51,-60,-33,-49,-68,-51,-38,-54,-56,-45,-47,-45,-38,-43,-50,-53,-49,-64,-59,-59,-70,-62,-71,-58,-65,-61,-62,-73,-60,-64,-200,-66,-65,-62,-68,-70,-200,-85,-70,-72,-68,-200,-65,-81,-200,-73,-86,-69,-200,-88,-87,-86,-81,-55,-200,-88,-88,-67,-56,-68,-70,-200,-200,-200,-200,-200,-200
1526448965132,-41,-42,-50,-39,-57,-37,-46,-51,-60,-33,-48,-47,-51,-39,-59,-54,-45,-52,-46,-39,-45,-51,-45,-49,-54,-59,-59,-71,-62,-71,-58,-64,-61,-62,-73,-60,-60,-200,-66,-65,-66,-65,-68,-200,-81,-68,-72,-68,-200,-65,-81,-200,-75,-88,-68,-200,-88,-86,-86,-78,-200,-200,-88,-200,-67,-56,-68,-70,-200,-200,-200,-200,-200,-200
1526448968154,-37,-39,-50,-36,-57,-37,-46,-44,-55,-33,-48,-43,-51,-40,-59,-54,-41,-52,-42,-38,-44,-51,-45,-47,-53,-59,-59,-71,-62,-71,-60,-63,-61,-62,-73,-62,-57,-200,-66,-65,-63,-67,-67,-200,-82,-68,-200,-68,-200,-65,-81,-200,-75,-83,-69,-200,-86,-87,-84,-78,-200,-200,-88,-200,-200,-56,-68,-70,-74,-200,-200,-200,-200,-200
1526448971189,-36,-39,-50,-40,-53,-39,-43,-47,-55,-33,-51,-43,-200,-40,-59,-53,-42,-49,-42,-38,-48,-51,-45,-48,-53,-59,-59,-71,-62,-71,-56,-64,-59,-62,-200,-60,-57,-200,-66,-65,-67,-63,-64,-200,-78,-69,-200,-68,-200,-65,-81,-200,-73,-87,-72,-200,-86,-87,-87,-82,-58,-200,-88,-200,-200,-56,-68,-70,-74,-75,-79,-200,-200,-200
1526448974228,-36,-38,-49,-38,-53,-39,-39,-47,-55,-34,-51,-49,-200,-37,-59,-51,-39,-49,-46,-37,-44,-50,-45,-48,-53,-59,-59,-71,-62,-71,-56,-64,-67,-62,-200,-61,-60,-200,-66,-65,-66,-62,-64,-200,-84,-69,-72,-68,-200,-65,-85,-200,-73,-88,-71,-200,-86,-87,-87,-79,-58,-200,-88,-200,-200,-200,-68,-70,-74,-75,-79,-200,-200,-200
1526448977277,-36,-41,-49,-38,-51,-40,-46,-40,-55,-34,-51,-53,-200,-37,-59,-51,-43,-44,-46,-41,-42,-48,-49,-49,-53,-59,-64,-71,-62,-66,-56,-66,-59,-62,-74,-64,-60,-73,-66,-64,-66,-61,-66,-200,-80,-69,-64,-200,-200,-65,-78,-200,-77,-88,-70,-200,-86,-87,-88,-78,-58,-200,-88,-200,-69,-200,-68,-70,-74,-75,-79,-74,-200,-200
1526448980310,-35,-39,-49,-38,-51,-41,-49,-37,-51,-35,-51,-44,-200,-37,-51,-55,-43,-46,-46,-41,-42,-48,-46,-49,-53,-200,-66,-71,-62,-66,-56,-66,-59,-62,-74,-62,-60,-73,-66,-64,-66,-61,-65,-200,-76,-73,-64,-200,-200,-200,-76,-200,-74,-87,-69,-200,-86,-87,-87,-77,-58,-200,-200,-200,-69,-200,-200,-200,-74,-75,-79,-74,-200,-200
1526448983347,-36,-39,-49,-41,-55,-45,-49,-40,-50,-35,-47,-43,-200,-38,-51,-55,-39,-56,-46,-38,-44,-49,-48,-49,-53,-61,-66,-71,-71,-66,-56,-64,-55,-62,-74,-63,-60,-73,-200,-61,-64,-65,-65,-200,-80,-69,-64,-73,-200,-200,-76,-200,-75,-80,-71,-200,-88,-87,-84,-77,-66,-200,-200,-200,-69,-200,-200,-200,-74,-75,-79,-74,-200,-200
1526448986376,-53,-39,-49,-41,-58,-45,-49,-39,-59,-35,-52,-48,-200,-37,-51,-55,-52,-57,-48,-38,-39,-50,-48,-49,-53,-61,-66,-200,-71,-66,-56,-65,-61,-62,-74,-60,-57,-73,-200,-61,-66,-63,-64,-200,-82,-71,-64,-73,-200,-200,-76,-200,-75,-84,-72,-200,-88,-86,-85,-78,-66,-200,-200,-200,-69,-200,-200,-200,-74,-75,-79,-74,-200,-200
1526448989395,-38,-46,-46,-41,-54,-40,-44,-42,-52,-35,-47,-47,-200,-37,-52,-51,-50,-48,-48,-39,-43,-48,-47,-47,-200,-61,-64,-200,-71,-66,-56,-66,-65,-62,-74,-60,-58,-73,-60,-61,-66,-64,-64,-200,-81,-72,-64,-73,-200,-200,-76,-200,-75,-87,-70,-200,-84,-88,-85,-78,-66,-72,-200,-200,-69,-200,-200,-72,-200,-75,-79,-74,-91,-200
1526448992431,-37,-42,-46,-39,-54,-39,-43,-41,-51,-35,-48,-49,-200,-34,-52,-52,-43,-50,-46,-38,-43,-52,-46,-47,-59,-61,-65,-200,-67,-66,-200,-66,-65,-62,-74,-58,-62,-73,-62,-61,-62,-64,-64,-200,-77,-72,-64,-73,-200,-200,-76,-200,-75,-83,-70,-200,-84,-87,-86,-77,-63,-72,-200,-200,-69,-200,-200,-72,-75,-200,-200,-74,-91,-81
1526448995458,-36,-42,-47,-37,-54,-39,-44,-39,-51,-33,-57,-49,-200,-37,-52,-52,-43,-50,-46,-38,-43,-52,-46,-46,-59,-61,-63,-200,-67,-66,-200,-66,-65,-60,-74,-61,-58,-73,-56,-58,-67,-64,-65,-200,-78,-73,-66,-67,-200,-70,-82,-200,-76,-86,-70,-200,-86,-85,-86,-78,-63,-72,-200,-200,-69,-200,-200,-72,-75,-200,-200,-74,-91,-81
