,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DQKJ,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro
1526449404489,-38,-36,-40,-45,-48,-41,-48,-41,-34,-50,-51,-53,-52,-51,-48,-61,-56,-56,-40,-58,-49,-59,-54,-59,-200,-60,-63,-58,-61,-61,-68,-67,-200,-75,-67,-64,-59,-59,-200,-200,-63,-72,-68,-66,-69,-200,-70,-87,-84,-79,-90,-83,-87,-90,-55,-81,-200,-200,-73,-83,-89,-81,-200,-200,-200,-200,-200,-200,-200,-200
1526449407506,-34,-36,-36,-41,-48,-41,-48,-46,-36,-54,-55,-53,-58,-51,-47,-61,-58,-53,-50,-56,-49,-57,-54,-59,-200,-59,-58,-55,-60,-64,-68,-67,-200,-72,-69,-64,-61,-63,-200,-200,-63,-72,-68,-200,-76,-71,-75,-86,-83,-79,-87,-85,-87,-90,-65,-81,-200,-200,-73,-83,-89,-81,-71,-200,-200,-200,-200,-200,-200,-200
1526449410533,-36,-36,-42,-45,-48,-40,-43,-46,-35,-47,-53,-54,-57,-51,-46,-61,-58,-56,-50,-52,-48,-57,-53,-60,-200,-59,-58,-55,-59,-61,-68,-200,-200,-72,-68,-64,-65,-63,-200,-200,-63,-72,-70,-200,-71,-71,-74,-82,-87,-79,-86,-84,-87,-89,-65,-81,-200,-200,-200,-200,-200,-81,-71,-85,-88,-200,-200,-200,-200,-200
1526449413569,-36,-36,-42,-45,-49,-39,-43,-46,-34,-47,-50,-53,-57,-50,-46,-61,-58,-57,-50,-57,-48,-57,-53,-61,-200,-59,-56,-53,-58,-62,-66,-200,-200,-72,-70,-64,-60,-59,-200,-200,-63,-72,-74,-200,-75,-71,-74,-87,-88,-81,-86,-84,-89,-89,-55,-81,-200,-200,-67,-200,-200,-81,-71,-85,-88,-79,-200,-200,-200,-200
1526449416598,-36,-36,-44,-41,-49,-39,-45,-50,-34,-47,-53,-52,-60,-50,-54,-61,-59,-61,-46,-57,-48,-57,-53,-61,-200,-59,-56,-56,-61,-64,-60,-200,-200,-71,-69,-64,-63,-58,-200,-200,-200,-71,-74,-200,-75,-71,-76,-87,-85,-81,-87,-86,-88,-89,-58,-81,-200,-200,-70,-200,-200,-81,-71,-85,-88,-79,-69,-200,-200,-200
1526449419609,-36,-36,-39,-43,-50,-39,-42,-46,-36,-47,-54,-54,-60,-50,-49,-61,-55,-58,-47,-57,-48,-55,-52,-61,-200,-56,-57,-56,-62,-64,-63,-200,-200,-70,-72,-61,-61,-62,-200,-200,-64,-73,-74,-200,-79,-70,-72,-90,-87,-81,-88,-86,-88,-89,-58,-200,-200,-200,-70,-200,-200,-81,-71,-85,-88,-79,-69,-77,-200,-200
1526449422642,-36,-43,-52,-45,-50,-40,-36,-46,-36,-47,-47,-54,-52,-53,-56,-61,-55,-58,-42,-57,-53,-55,-46,-61,-200,-56,-49,-60,-61,-63,-63,-200,-200,-74,-68,-65,-65,-62,-200,-200,-64,-70,-74,-200,-71,-70,-77,-85,-84,-85,-90,-88,-91,-90,-58,-200,-200,-200,-70,-200,-200,-200,-71,-85,-88,-79,-69,-77,-92,-200
1526449425671,-40,-45,-52,-46,-50,-48,-36,-46,-32,-54,-47,-52,-48,-52,-56,-200,-55,-50,-42,-57,-53,-56,-48,-55,-200,-56,-54,-60,-64,-63,-62,-200,-200,-72,-64,-65,-64,-59,-200,-200,-64,-69,-77,-200,-66,-70,-77,-77,-86,-81,-88,-87,-87,-90,-58,-200,-200,-200,-70,-200,-200,-200,-71,-85,-88,-79,-69,-69,-92,-200
1526449428708,-36,-38,-39,-44,-50,-45,-36,-40,-35,-54,-53,-52,-47,-54,-54,-70,-55,-51,-46,-57,-53,-56,-48,-55,-200,-56,-52,-60,-64,-63,-62,-200,-200,-71,-66,-65,-60,-59,-200,-200,-64,-72,-77,-200,-67,-70,-74,-77,-88,-80,-87,-88,-90,-90,-58,-200,-200,-200,-70,-200,-200,-200,-200,-85,-88,-79,-69,-69,-92,-200
1526449431735,-39,-41,-38,-44,-50,-48,-35,-42,-34,-51,-51,-52,-47,-56,-52,-70,-63,-51,-46,-57,-51,-56,-48,-55,-200,-56,-52,-60,-67,-61,-64,-200,-200,-72,-66,-65,-61,-59,-200,-200,-71,-70,-77,-68,-67,-70,-76,-83,-82,-78,-87,-85,-90,-88,-58,-200,-200,-200,-70,-200,-200,-200,-200,-200,-200,-79,-69,-69,-92,-200
1526449434772,-36,-41,-38,-47,-50,-48,-35,-42,-34,-51,-51,-52,-47,-56,-56,-70,-59,-51,-45,-57,-48,-56,-48,-55,-200,-56,-53,-64,-64,-63,-65,-200,-200,-69,-69,-65,-61,-58,-200,-200,-71,-70,-77,-68,-72,-70,-75,-81,-82,-77,-86,-86,-90,-88,-58,-200,-200,-200,-70,-200,-200,-81,-200,-200,-200,-200,-69,-69,-92,-77
1526449437798,-40,-42,-38,-47,-50,-47,-35,-44,-35,-53,-50,-53,-45,-60,-50,-70,-59,-49,-45,-58,-48,-56,-51,-55,-200,-56,-53,-61,-67,-60,-66,-200,-200,-71,-65,-65,-61,-60,-67,-200,-71,-70,-72,-68,-69,-70,-74,-85,-80,-77,-86,-86,-90,-88,-58,-81,-200,-200,-70,-200,-200,-81,-200,-200,-200,-78,-200,-69,-92,-77
