,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DQKJ,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526449036298,-41,-43,-36,-41,-29,-43,-52,-48,-49,-44,-40,-51,-41,-62,-42,-47,-52,-56,-61,-46,-58,-40,-47,-52,-61,-64,-62,-60,-62,-65,-63,-67,-58,-64,-68,-58,-68,-70,-200,-62,-69,-67,-200,-70,-78,-80,-200,-72,-89,-200,-81,-200,-200,-84,-83,-77,-88,-86,-200,-46,-200,-73,-67,-72,-60,-87,-78,-91,-65,-69,-200,-200,-200,-200
1526449039332,-41,-43,-35,-45,-34,-42,-45,-46,-44,-36,-39,-51,-45,-62,-42,-47,-52,-56,-61,-47,-58,-40,-49,-53,-56,-64,-62,-61,-62,-67,-66,-67,-58,-64,-68,-58,-200,-70,-200,-62,-67,-68,-200,-70,-200,-80,-200,-73,-89,-200,-81,-200,-200,-85,-86,-75,-89,-84,-200,-45,-200,-73,-200,-200,-60,-87,-78,-91,-65,-69,-61,-200,-200,-200
1526449042347,-39,-41,-35,-44,-34,-47,-45,-42,-46,-36,-38,-51,-54,-62,-41,-47,-52,-56,-61,-51,-54,-40,-49,-53,-56,-67,-62,-62,-62,-67,-63,-67,-64,-64,-68,-58,-200,-71,-200,-65,-68,-72,-200,-70,-200,-80,-73,-76,-89,-200,-81,-200,-200,-79,-86,-78,-91,-86,-200,-42,-200,-73,-200,-200,-51,-200,-78,-91,-65,-69,-61,-78,-82,-200
1526449045371,-37,-44,-37,-45,-30,-49,-47,-49,-51,-43,-44,-53,-54,-62,-42,-43,-52,-53,-56,-49,-54,-41,-50,-60,-60,-67,-62,-60,-79,-64,-62,-67,-62,-200,-68,-58,-65,-70,-200,-65,-68,-72,-200,-70,-200,-81,-73,-76,-87,-200,-81,-200,-200,-83,-86,-81,-91,-86,-200,-46,-200,-73,-66,-200,-51,-200,-200,-91,-65,-68,-61,-78,-82,-200
1526449048397,-38,-42,-35,-45,-31,-44,-48,-46,-47,-41,-38,-49,-51,-58,-42,-47,-55,-53,-56,-49,-54,-41,-57,-60,-54,-67,-62,-61,-79,-65,-64,-200,-62,-200,-68,-58,-65,-72,-200,-65,-69,-72,-200,-70,-200,-81,-73,-73,-91,-200,-81,-200,-200,-79,-87,-79,-88,-88,-200,-48,-200,-200,-66,-200,-51,-200,-200,-200,-65,-68,-61,-78,-82,-200
1526449051434,-38,-42,-35,-42,-34,-44,-40,-46,-47,-41,-38,-49,-51,-58,-41,-47,-55,-53,-56,-49,-57,-45,-55,-60,-54,-63,-62,-61,-79,-68,-58,-200,-64,-200,-67,-58,-65,-72,-200,-65,-70,-76,-200,-70,-200,-80,-73,-72,-91,-200,-200,-200,-200,-87,-86,-79,-88,-88,-200,-48,-72,-200,-66,-200,-51,-200,-200,-200,-65,-68,-61,-78,-82,-200
1526449054464,-38,-44,-33,-43,-34,-44,-40,-48,-43,-41,-37,-47,-49,-61,-41,-41,-55,-53,-56,-52,-57,-45,-52,-56,-54,-63,-62,-59,-79,-68,-60,-200,-64,-200,-63,-58,-65,-72,-200,-65,-71,-74,-200,-70,-200,-84,-73,-71,-91,-81,-200,-200,-200,-81,-88,-79,-89,-88,-200,-49,-72,-200,-67,-200,-64,-200,-200,-200,-200,-68,-64,-78,-82,-73
1526449057485,-37,-50,-33,-44,-31,-43,-44,-48,-43,-38,-35,-47,-46,-61,-41,-45,-55,-48,-54,-53,-56,-42,-53,-56,-58,-63,-200,-66,-79,-67,-62,-58,-64,-200,-61,-58,-67,-70,-200,-64,-67,-75,-200,-200,-200,-81,-73,-72,-91,-76,-85,-200,-200,-81,-87,-79,-89,-85,-200,-49,-72,-76,-67,-200,-64,-200,-200,-200,-200,-68,-64,-78,-82,-73
1526449060512,-37,-46,-13,-56,-43,-43,-40,-47,-43,-38,-35,-50,-49,-65,-41,-41,-55,-48,-56,-57,-62,-24,-51,-55,-58,-63,-200,-65,-79,-67,-56,-58,-64,-200,-61,-54,-67,-70,-200,-65,-67,-72,-200,-200,-200,-78,-73,-74,-89,-76,-85,-200,-200,-78,-86,-83,-90,-83,-200,-46,-72,-76,-67,-200,-64,-200,-200,-200,-200,-59,-64,-78,-82,-73
1526449063553,-38,-43,-29,-45,-34,-43,-42,-47,-47,-38,-36,-52,-49,-65,-40,-41,-55,-54,-56,-57,-62,-40,-54,-59,-58,-63,-63,-61,-59,-64,-60,-58,-64,-67,-63,-55,-67,-70,-200,-65,-68,-73,-200,-200,-200,-81,-200,-72,-89,-76,-85,-200,-200,-79,-86,-80,-90,-83,-200,-46,-69,-76,-67,-200,-64,-200,-200,-200,-200,-59,-64,-200,-200,-73
1526449066582,-38,-43,-29,-42,-34,-46,-45,-46,-41,-38,-36,-51,-49,-66,-44,-39,-57,-53,-56,-53,-56,-44,-54,-59,-58,-63,-63,-57,-60,-64,-59,-58,-64,-67,-63,-55,-67,-73,-200,-65,-73,-69,-200,-200,-200,-81,-200,-78,-89,-76,-85,-200,-200,-80,-85,-81,-90,-83,-200,-45,-69,-76,-67,-200,-55,-90,-200,-200,-74,-59,-64,-200,-200,-73
1526449069610,-37,-39,-34,-42,-33,-43,-39,-46,-43,-38,-36,-51,-52,-66,-42,-39,-57,-53,-56,-53,-52,-55,-52,-59,-53,-63,-70,-60,-60,-65,-57,-58,-66,-67,-65,-55,-67,-70,-200,-69,-70,-70,-200,-200,-200,-78,-200,-75,-89,-76,-85,-200,-200,-80,-88,-84,-90,-86,-200,-43,-69,-76,-67,-200,-55,-90,-200,-200,-74,-59,-64,-200,-200,-73
