,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DQKJ,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526447483557,-34,-54,-29,-48,-38,-37,-48,-53,-45,-52,-200,-46,-37,-43,-43,-51,-200,-55,-53,-55,-58,-50,-52,-200,-60,-58,-57,-55,-63,-54,-49,-64,-66,-74,-200,-65,-200,-82,-200,-77,-78,-75,-200,-75,-85,-74,-89,-89,-87,-86,-88,-200,-90,-91,-52,-200,-200,-61,-72,-51,-200,-76,-78,-72,-69,-80,-200,-200,-200,-200
1526447486581,-34,-54,-31,-48,-38,-37,-48,-53,-45,-48,-200,-46,-35,-44,-43,-51,-50,-43,-48,-55,-58,-50,-52,-200,-59,-59,-56,-55,-66,-54,-47,-64,-62,-70,-200,-68,-200,-77,-200,-73,-76,-75,-200,-81,-78,-75,-84,-90,-87,-86,-88,-200,-89,-91,-52,-200,-200,-61,-72,-51,-200,-200,-200,-72,-69,-80,-200,-200,-200,-200
1526447489611,-33,-54,-31,-48,-38,-37,-48,-53,-45,-48,-56,-46,-40,-45,-43,-51,-50,-43,-48,-55,-58,-50,-52,-200,-62,-55,-56,-55,-59,-54,-50,-64,-62,-70,-200,-65,-200,-73,-200,-71,-74,-73,-200,-81,-80,-76,-84,-90,-86,-85,-91,-200,-89,-91,-52,-200,-200,-61,-72,-51,-200,-200,-200,-200,-69,-80,-200,-200,-200,-200
1526447492633,-33,-54,-35,-44,-38,-38,-48,-53,-45,-43,-56,-46,-39,-48,-43,-51,-50,-43,-48,-52,-58,-50,-52,-200,-59,-55,-49,-55,-64,-54,-50,-200,-67,-70,-200,-64,-200,-74,-200,-73,-80,-77,-200,-78,-78,-76,-84,-90,-86,-84,-88,-200,-89,-200,-52,-200,-200,-61,-72,-51,-200,-200,-200,-200,-69,-80,-200,-200,-200,-200
1526447495662,-33,-54,-35,-44,-38,-38,-52,-56,-45,-43,-51,-46,-39,-48,-43,-51,-50,-43,-46,-52,-58,-50,-52,-200,-59,-59,-55,-55,-64,-56,-50,-200,-68,-71,-200,-64,-200,-72,-200,-73,-80,-74,-200,-78,-77,-77,-86,-90,-88,-84,-88,-90,-88,-200,-52,-200,-200,-61,-72,-51,-200,-200,-200,-200,-69,-80,-200,-200,-200,-200
1526447498692,-33,-54,-35,-44,-38,-37,-49,-46,-45,-47,-52,-49,-39,-52,-43,-51,-50,-43,-46,-52,-200,-50,-200,-200,-59,-54,-51,-55,-64,-56,-50,-200,-65,-72,-200,-63,-200,-76,-71,-71,-79,-75,-200,-75,-77,-77,-86,-88,-88,-84,-88,-90,-88,-200,-200,-200,-76,-61,-72,-51,-200,-200,-200,-200,-69,-80,-200,-200,-200,-200
1526447501719,-32,-54,-39,-44,-38,-36,-49,-46,-45,-47,-52,-49,-39,-47,-43,-51,-50,-43,-46,-52,-200,-50,-200,-200,-59,-56,-55,-55,-67,-58,-50,-200,-62,-68,-200,-63,-200,-72,-71,-69,-80,-77,-200,-75,-84,-77,-90,-88,-88,-84,-84,-90,-88,-200,-200,-200,-76,-61,-200,-51,-200,-200,-200,-200,-63,-80,-80,-200,-200,-200
1526447504748,-32,-50,-39,-44,-33,-38,-49,-46,-200,-47,-52,-49,-39,-47,-37,-54,-53,-42,-46,-52,-200,-51,-54,-200,-59,-56,-55,-58,-59,-58,-50,-200,-62,-68,-200,-65,-200,-69,-71,-69,-80,-80,-200,-76,-83,-77,-87,-88,-87,-84,-84,-90,-89,-200,-200,-200,-76,-200,-200,-200,-63,-200,-200,-200,-63,-80,-80,-78,-200,-200
1526447507775,-35,-50,-39,-44,-33,-36,-48,-46,-200,-47,-50,-49,-39,-47,-37,-54,-52,-42,-46,-52,-200,-51,-54,-72,-57,-57,-55,-58,-58,-57,-50,-200,-62,-66,-200,-65,-200,-68,-71,-68,-80,-80,-200,-76,-85,-77,-87,-88,-86,-85,-84,-90,-89,-200,-200,-200,-76,-200,-200,-200,-63,-200,-200,-200,-63,-200,-80,-78,-86,-200
1526447510810,-32,-50,-39,-44,-33,-36,-48,-47,-200,-45,-50,-49,-39,-45,-37,-54,-51,-42,-43,-52,-200,-51,-54,-72,-56,-54,-55,-59,-58,-57,-51,-200,-62,-66,-200,-66,-200,-68,-71,-68,-80,-77,-200,-74,-85,-77,-88,-88,-88,-88,-84,-90,-89,-200,-200,-200,-76,-200,-200,-200,-67,-200,-200,-200,-63,-200,-80,-78,-86,-90
1526447513839,-35,-50,-41,-44,-33,-34,-48,-47,-200,-46,-50,-53,-35,-43,-37,-54,-51,-42,-43,-54,-200,-51,-54,-72,-56,-56,-55,-59,-56,-53,-51,-200,-63,-66,-200,-64,-200,-72,-71,-68,-81,-77,-200,-74,-85,-77,-89,-88,-88,-87,-84,-90,-89,-200,-200,-200,-76,-200,-73,-200,-67,-200,-200,-200,-63,-83,-80,-78,-86,-90
1526447516869,-35,-50,-41,-41,-36,-37,-45,-47,-53,-46,-50,-52,-38,-43,-36,-54,-51,-44,-43,-54,-200,-50,-54,-72,-56,-57,-57,-59,-56,-55,-51,-64,-63,-70,-200,-61,-200,-78,-71,-68,-81,-76,-200,-75,-85,-79,-90,-90,-88,-87,-84,-200,-89,-200,-200,-200,-76,-65,-73,-200,-67,-200,-60,-200,-63,-83,-80,-78,-86,-90
