,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526449185732,-37,-49,-36,-42,-36,-48,-50,-47,-41,-50,-50,-51,-50,-54,-48,-59,-59,-45,-47,-59,-49,-55,-48,-51,-62,-200,-69,-54,-55,-200,-65,-56,-200,-67,-59,-69,-67,-68,-73,-70,-66,-65,-74,-71,-69,-64,-200,-79,-200,-83,-82,-88,-82,-86,-87,-91,-200,-63,-200,-56,-200,-63,-60,-69,-70,-58,-72,-69,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526449188760,-35,-48,-36,-41,-36,-48,-50,-46,-41,-57,-50,-49,-49,-54,-48,-59,-59,-49,-47,-60,-48,-56,-48,-53,-63,-58,-69,-54,-55,-200,-62,-51,-69,-67,-59,-72,-67,-67,-73,-70,-66,-67,-74,-71,-69,-64,-200,-79,-200,-81,-81,-200,-82,-86,-87,-91,-200,-62,-200,-55,-200,-63,-60,-200,-70,-58,-72,-69,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526449191793,-35,-48,-37,-41,-37,-48,-51,-46,-41,-55,-46,-52,-49,-58,-47,-57,-57,-47,-46,-60,-49,-56,-48,-53,-63,-58,-69,-54,-55,-200,-62,-51,-69,-67,-59,-72,-65,-67,-73,-70,-66,-67,-74,-72,-68,-200,-200,-79,-200,-81,-80,-200,-82,-86,-89,-91,-200,-62,-200,-55,-200,-63,-58,-200,-200,-62,-71,-69,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526449194806,-36,-49,-37,-43,-38,-46,-51,-45,-39,-53,-46,-52,-51,-58,-45,-56,-55,-50,-47,-60,-50,-56,-50,-53,-63,-60,-71,-54,-55,-66,-64,-49,-69,-67,-59,-71,-67,-68,-73,-70,-66,-67,-76,-71,-68,-200,-200,-80,-200,-82,-81,-200,-82,-85,-89,-91,-200,-64,-200,-55,-73,-65,-58,-200,-200,-61,-71,-69,-88,-200,-200,-200,-200,-200,-200,-200,-200
1526449197834,-36,-49,-36,-40,-42,-46,-51,-46,-40,-56,-46,-48,-50,-58,-48,-58,-54,-46,-46,-60,-50,-56,-56,-55,-63,-60,-71,-54,-52,-66,-64,-50,-69,-67,-65,-72,-67,-68,-73,-200,-65,-67,-75,-73,-68,-200,-71,-80,-200,-80,-81,-200,-83,-85,-89,-91,-200,-64,-200,-56,-73,-61,-59,-200,-200,-61,-71,-200,-88,-91,-200,-200,-200,-200,-200,-200,-200
1526449200867,-37,-49,-35,-40,-43,-44,-49,-46,-42,-55,-45,-49,-48,-58,-47,-57,-56,-44,-50,-59,-51,-55,-56,-55,-63,-56,-71,-54,-54,-66,-64,-46,-69,-67,-65,-70,-66,-68,-73,-70,-65,-65,-73,-72,-72,-200,-71,-79,-200,-82,-79,-200,-83,-85,-89,-91,-200,-64,-200,-55,-73,-61,-60,-200,-200,-61,-71,-71,-88,-91,-69,-200,-200,-200,-200,-200,-200
1526449203900,-37,-53,-35,-40,-43,-47,-49,-46,-42,-55,-52,-51,-49,-58,-47,-56,-53,-48,-48,-58,-51,-55,-56,-54,-63,-55,-71,-200,-51,-71,-63,-48,-69,-67,-65,-71,-66,-67,-73,-70,-65,-66,-73,-71,-69,-200,-71,-79,-200,-79,-78,-200,-82,-85,-89,-91,-200,-64,-200,-55,-73,-61,-60,-200,-200,-61,-71,-71,-88,-91,-69,-66,-73,-89,-200,-200,-200
1526449206931,-36,-50,-35,-42,-42,-47,-49,-45,-38,-54,-50,-49,-50,-58,-47,-56,-54,-47,-50,-58,-51,-58,-48,-55,-63,-55,-71,-200,-55,-71,-66,-48,-69,-200,-62,-70,-66,-67,-200,-70,-62,-64,-77,-72,-70,-70,-67,-79,-200,-79,-77,-200,-82,-87,-89,-91,-200,-64,-200,-54,-73,-61,-60,-200,-200,-61,-69,-69,-88,-91,-69,-66,-73,-89,-92,-200,-200
1526449209946,-37,-52,-35,-40,-41,-46,-49,-44,-37,-54,-48,-49,-49,-70,-47,-55,-54,-48,-50,-58,-59,-55,-48,-55,-200,-57,-71,-200,-55,-71,-66,-48,-71,-200,-61,-72,-65,-67,-200,-70,-62,-63,-75,-70,-70,-67,-64,-79,-200,-79,-78,-200,-83,-87,-89,-91,-200,-64,-200,-56,-73,-61,-60,-200,-200,-61,-69,-69,-88,-91,-69,-66,-73,-89,-92,-200,-200
1526449212978,-37,-53,-35,-39,-46,-46,-49,-41,-41,-54,-48,-52,-49,-70,-47,-56,-54,-48,-50,-58,-59,-58,-48,-55,-60,-57,-71,-200,-55,-71,-62,-48,-71,-200,-61,-71,-65,-68,-200,-70,-62,-64,-77,-71,-69,-67,-64,-78,-200,-79,-79,-200,-80,-87,-200,-91,-200,-64,-200,-56,-73,-61,-60,-200,-200,-61,-69,-69,-88,-91,-69,-66,-73,-89,-92,-200,-200
1526449216013,-37,-50,-35,-42,-42,-47,-49,-45,-41,-55,-47,-50,-49,-70,-47,-52,-54,-50,-47,-58,-52,-58,-49,-56,-60,-57,-200,-200,-51,-71,-62,-48,-71,-200,-61,-70,-65,-68,-200,-70,-62,-66,-74,-75,-72,-67,-64,-79,-200,-81,-77,-200,-80,-87,-89,-91,-200,-64,-200,-56,-200,-61,-60,-200,-200,-200,-69,-69,-88,-91,-69,-66,-73,-89,-91,-200,-200
1526449219041,-38,-52,-36,-39,-37,-47,-49,-45,-39,-52,-50,-54,-51,-70,-47,-56,-56,-50,-50,-58,-52,-57,-49,-56,-60,-57,-200,-200,-55,-71,-66,-49,-71,-200,-57,-69,-64,-68,-200,-70,-62,-65,-74,-75,-71,-67,-64,-78,-200,-81,-78,-200,-81,-87,-89,-91,-200,-200,-200,-56,-200,-61,-60,-200,-200,-57,-69,-69,-88,-200,-69,-66,-73,-89,-91,-83,-91
