,WHU-2018,WHU-2018,D-Link_DIR-823Pro,DLINK_D013A8,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526448528110,-34,-36,-36,-40,-41,-43,-44,-46,-50,-37,-53,-49,-50,-48,-46,-45,-50,-200,-49,-50,-59,-53,-200,-47,-67,-56,-51,-64,-75,-64,-70,-66,-64,-66,-64,-200,-200,-64,-78,-69,-200,-71,-200,-74,-76,-81,-82,-83,-200,-200,-83,-88,-90,-86,-200,-66,-89,-60,-200,-47,-74,-78,-58,-75,-67,-59,-200,-200,-200,-200,-200,-200,-200
1526448531141,-36,-34,-34,-38,-41,-45,-44,-46,-50,-37,-59,-42,-50,-46,-43,-46,-50,-200,-50,-50,-59,-53,-200,-49,-67,-56,-51,-60,-72,-62,-66,-200,-64,-66,-63,-200,-200,-67,-76,-69,-200,-71,-200,-73,-84,-83,-82,-80,-200,-200,-83,-87,-90,-86,-200,-66,-89,-60,-200,-47,-74,-78,-58,-75,-67,-59,-200,-200,-200,-200,-200,-200,-200
1526448534172,-34,-38,-35,-44,-41,-45,-37,-46,-50,-37,-59,-49,-50,-45,-43,-47,-52,-200,-50,-52,-59,-51,-200,-48,-66,-56,-51,-60,-71,-61,-66,-200,-65,-200,-63,-200,-71,-70,-76,-69,-200,-68,-200,-75,-80,-83,-82,-83,-200,-200,-83,-87,-90,-85,-200,-66,-87,-60,-200,-47,-200,-200,-58,-75,-67,-59,-200,-200,-200,-200,-200,-200,-200
1526448537198,-34,-54,-41,-44,-37,-46,-36,-45,-47,-40,-59,-49,-50,-45,-43,-49,-53,-200,-53,-52,-59,-51,-200,-48,-57,-56,-54,-60,-72,-61,-66,-200,-65,-200,-65,-200,-71,-73,-76,-200,-200,-70,-200,-75,-81,-81,-79,-83,-72,-200,-83,-87,-90,-85,-200,-66,-87,-60,-200,-47,-200,-200,-200,-200,-67,-59,-200,-200,-200,-200,-200,-200,-200
1526448540219,-36,-54,-44,-44,-37,-46,-39,-45,-47,-39,-59,-49,-50,-42,-45,-49,-53,-200,-53,-51,-63,-51,-200,-53,-62,-55,-54,-60,-72,-64,-68,-200,-63,-200,-65,-200,-71,-68,-76,-200,-200,-69,-200,-73,-79,-83,-79,-83,-72,-200,-83,-87,-90,-88,-200,-66,-87,-60,-200,-47,-200,-200,-55,-200,-200,-59,-66,-80,-200,-200,-200,-200,-200
1526448543249,-36,-44,-40,-38,-39,-43,-43,-45,-55,-39,-56,-43,-52,-46,-45,-43,-49,-200,-49,-53,-63,-57,-200,-53,-62,-59,-54,-60,-70,-66,-68,-200,-63,-200,-68,-200,-71,-68,-76,-200,-200,-71,-69,-80,-76,-83,-82,-84,-72,-90,-83,-87,-90,-88,-200,-67,-87,-60,-200,-47,-200,-200,-56,-200,-200,-59,-66,-80,-200,-200,-200,-200,-200
1526448546278,-34,-52,-38,-39,-54,-45,-43,-45,-52,-39,-60,-47,-53,-46,-49,-47,-49,-200,-49,-51,-63,-61,-200,-58,-63,-57,-54,-60,-66,-64,-67,-200,-63,-200,-67,-200,-72,-69,-76,-200,-200,-69,-69,-76,-80,-83,-81,-83,-72,-90,-82,-87,-90,-87,-200,-67,-87,-60,-200,-47,-200,-200,-56,-200,-200,-71,-66,-80,-65,-87,-200,-200,-200
1526448549289,-35,-50,-36,-43,-44,-45,-40,-45,-48,-39,-58,-42,-53,-43,-47,-47,-49,-200,-49,-51,-63,-61,-200,-55,-63,-58,-61,-60,-67,-62,-67,-200,-63,-64,-67,-200,-71,-68,-76,-200,-200,-69,-69,-73,-77,-83,-80,-83,-72,-90,-82,-88,-90,-85,-200,-64,-87,-60,-200,-47,-200,-200,-56,-200,-200,-71,-66,-80,-65,-87,-200,-200,-200
1526448552320,-34,-38,-36,-37,-39,-44,-40,-45,-47,-39,-59,-41,-53,-47,-47,-45,-50,-200,-49,-59,-62,-51,-200,-55,-63,-58,-50,-200,-65,-62,-68,-200,-63,-64,-67,-200,-71,-68,-69,-200,-200,-70,-69,-73,-77,-80,-80,-81,-72,-90,-85,-88,-90,-85,-200,-64,-91,-60,-200,-48,-200,-200,-56,-200,-200,-71,-66,-80,-65,-87,-72,-200,-200
1526448555338,-34,-38,-36,-39,-39,-45,-40,-46,-48,-39,-58,-42,-55,-47,-47,-46,-51,-200,-49,-55,-62,-51,-200,-55,-63,-58,-54,-68,-69,-65,-68,-200,-62,-64,-67,-200,-70,-69,-71,-200,-200,-70,-69,-71,-79,-81,-80,-85,-72,-90,-83,-91,-200,-86,-200,-64,-91,-60,-200,-49,-200,-200,-56,-200,-200,-71,-66,-80,-65,-87,-72,-200,-200
1526448558363,-53,-38,-37,-39,-46,-45,-37,-48,-48,-37,-63,-42,-55,-46,-45,-46,-51,-200,-50,-55,-60,-51,-52,-54,-64,-58,-54,-68,-66,-62,-69,-200,-62,-64,-67,-67,-69,-71,-71,-200,-200,-69,-69,-73,-79,-81,-81,-85,-200,-90,-83,-91,-200,-86,-200,-64,-91,-60,-200,-53,-200,-200,-57,-200,-200,-71,-66,-80,-65,-87,-72,-84,-200
1526448561393,-39,-38,-37,-39,-46,-45,-43,-44,-48,-38,-63,-42,-51,-47,-47,-46,-49,-200,-50,-53,-60,-51,-52,-55,-61,-56,-54,-68,-67,-64,-65,-200,-62,-64,-67,-67,-69,-68,-71,-200,-200,-69,-69,-74,-78,-84,-82,-86,-200,-90,-82,-91,-200,-86,-200,-64,-90,-60,-200,-53,-200,-200,-57,-200,-200,-71,-200,-200,-65,-87,-76,-84,-81
