,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011309,DQKJ,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011314,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018
1526448309490,-27,-55,-50,-36,-54,-40,-41,-46,-47,-200,-200,-28,-47,-45,-42,-52,-51,-37,-52,-55,-46,-48,-51,-39,-200,-52,-69,-55,-59,-66,-200,-56,-200,-58,-64,-69,-56,-200,-67,-200,-65,-68,-200,-67,-71,-73,-76,-55,-73,-200,-74,-200,-79,-86,-87,-85,-83,-200,-200,-91,-52,-64,-200,-200,-200,-76,-54,-64,-79,-79,-68,-75,-64,-200,-200,-200,-200,-200,-200
1526448312520,-27,-55,-50,-36,-54,-37,-41,-47,-48,-43,-200,-28,-47,-45,-42,-47,-51,-40,-51,-55,-54,-45,-47,-36,-200,-59,-67,-53,-56,-66,-200,-56,-200,-200,-64,-69,-56,-200,-72,-200,-65,-69,-200,-67,-71,-69,-80,-55,-76,-200,-74,-200,-78,-87,-85,-83,-86,-200,-200,-91,-52,-64,-200,-200,-200,-68,-54,-64,-79,-79,-68,-75,-64,-82,-200,-200,-200,-200,-200
1526448315551,-28,-55,-50,-37,-54,-34,-39,-47,-52,-43,-79,-30,-47,-45,-42,-49,-55,-39,-49,-55,-56,-45,-45,-38,-200,-59,-67,-53,-56,-66,-200,-55,-200,-200,-64,-69,-56,-200,-68,-200,-65,-66,-70,-67,-71,-73,-77,-56,-74,-200,-73,-200,-78,-88,-86,-83,-86,-200,-200,-200,-52,-64,-62,-200,-200,-68,-69,-64,-79,-79,-68,-75,-64,-82,-64,-200,-200,-200,-200
1526448318564,-28,-55,-46,-37,-54,-34,-43,-47,-48,-44,-79,-26,-53,-52,-42,-49,-50,-39,-49,-53,-51,-45,-45,-39,-200,-59,-67,-53,-56,-67,-200,-56,-200,-200,-64,-69,-57,-200,-65,-200,-65,-66,-70,-67,-71,-68,-73,-56,-76,-200,-75,-200,-82,-86,-85,-85,-85,-200,-200,-200,-52,-64,-62,-200,-200,-66,-69,-64,-79,-79,-68,-75,-64,-82,-64,-200,-200,-200,-200
1526448321588,-28,-56,-50,-37,-54,-36,-43,-47,-54,-44,-79,-27,-53,-45,-38,-57,-50,-38,-54,-53,-51,-46,-48,-37,-200,-59,-62,-56,-56,-69,-200,-57,-200,-58,-64,-62,-57,-200,-69,-200,-200,-67,-70,-67,-71,-72,-75,-63,-76,-200,-75,-200,-78,-86,-84,-87,-84,-200,-200,-200,-52,-64,-62,-200,-200,-66,-57,-200,-200,-200,-68,-75,-64,-82,-64,-78,-200,-200,-200
1526448324618,-28,-56,-50,-37,-54,-36,-43,-48,-48,-44,-79,-25,-53,-45,-41,-57,-50,-38,-54,-53,-49,-50,-48,-39,-200,-64,-62,-56,-56,-68,-200,-57,-200,-58,-64,-62,-57,-200,-65,-200,-62,-68,-70,-200,-76,-67,-74,-63,-76,-200,-75,-200,-82,-86,-85,-86,-84,-200,-200,-200,-54,-64,-62,-200,-200,-66,-57,-200,-200,-200,-200,-200,-64,-82,-62,-78,-71,-200,-200
1526448327650,-28,-56,-50,-36,-54,-39,-46,-48,-48,-44,-79,-26,-53,-45,-49,-56,-50,-38,-54,-53,-49,-50,-54,-39,-200,-58,-62,-56,-56,-68,-200,-57,-200,-54,-200,-62,-56,-200,-65,-200,-67,-64,-70,-200,-76,-69,-76,-59,-78,-200,-76,-200,-78,-86,-86,-86,-84,-200,-200,-200,-54,-62,-62,-200,-200,-66,-53,-200,-200,-200,-200,-200,-200,-82,-62,-78,-71,-69,-200
1526448330680,-28,-57,-50,-36,-200,-39,-43,-45,-46,-47,-79,-25,-53,-45,-49,-60,-51,-40,-50,-51,-49,-50,-53,-36,-200,-58,-62,-56,-56,-67,-200,-61,-200,-52,-63,-62,-53,-200,-68,-200,-67,-69,-70,-200,-76,-67,-76,-60,-74,-200,-76,-200,-82,-87,-86,-88,-83,-200,-200,-90,-54,-62,-62,-200,-200,-66,-53,-200,-200,-200,-200,-200,-200,-82,-62,-78,-71,-69,-200
1526448333712,-28,-52,-50,-36,-200,-39,-42,-48,-52,-47,-79,-28,-44,-48,-41,-52,-52,-41,-53,-51,-49,-57,-49,-53,-60,-58,-62,-57,-59,-67,-200,-63,-200,-52,-63,-72,-53,-64,-72,-200,-67,-68,-70,-64,-76,-71,-76,-56,-78,-200,-76,-200,-83,-85,-83,-88,-83,-200,-200,-90,-58,-61,-62,-200,-200,-66,-51,-200,-200,-200,-200,-200,-200,-200,-62,-78,-71,-70,-78
1526448336740,-28,-52,-50,-36,-200,-39,-43,-48,-47,-47,-200,-28,-44,-50,-41,-50,-52,-41,-53,-53,-49,-54,-49,-42,-61,-58,-62,-57,-58,-66,-200,-61,-200,-52,-63,-72,-53,-64,-69,-200,-64,-65,-200,-62,-71,-70,-76,-64,-81,-200,-76,-200,-82,-85,-83,-87,-82,-200,-200,-90,-60,-61,-200,-200,-200,-67,-51,-200,-200,-200,-200,-200,-200,-200,-62,-78,-71,-70,-78
1526448339754,-28,-52,-50,-36,-53,-39,-43,-48,-51,-47,-200,-28,-49,-43,-45,-52,-57,-41,-53,-49,-52,-51,-48,-39,-63,-58,-62,-53,-61,-69,-200,-59,-200,-56,-67,-72,-53,-64,-68,-200,-64,-70,-200,-62,-71,-71,-76,-63,-75,-200,-75,-200,-80,-85,-85,-84,-83,-200,-200,-92,-60,-61,-200,-200,-200,-67,-51,-200,-200,-200,-200,-200,-200,-200,-61,-78,-71,-70,-78
1526448342790,-27,-53,-50,-38,-53,-37,-43,-41,-53,-47,-200,-26,-45,-48,-42,-52,-56,-41,-53,-50,-52,-51,-47,-39,-63,-58,-200,-55,-57,-71,-200,-59,-200,-56,-67,-72,-53,-64,-68,-200,-67,-70,-78,-63,-71,-73,-76,-63,-75,-200,-76,-200,-80,-85,-83,-87,-84,-200,-200,-92,-62,-61,-200,-200,-200,-67,-44,-200,-200,-200,-200,-200,-200,-200,-61,-200,-71,-70,-78
