,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526448091283,-72,-40,-52,-62,-66,-59,-55,-59,-46,-59,-63,-59,-66,-72,-92,-68,-65,-74,-73,-76,-70,-82,-75,-200,-200,-88,-88,-90,-73,-78,-93,-81,-80,-85,-80,-85,-93,-81,-200,-86,-81,-96,-90,-93,-89,-95,-96,-200,-200,-200,-200,-92,-95,-96,-89,-91,-96,-91,-200,-92,-96,-83,-77,-91,-200,-200,-200,-200,-200,-200,-200
1526448094328,-69,-41,-53,-62,-65,-67,-56,-60,-49,-58,-64,-62,-65,-72,-90,-68,-66,-72,-74,-76,-70,-81,-75,-200,-84,-88,-88,-92,-74,-77,-93,-81,-88,-85,-94,-86,-91,-82,-200,-85,-83,-91,-89,-93,-87,-95,-200,-96,-200,-95,-200,-92,-95,-96,-90,-92,-93,-92,-94,-200,-95,-83,-77,-91,-95,-200,-200,-200,-200,-200,-200
1526448097376,-66,-38,-55,-55,-67,-63,-60,-64,-50,-59,-63,-61,-67,-74,-89,-72,-63,-75,-81,-80,-76,-87,-73,-200,-80,-88,-91,-92,-75,-77,-90,-85,-90,-87,-91,-89,-91,-84,-200,-85,-84,-96,-90,-93,-82,-200,-200,-96,-200,-96,-96,-94,-95,-200,-90,-92,-95,-92,-93,-200,-95,-200,-77,-91,-95,-95,-96,-200,-200,-200,-200
1526448100424,-70,-38,-56,-55,-66,-61,-59,-66,-47,-57,-60,-64,-64,-74,-83,-69,-68,-71,-81,-84,-72,-85,-73,-200,-84,-86,-89,-92,-67,-79,-90,-82,-90,-82,-92,-90,-92,-81,-200,-91,-82,-96,-71,-200,-82,-200,-200,-96,-200,-96,-96,-94,-200,-95,-90,-92,-95,-92,-93,-200,-95,-200,-200,-200,-95,-96,-96,-97,-200,-200,-200
1526448103467,-69,-43,-53,-60,-68,-60,-54,-58,-46,-60,-62,-63,-66,-73,-92,-68,-66,-71,-74,-77,-72,-82,-75,-200,-82,-86,-87,-89,-67,-77,-95,-81,-86,-86,-81,-88,-89,-83,-200,-88,-83,-96,-89,-200,-82,-200,-200,-200,-200,-97,-96,-94,-200,-95,-90,-200,-95,-92,-93,-200,-95,-200,-200,-200,-200,-96,-96,-97,-94,-200,-200
1526448106511,-65,-42,-57,-58,-70,-62,-57,-62,-48,-55,-63,-61,-66,-76,-92,-68,-65,-72,-79,-80,-69,-79,-77,-94,-82,-86,-87,-92,-73,-80,-95,-82,-87,-86,-81,-89,-91,-85,-200,-85,-81,-96,-88,-92,-90,-200,-200,-200,-200,-97,-200,-200,-200,-95,-92,-92,-200,-92,-94,-200,-92,-200,-200,-200,-200,-96,-200,-97,-94,-200,-200
1526448109555,-68,-39,-53,-61,-68,-66,-54,-58,-49,-58,-65,-61,-68,-68,-89,-68,-65,-71,-75,-77,-70,-80,-77,-94,-83,-92,-87,-92,-74,-78,-95,-73,-86,-87,-81,-87,-91,-81,-200,-85,-83,-96,-88,-92,-89,-94,-200,-94,-200,-97,-200,-200,-94,-200,-92,-92,-93,-200,-93,-200,-77,-200,-200,-200,-200,-93,-200,-200,-94,-99,-200
1526448112595,-65,-42,-52,-61,-68,-65,-54,-59,-48,-59,-65,-59,-53,-71,-89,-68,-65,-74,-73,-77,-71,-78,-77,-94,-86,-90,-86,-92,-75,-80,-94,-81,-86,-86,-200,-87,-87,-83,-200,-85,-84,-200,-91,-92,-89,-94,-200,-94,-200,-93,-200,-90,-96,-200,-94,-92,-93,-200,-89,-200,-77,-200,-200,-200,-200,-93,-200,-200,-200,-99,-200
1526448115638,-65,-42,-51,-54,-67,-61,-58,-58,-47,-60,-64,-62,-66,-74,-90,-67,-68,-75,-78,-77,-71,-80,-77,-200,-86,-90,-86,-92,-68,-78,-94,-82,-89,-84,-200,-88,-89,-84,-200,-88,-84,-98,-90,-200,-87,-94,-200,-94,-200,-95,-96,-90,-96,-95,-94,-91,-95,-200,-89,-200,-97,-200,-200,-200,-200,-93,-200,-200,-200,-99,-200
1526448118679,-65,-39,-53,-58,-67,-58,-59,-60,-47,-63,-60,-65,-66,-74,-88,-67,-67,-75,-78,-79,-71,-82,-80,-94,-85,-91,-89,-92,-77,-78,-93,-82,-90,-85,-200,-88,-92,-82,-200,-88,-85,-98,-91,-200,-88,-200,-200,-93,-95,-95,-96,-93,-96,-95,-93,-93,-92,-95,-89,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-94,-91
1526448121720,-66,-41,-57,-59,-68,-59,-55,-59,-51,-60,-64,-57,-65,-74,-90,-66,-66,-75,-79,-73,-73,-81,-76,-82,-84,-89,-88,-92,-75,-80,-93,-79,-88,-86,-86,-87,-89,-85,-200,-88,-85,-92,-91,-200,-89,-97,-95,-93,-95,-95,-96,-90,-200,-96,-92,-82,-92,-95,-200,-200,-94,-200,-200,-200,-200,-200,-200,-200,-200,-97,-91
1526448124762,-64,-43,-54,-59,-70,-65,-51,-59,-50,-59,-63,-63,-66,-73,-93,-68,-64,-74,-74,-75,-73,-84,-80,-82,-84,-89,-89,-93,-78,-80,-94,-81,-90,-86,-86,-87,-90,-86,-200,-88,-83,-98,-86,-93,-91,-97,-95,-93,-95,-93,-200,-90,-200,-96,-92,-82,-92,-95,-200,-200,-94,-200,-200,-200,-95,-200,-200,-200,-200,-97,-91
