,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526447715832,-23,-62,-48,-47,-41,-55,-62,-57,-62,-65,-71,-58,-60,-57,-65,-59,-68,-65,-71,-78,-79,-72,-82,-89,-80,-200,-79,-88,-87,-90,-87,-92,-200,-93,-77,-90,-64,-76,-82,-94,-89,-91,-200,-200,-96,-90,-200,-92,-90,-200,-200,-95,-89,-96,-94,-97,-81,-200,-200,-93,-200,-200,-96,-200,-200,-94,-200,-95,-200,-200,-200,-200,-94,-200,-78,-93,-93,-94,-200,-200,-94,-200,-96,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447718875,-29,-67,-49,-47,-43,-58,-58,-59,-65,-65,-71,-59,-62,-56,-65,-59,-60,-67,-78,-74,-74,-73,-84,-89,-80,-200,-83,-88,-84,-88,-88,-92,-200,-87,-83,-91,-64,-76,-81,-94,-89,-91,-200,-200,-95,-200,-200,-91,-94,-200,-200,-95,-89,-96,-96,-200,-81,-200,-200,-93,-200,-200,-96,-200,-200,-92,-200,-95,-200,-200,-200,-200,-95,-200,-200,-200,-93,-94,-200,-200,-95,-200,-96,-96,-94,-98,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526447721921,-23,-65,-48,-50,-41,-57,-61,-57,-68,-65,-71,-63,-60,-57,-65,-60,-66,-68,-74,-68,-76,-72,-84,-86,-80,-200,-83,-91,-84,-88,-91,-94,-200,-90,-83,-91,-82,-77,-84,-200,-89,-91,-200,-200,-94,-91,-200,-95,-94,-200,-200,-95,-89,-96,-96,-96,-81,-200,-200,-90,-200,-200,-200,-200,-200,-92,-200,-97,-200,-88,-200,-200,-95,-200,-78,-200,-93,-94,-200,-200,-95,-200,-97,-200,-94,-76,-96,-97,-200,-200,-200,-200,-200,-200,-200,-200
1526447724967,-22,-62,-48,-48,-40,-58,-62,-59,-67,-67,-74,-63,-62,-57,-66,-59,-64,-69,-71,-65,-76,-73,-85,-88,-200,-200,-83,-91,-84,-91,-91,-89,-200,-90,-83,-92,-81,-77,-80,-89,-91,-93,-200,-200,-94,-89,-200,-95,-94,-200,-200,-200,-88,-200,-94,-96,-200,-200,-200,-90,-200,-200,-200,-200,-200,-96,-200,-97,-200,-88,-88,-93,-93,-200,-78,-200,-93,-95,-200,-200,-95,-200,-97,-200,-94,-76,-96,-97,-95,-95,-97,-99,-200,-200,-200,-200
1526447728013,-23,-64,-48,-50,-43,-58,-62,-60,-66,-68,-71,-61,-62,-58,-64,-57,-71,-68,-76,-76,-74,-67,-79,-87,-82,-200,-83,-94,-85,-91,-91,-92,-200,-91,-86,-92,-86,-78,-80,-95,-91,-93,-200,-200,-94,-93,-200,-96,-200,-200,-200,-200,-88,-200,-91,-96,-200,-200,-200,-90,-200,-200,-200,-200,-200,-96,-200,-97,-200,-88,-88,-97,-93,-200,-78,-200,-200,-95,-200,-200,-200,-200,-97,-200,-200,-76,-96,-96,-95,-95,-97,-99,-95,-96,-200,-200
1526447731060,-22,-64,-49,-49,-42,-59,-56,-58,-67,-68,-72,-63,-60,-57,-65,-59,-67,-71,-71,-74,-74,-70,-87,-87,-82,-200,-82,-90,-82,-91,-200,-92,-200,-91,-83,-92,-81,-76,-83,-95,-91,-93,-200,-200,-200,-93,-96,-91,-91,-200,-200,-200,-88,-200,-95,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-97,-200,-200,-200,-200,-88,-97,-93,-200,-78,-89,-96,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-96,-95,-95,-97,-99,-95,-96,-98,-200
1526447734084,-23,-67,-48,-50,-41,-60,-65,-61,-66,-63,-70,-64,-61,-57,-65,-58,-69,-73,-77,-75,-74,-72,-87,-92,-82,-200,-80,-89,-86,-88,-88,-91,-200,-89,-83,-91,-84,-78,-82,-92,-200,-93,-200,-200,-91,-89,-96,-92,-93,-92,-200,-200,-200,-200,-95,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-92,-200,-200,-200,-92,-200,-97,-93,-200,-77,-89,-92,-200,-97,-200,-92,-200,-200,-200,-200,-200,-200,-96,-200,-94,-200,-200,-95,-96,-98,-200
1526447737131,-30,-64,-50,-47,-41,-57,-65,-61,-66,-64,-70,-59,-61,-57,-65,-57,-72,-68,-78,-74,-72,-74,-85,-88,-86,-200,-83,-89,-84,-91,-90,-89,-200,-94,-83,-92,-84,-78,-82,-89,-200,-95,-96,-200,-91,-92,-96,-92,-89,-92,-200,-200,-88,-200,-95,-97,-93,-200,-200,-92,-200,-200,-97,-200,-200,-96,-200,-200,-200,-92,-200,-200,-93,-200,-77,-89,-92,-92,-97,-97,-94,-200,-200,-200,-96,-200,-200,-200,-200,-94,-200,-200,-200,-200,-98,-96
1526447740172,-24,-65,-50,-47,-43,-55,-63,-61,-64,-64,-68,-59,-59,-57,-64,-58,-70,-65,-72,-73,-72,-75,-86,-88,-86,-200,-79,-87,-84,-89,-86,-91,-200,-94,-81,-89,-70,-77,-81,-89,-90,-95,-96,-200,-91,-92,-200,-92,-90,-92,-200,-95,-88,-200,-200,-97,-88,-200,-200,-92,-200,-200,-97,-200,-200,-95,-200,-200,-200,-92,-82,-200,-94,-200,-77,-92,-93,-94,-97,-97,-94,-200,-200,-200,-97,-200,-200,-200,-200,-94,-200,-200,-200,-200,-200,-96
1526447743218,-30,-64,-49,-46,-43,-57,-66,-62,-65,-59,-62,-66,-63,-58,-66,-60,-71,-68,-76,-72,-78,-73,-87,-88,-86,-200,-79,-88,-84,-89,-86,-90,-200,-90,-81,-89,-78,-76,-82,-93,-90,-93,-96,-200,-200,-90,-96,-96,-90,-92,-200,-93,-89,-200,-94,-97,-88,-200,-200,-92,-200,-200,-97,-96,-200,-93,-200,-200,-200,-200,-82,-200,-94,-200,-75,-92,-93,-94,-200,-97,-94,-200,-200,-200,-95,-200,-200,-97,-200,-94,-200,-200,-200,-200,-200,-96
1526447746260,-23,-65,-48,-47,-40,-59,-58,-61,-66,-63,-71,-66,-65,-59,-66,-55,-73,-68,-76,-76,-71,-73,-87,-88,-84,-200,-80,-88,-83,-90,-87,-90,-200,-89,-82,-89,-83,-78,-82,-92,-89,-93,-200,-200,-94,-89,-96,-96,-90,-91,-200,-93,-89,-200,-94,-93,-88,-200,-200,-200,-200,-200,-200,-96,-200,-97,-96,-200,-200,-200,-82,-90,-94,-200,-75,-92,-93,-91,-200,-200,-200,-200,-200,-200,-95,-200,-200,-97,-200,-200,-97,-200,-200,-200,-200,-200
1526447749301,-29,-62,-49,-47,-45,-58,-61,-68,-67,-61,-66,-63,-67,-61,-66,-58,-65,-68,-75,-74,-78,-74,-85,-86,-84,-200,-76,-89,-88,-90,-87,-88,-200,-90,-82,-89,-78,-81,-88,-91,-87,-90,-200,-94,-94,-89,-95,-92,-93,-91,-200,-93,-89,-95,-96,-93,-200,-200,-97,-95,-200,-200,-200,-96,-200,-97,-95,-200,-200,-94,-200,-92,-95,-200,-80,-82,-94,-91,-200,-200,-200,-200,-200,-200,-95,-200,-200,-97,-200,-200,-97,-200,-200,-200,-200,-200
