,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526448018947,-56,-56,-54,-54,-67,-61,-68,-61,-65,-65,-67,-63,-68,-76,-77,-84,-81,-82,-82,-79,-74,-82,-85,-87,-90,-85,-91,-89,-90,-90,-88,-200,-94,-97,-95,-68,-97,-93,-91,-91,-94,-200,-94,-200,-97,-95,-200,-200,-200,-96,-200,-200,-95,-200,-97,-97,-200,-200,-99,-200,-200,-200,-200
1526448021988,-53,-54,-56,-54,-69,-60,-66,-61,-65,-67,-69,-69,-72,-74,-74,-84,-81,-81,-82,-77,-77,-87,-86,-88,-87,-82,-92,-90,-90,-91,-87,-200,-94,-97,-96,-91,-200,-92,-92,-91,-91,-200,-94,-200,-200,-95,-200,-95,-200,-200,-200,-200,-95,-200,-200,-97,-200,-200,-99,-200,-200,-200,-200
1526448025024,-55,-55,-59,-55,-64,-59,-68,-61,-72,-67,-69,-65,-69,-77,-75,-77,-83,-80,-83,-77,-78,-88,-87,-94,-86,-82,-87,-90,-91,-93,-88,-200,-93,-200,-96,-92,-200,-93,-92,-91,-91,-200,-94,-200,-200,-200,-97,-95,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-99,-95,-96,-200,-200
1526448028067,-49,-55,-63,-54,-69,-60,-66,-60,-75,-69,-69,-68,-66,-71,-72,-85,-82,-81,-85,-77,-78,-89,-87,-90,-86,-90,-89,-90,-92,-93,-87,-200,-93,-200,-96,-92,-200,-94,-92,-91,-91,-200,-96,-200,-200,-200,-97,-95,-200,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-95,-96,-200,-200
1526448031104,-50,-55,-60,-54,-66,-59,-69,-59,-66,-63,-70,-69,-67,-75,-77,-85,-86,-82,-80,-200,-66,-87,-89,-86,-86,-89,-88,-90,-94,-89,-89,-200,-90,-200,-200,-92,-200,-94,-95,-92,-95,-200,-96,-200,-200,-200,-97,-97,-200,-200,-200,-200,-93,-200,-200,-200,-200,-97,-200,-95,-96,-200,-200
1526448034145,-48,-57,-58,-54,-68,-59,-62,-62,-71,-63,-68,-68,-69,-77,-75,-85,-80,-77,-82,-76,-76,-94,-85,-88,-85,-82,-90,-88,-94,-90,-88,-200,-90,-200,-200,-88,-200,-93,-93,-89,-95,-200,-96,-200,-200,-96,-95,-97,-200,-200,-200,-200,-93,-99,-200,-200,-200,-97,-200,-200,-200,-90,-200
1526448037188,-54,-58,-65,-54,-70,-61,-64,-61,-75,-65,-72,-74,-68,-73,-81,-200,-86,-80,-82,-74,-79,-88,-89,-88,-87,-85,-90,-88,-92,-88,-88,-200,-90,-200,-94,-94,-200,-93,-93,-88,-95,-200,-96,-200,-200,-94,-95,-97,-200,-200,-200,-200,-93,-99,-200,-200,-200,-97,-200,-200,-200,-90,-200
1526448040230,-52,-57,-61,-55,-68,-59,-67,-62,-71,-65,-70,-73,-63,-71,-71,-200,-85,-80,-81,-74,-75,-96,-88,-89,-88,-85,-90,-89,-91,-88,-89,-200,-88,-94,-96,-94,-96,-93,-93,-88,-95,-200,-96,-200,-97,-94,-96,-200,-200,-200,-200,-200,-200,-99,-97,-200,-200,-97,-200,-200,-200,-90,-200
1526448043269,-53,-56,-61,-54,-63,-58,-67,-61,-72,-64,-69,-71,-68,-81,-72,-82,-84,-80,-84,-77,-76,-94,-88,-92,-87,-82,-91,-89,-90,-94,-90,-200,-88,-94,-96,-89,-96,-93,-200,-89,-95,-91,-96,-200,-97,-94,-96,-200,-200,-99,-96,-200,-200,-200,-97,-200,-200,-97,-200,-200,-200,-200,-200
1526448046314,-56,-58,-61,-53,-68,-60,-63,-64,-81,-67,-69,-77,-69,-73,-83,-84,-83,-79,-82,-75,-76,-87,-88,-87,-85,-83,-92,-89,-94,-91,-90,-200,-90,-94,-96,-89,-96,-93,-92,-87,-95,-91,-96,-200,-97,-200,-96,-96,-200,-99,-96,-200,-200,-200,-97,-97,-200,-97,-200,-97,-200,-200,-89
1526448049360,-47,-66,-53,-52,-66,-58,-61,-59,-74,-68,-70,-75,-77,-77,-77,-79,-81,-77,-85,-74,-76,-85,-87,-88,-81,-88,-89,-84,-93,-91,-95,-200,-94,-94,-97,-89,-98,-95,-91,-90,-90,-200,-96,-95,-200,-200,-97,-96,-200,-98,-200,-96,-200,-200,-200,-97,-97,-96,-200,-97,-200,-200,-84
1526448052405,-46,-61,-64,-52,-64,-57,-65,-60,-85,-67,-71,-68,-71,-74,-73,-80,-79,-79,-81,-74,-79,-83,-88,-88,-82,-80,-89,-88,-93,-90,-91,-200,-91,-94,-97,-89,-95,-92,-92,-91,-95,-200,-96,-95,-200,-200,-97,-96,-200,-98,-200,-96,-95,-96,-200,-97,-97,-96,-200,-97,-200,-200,-84
