,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526448775056,-37,-49,-50,-50,-72,-67,-45,-67,-63,-65,-58,-58,-70,-59,-71,-70,-72,-68,-67,-80,-80,-77,-80,-90,-77,-87,-86,-78,-200,-85,-200,-82,-94,-91,-84,-86,-85,-94,-85,-77,-89,-92,-99,-80,-87,-86,-87,-92,-200,-91,-95,-92,-93,-200,-97,-200,-200,-200,-200,-94,-200,-97,-92,-95,-97,-96,-200,-94,-96,-97,-200,-200,-84,-84,-95,-200,-200,-94,-200,-200,-96,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448778097,-32,-53,-50,-49,-61,-70,-46,-66,-69,-64,-56,-53,-80,-48,-71,-70,-88,-55,-71,-87,-83,-77,-80,-88,-76,-83,-86,-77,-84,-85,-200,-90,-93,-91,-84,-84,-85,-94,-86,-77,-91,-90,-99,-80,-91,-83,-82,-92,-200,-200,-95,-90,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-95,-97,-200,-200,-94,-96,-200,-200,-92,-85,-81,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-97,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448781139,-37,-51,-50,-56,-62,-73,-49,-63,-60,-66,-60,-60,-63,-58,-74,-70,-71,-77,-64,-87,-83,-80,-82,-88,-76,-83,-80,-83,-89,-90,-200,-90,-93,-91,-88,-84,-85,-91,-87,-77,-91,-93,-99,-200,-93,-87,-87,-92,-200,-200,-200,-95,-95,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-95,-97,-200,-200,-94,-96,-98,-200,-92,-87,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448784187,-35,-51,-49,-59,-63,-70,-48,-65,-63,-70,-59,-63,-63,-60,-72,-69,-87,-72,-66,-79,-83,-76,-86,-88,-79,-82,-80,-76,-89,-91,-200,-90,-93,-92,-88,-84,-90,-95,-85,-75,-91,-90,-200,-200,-94,-85,-78,-92,-200,-200,-200,-92,-94,-200,-200,-200,-200,-200,-200,-200,-200,-200,-91,-94,-96,-200,-200,-94,-200,-98,-95,-94,-59,-80,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-91,-83,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526448787230,-34,-62,-53,-54,-62,-67,-47,-63,-67,-70,-57,-59,-66,-65,-71,-67,-69,-72,-76,-75,-84,-76,-83,-200,-80,-83,-89,-72,-89,-83,-200,-200,-91,-90,-90,-90,-88,-94,-81,-75,-88,-91,-94,-200,-89,-81,-85,-92,-200,-94,-200,-91,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-94,-96,-200,-200,-94,-200,-98,-95,-94,-59,-80,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-91,-83,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526448790271,-35,-59,-51,-60,-59,-70,-49,-60,-68,-71,-59,-65,-64,-68,-75,-67,-74,-72,-69,-78,-85,-76,-80,-200,-80,-86,-89,-76,-200,-85,-200,-200,-94,-92,-91,-91,-88,-94,-83,-78,-91,-93,-94,-200,-91,-86,-88,-94,-200,-94,-200,-93,-91,-200,-200,-92,-200,-200,-200,-200,-200,-200,-89,-94,-96,-200,-200,-94,-200,-200,-95,-94,-87,-80,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-93,-83,-96,-200,-200,-200,-200,-200,-200,-200,-200
1526448793313,-39,-70,-59,-60,-58,-67,-50,-64,-66,-70,-57,-61,-68,-65,-73,-69,-82,-70,-70,-81,-84,-200,-79,-200,-80,-85,-85,-78,-83,-83,-200,-200,-95,-92,-91,-91,-88,-94,-83,-78,-91,-87,-94,-200,-91,-88,-87,-94,-200,-94,-200,-93,-91,-200,-200,-92,-200,-200,-200,-200,-200,-200,-89,-92,-96,-200,-200,-200,-200,-200,-97,-94,-87,-81,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448796350,-36,-59,-55,-58,-62,-76,-47,-65,-64,-70,-60,-63,-61,-60,-74,-70,-75,-72,-66,-78,-89,-200,-85,-200,-78,-85,-85,-76,-83,-85,-200,-200,-95,-92,-94,-89,-91,-96,-84,-88,-89,-93,-95,-84,-90,-84,-88,-94,-200,-95,-200,-90,-200,-200,-200,-92,-200,-200,-200,-98,-200,-200,-200,-92,-96,-200,-200,-95,-200,-200,-97,-200,-86,-80,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-100,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448799398,-36,-63,-57,-61,-59,-72,-50,-71,-65,-67,-57,-66,-61,-64,-80,-71,-71,-72,-77,-78,-88,-200,-82,-200,-78,-89,-88,-76,-83,-90,-200,-200,-96,-92,-95,-90,-91,-95,-81,-82,-88,-90,-93,-84,-92,-89,-83,-96,-200,-95,-200,-94,-95,-200,-200,-200,-200,-200,-200,-98,-200,-200,-200,-92,-96,-200,-200,-95,-200,-200,-97,-95,-88,-81,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-100,-94,-200,-97,-89,-96,-97,-200,-200,-200,-200,-200
1526448802449,-42,-57,-53,-57,-60,-68,-53,-68,-65,-69,-56,-59,-63,-54,-72,-69,-73,-71,-69,-75,-88,-200,-79,-200,-80,-83,-86,-81,-86,-90,-200,-200,-95,-92,-85,-90,-88,-95,-81,-82,-89,-84,-92,-86,-89,-86,-85,-99,-200,-95,-200,-90,-95,-200,-200,-90,-200,-200,-200,-92,-200,-200,-92,-200,-200,-92,-200,-92,-200,-200,-200,-95,-83,-83,-94,-200,-200,-95,-200,-200,-200,-200,-200,-200,-100,-94,-200,-97,-89,-96,-97,-90,-97,-200,-200,-200
1526448805494,-46,-61,-60,-58,-62,-61,-52,-64,-63,-68,-64,-58,-65,-69,-76,-65,-75,-70,-71,-81,-86,-200,-81,-200,-78,-83,-84,-78,-89,-76,-200,-200,-94,-90,-85,-90,-90,-95,-82,-82,-90,-89,-92,-86,-91,-86,-86,-99,-200,-200,-200,-88,-95,-200,-200,-90,-200,-200,-200,-92,-200,-200,-92,-95,-200,-92,-200,-95,-200,-200,-200,-95,-83,-83,-92,-200,-200,-95,-200,-200,-200,-200,-200,-200,-200,-94,-200,-97,-89,-96,-97,-90,-97,-95,-200,-200
1526448808544,-48,-58,-50,-60,-62,-67,-52,-71,-64,-69,-56,-57,-64,-72,-75,-66,-74,-72,-70,-82,-86,-200,-80,-200,-78,-82,-86,-81,-86,-89,-200,-200,-94,-89,-85,-93,-88,-95,-81,-200,-90,-90,-95,-86,-91,-89,-80,-92,-200,-200,-200,-89,-200,-200,-200,-90,-200,-200,-200,-92,-200,-97,-86,-92,-96,-92,-200,-95,-200,-200,-200,-200,-87,-83,-92,-200,-200,-93,-200,-200,-200,-200,-200,-200,-96,-200,-200,-200,-92,-95,-200,-90,-97,-96,-90,-94
