,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D02A38,DLINK_D02A10,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,DLINK_D00ED8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A58,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526457449062,-37,-33,-50,-58,-58,-53,-52,-50,-61,-48,-52,-64,-51,-73,-59,-49,-68,-65,-82,-79,-61,-69,-85,-72,-76,-65,-64,-67,-79,-75,-75,-95,-85,-86,-80,-83,-82,-88,-94,-85,-66,-84,-200,-90,-89,-200,-76,-98,-200,-93,-93,-93,-88,-87,-92,-200,-200,-92,-91,-93,-92,-88,-200,-95,-200,-94,-77,-96,-93,-94,-96,-200,-95,-200,-99,-200,-95,-96,-200,-64,-200,-90,-93,-200,-200,-81,-200,-86,-200,-200,-200,-97,-200,-200,-200,-200,-200
1526457452113,-39,-32,-38,-56,-55,-52,-58,-53,-65,-50,-200,-63,-60,-73,-66,-54,-76,-61,-67,-74,-60,-69,-68,-77,-76,-66,-68,-72,-76,-200,-77,-74,-200,-86,-78,-83,-75,-82,-87,-89,-66,-84,-200,-90,-88,-200,-79,-92,-92,-93,-93,-86,-79,-87,-92,-200,-92,-91,-88,-90,-92,-88,-200,-95,-200,-90,-83,-96,-200,-95,-92,-200,-95,-200,-99,-200,-95,-95,-200,-63,-74,-85,-93,-200,-200,-200,-200,-200,-200,-94,-93,-97,-92,-200,-200,-200,-200
1526457455157,-39,-35,-45,-68,-55,-54,-54,-51,-58,-45,-200,-62,-60,-77,-58,-48,-76,-61,-77,-74,-61,-66,-82,-67,-83,-62,-73,-72,-81,-76,-74,-77,-200,-86,-78,-91,-79,-81,-85,-85,-200,-84,-200,-90,-89,-200,-76,-92,-92,-91,-93,-86,-89,-90,-92,-200,-89,-91,-91,-89,-92,-95,-74,-200,-200,-94,-79,-95,-200,-95,-95,-200,-95,-200,-200,-200,-200,-95,-200,-60,-74,-93,-200,-200,-200,-200,-200,-200,-200,-94,-92,-97,-92,-84,-200,-200,-200
1526457458201,-37,-34,-42,-62,-53,-50,-57,-53,-60,-45,-64,-64,-58,-73,-59,-45,-76,-64,-75,-74,-64,-66,-82,-69,-83,-62,-75,-78,-81,-74,-71,-76,-200,-200,-74,-87,-79,-80,-93,-85,-200,-200,-200,-90,-88,-200,-76,-88,-92,-91,-94,-90,-89,-90,-200,-200,-90,-84,-94,-89,-200,-95,-84,-94,-200,-94,-79,-95,-200,-95,-95,-200,-95,-200,-95,-85,-200,-95,-200,-63,-74,-93,-200,-200,-200,-76,-200,-92,-200,-90,-92,-200,-92,-84,-200,-200,-200
1526457461246,-37,-33,-41,-64,-54,-50,-60,-51,-61,-54,-64,-66,-55,-69,-61,-61,-72,-77,-67,-74,-62,-76,-82,-77,-76,-66,-74,-70,-75,-74,-77,-75,-200,-81,-76,-84,-78,-82,-95,-92,-200,-88,-200,-90,-84,-200,-80,-92,-92,-91,-93,-92,-89,-90,-91,-200,-85,-84,-93,-92,-200,-91,-84,-94,-200,-92,-79,-94,-200,-200,-90,-200,-95,-200,-95,-85,-200,-200,-200,-68,-78,-89,-200,-200,-200,-84,-200,-92,-200,-90,-91,-200,-200,-84,-97,-200,-200
1526457464295,-33,-33,-35,-59,-54,-49,-54,-50,-68,-50,-68,-65,-55,-71,-59,-48,-72,-77,-70,-73,-66,-70,-72,-74,-76,-73,-74,-71,-83,-78,-73,-75,-200,-81,-81,-86,-83,-76,-89,-92,-200,-88,-200,-90,-84,-200,-80,-92,-95,-93,-93,-83,-200,-90,-89,-200,-86,-88,-89,-92,-200,-91,-84,-96,-98,-92,-84,-94,-94,-94,-90,-200,-95,-200,-95,-85,-200,-200,-200,-68,-78,-89,-94,-200,-200,-84,-200,-92,-200,-94,-91,-98,-200,-200,-97,-200,-200
1526457467346,-41,-34,-42,-66,-56,-52,-55,-53,-65,-47,-68,-68,-59,-69,-71,-55,-71,-74,-65,-73,-63,-67,-69,-75,-81,-64,-81,-74,-72,-77,-76,-79,-200,-81,-80,-91,-82,-83,-91,-90,-85,-87,-200,-92,-89,-200,-82,-87,-90,-93,-93,-83,-85,-90,-89,-200,-86,-84,-89,-94,-84,-90,-84,-95,-98,-92,-84,-94,-94,-94,-92,-200,-95,-200,-200,-70,-200,-200,-200,-66,-78,-89,-94,-200,-200,-84,-200,-200,-200,-94,-91,-98,-200,-200,-97,-98,-200
1526457470382,-37,-34,-41,-61,-54,-52,-54,-51,-65,-47,-68,-70,-58,-73,-67,-59,-75,-74,-65,-78,-61,-71,-70,-73,-79,-64,-76,-65,-74,-77,-76,-74,-200,-200,-77,-87,-82,-82,-93,-90,-85,-87,-200,-94,-88,-200,-82,-85,-90,-93,-200,-87,-88,-90,-89,-200,-85,-84,-90,-88,-84,-90,-78,-95,-98,-92,-84,-94,-90,-94,-92,-200,-96,-200,-200,-70,-200,-200,-200,-68,-200,-88,-94,-200,-200,-83,-200,-200,-200,-94,-91,-98,-200,-80,-200,-98,-200
1526457473424,-38,-28,-40,-64,-52,-50,-60,-50,-57,-50,-66,-68,-61,-69,-57,-58,-71,-65,-67,-75,-61,-64,-78,-76,-75,-64,-80,-62,-79,-77,-77,-74,-200,-200,-78,-91,-78,-83,-91,-92,-85,-88,-200,-92,-87,-200,-76,-90,-90,-94,-95,-91,-88,-91,-200,-200,-89,-87,-93,-88,-84,-90,-78,-96,-200,-200,-93,-96,-90,-200,-94,-200,-96,-200,-200,-70,-200,-200,-200,-68,-77,-91,-200,-200,-200,-80,-200,-200,-200,-93,-91,-200,-200,-86,-200,-98,-200
1526457476469,-41,-31,-44,-66,-54,-52,-60,-49,-64,-47,-66,-61,-59,-69,-57,-43,-71,-68,-74,-74,-61,-65,-73,-74,-75,-64,-73,-63,-81,-200,-73,-74,-200,-200,-77,-84,-88,-86,-89,-87,-200,-92,-200,-92,-85,-200,-78,-93,-93,-94,-95,-88,-88,-91,-200,-200,-87,-87,-91,-88,-94,-90,-78,-96,-200,-200,-78,-96,-95,-200,-94,-200,-96,-200,-200,-200,-200,-200,-200,-65,-83,-91,-200,-200,-200,-80,-200,-93,-200,-93,-91,-200,-200,-86,-200,-200,-200
1526457479514,-40,-32,-48,-60,-56,-50,-59,-53,-63,-46,-66,-63,-58,-73,-61,-45,-73,-61,-73,-73,-62,-67,-75,-75,-79,-65,-71,-72,-83,-69,-76,-75,-200,-88,-76,-85,-88,-82,-89,-87,-200,-92,-200,-89,-89,-200,-76,-94,-91,-94,-95,-88,-75,-90,-200,-200,-87,-82,-91,-88,-94,-95,-200,-96,-200,-94,-78,-96,-95,-200,-95,-200,-200,-200,-95,-200,-98,-200,-200,-64,-76,-91,-200,-200,-200,-80,-200,-93,-200,-93,-91,-200,-200,-86,-200,-200,-88
1526457482578,-37,-32,-46,-67,-55,-52,-60,-48,-61,-47,-68,-64,-57,-73,-59,-50,-77,-69,-73,-79,-62,-71,-75,-75,-76,-64,-66,-69,-79,-73,-76,-74,-200,-88,-75,-87,-78,-83,-90,-86,-200,-92,-200,-88,-90,-200,-75,-95,-91,-200,-95,-94,-86,-90,-94,-200,-87,-88,-91,-86,-92,-96,-75,-97,-200,-96,-78,-200,-95,-95,-96,-200,-200,-200,-95,-200,-98,-200,-200,-68,-76,-200,-95,-200,-200,-80,-200,-90,-200,-200,-91,-200,-200,-84,-200,-200,-88
