,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,DLINK_D02A48,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,DLINK_D02A10,DLINK_D02A18,D-Link_DIR-823Pro
1526457689172,-32,-54,-41,-43,-68,-49,-47,-61,-68,-57,-65,-58,-51,-64,-62,-41,-66,-58,-71,-82,-58,-77,-77,-90,-73,-72,-200,-80,-70,-81,-200,-78,-68,-80,-80,-90,-79,-79,-81,-200,-200,-85,-87,-91,-94,-94,-92,-96,-92,-200,-200,-83,-91,-200,-86,-87,-95,-91,-200,-96,-89,-200,-91,-86,-200,-200,-200,-93,-79,-200,-86,-96,-200,-200,-200,-86,-200,-200,-84,-94,-200,-200,-200,-200,-94,-200,-200,-200,-89,-92,-200,-95,-92,-96,-79,-200,-200
1526457692218,-25,-57,-39,-45,-57,-46,-46,-52,-66,-57,-64,-56,-51,-64,-67,-42,-74,-56,-69,-76,-62,-71,-74,-90,-73,-71,-200,-81,-80,-81,-200,-77,-72,-80,-86,-88,-79,-74,-87,-200,-200,-85,-87,-91,-93,-94,-90,-200,-91,-200,-91,-83,-96,-200,-86,-90,-94,-200,-94,-96,-89,-200,-93,-85,-200,-200,-200,-93,-84,-200,-80,-92,-200,-200,-200,-80,-200,-200,-85,-95,-200,-200,-200,-200,-94,-200,-200,-200,-89,-92,-200,-200,-200,-96,-79,-200,-200
1526457695270,-30,-55,-38,-47,-64,-45,-47,-55,-69,-55,-68,-55,-54,-63,-56,-43,-66,-55,-72,-80,-60,-78,-79,-88,-72,-68,-76,-82,-79,-75,-200,-80,-72,-81,-83,-89,-79,-76,-82,-200,-200,-85,-200,-93,-90,-94,-90,-95,-92,-86,-91,-91,-92,-200,-82,-87,-94,-92,-94,-96,-95,-200,-93,-89,-200,-93,-200,-93,-83,-200,-88,-92,-200,-200,-200,-83,-93,-200,-83,-95,-200,-200,-200,-94,-93,-200,-200,-200,-77,-200,-200,-99,-200,-200,-79,-200,-200
1526457698319,-30,-55,-41,-38,-64,-47,-50,-55,-68,-57,-67,-55,-53,-62,-67,-41,-65,-58,-71,-79,-60,-76,-76,-85,-73,-68,-76,-81,-80,-75,-200,-80,-72,-79,-83,-89,-79,-77,-86,-200,-200,-84,-92,-95,-88,-94,-92,-95,-92,-87,-91,-88,-90,-200,-82,-89,-94,-89,-94,-94,-92,-200,-93,-89,-200,-93,-200,-93,-83,-95,-88,-95,-200,-98,-200,-80,-93,-200,-86,-95,-200,-200,-200,-92,-93,-200,-200,-200,-77,-200,-200,-99,-200,-200,-200,-200,-200
1526457701376,-30,-55,-39,-43,-64,-46,-46,-53,-73,-57,-68,-60,-52,-64,-67,-44,-66,-55,-73,-81,-60,-78,-76,-88,-65,-65,-76,-82,-78,-76,-200,-81,-74,-79,-83,-87,-78,-76,-80,-200,-200,-84,-90,-95,-92,-95,-90,-95,-92,-91,-91,-84,-92,-81,-82,-87,-200,-89,-94,-94,-92,-95,-200,-89,-200,-93,-200,-93,-82,-95,-88,-95,-200,-98,-200,-80,-93,-200,-86,-200,-200,-200,-200,-92,-94,-200,-200,-95,-77,-200,-200,-99,-200,-200,-200,-200,-200
1526457704422,-33,-57,-40,-44,-200,-44,-48,-53,-64,-56,-68,-58,-52,-64,-66,-40,-66,-56,-72,-81,-63,-72,-80,-84,-72,-65,-200,-82,-73,-77,-200,-79,-72,-82,-81,-85,-78,-76,-81,-200,-200,-84,-85,-95,-89,-94,-87,-200,-92,-91,-91,-84,-89,-97,-82,-85,-200,-91,-94,-94,-92,-95,-94,-89,-200,-200,-200,-92,-82,-95,-88,-95,-200,-98,-200,-80,-200,-200,-84,-91,-200,-200,-200,-89,-94,-91,-200,-95,-89,-97,-200,-200,-200,-200,-200,-200,-200
1526457707471,-31,-64,-41,-44,-200,-48,-51,-66,-64,-56,-71,-58,-56,-63,-66,-41,-70,-56,-74,-77,-58,-76,-80,-84,-73,-72,-200,-82,-72,-77,-200,-76,-74,-77,-81,-84,-78,-75,-87,-200,-200,-84,-85,-200,-90,-94,-85,-200,-92,-91,-95,-84,-94,-97,-81,-85,-200,-92,-91,-200,-200,-96,-95,-200,-200,-200,-87,-92,-87,-96,-88,-200,-200,-200,-200,-84,-200,-200,-88,-91,-200,-200,-200,-89,-92,-91,-200,-95,-89,-97,-200,-200,-200,-200,-78,-200,-200
1526457710523,-25,-61,-42,-46,-200,-47,-50,-64,-71,-55,-68,-58,-56,-60,-63,-28,-80,-54,-70,-80,-60,-76,-81,-84,-74,-72,-200,-80,-72,-85,-200,-75,-70,-77,-82,-84,-78,-73,-87,-200,-88,-82,-85,-92,-89,-94,-85,-200,-96,-91,-92,-200,-89,-80,-82,-85,-200,-92,-89,-200,-200,-96,-95,-86,-200,-200,-95,-92,-87,-96,-88,-94,-200,-200,-200,-88,-200,-200,-91,-91,-200,-200,-200,-88,-92,-91,-200,-95,-89,-97,-200,-96,-200,-200,-78,-79,-200
1526457713576,-25,-67,-40,-44,-200,-48,-48,-67,-75,-57,-70,-58,-55,-61,-64,-41,-79,-56,-67,-79,-57,-84,-81,-88,-69,-73,-200,-80,-73,-82,-200,-78,-71,-79,-82,-83,-79,-73,-87,-200,-85,-86,-200,-93,-91,-200,-85,-94,-96,-89,-93,-200,-89,-80,-82,-92,-93,-92,-93,-200,-200,-96,-95,-87,-200,-200,-95,-96,-85,-95,-200,-93,-200,-200,-200,-87,-200,-200,-88,-200,-200,-200,-200,-89,-92,-200,-200,-96,-89,-200,-92,-96,-200,-200,-78,-74,-200
1526457716624,-26,-61,-40,-44,-68,-46,-48,-60,-65,-57,-69,-55,-61,-60,-72,-38,-80,-57,-73,-86,-64,-76,-84,-84,-68,-71,-200,-84,-74,-79,-200,-77,-71,-81,-84,-84,-82,-73,-87,-200,-89,-81,-95,-93,-91,-200,-86,-94,-96,-88,-93,-91,-86,-80,-83,-94,-93,-200,-93,-200,-200,-95,-94,-87,-95,-94,-95,-96,-83,-95,-200,-93,-200,-200,-200,-87,-200,-200,-90,-200,-200,-200,-200,-91,-92,-92,-200,-96,-90,-200,-92,-96,-200,-200,-200,-74,-200
1526457719669,-24,-60,-44,-45,-68,-45,-52,-64,-69,-54,-70,-57,-56,-60,-63,-39,-75,-57,-71,-82,-62,-78,-86,-86,-70,-73,-200,-79,-70,-82,-200,-77,-73,-79,-80,-84,-82,-74,-90,-200,-89,-80,-95,-93,-91,-200,-83,-94,-95,-90,-93,-91,-87,-200,-81,-94,-93,-92,-92,-200,-200,-95,-95,-86,-95,-94,-200,-96,-83,-95,-200,-93,-200,-200,-200,-87,-200,-200,-89,-200,-200,-200,-200,-91,-92,-92,-200,-96,-90,-200,-91,-200,-200,-200,-200,-74,-90
1526457722716,-31,-60,-42,-45,-68,-47,-50,-66,-72,-55,-67,-56,-59,-60,-62,-39,-72,-56,-72,-80,-58,-73,-86,-86,-74,-73,-200,-84,-72,-79,-200,-78,-74,-80,-81,-83,-82,-75,-88,-200,-91,-87,-95,-200,-91,-200,-85,-88,-94,-90,-92,-91,-91,-200,-81,-90,-200,-93,-92,-200,-200,-96,-95,-86,-95,-92,-200,-200,-85,-94,-200,-200,-200,-200,-200,-200,-200,-200,-89,-91,-200,-200,-200,-91,-92,-92,-200,-200,-90,-200,-91,-200,-200,-200,-200,-80,-90
