,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D00EB8,DLINK_D00E98,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526448980434,-40,-45,-50,-43,-52,-48,-51,-60,-49,-61,-71,-74,-60,-64,-65,-62,-64,-60,-71,-70,-69,-77,-67,-74,-78,-71,-87,-72,-88,-78,-82,-86,-80,-71,-77,-76,-70,-77,-81,-74,-89,-82,-83,-79,-85,-90,-83,-86,-87,-92,-85,-86,-86,-90,-89,-200,-90,-89,-90,-88,-200,-200,-78,-90,-200,-200,-200,-89,-200,-90,-90,-90,-91,-80,-89,-88,-89,-200,-200,-90,-90,-91,-85,-90,-200,-200,-200,-200
1526448983467,-43,-47,-49,-45,-47,-49,-49,-61,-53,-59,-71,-72,-59,-65,-68,-68,-67,-65,-71,-70,-71,-78,-66,-73,-78,-74,-89,-70,-88,-79,-82,-88,-78,-71,-77,-78,-67,-77,-82,-73,-83,-83,-83,-76,-85,-90,-83,-86,-87,-92,-86,-85,-86,-89,-87,-200,-88,-89,-90,-91,-91,-200,-85,-88,-200,-200,-200,-89,-90,-89,-89,-90,-91,-80,-88,-88,-89,-91,-200,-90,-90,-92,-85,-90,-78,-89,-200,-200
1526448986479,-39,-49,-49,-44,-51,-52,-52,-59,-48,-61,-72,-70,-61,-65,-72,-67,-69,-66,-71,-68,-71,-76,-65,-73,-85,-77,-87,-67,-86,-84,-80,-86,-78,-79,-76,-81,-67,-77,-84,-73,-84,-84,-81,-78,-85,-90,-84,-85,-91,-91,-85,-86,-83,-91,-89,-89,-91,-200,-90,-88,-91,-200,-78,-89,-90,-89,-200,-89,-92,-89,-89,-200,-91,-88,-88,-90,-89,-90,-200,-90,-200,-92,-85,-90,-73,-89,-89,-200
1526448989491,-38,-49,-52,-43,-49,-52,-50,-61,-49,-65,-70,-70,-61,-66,-67,-66,-71,-65,-70,-69,-68,-73,-63,-70,-77,-73,-87,-68,-84,-84,-83,-86,-73,-79,-78,-79,-66,-76,-84,-82,-82,-83,-84,-80,-83,-90,-84,-85,-91,-90,-84,-86,-83,-87,-89,-91,-88,-200,-90,-88,-91,-200,-80,-89,-90,-89,-91,-87,-92,-89,-89,-200,-89,-88,-88,-88,-200,-90,-200,-200,-200,-92,-200,-90,-73,-89,-89,-200
1526448992517,-44,-47,-49,-43,-49,-52,-53,-59,-49,-60,-68,-70,-59,-64,-68,-62,-67,-67,-71,-73,-70,-73,-62,-77,-82,-71,-87,-57,-84,-79,-81,-88,-73,-80,-77,-74,-70,-76,-82,-73,-83,-82,-85,-79,-83,-200,-85,-87,-91,-90,-84,-86,-84,-91,-85,-91,-90,-200,-200,-90,-200,-200,-77,-89,-91,-91,-91,-88,-92,-200,-89,-200,-89,-88,-91,-87,-91,-90,-200,-200,-89,-89,-85,-93,-73,-200,-91,-200
1526448995532,-43,-44,-50,-46,-53,-52,-47,-62,-50,-59,-69,-70,-58,-63,-66,-68,-67,-62,-70,-72,-69,-76,-64,-73,-78,-71,-79,-72,-84,-79,-82,-88,-80,-80,-78,-83,-63,-77,-83,-74,-83,-83,-81,-79,-83,-90,-85,-87,-91,-90,-85,-86,-85,-91,-89,-91,-90,-200,-90,-90,-200,-200,-83,-88,-91,-91,-90,-88,-92,-200,-89,-200,-89,-88,-91,-87,-91,-200,-200,-200,-91,-89,-85,-90,-76,-200,-91,-200
1526448998562,-40,-47,-48,-45,-49,-52,-51,-61,-51,-62,-72,-200,-59,-66,-67,-63,-69,-62,-70,-73,-71,-73,-64,-73,-83,-76,-79,-65,-84,-84,-80,-85,-75,-77,-78,-78,-68,-77,-86,-75,-84,-85,-79,-80,-83,-90,-85,-87,-200,-90,-85,-85,-85,-90,-82,-92,-93,-92,-90,-89,-200,-200,-77,-90,-91,-91,-89,-88,-200,-200,-89,-200,-90,-200,-91,-89,-91,-200,-200,-200,-91,-89,-85,-91,-76,-200,-91,-200
1526449001590,-38,-41,-51,-43,-56,-54,-49,-61,-53,-60,-48,-200,-55,-67,-64,-63,-73,-64,-70,-66,-68,-73,-63,-73,-79,-71,-80,-72,-200,-74,-84,-89,-79,-72,-76,-79,-68,-75,-81,-72,-83,-82,-79,-80,-200,-90,-85,-87,-200,-91,-83,-87,-85,-90,-88,-92,-93,-92,-90,-89,-200,-200,-83,-90,-89,-90,-89,-88,-200,-89,-89,-91,-89,-200,-91,-89,-91,-200,-200,-90,-88,-89,-85,-91,-76,-200,-89,-90
1526449004621,-39,-41,-51,-43,-53,-50,-50,-61,-51,-61,-69,-71,-58,-65,-63,-63,-66,-64,-71,-72,-70,-78,-66,-72,-84,-71,-84,-72,-87,-77,-83,-90,-83,-76,-78,-79,-60,-77,-81,-72,-85,-82,-82,-78,-200,-90,-200,-200,-200,-91,-84,-87,-85,-90,-88,-92,-88,-92,-90,-89,-200,-200,-85,-91,-89,-90,-89,-200,-200,-90,-92,-91,-89,-200,-200,-89,-91,-200,-200,-90,-90,-200,-200,-91,-76,-200,-89,-90
1526449007632,-39,-48,-48,-40,-49,-52,-50,-59,-50,-62,-68,-71,-57,-62,-74,-63,-69,-67,-70,-68,-69,-74,-66,-72,-87,-72,-84,-65,-85,-80,-83,-87,-77,-76,-77,-83,-66,-76,-83,-73,-85,-82,-82,-80,-82,-90,-83,-200,-200,-91,-84,-87,-85,-90,-88,-92,-88,-92,-90,-89,-200,-200,-84,-89,-89,-90,-89,-88,-200,-90,-90,-91,-90,-200,-200,-89,-90,-200,-200,-90,-89,-200,-200,-90,-200,-200,-89,-90
1526449010662,-41,-50,-49,-43,-45,-51,-52,-58,-49,-66,-70,-71,-61,-66,-72,-67,-67,-67,-71,-67,-69,-77,-64,-70,-81,-75,-87,-72,-84,-78,-82,-84,-75,-76,-80,-78,-68,-76,-82,-73,-87,-82,-82,-76,-82,-89,-85,-87,-200,-91,-84,-87,-84,-90,-90,-200,-91,-90,-92,-89,-200,-200,-78,-88,-89,-90,-200,-88,-200,-88,-89,-91,-90,-200,-200,-89,-90,-200,-200,-90,-89,-200,-200,-91,-77,-93,-89,-90
1526449013687,-39,-50,-50,-43,-48,-52,-51,-58,-46,-63,-68,-71,-60,-65,-67,-63,-67,-66,-72,-72,-69,-77,-61,-72,-80,-72,-82,-66,-84,-84,-82,-87,-75,-75,-78,-77,-63,-76,-84,-73,-83,-83,-87,-79,-84,-89,-84,-87,-200,-200,-85,-200,-84,-90,-89,-200,-91,-89,-92,-89,-200,-200,-77,-90,-200,-200,-200,-88,-200,-88,-89,-200,-90,-200,-200,-89,-90,-200,-200,-91,-91,-200,-200,-91,-77,-93,-88,-90
