,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,null,vlucci.com AC-V1.4.0.0
1526448856110,-200,-77,-94,-200,-200,-86,-85,-96,-84,-200,-89,-200,-200,-200,-200,-89,-76,-200,-200,-200,-200
1526448856215,-200,-200,-200,-200,-200,-87,-85,-96,-84,-200,-200,-200,-200,-83,-200,-92,-200,-200,-200,-200,-200
1526448860891,-98,-200,-200,-200,-200,-200,-84,-97,-68,-200,-200,-87,-200,-200,-200,-78,-200,-200,-200,-200,-200
1526448861124,-97,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-200
1526448861229,-98,-200,-200,-200,-200,-100,-84,-95,-200,-200,-89,-200,-200,-200,-200,-200,-81,-89,-200,-200,-200
1526448861541,-89,-200,-95,-200,-200,-200,-84,-200,-200,-62,-90,-88,-200,-200,-200,-200,-200,-200,-88,-200,-200
1526448861656,-88,-200,-200,-200,-200,-97,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448865946,-100,-83,-200,-200,-200,-200,-200,-95,-66,-200,-200,-200,-200,-84,-200,-200,-200,-85,-200,-200,-200
1526448866049,-97,-84,-200,-200,-200,-86,-82,-200,-66,-74,-200,-200,-200,-200,-200,-83,-200,-85,-84,-102,-200
1526448871104,-200,-200,-200,-200,-200,-95,-93,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448871234,-200,-200,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-83,-200,-200,-200,-200,-93,-200,-200
1526448871349,-200,-200,-200,-200,-200,-95,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448871456,-200,-76,-200,-200,-200,-86,-200,-200,-83,-62,-200,-200,-200,-200,-200,-86,-76,-200,-200,-200,-200
1526448871662,-89,-200,-100,-200,-200,-96,-200,-96,-68,-62,-200,-200,-200,-200,-90,-200,-200,-89,-86,-200,-200
1526448876052,-200,-89,-200,-200,-91,-200,-200,-96,-68,-62,-200,-88,-200,-200,-89,-200,-79,-90,-86,-200,-200
1526448876136,-89,-90,-200,-200,-200,-200,-85,-95,-68,-62,-92,-88,-200,-200,-90,-79,-79,-89,-86,-200,-200
1526448876263,-89,-89,-200,-200,-200,-200,-85,-96,-67,-62,-200,-88,-200,-200,-88,-80,-200,-88,-200,-200,-200
1526448880935,-200,-84,-100,-200,-200,-200,-200,-95,-66,-75,-200,-90,-200,-85,-200,-87,-70,-200,-200,-200,-200
1526448881047,-99,-200,-200,-200,-200,-94,-200,-96,-66,-200,-86,-200,-88,-200,-200,-200,-200,-84,-200,-200,-200
1526448881255,-200,-84,-200,-200,-200,-94,-82,-200,-66,-76,-87,-200,-200,-85,-200,-87,-82,-84,-200,-200,-200
1526448881354,-200,-77,-94,-92,-200,-85,-84,-96,-66,-62,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526448886009,-200,-77,-95,-200,-200,-86,-83,-200,-83,-62,-200,-200,-200,-200,-89,-86,-200,-200,-89,-200,-200
1526448886114,-200,-82,-200,-200,-200,-200,-83,-200,-84,-62,-200,-200,-200,-83,-200,-86,-76,-200,-89,-200,-200
1526448886285,-200,-200,-95,-200,-200,-200,-83,-200,-83,-62,-88,-200,-200,-83,-200,-83,-200,-200,-200,-200,-200
1526448890907,-200,-200,-97,-200,-92,-200,-200,-200,-67,-62,-90,-200,-200,-200,-200,-80,-79,-200,-86,-200,-200
1526448891039,-200,-200,-200,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200,-200,-200,-79,-200,-86,-200,-200
1526448891141,-89,-92,-200,-200,-92,-200,-84,-200,-67,-200,-91,-200,-200,-200,-200,-80,-200,-200,-200,-200,-200
1526448891252,-89,-200,-200,-200,-200,-200,-200,-97,-67,-61,-200,-86,-200,-200,-200,-200,-200,-200,-85,-200,-200
1526448896087,-99,-200,-200,-200,-200,-98,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526448896186,-98,-200,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200
1526448896532,-200,-82,-200,-200,-200,-200,-200,-94,-66,-200,-88,-200,-200,-83,-200,-200,-200,-84,-200,-200,-200
1526448900911,-200,-76,-97,-200,-200,-85,-200,-94,-83,-200,-200,-200,-200,-82,-90,-200,-77,-200,-200,-200,-200
1526448901010,-200,-77,-200,-200,-200,-86,-200,-200,-84,-200,-88,-200,-200,-82,-200,-200,-76,-93,-89,-200,-200
1526448901120,-200,-77,-200,-200,-200,-86,-83,-96,-83,-200,-200,-200,-200,-200,-200,-82,-76,-200,-90,-200,-200
1526448901251,-200,-200,-96,-200,-200,-85,-200,-95,-84,-200,-90,-200,-200,-200,-90,-77,-82,-200,-200,-200,-200
1526448905921,-89,-91,-200,-200,-200,-200,-85,-94,-68,-61,-200,-86,-200,-200,-90,-77,-78,-90,-85,-200,-200
1526448906031,-89,-200,-200,-200,-200,-200,-200,-200,-68,-61,-200,-86,-200,-89,-91,-200,-78,-89,-86,-200,-200
1526448906138,-89,-200,-100,-200,-200,-200,-86,-200,-68,-62,-88,-200,-200,-200,-89,-78,-78,-200,-200,-200,-90
1526448906244,-90,-92,-200,-200,-200,-200,-85,-200,-66,-61,-200,-85,-200,-200,-200,-200,-78,-200,-200,-200,-200
1526448911029,-200,-82,-100,-200,-200,-93,-81,-200,-66,-68,-200,-90,-200,-85,-87,-92,-72,-85,-85,-200,-200
1526448911306,-200,-83,-97,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
