,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58
1526460484005,-26,-41,-36,-39,-46,-44,-54,-52,-53,-59,-66,-57,-51,-68,-59,-58,-70,-63,-62,-62,-64,-62,-77,-69,-75,-76,-77,-73,-200,-73,-73,-75,-200,-80,-83,-82,-200,-200,-200,-82,-76,-86,-84,-200,-68,-85,-83,-85,-200,-200,-84,-200,-91,-87,-85,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460487057,-30,-40,-36,-39,-47,-58,-54,-52,-52,-59,-62,-58,-57,-68,-59,-56,-70,-63,-63,-61,-64,-63,-78,-78,-76,-76,-76,-73,-200,-73,-76,-75,-200,-80,-83,-82,-200,-200,-200,-83,-68,-80,-200,-200,-69,-85,-83,-85,-90,-200,-84,-200,-91,-87,-200,-73,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460490103,-29,-40,-36,-40,-51,-58,-54,-52,-52,-52,-59,-57,-56,-59,-61,-56,-63,-65,-64,-62,-64,-63,-76,-78,-76,-76,-76,-73,-200,-73,-76,-75,-200,-80,-83,-80,-200,-77,-200,-83,-68,-80,-200,-200,-69,-200,-83,-85,-90,-200,-83,-92,-91,-87,-200,-73,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460493165,-26,-39,-36,-36,-51,-53,-53,-52,-50,-56,-76,-59,-52,-60,-53,-57,-67,-63,-66,-60,-64,-63,-69,-78,-77,-76,-82,-73,-200,-69,-76,-76,-200,-80,-83,-80,-200,-73,-76,-89,-73,-80,-200,-200,-66,-84,-83,-83,-90,-200,-83,-92,-200,-200,-200,-73,-89,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526460496205,-26,-39,-37,-36,-51,-45,-53,-51,-49,-58,-61,-61,-52,-60,-60,-60,-67,-62,-65,-63,-64,-63,-69,-74,-77,-76,-82,-74,-200,-72,-76,-74,-200,-80,-83,-80,-200,-77,-76,-89,-73,-80,-82,-200,-67,-84,-83,-84,-90,-87,-86,-92,-200,-200,-200,-73,-89,-90,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526460499262,-28,-43,-37,-39,-46,-41,-51,-51,-50,-54,-59,-57,-58,-60,-55,-60,-64,-63,-61,-64,-62,-63,-75,-74,-77,-75,-78,-74,-200,-72,-74,-77,-200,-80,-200,-80,-200,-76,-76,-89,-71,-80,-82,-200,-68,-83,-200,-86,-90,-87,-86,-92,-90,-200,-200,-200,-89,-90,-90,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526460502274,-32,-35,-34,-38,-48,-39,-47,-47,-47,-50,-55,-53,-62,-60,-57,-61,-66,-59,-63,-65,-60,-60,-74,-74,-77,-75,-71,-74,-200,-73,-68,-77,-80,-80,-82,-78,-200,-83,-76,-89,-71,-80,-82,-200,-68,-87,-200,-86,-200,-87,-86,-92,-90,-200,-200,-200,-200,-90,-90,-90,-81,-200,-200,-200,-200,-200,-200,-200
1526460505333,-28,-33,-38,-41,-45,-43,-47,-47,-43,-55,-58,-57,-56,-60,-53,-61,-65,-63,-62,-65,-63,-60,-74,-67,-75,-74,-75,-74,-200,-74,-70,-73,-80,-80,-82,-78,-200,-83,-76,-89,-71,-80,-82,-200,-76,-87,-200,-86,-200,-87,-86,-92,-90,-200,-83,-200,-87,-90,-90,-90,-81,-87,-89,-200,-200,-200,-200,-200
1526460508386,-26,-34,-36,-41,-46,-41,-47,-47,-46,-58,-58,-57,-65,-68,-51,-62,-68,-71,-63,-62,-59,-60,-74,-67,-77,-75,-66,-70,-87,-74,-69,-73,-80,-200,-87,-79,-200,-83,-200,-200,-68,-80,-82,-87,-76,-87,-200,-86,-200,-87,-87,-86,-90,-200,-83,-200,-87,-200,-90,-91,-86,-87,-87,-79,-92,-200,-200,-200
1526460511461,-30,-31,-35,-47,-44,-41,-50,-47,-49,-57,-58,-58,-65,-68,-52,-60,-67,-65,-60,-62,-59,-60,-74,-67,-73,-76,-63,-70,-87,-69,-68,-73,-80,-200,-87,-79,-200,-82,-200,-200,-74,-82,-200,-87,-76,-87,-200,-86,-200,-91,-87,-85,-90,-200,-83,-200,-87,-200,-200,-91,-86,-87,-87,-80,-92,-200,-200,-200
1526460514530,-32,-34,-36,-52,-44,-42,-50,-47,-44,-60,-58,-51,-65,-68,-52,-61,-63,-64,-62,-62,-60,-60,-73,-66,-77,-76,-63,-70,-87,-69,-68,-73,-80,-200,-86,-79,-200,-82,-200,-200,-70,-82,-200,-87,-71,-87,-200,-86,-200,-91,-87,-85,-200,-200,-79,-200,-87,-200,-200,-91,-86,-89,-87,-80,-92,-88,-200,-200
1526460517585,-31,-42,-35,-53,-41,-43,-49,-47,-48,-56,-54,-55,-53,-68,-52,-63,-67,-64,-62,-64,-59,-200,-69,-74,-74,-74,-68,-70,-87,-72,-67,-71,-200,-78,-86,-76,-200,-82,-200,-80,-70,-82,-200,-87,-69,-87,-200,-86,-200,-81,-87,-85,-200,-200,-82,-200,-87,-200,-200,-91,-83,-89,-87,-79,-92,-88,-87,-92
