,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D00ED0,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D02A20,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,DLINK_D02A98,WHU-2018,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A30,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526461507829,-30,-29,-36,-41,-39,-38,-43,-53,-55,-32,-58,-53,-68,-60,-200,-53,-62,-64,-53,-53,-55,-70,-61,-67,-68,-74,-57,-72,-60,-72,-200,-65,-73,-64,-72,-71,-200,-76,-200,-73,-81,-79,-200,-77,-200,-200,-72,-84,-200,-74,-200,-82,-200,-200,-84,-200,-200,-200,-83,-85,-86,-79,-80,-200,-200,-200,-88,-200,-82,-87,-84,-89,-73,-200,-200,-200,-200,-200,-200
1526461510889,-30,-32,-38,-44,-39,-44,-42,-78,-53,-35,-56,-53,-65,-60,-200,-56,-73,-63,-51,-57,-54,-71,-62,-65,-64,-74,-53,-75,-60,-71,-200,-65,-73,-64,-72,-71,-200,-76,-200,-73,-81,-81,-200,-75,-200,-200,-72,-84,-200,-74,-200,-82,-200,-200,-84,-200,-200,-200,-200,-85,-86,-84,-80,-200,-200,-83,-88,-200,-82,-87,-84,-89,-73,-200,-200,-200,-200,-200,-200
1526461513925,-30,-32,-38,-41,-43,-41,-45,-78,-57,-35,-60,-56,-62,-60,-200,-54,-68,-62,-52,-58,-58,-71,-62,-62,-66,-74,-57,-73,-61,-71,-200,-66,-70,-67,-72,-71,-200,-76,-200,-73,-79,-82,-200,-75,-200,-200,-70,-85,-200,-74,-200,-82,-200,-200,-84,-200,-200,-200,-200,-85,-86,-84,-200,-200,-200,-83,-88,-200,-82,-87,-84,-89,-73,-200,-200,-200,-200,-200,-200
1526461516954,-34,-32,-37,-38,-41,-41,-38,-64,-57,-36,-61,-52,-61,-60,-200,-54,-69,-64,-52,-51,-57,-71,-62,-62,-69,-76,-57,-71,-60,-69,-200,-70,-70,-65,-72,-71,-200,-79,-200,-73,-79,-81,-200,-75,-200,-200,-70,-85,-200,-200,-200,-82,-200,-200,-84,-200,-200,-200,-200,-200,-86,-84,-200,-200,-200,-83,-77,-200,-82,-200,-84,-89,-73,-84,-200,-200,-200,-200,-200
1526461520008,-32,-31,-37,-39,-51,-46,-37,-64,-60,-34,-58,-59,-61,-58,-200,-50,-69,-65,-51,-50,-56,-73,-63,-63,-66,-66,-51,-71,-61,-70,-200,-67,-70,-65,-72,-73,-200,-79,-200,-200,-79,-81,-78,-75,-200,-200,-73,-85,-200,-200,-200,-82,-200,-200,-84,-90,-200,-200,-86,-200,-86,-75,-200,-200,-200,-73,-77,-200,-82,-200,-200,-200,-73,-84,-88,-200,-200,-200,-200
1526461523042,-32,-31,-37,-39,-45,-45,-41,-54,-60,-38,-60,-54,-66,-58,-200,-50,-65,-65,-53,-49,-57,-70,-63,-64,-66,-73,-52,-71,-61,-70,-200,-67,-70,-65,-200,-73,-200,-79,-200,-200,-79,-81,-78,-75,-200,-200,-73,-85,-200,-200,-200,-86,-200,-200,-84,-90,-200,-200,-86,-200,-87,-77,-200,-200,-200,-81,-77,-200,-82,-200,-200,-200,-200,-84,-88,-200,-200,-200,-200
1526461526073,-34,-27,-35,-43,-48,-44,-45,-54,-57,-36,-57,-59,-63,-58,-200,-50,-65,-63,-52,-51,-57,-70,-63,-64,-73,-73,-55,-74,-61,-71,-200,-63,-70,-65,-200,-71,-200,-79,-83,-200,-80,-81,-79,-79,-200,-200,-72,-85,-200,-200,-200,-86,-200,-200,-84,-90,-89,-200,-88,-200,-87,-77,-200,-200,-200,-81,-77,-200,-82,-200,-200,-200,-200,-84,-88,-84,-200,-200,-200
1526461529129,-34,-32,-38,-41,-48,-48,-43,-54,-57,-38,-57,-59,-60,-58,-200,-50,-64,-61,-50,-57,-55,-62,-64,-62,-66,-73,-54,-73,-65,-72,-200,-69,-200,-65,-200,-71,-200,-71,-83,-200,-80,-81,-79,-79,-79,-200,-75,-85,-200,-200,-200,-86,-200,-200,-84,-90,-89,-200,-83,-200,-87,-83,-200,-74,-200,-81,-83,-200,-69,-200,-200,-200,-200,-84,-88,-84,-65,-77,-200
1526461532160,-37,-29,-36,-42,-48,-48,-45,-55,-60,-36,-61,-55,-65,-58,-200,-54,-64,-60,-54,-54,-63,-63,-64,-58,-67,-73,-50,-70,-69,-71,-200,-72,-200,-64,-200,-71,-200,-70,-83,-200,-80,-81,-79,-79,-81,-200,-75,-88,-200,-200,-200,-86,-200,-200,-84,-90,-89,-200,-83,-200,-87,-83,-200,-74,-200,-80,-83,-200,-69,-200,-200,-200,-200,-82,-88,-84,-65,-77,-200
1526461535209,-39,-29,-35,-42,-42,-42,-44,-51,-56,-37,-65,-55,-65,-200,-200,-55,-68,-60,-48,-54,-57,-60,-66,-61,-67,-74,-53,-75,-67,-71,-200,-68,-200,-63,-73,-71,-200,-70,-83,-200,-80,-83,-79,-79,-81,-200,-75,-88,-200,-83,-200,-86,-200,-200,-84,-200,-89,-200,-88,-200,-87,-75,-200,-74,-200,-82,-83,-200,-69,-86,-200,-200,-200,-82,-200,-84,-65,-77,-82
1526461538255,-41,-33,-35,-48,-46,-46,-44,-50,-56,-38,-61,-52,-60,-200,-200,-56,-63,-61,-51,-55,-57,-66,-66,-59,-63,-70,-53,-75,-67,-72,-200,-68,-200,-64,-76,-71,-200,-70,-83,-200,-75,-83,-84,-79,-81,-80,-77,-77,-200,-83,-200,-200,-92,-200,-200,-200,-89,-200,-88,-200,-200,-73,-200,-74,-200,-82,-83,-200,-81,-86,-200,-200,-200,-82,-200,-84,-65,-77,-82
1526461541309,-44,-29,-36,-45,-43,-54,-42,-50,-56,-40,-63,-52,-63,-200,-82,-52,-60,-61,-59,-52,-58,-66,-66,-58,-63,-70,-56,-75,-64,-71,-200,-68,-200,-61,-76,-72,-200,-69,-200,-77,-75,-84,-84,-200,-78,-80,-73,-77,-200,-83,-200,-200,-92,-200,-200,-93,-200,-200,-88,-200,-200,-74,-79,-74,-200,-82,-83,-200,-81,-86,-200,-200,-200,-82,-200,-200,-65,-77,-82
