,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D02A38,DLINK_D02A48,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED0,DLINK_D02A20,DLINK_D00EC0,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A88,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,NETWORK
1526461585922,-28,-34,-30,-50,-21,-42,-39,-80,-39,-58,-57,-49,-61,-60,-53,-65,-56,-50,-57,-63,-59,-63,-54,-55,-53,-75,-74,-200,-200,-64,-68,-66,-200,-77,-70,-83,-75,-73,-200,-67,-81,-200,-200,-200,-69,-200,-84,-200,-82,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-77,-200,-86,-200,-89,-76,-200,-200,-200
1526461588966,-29,-34,-30,-50,-21,-38,-46,-54,-43,-58,-53,-52,-59,-59,-54,-65,-53,-51,-57,-69,-59,-63,-52,-54,-53,-75,-74,-200,-200,-64,-70,-66,-200,-77,-69,-83,-75,-73,-200,-67,-81,-200,-200,-200,-69,-200,-84,-200,-200,-74,-200,-81,-200,-200,-200,-200,-89,-200,-200,-77,-200,-86,-200,-89,-76,-65,-200,-200
1526461592022,-32,-33,-29,-47,-23,-39,-39,-49,-40,-58,-57,-48,-62,-59,-61,-69,-53,-51,-57,-66,-61,-62,-54,-54,-54,-72,-74,-200,-200,-68,-70,-65,-86,-77,-69,-83,-75,-72,-200,-67,-200,-200,-80,-200,-68,-200,-84,-200,-200,-74,-200,-81,-200,-84,-200,-200,-89,-82,-200,-77,-200,-200,-200,-200,-76,-65,-200,-200
1526461595068,-32,-33,-36,-50,-20,-39,-39,-50,-41,-55,-55,-51,-62,-59,-59,-66,-52,-51,-59,-62,-61,-61,-53,-56,-56,-72,-200,-200,-200,-64,-71,-65,-85,-77,-69,-83,-75,-72,-77,-67,-200,-200,-88,-200,-68,-200,-84,-64,-200,-74,-77,-82,-200,-84,-200,-200,-89,-81,-200,-200,-200,-200,-200,-200,-76,-65,-200,-200
1526461598131,-33,-34,-32,-50,-20,-41,-40,-47,-41,-55,-55,-49,-59,-58,-63,-67,-63,-51,-59,-62,-63,-62,-53,-54,-54,-72,-73,-200,-80,-64,-71,-67,-85,-77,-71,-83,-75,-77,-77,-81,-81,-200,-88,-87,-72,-200,-84,-64,-200,-74,-77,-83,-200,-84,-200,-200,-89,-81,-200,-200,-200,-200,-200,-89,-200,-65,-200,-200
1526461601190,-36,-34,-29,-51,-20,-39,-44,-52,-44,-55,-56,-49,-59,-58,-60,-69,-52,-55,-58,-62,-62,-61,-53,-57,-54,-72,-73,-200,-80,-63,-71,-67,-83,-77,-69,-87,-78,-77,-77,-81,-81,-200,-88,-87,-72,-200,-84,-64,-81,-58,-77,-82,-200,-84,-200,-87,-89,-81,-200,-200,-200,-200,-200,-89,-200,-65,-200,-200
1526461604260,-39,-34,-30,-51,-20,-39,-40,-48,-44,-55,-56,-47,-59,-58,-62,-69,-52,-55,-58,-62,-61,-61,-51,-56,-55,-69,-73,-200,-80,-63,-73,-67,-82,-200,-69,-87,-75,-77,-77,-81,-81,-200,-88,-87,-68,-200,-84,-64,-82,-58,-77,-79,-200,-84,-200,-87,-200,-81,-200,-200,-200,-200,-200,-89,-200,-200,-81,-200
1526461607330,-36,-34,-30,-54,-22,-40,-37,-47,-44,-55,-56,-47,-64,-56,-54,-68,-52,-51,-58,-65,-62,-61,-51,-55,-53,-69,-73,-200,-80,-63,-73,-66,-82,-200,-69,-87,-75,-72,-77,-81,-81,-79,-88,-87,-69,-200,-84,-64,-82,-64,-77,-82,-200,-200,-200,-87,-200,-81,-200,-200,-200,-200,-200,-89,-200,-200,-81,-91
1526461610410,-33,-36,-30,-54,-22,-41,-42,-49,-42,-56,-55,-50,-60,-57,-54,-68,-51,-51,-59,-64,-61,-62,-55,-55,-55,-68,-74,-70,-80,-62,-73,-66,-82,-200,-68,-87,-75,-72,-78,-69,-81,-79,-200,-87,-67,-200,-84,-65,-82,-64,-200,-82,-200,-200,-200,-87,-200,-81,-200,-200,-200,-200,-200,-89,-200,-200,-81,-91
1526461613444,-36,-36,-31,-54,-19,-43,-41,-57,-42,-56,-55,-50,-62,-56,-54,-68,-51,-51,-57,-64,-62,-57,-55,-55,-55,-68,-75,-70,-200,-62,-68,-66,-82,-200,-68,-87,-75,-73,-77,-69,-200,-79,-84,-200,-71,-200,-84,-65,-82,-64,-200,-80,-200,-80,-200,-89,-200,-81,-200,-200,-200,-200,-200,-200,-200,-200,-81,-91
1526461616489,-36,-36,-27,-54,-19,-40,-39,-51,-42,-56,-53,-48,-61,-55,-56,-66,-52,-53,-58,-63,-62,-61,-51,-55,-56,-68,-75,-70,-200,-74,-68,-66,-82,-81,-68,-69,-75,-73,-74,-69,-200,-79,-84,-200,-71,-200,-200,-65,-82,-64,-200,-80,-200,-82,-200,-89,-200,-81,-200,-200,-86,-200,-200,-200,-200,-200,-81,-91
1526461619555,-36,-36,-31,-52,-23,-44,-43,-57,-42,-60,-56,-49,-61,-57,-62,-67,-52,-49,-60,-63,-62,-62,-54,-55,-56,-86,-73,-70,-200,-74,-71,-69,-200,-81,-68,-72,-200,-73,-74,-69,-80,-79,-78,-200,-72,-200,-200,-65,-200,-64,-200,-82,-200,-82,-200,-90,-200,-78,-200,-200,-86,-200,-200,-200,-200,-200,-200,-91
