,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D00EC0,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,DLINK_D02A58,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526460788340,-42,-24,-34,-33,-60,-49,-60,-200,-44,-49,-54,-55,-55,-44,-50,-59,-51,-60,-61,-64,-57,-74,-65,-54,-63,-66,-67,-79,-73,-73,-80,-200,-85,-200,-72,-73,-200,-68,-71,-80,-39,-200,-200,-200,-200,-200,-84,-90,-82,-200,-79,-200,-200,-200,-84,-86,-77,-200,-73,-200,-85,-200,-200,-200,-200,-200,-77,-71,-89,-86,-84,-79,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526460791402,-36,-25,-31,-31,-60,-49,-57,-200,-44,-49,-52,-55,-55,-44,-49,-56,-49,-57,-60,-65,-59,-82,-63,-56,-63,-78,-68,-79,-72,-72,-77,-200,-76,-200,-63,-73,-200,-66,-71,-80,-40,-200,-84,-200,-200,-200,-77,-90,-82,-200,-80,-200,-200,-200,-84,-86,-77,-200,-76,-200,-85,-87,-200,-200,-200,-200,-200,-70,-89,-86,-84,-79,-91,-85,-200,-200,-200,-200,-200,-200,-200
1526460794444,-36,-24,-35,-33,-60,-59,-56,-200,-42,-49,-52,-55,-56,-44,-49,-56,-50,-60,-62,-66,-59,-84,-63,-60,-63,-78,-69,-79,-72,-72,-77,-200,-74,-200,-66,-73,-200,-66,-71,-80,-39,-200,-84,-200,-200,-200,-77,-90,-82,-200,-80,-200,-200,-200,-84,-86,-88,-200,-76,-82,-85,-87,-200,-200,-200,-200,-200,-70,-89,-86,-84,-79,-91,-85,-200,-200,-200,-200,-200,-200,-200
1526460797509,-39,-23,-34,-29,-60,-59,-63,-55,-40,-54,-51,-55,-52,-44,-49,-58,-50,-60,-62,-66,-59,-75,-63,-58,-63,-71,-67,-75,-71,-72,-77,-200,-77,-200,-66,-72,-200,-68,-70,-200,-37,-200,-84,-200,-200,-200,-77,-90,-82,-200,-81,-200,-200,-200,-82,-86,-88,-76,-77,-82,-85,-84,-90,-200,-200,-200,-200,-70,-200,-86,-84,-79,-91,-85,-200,-200,-200,-200,-200,-200,-200
1526460800570,-38,-25,-34,-30,-64,-45,-62,-55,-44,-54,-51,-55,-52,-44,-50,-65,-50,-62,-60,-66,-61,-71,-64,-61,-70,-67,-69,-75,-73,-74,-77,-200,-77,-200,-66,-72,-200,-68,-66,-83,-45,-200,-84,-200,-200,-200,-77,-90,-84,-200,-81,-200,-200,-200,-82,-86,-88,-80,-77,-82,-82,-84,-90,-200,-200,-200,-200,-72,-200,-200,-87,-79,-91,-85,-88,-200,-200,-200,-200,-200,-200
1526460803635,-37,-26,-34,-33,-62,-45,-61,-54,-45,-51,-46,-55,-52,-200,-53,-61,-50,-60,-60,-66,-60,-75,-63,-61,-64,-69,-69,-75,-73,-73,-78,-200,-77,-76,-69,-72,-200,-79,-70,-85,-43,-200,-85,-200,-200,-200,-77,-200,-84,-200,-81,-200,-200,-200,-82,-200,-88,-80,-77,-82,-82,-84,-90,-200,-200,-200,-200,-72,-200,-200,-87,-200,-200,-85,-88,-80,-200,-200,-200,-200,-200
1526460806699,-34,-25,-33,-36,-61,-51,-62,-58,-47,-51,-48,-61,-53,-42,-53,-60,-46,-59,-58,-66,-60,-75,-61,-59,-68,-65,-69,-78,-69,-73,-79,-200,-77,-76,-67,-72,-200,-70,-71,-85,-38,-200,-85,-200,-82,-200,-91,-200,-81,-200,-81,-200,-200,-200,-82,-200,-77,-80,-75,-82,-83,-84,-90,-200,-200,-200,-200,-72,-200,-200,-82,-200,-200,-200,-88,-81,-82,-200,-200,-200,-200
1526460809765,-34,-25,-34,-36,-61,-51,-63,-58,-44,-50,-51,-56,-52,-42,-47,-58,-50,-63,-59,-77,-60,-75,-62,-59,-66,-65,-69,-75,-73,-72,-78,-200,-77,-76,-67,-72,-200,-69,-71,-74,-42,-200,-85,-200,-86,-200,-80,-200,-82,-81,-81,-200,-200,-200,-82,-200,-77,-80,-74,-200,-83,-84,-90,-200,-200,-200,-73,-72,-200,-200,-82,-200,-200,-200,-88,-81,-82,-200,-200,-200,-200
1526460812829,-30,-24,-34,-36,-62,-51,-63,-58,-44,-48,-47,-56,-55,-40,-49,-60,-48,-56,-59,-69,-56,-72,-63,-58,-64,-65,-68,-75,-76,-73,-79,-200,-80,-76,-65,-75,-200,-69,-71,-72,-41,-200,-85,-200,-80,-200,-80,-200,-83,-81,-81,-200,-200,-200,-200,-84,-77,-80,-74,-200,-83,-200,-200,-75,-200,-200,-73,-72,-200,-200,-82,-200,-200,-200,-88,-81,-82,-200,-200,-200,-200
1526460815879,-35,-22,-34,-36,-59,-51,-62,-52,-45,-49,-49,-56,-57,-40,-49,-59,-48,-60,-60,-65,-56,-75,-63,-54,-64,-65,-67,-75,-72,-73,-77,-200,-80,-76,-65,-75,-200,-70,-71,-72,-41,-200,-85,-200,-84,-200,-80,-200,-83,-81,-81,-200,-200,-200,-200,-84,-77,-200,-76,-200,-83,-200,-200,-75,-200,-200,-73,-200,-200,-200,-82,-200,-200,-200,-200,-81,-82,-91,-200,-200,-200
1526460818924,-35,-22,-35,-36,-60,-46,-58,-55,-46,-49,-49,-56,-55,-40,-50,-59,-48,-60,-61,-65,-58,-79,-64,-55,-69,-72,-68,-75,-69,-73,-77,-200,-80,-200,-73,-69,-200,-65,-71,-84,-39,-88,-200,-200,-84,-200,-80,-200,-83,-82,-77,-200,-200,-200,-200,-84,-77,-200,-75,-200,-85,-200,-200,-75,-200,-200,-73,-200,-200,-88,-82,-200,-89,-200,-200,-81,-82,-91,-77,-86,-200
1526460821992,-32,-22,-34,-35,-59,-46,-58,-56,-46,-49,-44,-53,-58,-44,-50,-56,-52,-58,-62,-65,-58,-79,-64,-53,-69,-65,-68,-75,-72,-74,-79,-200,-80,-200,-73,-69,-200,-65,-70,-84,-37,-88,-200,-200,-80,-200,-80,-200,-82,-82,-77,-200,-200,-200,-81,-84,-200,-200,-75,-200,-85,-200,-200,-75,-200,-200,-73,-200,-200,-88,-82,-200,-89,-200,-200,-200,-200,-91,-77,-86,-87
