,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A38,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A48,DLINK_D02A20,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A30,DLINK_D02A10,DLINK_D00EB8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A18,WHU-2018,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526460277859,-32,-42,-36,-48,-49,-44,-49,-49,-56,-49,-51,-43,-53,-53,-57,-63,-60,-61,-65,-59,-69,-61,-68,-67,-66,-74,-73,-70,-75,-79,-79,-79,-82,-77,-73,-76,-200,-200,-76,-80,-78,-200,-200,-86,-200,-82,-200,-88,-200,-200,-200,-79,-80,-200,-200,-86,-200,-200,-200,-84,-90,-74,-84,-87,-82,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526460280912,-34,-37,-36,-43,-49,-44,-49,-49,-56,-48,-51,-42,-53,-51,-56,-63,-59,-61,-65,-57,-69,-60,-68,-67,-67,-74,-70,-73,-79,-76,-79,-79,-82,-77,-71,-76,-200,-200,-76,-80,-79,-200,-200,-86,-200,-82,-200,-88,-200,-88,-200,-79,-80,-200,-200,-86,-200,-200,-200,-200,-85,-74,-84,-87,-82,-89,-85,-92,-200,-200,-200,-200,-200,-200
1526460283976,-33,-38,-37,-41,-49,-44,-50,-49,-56,-49,-54,-45,-60,-47,-52,-63,-61,-59,-65,-57,-70,-62,-62,-67,-67,-74,-70,-73,-79,-77,-79,-79,-84,-77,-71,-76,-200,-200,-82,-80,-79,-200,-88,-86,-200,-81,-85,-88,-200,-88,-200,-78,-78,-82,-200,-86,-200,-200,-200,-200,-85,-74,-84,-87,-82,-89,-85,-92,-200,-200,-200,-200,-200,-200
1526460287025,-30,-38,-36,-40,-49,-43,-50,-48,-56,-49,-55,-49,-60,-46,-56,-63,-61,-59,-63,-57,-68,-59,-66,-67,-66,-74,-70,-73,-79,-78,-79,-79,-83,-77,-72,-76,-200,-82,-82,-80,-79,-200,-88,-86,-200,-82,-84,-88,-200,-88,-200,-77,-80,-82,-200,-86,-200,-200,-200,-200,-85,-200,-200,-86,-82,-89,-85,-92,-200,-200,-200,-200,-200,-200
1526460290076,-30,-38,-37,-40,-50,-42,-49,-48,-60,-50,-51,-46,-60,-46,-56,-63,-70,-60,-67,-57,-68,-57,-64,-67,-68,-72,-72,-70,-79,-79,-79,-77,-83,-77,-75,-77,-200,-82,-79,-80,-79,-200,-88,-200,-200,-82,-84,-88,-200,-88,-200,-77,-80,-82,-200,-86,-200,-200,-200,-200,-85,-72,-200,-86,-200,-89,-85,-92,-87,-90,-200,-200,-200,-200
1526460293117,-29,-38,-37,-41,-49,-44,-49,-47,-57,-49,-51,-46,-52,-51,-56,-63,-70,-60,-59,-56,-68,-61,-64,-66,-67,-69,-72,-70,-79,-77,-200,-77,-83,-70,-74,-77,-200,-82,-80,-200,-79,-200,-88,-200,-200,-81,-84,-200,-200,-88,-200,-77,-80,-82,-200,-86,-200,-86,-200,-200,-85,-72,-200,-85,-200,-89,-85,-92,-87,-90,-81,-200,-200,-200
1526460296172,-32,-38,-37,-40,-50,-44,-48,-50,-56,-49,-49,-50,-52,-47,-58,-63,-70,-59,-66,-56,-66,-57,-64,-68,-67,-69,-72,-73,-79,-78,-200,-78,-83,-68,-75,-78,-200,-82,-76,-82,-81,-89,-88,-200,-200,-81,-84,-87,-200,-89,-200,-80,-80,-82,-200,-86,-200,-86,-200,-200,-200,-78,-200,-85,-200,-93,-200,-200,-83,-90,-81,-200,-200,-200
1526460299232,-32,-40,-39,-40,-50,-44,-51,-46,-56,-48,-49,-50,-52,-49,-54,-66,-58,-59,-66,-56,-67,-56,-65,-69,-66,-69,-72,-74,-75,-78,-200,-78,-84,-72,-75,-78,-200,-82,-76,-82,-81,-89,-200,-86,-200,-81,-84,-87,-92,-89,-200,-79,-80,-200,-200,-86,-200,-86,-200,-200,-200,-78,-200,-85,-200,-93,-200,-200,-83,-90,-81,-200,-200,-200
1526460302267,-34,-41,-41,-41,-50,-44,-50,-47,-66,-48,-61,-48,-52,-51,-54,-65,-57,-62,-66,-60,-66,-58,-64,-69,-65,-69,-72,-71,-75,-80,-200,-78,-84,-70,-72,-78,-200,-200,-76,-82,-79,-89,-200,-86,-200,-81,-200,-87,-89,-89,-200,-79,-200,-200,-200,-86,-200,-86,-200,-200,-200,-77,-200,-85,-200,-93,-200,-200,-83,-90,-81,-84,-200,-200
1526460305331,-34,-41,-38,-41,-49,-44,-51,-47,-58,-51,-61,-49,-52,-48,-50,-68,-57,-58,-66,-57,-68,-58,-68,-69,-65,-72,-76,-72,-75,-76,-200,-78,-84,-74,-72,-80,-200,-80,-76,-82,-80,-89,-200,-86,-200,-81,-88,-87,-89,-89,-200,-89,-79,-200,-200,-88,-89,-86,-200,-200,-200,-77,-200,-86,-81,-93,-200,-200,-83,-200,-81,-84,-90,-200
1526460308365,-34,-35,-38,-39,-49,-47,-51,-48,-55,-50,-61,-49,-57,-52,-54,-67,-57,-59,-66,-56,-67,-56,-68,-69,-64,-76,-81,-72,-78,-75,-200,-82,-84,-74,-72,-80,-200,-80,-76,-81,-80,-89,-200,-87,-200,-83,-86,-86,-89,-89,-200,-89,-79,-200,-200,-88,-89,-200,-80,-200,-200,-77,-200,-86,-81,-93,-200,-200,-88,-200,-200,-84,-90,-200
1526460311406,-37,-38,-40,-38,-48,-44,-51,-50,-79,-50,-50,-52,-55,-52,-53,-67,-57,-60,-63,-58,-65,-59,-71,-69,-67,-76,-71,-72,-74,-77,-200,-82,-84,-74,-72,-78,-200,-80,-200,-81,-82,-200,-200,-87,-200,-83,-86,-86,-89,-200,-200,-80,-79,-200,-200,-88,-89,-200,-80,-200,-200,-77,-200,-88,-81,-88,-200,-200,-88,-200,-200,-84,-90,-86
