,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D013A8,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,NETWORK,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526454560592,-34,-37,-45,-39,-55,-42,-38,-58,-200,-65,-45,-52,-51,-200,-51,-200,-59,-66,-55,-63,-49,-49,-200,-50,-54,-62,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-68,-64,-83,-76,-200,-200,-89,-81,-90,-200,-87,-84,-200,-86,-200,-200,-85,-61,-71,-83,-68,-87,-200,-200,-200
1526454563613,-34,-37,-45,-39,-55,-42,-38,-58,-200,-65,-45,-52,-51,-200,-51,-200,-59,-66,-55,-63,-49,-49,-200,-50,-54,-62,-200,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-70,-68,-64,-83,-76,-200,-200,-89,-81,-90,-200,-87,-84,-200,-86,-200,-200,-85,-61,-71,-83,-68,-87,-200,-200,-200
1526454566640,-34,-38,-46,-39,-56,-50,-38,-58,-200,-65,-45,-56,-51,-200,-65,-200,-200,-66,-60,-63,-44,-49,-200,-47,-52,-62,-200,-74,-200,-200,-72,-200,-200,-200,-200,-76,-200,-70,-66,-74,-200,-76,-200,-200,-89,-74,-90,-200,-75,-78,-200,-85,-200,-200,-87,-60,-200,-200,-66,-87,-82,-85,-200
1526454569667,-34,-38,-46,-39,-56,-50,-38,-58,-200,-65,-45,-56,-51,-200,-65,-200,-200,-66,-60,-63,-44,-49,-200,-47,-52,-62,-200,-74,-200,-200,-72,-200,-200,-200,-200,-76,-200,-70,-66,-74,-200,-76,-200,-200,-89,-74,-90,-200,-75,-78,-200,-85,-200,-200,-87,-60,-200,-200,-66,-87,-82,-85,-200
1526454572677,-34,-40,-55,-47,-56,-50,-48,-200,-200,-65,-45,-53,-47,-200,-62,-200,-200,-66,-60,-59,-44,-49,-200,-44,-55,-200,-200,-74,-200,-200,-72,-200,-200,-200,-200,-76,-200,-70,-66,-73,-200,-75,-200,-200,-89,-78,-90,-200,-83,-76,-200,-84,-200,-200,-86,-60,-200,-200,-66,-87,-82,-85,-76
1526454575697,-34,-40,-57,-47,-56,-50,-48,-200,-200,-65,-45,-53,-47,-200,-62,-200,-200,-66,-60,-59,-44,-49,-200,-44,-55,-200,-200,-74,-200,-200,-72,-200,-200,-200,-200,-76,-200,-70,-66,-73,-200,-75,-200,-200,-89,-78,-90,-200,-83,-76,-200,-84,-200,-200,-86,-60,-200,-200,-66,-87,-82,-85,-76
1526454578708,-34,-35,-55,-45,-56,-47,-42,-200,-200,-57,-42,-46,-47,-200,-58,-200,-200,-200,-60,-59,-44,-50,-200,-48,-54,-200,-200,-74,-200,-200,-72,-200,-200,-200,-200,-76,-200,-70,-67,-73,-200,-74,-200,-200,-89,-77,-86,-200,-84,-77,-200,-84,-200,-200,-86,-60,-200,-200,-66,-87,-78,-85,-76
1526454581731,-34,-35,-55,-45,-56,-47,-42,-200,-200,-57,-42,-46,-47,-200,-58,-200,-200,-200,-60,-59,-44,-50,-200,-48,-54,-200,-200,-74,-200,-200,-72,-200,-200,-200,-200,-76,-200,-70,-67,-73,-200,-74,-200,-200,-89,-77,-86,-200,-84,-77,-200,-84,-200,-200,-86,-60,-200,-200,-66,-87,-78,-85,-76
1526454584752,-33,-35,-42,-45,-56,-49,-40,-200,-200,-59,-44,-44,-47,-200,-57,-200,-200,-200,-60,-62,-56,-49,-200,-48,-54,-200,-200,-75,-200,-200,-59,-200,-200,-200,-200,-74,-200,-70,-67,-76,-200,-72,-200,-200,-89,-80,-81,-200,-76,-79,-200,-88,-200,-200,-86,-60,-200,-200,-66,-200,-78,-85,-76
1526454587777,-33,-35,-42,-45,-56,-49,-40,-200,-200,-59,-44,-44,-47,-200,-57,-200,-200,-200,-60,-62,-56,-49,-200,-48,-54,-200,-200,-75,-200,-200,-59,-200,-200,-200,-200,-74,-200,-70,-67,-76,-200,-72,-200,-200,-89,-80,-81,-200,-76,-79,-200,-88,-200,-200,-86,-60,-200,-200,-66,-200,-78,-85,-76
1526454590784,-30,-39,-44,-41,-60,-51,-42,-73,-200,-59,-45,-44,-37,-200,-61,-59,-200,-200,-63,-62,-56,-52,-200,-49,-62,-200,-200,-79,-200,-200,-55,-200,-200,-200,-200,-74,-200,-200,-65,-70,-200,-71,-200,-200,-89,-77,-79,-200,-75,-79,-200,-86,-200,-200,-86,-60,-200,-200,-66,-200,-78,-85,-76
1526454593797,-30,-39,-42,-41,-60,-51,-42,-73,-200,-59,-45,-44,-37,-200,-61,-59,-200,-200,-63,-62,-56,-52,-200,-49,-62,-200,-200,-79,-200,-200,-55,-200,-200,-200,-200,-74,-200,-200,-65,-70,-200,-71,-200,-200,-89,-77,-79,-200,-75,-79,-200,-86,-200,-200,-86,-60,-200,-200,-66,-200,-78,-85,-76
