,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00E98,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A58,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D02A10,DLINK_D00ED8,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A98,D-Link_DIR-823Pro,DLINK_D00ED0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,DLINK_D02A18,DLINK_D02A38,D-Link_DIR-823Pro,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526455137703,-35,-40,-68,-45,-40,-41,-64,-200,-52,-41,-47,-47,-56,-45,-60,-62,-55,-59,-58,-67,-77,-61,-70,-67,-67,-65,-71,-69,-200,-200,-71,-73,-67,-78,-79,-76,-71,-75,-85,-75,-83,-80,-80,-200,-87,-72,-200,-85,-200,-79,-83,-200,-79,-86,-200,-84,-200,-84,-200,-76,-200,-87,-84,-200,-200,-200,-200,-82,-200,-200,-200,-200,-75,-200,-68,-80,-93,-86,-87,-85,-200,-200
1526455140747,-31,-42,-72,-45,-40,-40,-64,-200,-52,-43,-48,-46,-56,-45,-60,-58,-68,-55,-59,-59,-70,-66,-66,-65,-67,-65,-68,-69,-200,-200,-71,-74,-67,-78,-79,-76,-71,-68,-86,-77,-83,-75,-81,-200,-87,-74,-200,-85,-200,-78,-83,-200,-79,-86,-200,-87,-200,-80,-200,-76,-200,-87,-83,-200,-200,-200,-84,-82,-200,-78,-83,-200,-76,-200,-67,-80,-93,-86,-87,-85,-200,-200
1526455143807,-32,-40,-69,-46,-39,-39,-64,-200,-52,-42,-52,-47,-54,-46,-57,-57,-59,-56,-59,-61,-70,-68,-66,-66,-64,-65,-68,-63,-200,-200,-73,-74,-67,-83,-79,-200,-71,-68,-86,-77,-81,-74,-78,-200,-87,-74,-200,-85,-200,-78,-83,-200,-79,-86,-86,-82,-200,-83,-200,-75,-200,-87,-84,-200,-200,-200,-84,-87,-200,-78,-83,-200,-76,-200,-67,-80,-200,-86,-87,-85,-200,-200
1526455146855,-35,-40,-69,-43,-39,-41,-64,-200,-52,-43,-48,-47,-54,-46,-57,-58,-56,-56,-59,-63,-69,-67,-66,-65,-64,-65,-66,-63,-200,-73,-73,-74,-71,-82,-79,-75,-71,-72,-81,-76,-82,-75,-78,-200,-87,-82,-200,-85,-200,-78,-200,-200,-79,-86,-86,-82,-200,-83,-200,-77,-200,-88,-85,-200,-200,-200,-84,-87,-200,-75,-83,-200,-76,-200,-67,-81,-200,-200,-200,-90,-200,-200
1526455149927,-30,-36,-65,-46,-40,-41,-58,-200,-52,-46,-48,-49,-55,-46,-57,-58,-62,-68,-59,-62,-67,-67,-68,-66,-64,-65,-66,-65,-200,-73,-73,-74,-71,-82,-72,-73,-71,-72,-81,-77,-82,-79,-79,-200,-87,-79,-200,-85,-200,-78,-200,-80,-200,-86,-86,-86,-200,-86,-85,-77,-200,-88,-85,-200,-200,-200,-73,-86,-200,-82,-83,-200,-76,-200,-67,-81,-200,-200,-200,-90,-200,-200
1526455152983,-34,-36,-65,-47,-39,-36,-58,-200,-51,-43,-53,-49,-55,-46,-57,-60,-62,-60,-55,-60,-67,-65,-66,-65,-64,-66,-68,-65,-200,-73,-73,-77,-65,-82,-72,-74,-73,-85,-81,-77,-82,-71,-79,-200,-200,-76,-200,-200,-200,-78,-200,-80,-75,-86,-86,-86,-83,-86,-85,-77,-200,-88,-85,-200,-200,-200,-73,-80,-200,-82,-83,-200,-76,-200,-67,-81,-200,-200,-200,-90,-77,-200
1526455156027,-34,-37,-65,-43,-40,-38,-58,-200,-51,-43,-57,-49,-54,-46,-57,-59,-62,-65,-55,-61,-67,-64,-66,-64,-64,-67,-68,-65,-200,-74,-73,-77,-65,-82,-72,-74,-75,-76,-81,-77,-82,-73,-79,-200,-200,-76,-200,-200,-200,-200,-200,-80,-75,-86,-86,-86,-83,-86,-85,-80,-200,-88,-84,-200,-200,-200,-73,-80,-200,-84,-200,-200,-200,-200,-200,-81,-200,-86,-200,-90,-77,-200
1526455159069,-37,-37,-65,-42,-40,-38,-58,-200,-51,-47,-57,-49,-54,-46,-55,-58,-55,-65,-55,-54,-67,-64,-71,-65,-63,-67,-68,-65,-200,-66,-200,-75,-76,-82,-77,-74,-74,-71,-85,-77,-82,-69,-79,-200,-200,-83,-200,-87,-200,-77,-200,-80,-79,-86,-86,-86,-83,-86,-85,-80,-200,-86,-86,-200,-200,-200,-73,-85,-200,-84,-200,-200,-200,-200,-200,-81,-200,-86,-200,-90,-77,-200
1526455162162,-38,-36,-67,-43,-40,-41,-58,-200,-51,-48,-57,-50,-54,-46,-55,-62,-61,-58,-56,-56,-72,-64,-69,-64,-63,-67,-68,-65,-200,-74,-200,-75,-68,-200,-77,-74,-77,-71,-84,-75,-86,-72,-79,-200,-200,-76,-200,-87,-200,-77,-200,-80,-79,-86,-200,-84,-86,-86,-84,-77,-200,-86,-85,-200,-200,-200,-73,-85,-200,-84,-200,-87,-200,-89,-200,-82,-200,-86,-200,-200,-77,-200
1526455165198,-37,-33,-66,-43,-39,-40,-65,-200,-51,-46,-60,-50,-55,-46,-55,-61,-53,-58,-56,-56,-71,-62,-69,-64,-62,-67,-68,-69,-200,-74,-70,-80,-68,-200,-77,-74,-77,-71,-84,-75,-86,-72,-78,-200,-200,-76,-200,-87,-200,-77,-200,-79,-79,-86,-200,-84,-86,-85,-84,-77,-200,-86,-85,-200,-200,-200,-200,-85,-200,-84,-200,-87,-200,-89,-200,-82,-200,-86,-200,-200,-77,-200
1526455168266,-38,-38,-66,-45,-39,-40,-63,-200,-51,-50,-55,-50,-55,-47,-55,-57,-59,-56,-57,-63,-71,-66,-70,-63,-62,-67,-66,-69,-200,-74,-70,-80,-71,-200,-77,-77,-77,-72,-84,-75,-86,-70,-79,-200,-200,-76,-200,-87,-200,-77,-200,-79,-84,-200,-87,-85,-86,-85,-84,-77,-200,-86,-86,-200,-200,-200,-200,-85,-200,-74,-79,-87,-200,-89,-200,-82,-200,-86,-200,-200,-200,-200
1526455171325,-32,-38,-66,-43,-39,-40,-63,-200,-48,-50,-54,-49,-60,-51,-58,-57,-55,-60,-58,-60,-71,-63,-70,-63,-62,-64,-66,-66,-200,-74,-70,-80,-66,-200,-77,-72,-76,-72,-80,-73,-86,-70,-81,-200,-200,-74,-200,-87,-200,-77,-200,-79,-84,-200,-87,-87,-86,-84,-84,-77,-200,-86,-86,-200,-200,-200,-200,-85,-200,-74,-79,-87,-76,-89,-80,-82,-200,-88,-200,-200,-200,-89
