,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A60,DLINK_D00EB8,DLINK_D02A98,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,DLINK_D00E98,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A28,DLINK_D00ED0,DLINK_D00ED8,D-Link_DIR-823Pro,DLINK_D02A20,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526456332715,-41,-45,-57,-53,-60,-59,-58,-65,-57,-64,-64,-69,-72,-66,-63,-67,-63,-63,-67,-80,-84,-73,-70,-80,-75,-75,-75,-84,-78,-86,-200,-69,-77,-200,-200,-87,-79,-75,-81,-80,-92,-200,-200,-82,-200,-87,-90,-200,-92,-200,-200,-200,-200,-81,-200,-90,-86,-79,-86,-94,-87,-92,-200,-200,-200
1526456335785,-41,-46,-63,-54,-60,-61,-60,-70,-61,-64,-65,-66,-72,-66,-65,-69,-67,-67,-67,-80,-84,-73,-72,-80,-75,-80,-75,-84,-78,-88,-200,-69,-80,-200,-200,-87,-79,-89,-76,-81,-92,-200,-200,-82,-90,-87,-90,-200,-200,-200,-200,-200,-200,-81,-200,-90,-91,-81,-86,-94,-87,-92,-200,-200,-200
1526456338859,-43,-43,-63,-51,-63,-60,-59,-65,-60,-66,-65,-71,-72,-72,-65,-69,-63,-67,-67,-73,-84,-73,-71,-80,-73,-80,-75,-84,-80,-88,-200,-70,-80,-83,-200,-88,-79,-80,-74,-81,-92,-200,-87,-84,-90,-87,-90,-200,-200,-200,-200,-200,-200,-81,-200,-90,-91,-81,-200,-94,-87,-92,-200,-200,-200
1526456341910,-41,-45,-62,-48,-62,-59,-59,-64,-60,-62,-65,-71,-71,-72,-65,-72,-69,-69,-67,-73,-84,-72,-70,-79,-74,-79,-75,-84,-80,-88,-83,-70,-81,-83,-200,-88,-81,-80,-74,-83,-92,-200,-87,-84,-90,-89,-200,-200,-200,-200,-200,-200,-200,-81,-200,-86,-91,-83,-200,-200,-87,-92,-200,-200,-200
1526456344993,-41,-44,-60,-53,-62,-59,-58,-64,-59,-62,-60,-71,-71,-72,-65,-72,-62,-68,-68,-73,-86,-73,-70,-79,-75,-77,-200,-84,-77,-90,-83,-71,-78,-83,-200,-88,-81,-80,-74,-81,-92,-200,-87,-82,-90,-89,-200,-200,-200,-200,-200,-200,-200,-81,-200,-86,-91,-83,-85,-200,-200,-92,-200,-200,-200
1526456348037,-39,-44,-60,-53,-59,-60,-55,-64,-61,-66,-63,-73,-71,-72,-65,-72,-64,-66,-68,-73,-85,-73,-70,-79,-75,-76,-200,-200,-77,-90,-83,-71,-83,-83,-200,-88,-81,-80,-75,-81,-200,-200,-87,-82,-90,-89,-200,-200,-200,-200,-200,-200,-200,-200,-89,-86,-91,-83,-86,-200,-200,-92,-88,-93,-200
1526456351104,-42,-40,-60,-53,-59,-60,-59,-66,-60,-63,-63,-70,-70,-71,-64,-70,-65,-66,-67,-73,-85,-71,-71,-80,-75,-76,-200,-84,-77,-88,-83,-72,-83,-83,-200,-88,-78,-80,-75,-81,-200,-200,-87,-82,-90,-88,-200,-87,-200,-200,-200,-200,-200,-200,-89,-86,-200,-83,-86,-200,-200,-200,-88,-93,-200
1526456354164,-42,-40,-60,-61,-56,-61,-57,-67,-57,-65,-63,-77,-70,-69,-62,-66,-62,-66,-67,-72,-84,-72,-71,-80,-73,-72,-200,-84,-77,-88,-83,-72,-76,-83,-200,-200,-74,-200,-76,-79,-200,-200,-200,-80,-200,-86,-200,-85,-200,-200,-200,-200,-200,-200,-89,-86,-200,-83,-86,-200,-200,-200,-88,-93,-200
1526456357207,-39,-39,-58,-53,-56,-61,-58,-67,-57,-65,-63,-72,-68,-68,-63,-68,-66,-66,-67,-72,-82,-74,-71,-79,-70,-71,-200,-84,-77,-88,-200,-72,-76,-200,-200,-200,-78,-200,-73,-79,-200,-200,-200,-80,-200,-86,-87,-85,-200,-200,-200,-200,-200,-200,-89,-86,-200,-200,-86,-200,-200,-200,-88,-93,-200
1526456360275,-43,-39,-55,-49,-55,-61,-58,-67,-59,-65,-63,-68,-70,-63,-63,-69,-63,-66,-67,-73,-82,-73,-71,-79,-70,-72,-78,-84,-77,-88,-200,-72,-76,-200,-200,-200,-78,-200,-72,-79,-200,-200,-90,-80,-200,-86,-87,-85,-200,-200,-200,-200,-200,-200,-89,-89,-200,-200,-86,-200,-200,-200,-88,-93,-200
1526456363309,-40,-37,-56,-51,-55,-62,-55,-63,-59,-64,-63,-65,-69,-68,-63,-69,-62,-66,-67,-73,-81,-73,-71,-79,-74,-73,-84,-84,-77,-88,-200,-71,-76,-200,-200,-200,-80,-73,-72,-79,-200,-200,-90,-77,-200,-86,-87,-85,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526456366362,-40,-40,-57,-55,-59,-62,-56,-63,-59,-64,-63,-78,-69,-68,-62,-69,-62,-65,-67,-71,-83,-73,-71,-79,-81,-76,-84,-81,-77,-88,-200,-71,-76,-200,-200,-200,-81,-73,-72,-79,-200,-200,-90,-81,-200,-86,-87,-85,-200,-200,-200,-200,-200,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-88
