,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A30,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A88,D-Link_DIR-823Pro,DLINK_D02A60,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,DLINK_D02A58,D-Link_DIR-823Pro_5GHz,DLINK_D00E98,D-Link_DIR-823Pro,DLINK_D02A98,DLINK_D00EB8,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D02A10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A18,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D02A20,WHU-2018,WHU-2018,WHU-2018,DLINK_D00ED0,DLINK_D02A28,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A48,D-Link_DIR-823Pro,DLINK_D02A38,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D00EC0,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526455521971,-48,-46,-33,-43,-48,-38,-61,-55,-50,-58,-52,-48,-46,-57,-53,-65,-65,-50,-63,-72,-49,-64,-68,-63,-73,-82,-65,-61,-75,-200,-69,-74,-76,-74,-86,-200,-74,-84,-82,-83,-77,-200,-200,-78,-71,-87,-200,-200,-200,-89,-83,-83,-61,-91,-72,-200,-85,-84,-76,-80,-84,-74,-86,-65,-66,-82,-87,-200,-200,-200,-200,-200,-200,-200
1526455525044,-47,-46,-33,-39,-47,-34,-60,-55,-56,-67,-48,-48,-46,-55,-53,-68,-64,-50,-63,-71,-47,-63,-64,-64,-72,-73,-65,-75,-71,-200,-68,-73,-77,-74,-85,-200,-74,-86,-82,-83,-78,-200,-78,-78,-71,-83,-200,-200,-200,-89,-83,-83,-61,-91,-72,-200,-81,-84,-76,-80,-200,-74,-86,-69,-66,-82,-87,-80,-200,-200,-200,-200,-200,-200
1526455528119,-46,-43,-32,-43,-49,-39,-61,-55,-56,-67,-49,-47,-46,-54,-53,-68,-63,-58,-63,-70,-49,-63,-65,-64,-71,-73,-67,-65,-71,-200,-68,-73,-76,-70,-84,-200,-74,-86,-79,-200,-78,-82,-80,-84,-71,-83,-200,-200,-200,-89,-82,-83,-200,-91,-72,-200,-81,-84,-76,-80,-200,-74,-86,-69,-66,-82,-87,-82,-200,-200,-200,-200,-200,-200
1526455531162,-47,-41,-32,-40,-48,-41,-59,-52,-53,-56,-48,-47,-43,-54,-52,-66,-70,-52,-61,-71,-52,-65,-65,-65,-75,-73,-69,-62,-71,-69,-68,-73,-76,-70,-82,-200,-74,-85,-79,-200,-81,-82,-75,-84,-71,-85,-200,-200,-200,-200,-82,-87,-68,-91,-79,-200,-85,-81,-79,-80,-200,-75,-200,-72,-66,-82,-87,-82,-200,-200,-200,-200,-200,-200
1526455534204,-45,-42,-35,-44,-48,-43,-61,-52,-53,-60,-49,-47,-44,-53,-54,-68,-61,-52,-61,-71,-51,-63,-65,-65,-75,-73,-65,-63,-71,-69,-68,-73,-76,-77,-82,-200,-76,-84,-79,-200,-81,-82,-80,-76,-67,-85,-200,-200,-200,-200,-82,-81,-68,-91,-79,-200,-85,-81,-78,-81,-200,-75,-200,-65,-66,-200,-87,-82,-86,-200,-200,-200,-200,-200
1526455537269,-45,-42,-35,-42,-46,-43,-59,-51,-55,-58,-50,-47,-40,-54,-54,-62,-61,-52,-67,-71,-47,-65,-61,-65,-73,-73,-65,-65,-71,-69,-66,-73,-78,-71,-81,-200,-77,-84,-79,-200,-81,-82,-80,-76,-67,-85,-200,-200,-200,-200,-82,-81,-63,-200,-75,-200,-82,-81,-83,-81,-84,-80,-200,-65,-66,-200,-85,-82,-86,-200,-200,-200,-200,-200
1526455540330,-45,-41,-34,-41,-47,-39,-65,-53,-55,-56,-51,-47,-43,-53,-54,-66,-62,-47,-67,-68,-45,-65,-64,-64,-72,-200,-66,-62,-200,-69,-74,-73,-78,-71,-81,-200,-77,-84,-79,-200,-78,-82,-80,-76,-74,-86,-200,-200,-200,-200,-82,-79,-63,-200,-79,-200,-82,-81,-83,-81,-84,-75,-200,-65,-66,-200,-84,-82,-86,-67,-200,-200,-200,-200
1526455543375,-45,-44,-34,-41,-48,-43,-60,-54,-49,-55,-51,-48,-46,-53,-53,-70,-65,-47,-67,-70,-46,-64,-64,-64,-73,-200,-66,-60,-200,-69,-74,-73,-78,-76,-85,-200,-77,-84,-200,-200,-78,-84,-82,-74,-74,-86,-200,-200,-200,-200,-200,-79,-63,-200,-79,-200,-84,-81,-76,-82,-84,-75,-200,-71,-200,-200,-84,-82,-86,-67,-200,-200,-200,-200
1526455546425,-45,-46,-31,-41,-48,-39,-58,-54,-49,-55,-48,-48,-46,-53,-53,-68,-61,-52,-67,-68,-48,-64,-64,-65,-73,-200,-66,-60,-200,-200,-74,-73,-78,-72,-83,-200,-76,-83,-200,-200,-78,-80,-82,-74,-74,-86,-200,-200,-200,-200,-200,-79,-67,-90,-79,-200,-84,-83,-76,-82,-84,-75,-200,-66,-200,-200,-84,-200,-82,-67,-200,-200,-200,-200
1526455549492,-46,-46,-40,-43,-51,-39,-58,-54,-54,-55,-48,-47,-46,-53,-52,-68,-61,-52,-61,-68,-49,-64,-62,-64,-73,-200,-66,-60,-200,-83,-66,-73,-78,-74,-83,-200,-76,-83,-200,-200,-76,-81,-82,-74,-74,-86,-200,-200,-200,-200,-200,-79,-68,-90,-79,-200,-84,-83,-76,-82,-84,-75,-200,-67,-69,-200,-84,-200,-82,-67,-78,-84,-85,-200
1526455552559,-45,-43,-34,-40,-49,-40,-61,-53,-55,-55,-49,-47,-48,-53,-48,-68,-61,-51,-61,-68,-47,-64,-60,-63,-72,-200,-66,-64,-75,-83,-66,-72,-200,-74,-84,-200,-76,-87,-200,-200,-77,-81,-82,-74,-74,-86,-200,-200,-200,-200,-200,-79,-70,-90,-76,-200,-84,-86,-76,-82,-200,-75,-200,-71,-69,-200,-84,-200,-82,-67,-78,-84,-85,-200
1526455555599,-43,-46,-32,-40,-50,-44,-61,-53,-51,-55,-49,-47,-44,-53,-50,-66,-59,-53,-61,-68,-51,-64,-60,-64,-73,-76,-67,-63,-78,-83,-75,-74,-200,-74,-82,-200,-76,-87,-200,-200,-77,-81,-82,-70,-74,-84,-200,-200,-200,-87,-200,-83,-70,-90,-76,-200,-84,-86,-76,-82,-200,-75,-200,-71,-75,-200,-84,-200,-82,-67,-78,-85,-85,-78
