,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,MERCURY_0166,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011314,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,DLINK_D00ED8,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526458937765,-33,-44,-47,-53,-53,-48,-74,-63,-56,-59,-61,-59,-65,-54,-61,-68,-64,-75,-67,-65,-67,-70,-71,-76,-71,-78,-59,-81,-82,-84,-85,-200,-88,-87,-200,-200,-200,-200,-75,-79,-87,-64,-200,-85,-80,-200,-200,-200,-200,-200,-82,-200,-200,-200,-87,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458940794,-34,-43,-48,-53,-52,-59,-66,-53,-57,-59,-60,-59,-63,-59,-61,-68,-65,-70,-68,-64,-71,-80,-64,-75,-64,-78,-83,-82,-82,-84,-84,-200,-88,-87,-200,-200,-74,-71,-75,-80,-87,-64,-200,-85,-80,-200,-200,-200,-200,-200,-82,-200,-200,-200,-87,-88,-91,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458943801,-37,-44,-48,-56,-51,-55,-65,-57,-58,-57,-61,-56,-65,-59,-64,-200,-65,-70,-64,-68,-71,-69,-70,-78,-64,-78,-82,-83,-82,-84,-84,-84,-87,-87,-200,-84,-71,-71,-76,-80,-86,-64,-200,-85,-80,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-88,-91,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458946842,-37,-43,-50,-56,-52,-56,-67,-53,-59,-59,-61,-59,-65,-63,-61,-200,-68,-67,-64,-66,-71,-69,-70,-78,-65,-78,-83,-82,-200,-83,-84,-84,-87,-200,-200,-84,-71,-74,-76,-80,-86,-73,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-88,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526458949895,-37,-43,-49,-56,-52,-57,-65,-57,-57,-59,-61,-58,-65,-59,-68,-68,-65,-67,-67,-66,-71,-69,-70,-78,-65,-78,-82,-82,-81,-78,-84,-84,-87,-200,-200,-84,-71,-74,-76,-80,-86,-74,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-88,-200,-200,-87,-75,-200,-200,-200,-200,-200,-200,-200
1526458952934,-33,-43,-48,-49,-52,-56,-63,-53,-57,-57,-61,-58,-200,-59,-63,-67,-65,-200,-69,-70,-71,-200,-70,-77,-66,-78,-82,-81,-200,-62,-84,-200,-87,-200,-200,-200,-70,-200,-200,-80,-200,-72,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-200,-200,-79,-87,-88,-200,-200,-200,-200
1526458955983,-33,-44,-48,-55,-51,-57,-61,-53,-57,-59,-62,-59,-200,-59,-64,-68,-65,-200,-64,-70,-62,-71,-71,-88,-65,-78,-82,-82,-200,-83,-85,-200,-87,-200,-200,-200,-70,-74,-200,-78,-77,-72,-200,-200,-200,-200,-78,-200,-200,-200,-82,-200,-200,-84,-200,-200,-200,-200,-200,-200,-79,-87,-88,-200,-200,-200,-200
1526458959036,-35,-42,-46,-55,-53,-57,-52,-57,-58,-58,-59,-58,-200,-64,-64,-67,-84,-73,-64,-68,-70,-66,-69,-88,-66,-74,-78,-80,-200,-83,-60,-200,-85,-200,-84,-200,-70,-74,-200,-78,-77,-73,-200,-200,-200,-200,-200,-200,-200,-85,-82,-200,-200,-200,-200,-86,-200,-200,-200,-200,-79,-200,-88,-200,-200,-200,-200
1526458962086,-36,-47,-45,-52,-52,-56,-65,-57,-58,-59,-60,-58,-200,-62,-67,-67,-70,-66,-64,-64,-70,-66,-76,-83,-64,-77,-83,-80,-200,-83,-60,-84,-85,-200,-84,-200,-200,-200,-68,-76,-200,-64,-200,-74,-200,-200,-200,-200,-200,-85,-200,-200,-200,-200,-200,-86,-200,-200,-200,-72,-200,-200,-200,-84,-92,-200,-200
1526458965124,-31,-44,-50,-56,-52,-50,-69,-59,-54,-59,-62,-59,-200,-59,-64,-200,-68,-66,-68,-68,-62,-65,-70,-83,-62,-78,-83,-82,-200,-83,-200,-84,-200,-86,-200,-200,-200,-200,-68,-76,-200,-64,-200,-74,-200,-200,-200,-200,-82,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-84,-92,-200,-200
1526458968173,-34,-47,-50,-55,-51,-55,-66,-65,-56,-57,-61,-61,-65,-57,-62,-67,-65,-70,-68,-64,-71,-200,-70,-77,-62,-78,-83,-82,-82,-84,-85,-84,-87,-200,-200,-90,-67,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-200
1526458971216,-36,-43,-51,-57,-52,-52,-65,-52,-57,-59,-58,-59,-66,-57,-62,-77,-69,-70,-65,-64,-71,-69,-69,-77,-67,-78,-81,-82,-82,-71,-84,-84,-88,-200,-200,-88,-67,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-82,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-86,-90,-89
