,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,DLINK_D013A8,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,WHU-2018,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526458858327,-27,-49,-49,-52,-40,-53,-61,-54,-59,-68,-55,-56,-61,-200,-65,-77,-64,-69,-53,-77,-75,-64,-67,-200,-200,-73,-200,-69,-69,-200,-76,-78,-63,-70,-81,-75,-70,-200,-84,-59,-81,-83,-88,-83,-85,-200,-88,-200,-87,-200,-200,-200,-200,-81,-200,-200,-200,-91,-86,-77,-85,-82,-200,-80,-200,-200,-90,-86,-84,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458861393,-27,-50,-47,-49,-47,-55,-61,-55,-59,-68,-54,-64,-58,-80,-66,-49,-68,-79,-50,-77,-71,-64,-67,-200,-200,-73,-70,-71,-70,-200,-75,-74,-68,-70,-82,-81,-70,-200,-84,-80,-81,-83,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-200,-82,-200,-80,-200,-200,-90,-86,-84,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458864414,-28,-51,-44,-50,-42,-55,-57,-55,-59,-62,-53,-66,-58,-68,-64,-49,-66,-79,-54,-87,-71,-200,-67,-200,-72,-73,-70,-71,-70,-77,-76,-78,-68,-200,-82,-81,-69,-200,-200,-71,-200,-83,-200,-83,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-81,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-87,-77,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458867484,-28,-49,-48,-49,-41,-55,-58,-54,-59,-68,-56,-52,-57,-67,-61,-65,-64,-68,-53,-70,-71,-200,-68,-200,-72,-73,-200,-200,-200,-77,-75,-78,-63,-79,-200,-81,-69,-200,-200,-81,-200,-84,-200,-83,-81,-200,-86,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-81,-200,-200,-200,-200,-81,-84,-84,-200,-200,-200,-87,-77,-87,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458870530,-27,-49,-47,-49,-48,-54,-63,-56,-59,-90,-55,-54,-59,-67,-63,-65,-63,-68,-50,-74,-69,-70,-71,-200,-200,-73,-200,-200,-69,-84,-73,-78,-63,-79,-200,-79,-200,-200,-200,-79,-200,-82,-200,-82,-86,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-89,-200,-200,-200,-200,-200,-200,-200,-81,-84,-200,-200,-200,-85,-200,-200,-200,-87,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526458873583,-28,-49,-47,-50,-42,-56,-63,-56,-59,-63,-56,-62,-58,-69,-66,-62,-67,-71,-53,-74,-71,-83,-68,-88,-200,-73,-87,-84,-66,-84,-73,-78,-63,-79,-200,-81,-200,-200,-200,-81,-89,-71,-200,-85,-86,-200,-200,-200,-200,-200,-88,-200,-200,-82,-87,-89,-200,-200,-200,-90,-200,-200,-200,-80,-84,-200,-200,-200,-85,-200,-200,-90,-87,-90,-83,-88,-88,-200,-200,-200,-200,-200
1526458876602,-28,-49,-46,-51,-62,-56,-59,-52,-59,-70,-55,-62,-59,-69,-63,-63,-67,-71,-53,-71,-71,-66,-67,-88,-200,-69,-87,-66,-71,-78,-200,-77,-64,-200,-200,-80,-71,-200,-200,-80,-89,-71,-200,-83,-200,-200,-200,-200,-200,-200,-88,-200,-200,-82,-200,-200,-200,-200,-83,-90,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-83,-88,-88,-200,-200,-200,-200,-200
1526458879664,-29,-50,-48,-51,-42,-56,-60,-56,-58,-63,-56,-54,-58,-69,-62,-62,-67,-69,-53,-71,-58,-70,-67,-88,-200,-73,-87,-66,-71,-78,-200,-78,-63,-200,-200,-81,-59,-200,-200,-81,-89,-71,-200,-84,-200,-200,-200,-200,-200,-200,-88,-200,-200,-82,-87,-200,-200,-200,-83,-82,-200,-82,-200,-80,-200,-200,-200,-200,-200,-200,-200,-90,-200,-200,-83,-88,-88,-200,-200,-200,-200,-200
1526458882696,-29,-48,-47,-50,-42,-55,-66,-61,-59,-63,-56,-62,-61,-68,-66,-62,-200,-69,-53,-73,-71,-70,-71,-74,-200,-73,-71,-69,-71,-78,-200,-77,-64,-200,-200,-80,-72,-200,-200,-81,-79,-83,-200,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-80,-87,-200,-72,-200,-83,-82,-200,-82,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200
1526458885731,-28,-48,-48,-49,-41,-56,-62,-60,-61,-200,-56,-64,-61,-68,-67,-200,-64,-70,-48,-79,-71,-200,-71,-74,-71,-74,-71,-64,-72,-78,-76,-78,-63,-75,-200,-71,-67,-200,-200,-81,-79,-83,-200,-84,-86,-200,-200,-200,-200,-200,-200,-200,-200,-80,-85,-88,-79,-200,-200,-200,-200,-200,-200,-200,-200,-84,-200,-200,-200,-200,-78,-200,-200,-200,-200,-87,-200,-85,-200,-200,-200,-200
1526458888785,-29,-46,-48,-58,-42,-55,-59,-58,-59,-200,-56,-64,-59,-200,-67,-63,-80,-85,-53,-75,-71,-200,-72,-200,-71,-71,-77,-68,-70,-78,-76,-78,-63,-78,-200,-80,-67,-200,-200,-81,-81,-83,-90,-83,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-85,-88,-79,-200,-91,-200,-200,-200,-200,-80,-84,-84,-200,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-93,-88,-88,-200,-200
1526458891824,-28,-50,-49,-54,-44,-57,-59,-54,-58,-200,-53,-53,-61,-69,-53,-62,-80,-70,-53,-74,-70,-67,-72,-73,-67,-74,-77,-70,-70,-79,-78,-75,-63,-76,-200,-74,-200,-200,-200,-84,-81,-200,-90,-83,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-200,-200,-91,-200,-82,-200,-200,-80,-84,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-88,-88,-82,-89
