,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,whu2011314,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018
1526459014456,-31,-46,-56,-34,-44,-52,-55,-46,-52,-57,-70,-53,-62,-58,-70,-63,-52,-62,-200,-68,-78,-67,-63,-74,-72,-200,-80,-200,-79,-85,-200,-200,-79,-200,-82,-78,-86,-84,-200,-87,-200,-200,-64,-75,-80,-200,-200,-200,-88,-200,-75,-200,-87,-200,-200,-200,-200,-77,-200,-86,-200,-200,-200,-80,-85,-81,-89,-200,-200,-200,-200,-200,-200,-200,-200
1526459017466,-25,-44,-56,-16,-45,-53,-55,-46,-54,-59,-70,-58,-57,-59,-71,-66,-46,-66,-200,-68,-67,-200,-63,-74,-72,-200,-81,-200,-79,-85,-200,-200,-78,-200,-200,-78,-200,-85,-87,-200,-86,-200,-69,-200,-200,-83,-200,-200,-200,-200,-75,-200,-86,-200,-88,-200,-200,-80,-200,-86,-200,-200,-200,-200,-200,-85,-89,-81,-200,-200,-200,-200,-200,-200,-200
1526459020523,-25,-48,-50,-32,-44,-51,-55,-47,-58,-59,-68,-52,-59,-60,-71,-66,-48,-66,-72,-200,-67,-77,-66,-200,-75,-200,-81,-200,-200,-82,-200,-86,-76,-200,-200,-79,-200,-86,-87,-84,-86,-200,-77,-200,-200,-83,-72,-90,-200,-200,-200,-200,-86,-82,-88,-200,-200,-80,-200,-86,-200,-200,-200,-200,-85,-85,-200,-80,-200,-200,-200,-200,-200,-200,-200
1526459023580,-24,-48,-55,-34,-45,-53,-55,-66,-55,-58,-67,-57,-59,-58,-70,-79,-52,-65,-72,-68,-69,-78,-66,-77,-77,-200,-78,-200,-200,-82,-200,-88,-78,-200,-77,-58,-200,-79,-86,-85,-200,-200,-77,-200,-200,-83,-72,-90,-200,-200,-77,-91,-200,-82,-200,-200,-200,-78,-200,-200,-200,-200,-200,-200,-85,-200,-200,-80,-89,-93,-200,-200,-200,-200,-200
1526459026593,-26,-45,-55,-30,-45,-51,-55,-47,-64,-58,-66,-53,-58,-60,-71,-79,-50,-66,-200,-66,-71,-68,-64,-79,-77,-200,-81,-200,-200,-82,-64,-88,-81,-200,-79,-71,-200,-82,-86,-85,-200,-85,-68,-200,-200,-83,-200,-200,-200,-200,-83,-91,-83,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-89,-90,-200,-200,-200,-200,-200
1526459029602,-32,-47,-54,-34,-44,-53,-55,-47,-56,-57,-69,-82,-59,-58,-73,-69,-50,-66,-200,-66,-71,-68,-64,-79,-74,-200,-78,-200,-200,-82,-64,-88,-79,-200,-79,-58,-83,-83,-89,-85,-200,-85,-64,-79,-200,-83,-200,-200,-200,-200,-83,-91,-83,-200,-85,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-80,-89,-90,-83,-85,-200,-200,-200
1526459032652,-24,-48,-54,-29,-43,-53,-54,-48,-78,-86,-69,-49,-86,-59,-71,-69,-51,-66,-200,-63,-71,-68,-64,-76,-76,-200,-79,-200,-77,-86,-64,-200,-80,-200,-81,-78,-83,-84,-89,-85,-200,-85,-82,-76,-200,-82,-80,-200,-200,-200,-69,-200,-83,-84,-89,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-89,-90,-83,-85,-88,-200,-200
1526459035695,-25,-48,-53,-36,-44,-52,-54,-45,-56,-58,-63,-59,-57,-59,-70,-200,-51,-66,-200,-65,-200,-74,-63,-85,-75,-78,-80,-200,-77,-86,-200,-200,-79,-200,-81,-78,-200,-83,-200,-200,-200,-200,-82,-76,-200,-82,-80,-200,-200,-200,-80,-200,-200,-84,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-79,-200,-200,-200,-200,-88,-200,-200
1526459038748,-27,-49,-53,-35,-44,-54,-54,-45,-56,-58,-63,-55,-59,-58,-70,-200,-47,-70,-200,-63,-75,-74,-63,-79,-75,-78,-79,-200,-91,-200,-200,-200,-78,-200,-200,-78,-200,-84,-200,-200,-88,-200,-55,-200,-200,-200,-200,-200,-200,-200,-80,-200,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526459041782,-30,-46,-62,-34,-44,-57,-59,-44,-55,-57,-200,-53,-57,-56,-74,-200,-68,-70,-200,-63,-75,-65,-200,-79,-200,-200,-78,-200,-91,-82,-200,-85,-81,-200,-200,-76,-87,-86,-200,-88,-88,-200,-63,-200,-200,-200,-200,-200,-200,-200,-82,-85,-200,-200,-86,-200,-200,-200,-200,-200,-200,-200,-200,-78,-200,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200
1526459044814,-27,-53,-54,-33,-46,-56,-54,-45,-71,-57,-72,-53,-56,-58,-70,-67,-49,-70,-71,-69,-81,-65,-66,-73,-200,-200,-78,-200,-91,-82,-200,-85,-79,-200,-200,-78,-87,-84,-87,-88,-88,-200,-71,-76,-200,-200,-200,-200,-200,-200,-74,-85,-86,-200,-86,-200,-200,-75,-200,-88,-200,-200,-200,-78,-200,-86,-200,-87,-200,-200,-200,-200,-200,-89,-200
1526459047903,-31,-47,-52,-30,-44,-49,-54,-47,-64,-57,-71,-52,-60,-58,-60,-67,-46,-70,-70,-64,-81,-65,-66,-78,-200,-200,-80,-200,-200,-86,-200,-83,-79,-200,-200,-78,-87,-60,-87,-87,-200,-200,-65,-73,-200,-200,-200,-200,-200,-200,-81,-85,-86,-200,-86,-200,-200,-75,-200,-88,-200,-200,-200,-200,-200,-86,-86,-87,-200,-200,-200,-200,-200,-89,-88
