,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,DLINK_D02A18,MERCURY_0166,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,whu2011309,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526459213712,-31,-49,-42,-53,-57,-59,-52,-58,-67,-60,-65,-74,-61,-75,-75,-79,-69,-77,-71,-77,-75,-84,-85,-71,-60,-79,-80,-85,-88,-200,-200,-85,-200,-74,-78,-88,-93,-87,-83,-88,-92,-88,-89,-86,-90,-200,-87,-200,-84,-200,-200,-91,-90,-85,-91,-200,-200,-89,-80,-200,-86,-200,-200,-200,-200,-200,-200,-91,-80,-93,-89,-93,-93,-90,-90,-92,-200,-200,-200,-200,-200,-200,-200,-200
1526459216752,-30,-44,-42,-55,-59,-60,-52,-59,-64,-60,-63,-76,-60,-75,-76,-85,-69,-77,-73,-79,-72,-85,-84,-71,-58,-79,-80,-85,-84,-200,-89,-85,-200,-74,-81,-88,-93,-87,-83,-88,-89,-88,-89,-87,-90,-200,-87,-200,-84,-200,-89,-91,-90,-85,-91,-200,-200,-89,-87,-200,-86,-88,-200,-89,-200,-200,-200,-91,-80,-93,-89,-200,-200,-90,-90,-92,-88,-91,-200,-200,-200,-200,-200,-200
1526459219789,-43,-50,-41,-55,-57,-59,-53,-58,-63,-59,-63,-80,-59,-75,-74,-78,-76,-78,-81,-87,-73,-87,-84,-71,-59,-79,-80,-83,-83,-200,-90,-85,-200,-85,-78,-200,-87,-87,-85,-88,-89,-88,-89,-88,-200,-200,-85,-81,-84,-92,-91,-91,-90,-87,-200,-200,-200,-200,-87,-89,-86,-88,-200,-89,-200,-200,-200,-90,-80,-92,-89,-200,-200,-90,-90,-94,-88,-91,-88,-200,-200,-200,-200,-200
1526459222826,-36,-48,-41,-52,-54,-60,-53,-59,-65,-60,-63,-81,-60,-73,-75,-80,-64,-79,-74,-80,-73,-78,-81,-68,-61,-80,-80,-86,-86,-87,-90,-84,-200,-85,-81,-200,-87,-200,-83,-88,-90,-88,-87,-88,-200,-200,-85,-81,-200,-92,-91,-91,-90,-87,-200,-200,-86,-200,-83,-89,-86,-88,-200,-89,-200,-89,-200,-91,-80,-91,-91,-88,-200,-200,-90,-94,-88,-91,-88,-90,-91,-200,-200,-200
1526459225865,-36,-44,-41,-54,-58,-60,-52,-59,-63,-61,-63,-77,-60,-75,-75,-80,-64,-78,-72,-80,-73,-81,-87,-71,-61,-79,-80,-83,-86,-87,-90,-84,-200,-76,-82,-200,-87,-200,-83,-200,-90,-88,-87,-87,-200,-200,-88,-81,-200,-88,-91,-89,-200,-87,-200,-200,-88,-200,-80,-89,-86,-90,-200,-91,-200,-89,-200,-91,-200,-91,-91,-89,-200,-200,-200,-94,-88,-91,-88,-90,-91,-200,-200,-200
1526459228902,-30,-49,-41,-54,-57,-60,-52,-59,-63,-62,-64,-71,-59,-75,-75,-80,-65,-72,-72,-80,-77,-79,-78,-68,-60,-81,-80,-83,-82,-87,-90,-85,-200,-82,-82,-200,-88,-200,-86,-200,-90,-88,-87,-87,-200,-200,-86,-81,-200,-90,-91,-89,-200,-87,-90,-200,-88,-200,-80,-89,-88,-89,-200,-88,-200,-89,-200,-90,-200,-93,-88,-89,-200,-200,-92,-94,-200,-200,-88,-90,-91,-86,-200,-200
1526459231938,-36,-45,-42,-52,-55,-59,-52,-59,-63,-60,-63,-73,-54,-75,-75,-79,-54,-78,-74,-80,-73,-79,-78,-72,-59,-81,-80,-83,-82,-89,-90,-85,-200,-83,-82,-200,-90,-200,-86,-200,-90,-88,-90,-87,-87,-200,-86,-200,-87,-88,-91,-89,-200,-200,-90,-200,-87,-85,-80,-89,-88,-91,-200,-88,-200,-89,-200,-90,-200,-93,-88,-89,-200,-200,-92,-200,-200,-200,-200,-88,-91,-86,-200,-200
1526459234974,-31,-43,-42,-52,-60,-59,-52,-59,-64,-61,-64,-74,-60,-75,-74,-78,-63,-77,-72,-79,-77,-78,-78,-71,-62,-79,-80,-84,-82,-89,-90,-85,-200,-75,-82,-200,-90,-200,-88,-89,-90,-88,-90,-89,-87,-200,-86,-200,-87,-88,-88,-94,-200,-200,-90,-200,-87,-88,-80,-89,-86,-91,-200,-91,-200,-200,-200,-90,-200,-93,-88,-89,-200,-200,-92,-200,-200,-200,-200,-88,-200,-86,-200,-200
1526459238011,-30,-48,-43,-52,-56,-61,-52,-59,-62,-60,-63,-80,-57,-75,-75,-78,-64,-79,-75,-79,-76,-77,-82,-75,-61,-79,-79,-83,-87,-89,-90,-85,-200,-83,-200,-200,-90,-200,-84,-87,-200,-200,-89,-84,-87,-200,-85,-200,-87,-88,-88,-94,-91,-200,-90,-200,-87,-88,-200,-88,-87,-91,-92,-91,-200,-200,-200,-90,-200,-93,-88,-89,-200,-200,-92,-200,-200,-200,-200,-88,-200,-86,-85,-200
1526459241036,-30,-46,-42,-54,-59,-60,-52,-59,-65,-61,-64,-72,-60,-75,-75,-80,-56,-78,-74,-80,-77,-80,-75,-75,-63,-81,-80,-84,-82,-89,-88,-85,-200,-82,-200,-200,-200,-200,-80,-87,-200,-200,-90,-86,-200,-200,-85,-200,-200,-90,-88,-94,-91,-200,-200,-89,-200,-86,-200,-88,-87,-90,-89,-91,-200,-200,-200,-90,-200,-200,-91,-89,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-85,-200
1526459244075,-30,-48,-42,-53,-57,-60,-52,-59,-61,-55,-62,-72,-60,-75,-76,-79,-66,-79,-72,-80,-77,-77,-78,-76,-59,-82,-80,-84,-85,-91,-88,-85,-200,-82,-200,-200,-200,-200,-84,-89,-91,-87,-90,-87,-200,-200,-85,-200,-85,-90,-88,-200,-91,-200,-200,-89,-88,-86,-200,-88,-87,-92,-89,-200,-200,-200,-200,-91,-200,-200,-91,-89,-200,-200,-200,-91,-200,-200,-200,-200,-200,-85,-85,-90
1526459247106,-31,-45,-42,-53,-54,-60,-52,-59,-63,-61,-64,-74,-58,-75,-72,-79,-63,-78,-73,-79,-77,-75,-76,-70,-58,-82,-80,-84,-85,-91,-88,-85,-200,-76,-79,-200,-90,-200,-84,-89,-91,-87,-90,-82,-200,-200,-87,-200,-85,-86,-200,-89,-91,-200,-90,-89,-89,-88,-200,-88,-87,-92,-89,-91,-200,-200,-200,-91,-200,-200,-91,-200,-200,-85,-200,-91,-200,-200,-200,-200,-200,-85,-200,-90
