,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D02A68,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,whu2011309,WHU-2018,D-Link_DIR-823Pro,WHU-2018
1526458668629,-36,-39,-36,-52,-52,-57,-56,-53,-66,-58,-70,-57,-67,-66,-67,-62,-65,-69,-70,-62,-83,-71,-77,-82,-85,-85,-85,-76,-85,-76,-86,-80,-89,-77,-82,-88,-200,-90,-89,-92,-90,-90,-200,-200,-200,-84,-82,-85,-84,-90,-81,-200,-80,-91,-200,-200,-90,-89,-92,-86,-90,-88,-88,-91,-90,-89,-83,-87,-89,-200,-90,-92,-90,-92,-88,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526458671644,-35,-35,-42,-52,-52,-59,-55,-58,-67,-63,-72,-61,-62,-74,-67,-64,-69,-73,-69,-63,-84,-71,-77,-200,-83,-84,-77,-76,-88,-82,-86,-79,-82,-77,-82,-88,-89,-90,-92,-200,-87,-90,-200,-90,-200,-200,-82,-89,-82,-89,-83,-200,-80,-90,-200,-200,-91,-84,-200,-90,-92,-67,-88,-88,-90,-90,-85,-84,-86,-85,-200,-90,-90,-92,-88,-90,-85,-87,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526458674680,-16,-39,-40,-51,-53,-60,-55,-56,-59,-65,-72,-60,-68,-84,-67,-63,-64,-67,-69,-63,-84,-69,-77,-87,-86,-84,-82,-75,-91,-79,-83,-80,-88,-82,-89,-88,-89,-88,-92,-200,-87,-90,-200,-90,-87,-200,-92,-86,-82,-89,-81,-200,-86,-90,-200,-200,-91,-84,-200,-90,-92,-67,-88,-84,-200,-90,-85,-84,-87,-85,-200,-90,-90,-200,-88,-90,-85,-87,-90,-91,-200,-200,-200,-200,-200,-200,-200,-200
1526458677694,-36,-39,-38,-49,-52,-57,-55,-57,-65,-64,-74,-61,-62,-66,-68,-56,-64,-64,-68,-62,-82,-71,-75,-87,-86,-84,-61,-75,-91,-78,-80,-78,-85,-80,-89,-87,-88,-87,-92,-200,-84,-89,-200,-90,-87,-87,-81,-86,-82,-89,-81,-200,-86,-90,-200,-200,-91,-90,-90,-90,-92,-67,-200,-84,-90,-90,-85,-84,-87,-85,-200,-90,-89,-200,-200,-200,-85,-88,-90,-91,-88,-89,-90,-200,-200,-200,-200,-200
1526458680730,-37,-38,-39,-52,-52,-60,-55,-57,-66,-60,-72,-61,-66,-68,-67,-60,-63,-68,-67,-60,-81,-70,-70,-87,-86,-85,-75,-77,-91,-78,-84,-79,-85,-79,-89,-87,-88,-87,-200,-200,-85,-89,-91,-90,-86,-87,-80,-86,-83,-89,-82,-200,-83,-200,-86,-200,-200,-90,-90,-200,-92,-67,-200,-84,-90,-90,-85,-84,-87,-85,-200,-90,-89,-200,-87,-200,-85,-88,-200,-91,-88,-89,-90,-92,-200,-200,-200,-200
1526458683766,-37,-39,-38,-52,-52,-60,-55,-56,-64,-60,-76,-61,-66,-69,-67,-62,-63,-67,-69,-64,-82,-72,-69,-87,-85,-85,-78,-77,-79,-72,-83,-80,-85,-79,-86,-87,-88,-87,-200,-200,-89,-89,-91,-200,-88,-79,-82,-83,-83,-88,-82,-200,-84,-200,-86,-200,-200,-90,-92,-90,-200,-88,-200,-84,-87,-200,-88,-86,-83,-84,-200,-200,-89,-200,-87,-200,-200,-88,-200,-200,-88,-89,-90,-90,-93,-200,-200,-200
1526458686777,-36,-37,-38,-50,-52,-58,-55,-58,-64,-64,-72,-62,-66,-67,-67,-63,-66,-67,-68,-62,-82,-69,-74,-200,-85,-85,-81,-76,-79,-72,-79,-80,-81,-82,-86,-87,-88,-87,-200,-200,-88,-89,-91,-200,-88,-80,-83,-86,-82,-88,-82,-200,-83,-89,-86,-200,-200,-90,-92,-88,-200,-88,-200,-89,-87,-200,-88,-86,-88,-85,-200,-88,-89,-200,-87,-200,-200,-88,-200,-89,-88,-89,-90,-90,-93,-88,-200,-200
1526458689816,-16,-38,-39,-50,-52,-58,-55,-56,-62,-65,-72,-61,-68,-85,-67,-55,-64,-69,-69,-63,-82,-78,-78,-200,-84,-90,-81,-75,-86,-75,-79,-81,-78,-82,-86,-200,-200,-88,-200,-93,-90,-200,-90,-90,-88,-79,-87,-86,-84,-90,-82,-200,-84,-93,-86,-200,-200,-200,-92,-90,-200,-86,-200,-88,-87,-200,-88,-86,-83,-88,-200,-88,-200,-200,-91,-200,-200,-88,-200,-89,-200,-200,-200,-90,-93,-88,-90,-91
1526458692855,-36,-39,-36,-52,-53,-58,-54,-57,-65,-62,-72,-61,-66,-67,-67,-62,-65,-67,-69,-52,-82,-71,-70,-200,-84,-81,-75,-77,-86,-64,-79,-79,-81,-82,-86,-88,-200,-88,-200,-93,-87,-89,-90,-93,-88,-79,-76,-85,-81,-90,-82,-200,-84,-93,-200,-200,-200,-200,-92,-90,-91,-90,-200,-90,-87,-91,-83,-87,-83,-88,-200,-88,-200,-200,-88,-200,-200,-88,-91,-91,-200,-200,-200,-92,-93,-88,-90,-91
1526458695895,-40,-38,-38,-52,-53,-61,-56,-56,-65,-65,-71,-61,-72,-66,-68,-54,-63,-68,-69,-64,-82,-70,-77,-200,-80,-81,-80,-75,-86,-75,-79,-78,-81,-82,-200,-88,-200,-83,-200,-93,-87,-89,-90,-93,-200,-92,-81,-84,-81,-90,-82,-200,-84,-93,-200,-200,-200,-200,-200,-90,-91,-90,-200,-90,-93,-91,-83,-86,-83,-88,-91,-88,-92,-90,-88,-200,-200,-88,-91,-91,-200,-200,-200,-92,-200,-88,-90,-91
1526458698907,-36,-39,-38,-51,-52,-60,-56,-55,-63,-65,-72,-61,-66,-64,-68,-61,-65,-74,-100,-62,-82,-72,-66,-200,-81,-80,-81,-76,-92,-75,-83,-81,-81,-85,-86,-88,-200,-81,-200,-200,-87,-90,-200,-93,-200,-89,-81,-87,-79,-89,-76,-200,-85,-89,-200,-200,-91,-91,-200,-200,-90,-90,-200,-89,-93,-90,-83,-89,-85,-86,-91,-200,-90,-92,-88,-200,-85,-90,-89,-91,-200,-200,-200,-92,-200,-200,-200,-200
1526458701943,-37,-38,-38,-51,-52,-56,-56,-56,-65,-58,-73,-61,-65,-64,-68,-60,-65,-74,-70,-60,-82,-71,-66,-200,-83,-80,-79,-76,-87,-72,-87,-77,-81,-85,-86,-200,-91,-81,-200,-200,-88,-90,-200,-200,-86,-78,-82,-87,-79,-90,-76,-200,-85,-91,-200,-200,-91,-91,-200,-83,-90,-200,-200,-89,-93,-90,-82,-84,-87,-86,-91,-91,-89,-92,-80,-200,-85,-90,-89,-200,-200,-200,-200,-88,-200,-200,-200,-200
