,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526460048334,-32,-31,-29,-49,-56,-54,-58,-67,-68,-53,-52,-49,-64,-54,-69,-61,-65,-67,-61,-71,-60,-74,-65,-63,-200,-80,-82,-73,-77,-76,-82,-200,-72,-89,-77,-77,-88,-200,-200,-82,-84,-200,-89,-83,-89,-200,-88,-200,-89,-200,-86,-89,-85,-89,-200,-200,-200,-85,-200,-200,-90,-89,-200,-80,-79,-97,-92,-200,-200,-200,-200
1526460051370,-30,-32,-29,-49,-53,-55,-58,-67,-65,-53,-54,-53,-65,-53,-69,-62,-67,-67,-62,-71,-51,-74,-73,-63,-78,-82,-80,-73,-78,-76,-82,-200,-71,-89,-78,-77,-86,-200,-200,-82,-82,-200,-89,-83,-85,-200,-88,-90,-89,-200,-86,-89,-82,-86,-200,-200,-200,-82,-200,-200,-90,-89,-200,-84,-79,-200,-92,-86,-200,-200,-200
1526460054410,-30,-14,-29,-49,-53,-55,-67,-66,-64,-53,-38,-54,-66,-54,-76,-70,-71,-67,-63,-72,-61,-74,-71,-63,-78,-81,-81,-76,-79,-78,-72,-200,-72,-69,-76,-82,-86,-200,-200,-82,-83,-200,-89,-83,-85,-200,-89,-90,-89,-200,-87,-89,-87,-87,-200,-200,-200,-82,-200,-200,-90,-92,-200,-84,-79,-200,-92,-88,-200,-200,-200
1526460057442,-31,-32,-29,-50,-52,-55,-59,-67,-64,-53,-53,-59,-64,-55,-68,-60,-65,-68,-63,-72,-63,-74,-78,-62,-78,-81,-81,-79,-78,-79,-80,-200,-71,-69,-77,-82,-86,-200,-200,-82,-83,-200,-89,-84,-85,-200,-90,-90,-89,-200,-87,-91,-84,-88,-200,-200,-200,-84,-90,-200,-90,-92,-200,-84,-79,-86,-92,-88,-90,-200,-200
1526460060453,-31,-31,-18,-50,-57,-55,-59,-74,-67,-62,-40,-67,-64,-55,-69,-62,-66,-68,-62,-73,-60,-74,-71,-63,-79,-83,-80,-76,-76,-85,-81,-200,-71,-90,-76,-80,-86,-200,-200,-84,-83,-200,-89,-84,-85,-200,-90,-90,-89,-200,-87,-91,-84,-88,-200,-200,-200,-85,-90,-200,-89,-90,-200,-84,-200,-86,-92,-88,-90,-200,-200
1526460063483,-29,-32,-29,-50,-56,-55,-59,-64,-66,-50,-54,-59,-67,-52,-72,-59,-64,-67,-57,-73,-62,-74,-66,-63,-79,-81,-83,-78,-77,-77,-79,-200,-71,-90,-77,-80,-86,-200,-91,-84,-83,-200,-89,-86,-89,-200,-89,-200,-89,-200,-86,-89,-85,-88,-89,-200,-200,-85,-90,-200,-89,-90,-200,-200,-200,-86,-92,-88,-90,-200,-200
1526460066517,-31,-32,-29,-50,-53,-55,-63,-64,-66,-51,-52,-51,-66,-53,-69,-57,-66,-67,-63,-72,-60,-74,-73,-63,-79,-82,-81,-75,-77,-78,-80,-200,-70,-84,-77,-80,-86,-200,-91,-82,-200,-200,-89,-85,-88,-200,-89,-200,-89,-200,-86,-89,-85,-88,-89,-200,-200,-87,-90,-200,-89,-90,-200,-200,-200,-86,-93,-200,-90,-200,-200
1526460069551,-30,-15,-29,-50,-54,-56,-59,-65,-67,-52,-53,-54,-63,-54,-77,-71,-68,-67,-63,-72,-63,-73,-73,-63,-79,-82,-89,-72,-79,-78,-78,-200,-68,-84,-77,-80,-86,-200,-91,-81,-200,-200,-89,-85,-88,-200,-89,-90,-200,-200,-85,-89,-85,-200,-89,-200,-200,-87,-200,-200,-89,-90,-200,-200,-200,-200,-93,-200,-92,-91,-200
1526460072593,-31,-32,-28,-50,-56,-56,-52,-66,-67,-53,-54,-50,-62,-52,-72,-61,-66,-67,-62,-71,-61,-67,-72,-64,-200,-82,-82,-73,-78,-78,-80,-200,-70,-84,-77,-200,-86,-200,-90,-82,-200,-200,-89,-84,-88,-200,-89,-90,-200,-200,-86,-91,-84,-90,-89,-200,-200,-84,-88,-200,-89,-90,-200,-200,-200,-90,-93,-200,-89,-91,-200
1526460075629,-31,-32,-29,-51,-56,-54,-58,-66,-68,-54,-51,-54,-64,-54,-67,-66,-66,-67,-64,-71,-42,-75,-80,-51,-200,-82,-82,-72,-79,-78,-65,-200,-72,-84,-78,-83,-87,-200,-90,-82,-85,-200,-88,-84,-88,-200,-89,-89,-200,-200,-86,-91,-84,-90,-200,-200,-200,-86,-89,-200,-89,-90,-200,-200,-200,-90,-91,-200,-89,-91,-92
1526460078663,-29,-32,-29,-51,-54,-54,-64,-66,-67,-52,-52,-60,-62,-52,-67,-64,-64,-66,-63,-71,-60,-74,-71,-63,-200,-82,-81,-72,-77,-77,-65,-200,-72,-200,-76,-83,-87,-82,-90,-81,-85,-200,-90,-84,-200,-200,-90,-90,-89,-200,-86,-91,-86,-90,-200,-200,-200,-85,-89,-200,-200,-90,-90,-200,-200,-90,-92,-200,-89,-91,-92
1526460081694,-30,-32,-29,-51,-53,-54,-59,-64,-68,-54,-52,-49,-62,-55,-72,-63,-66,-66,-64,-69,-61,-75,-72,-64,-200,-80,-77,-66,-77,-77,-73,-200,-72,-200,-78,-83,-91,-82,-90,-81,-85,-200,-90,-84,-90,-200,-90,-90,-89,-200,-86,-90,-84,-90,-200,-200,-200,-85,-90,-200,-200,-92,-90,-200,-200,-90,-92,-200,-89,-200,-92
