,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,DLINK_D07F10,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,DLINK_D02A68,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,whu2011309,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018
1526459079036,-23,-37,-40,-44,-48,-53,-58,-49,-50,-54,-63,-59,-58,-63,-65,-64,-69,-67,-68,-75,-77,-69,-72,-75,-74,-78,-79,-74,-77,-77,-81,-81,-200,-87,-89,-86,-90,-200,-89,-86,-89,-87,-89,-200,-86,-86,-90,-88,-200,-89,-200,-87,-200,-90,-200,-91,-89,-200,-200,-200,-76,-76,-88,-89,-88,-200,-200,-200,-200,-200,-200,-88,-91,-200,-200,-90,-90,-90,-89,-91,-200,-200,-200,-200,-200
1526459082075,-35,-36,-39,-46,-50,-49,-57,-47,-50,-54,-58,-52,-58,-63,-65,-63,-69,-67,-71,-70,-76,-69,-71,-76,-74,-66,-77,-80,-81,-75,-81,-69,-200,-87,-89,-86,-90,-200,-86,-86,-89,-86,-89,-200,-86,-88,-90,-90,-200,-89,-200,-89,-200,-90,-87,-91,-89,-200,-200,-200,-71,-82,-88,-88,-88,-200,-200,-200,-200,-200,-200,-88,-92,-200,-200,-90,-90,-90,-89,-91,-200,-200,-200,-200,-200
1526459085113,-37,-38,-40,-46,-63,-50,-66,-56,-49,-57,-58,-49,-58,-64,-65,-60,-67,-67,-71,-77,-76,-69,-71,-76,-75,-66,-77,-80,-81,-81,-81,-69,-200,-200,-90,-86,-90,-200,-86,-86,-89,-86,-89,-200,-86,-88,-90,-90,-200,-85,-200,-89,-200,-90,-87,-91,-89,-200,-200,-200,-77,-82,-88,-88,-200,-200,-200,-200,-200,-200,-200,-88,-92,-200,-200,-92,-90,-90,-89,-91,-87,-200,-200,-200,-200
1526459088145,-35,-37,-39,-47,-50,-49,-60,-52,-50,-55,-64,-55,-58,-67,-65,-65,-66,-67,-76,-70,-77,-67,-72,-75,-74,-80,-77,-75,-81,-66,-82,-69,-200,-200,-90,-88,-90,-200,-86,-200,-89,-88,-89,-200,-85,-88,-90,-90,-200,-89,-200,-89,-200,-90,-91,-91,-89,-200,-200,-200,-72,-82,-86,-88,-200,-200,-200,-200,-200,-200,-200,-72,-92,-200,-200,-89,-85,-200,-89,-91,-87,-85,-200,-200,-200
1526459091172,-36,-36,-39,-43,-50,-50,-53,-50,-50,-51,-63,-59,-58,-62,-65,-65,-68,-67,-65,-52,-77,-73,-72,-74,-71,-76,-71,-77,-81,-78,-82,-79,-200,-91,-90,-88,-91,-90,-86,-200,-89,-88,-89,-200,-85,-88,-91,-90,-200,-89,-200,-90,-200,-91,-91,-200,-200,-200,-200,-200,-77,-76,-86,-88,-200,-200,-200,-200,-200,-200,-200,-72,-92,-200,-200,-89,-85,-200,-200,-200,-87,-85,-90,-92,-200
1526459094209,-36,-37,-38,-45,-49,-53,-58,-51,-50,-54,-59,-52,-58,-66,-65,-65,-71,-67,-68,-75,-76,-73,-72,-74,-71,-76,-77,-77,-86,-79,-82,-79,-200,-91,-87,-86,-91,-90,-200,-200,-89,-88,-89,-200,-85,-88,-89,-200,-200,-89,-200,-90,-90,-91,-91,-200,-200,-200,-200,-200,-77,-81,-86,-200,-200,-200,-200,-200,-200,-200,-200,-72,-200,-200,-200,-89,-85,-200,-200,-200,-87,-85,-90,-92,-200
1526459097254,-36,-37,-40,-43,-50,-50,-56,-48,-50,-54,-58,-59,-58,-58,-65,-66,-69,-68,-69,-70,-76,-71,-72,-74,-73,-79,-78,-78,-86,-79,-82,-82,-200,-91,-87,-83,-91,-87,-200,-200,-93,-87,-88,-200,-87,-87,-91,-200,-200,-89,-200,-90,-90,-91,-91,-81,-200,-200,-200,-200,-72,-83,-86,-200,-200,-200,-200,-200,-200,-76,-200,-72,-200,-200,-200,-89,-85,-200,-200,-200,-200,-85,-90,-92,-200
1526459100263,-36,-37,-47,-45,-58,-49,-56,-52,-50,-63,-56,-59,-58,-67,-65,-64,-66,-67,-65,-69,-77,-78,-73,-75,-73,-78,-73,-78,-86,-80,-200,-77,-200,-91,-87,-83,-91,-87,-200,-200,-93,-87,-88,-200,-87,-87,-91,-87,-200,-200,-200,-90,-90,-91,-200,-81,-200,-200,-200,-200,-68,-82,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-92,-200
1526459103294,-35,-38,-39,-45,-47,-48,-57,-52,-49,-53,-58,-58,-58,-65,-65,-63,-70,-67,-66,-75,-76,-75,-71,-75,-74,-80,-72,-78,-79,-79,-200,-78,-200,-86,-87,-85,-89,-87,-200,-200,-93,-87,-91,-200,-87,-87,-91,-87,-200,-91,-200,-90,-90,-200,-87,-87,-200,-200,-200,-200,-73,-82,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-93,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459106327,-36,-37,-40,-46,-50,-50,-58,-51,-50,-56,-64,-61,-58,-64,-65,-56,-72,-67,-68,-74,-76,-70,-72,-73,-74,-79,-79,-80,-81,-80,-200,-80,-200,-86,-87,-87,-89,-87,-200,-200,-91,-87,-89,-200,-87,-87,-89,-89,-200,-91,-200,-90,-200,-200,-87,-87,-200,-200,-200,-200,-74,-82,-200,-200,-89,-200,-200,-200,-200,-76,-200,-200,-93,-200,-200,-90,-200,-200,-200,-91,-200,-200,-200,-200,-200
1526459109363,-36,-37,-39,-45,-48,-53,-58,-50,-50,-56,-52,-60,-58,-67,-65,-64,-67,-67,-69,-70,-77,-70,-73,-72,-74,-79,-76,-80,-80,-79,-200,-80,-200,-86,-89,-87,-89,-200,-200,-200,-91,-88,-89,-91,-87,-85,-90,-89,-200,-91,-200,-90,-200,-91,-90,-87,-85,-200,-200,-200,-74,-82,-200,-200,-89,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-90,-200,-200,-200,-91,-88,-85,-200,-200,-88
1526459112376,-35,-37,-40,-46,-52,-49,-58,-52,-50,-56,-63,-51,-58,-65,-65,-64,-66,-65,-71,-75,-77,-67,-72,-73,-73,-79,-73,-80,-83,-78,-200,-80,-200,-88,-80,-87,-89,-89,-200,-200,-89,-88,-89,-91,-86,-85,-90,-89,-200,-90,-200,-92,-200,-91,-90,-87,-85,-200,-200,-88,-78,-82,-87,-200,-89,-200,-200,-200,-200,-200,-200,-200,-93,-200,-200,-90,-200,-89,-200,-91,-88,-85,-200,-200,-88
