,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D07F10,WHU-2018,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,MERCURY_0166,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,whu2011309,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526459879804,-7,-15,-34,-49,-56,-54,-46,-53,-52,-59,-65,-63,-55,-69,-66,-66,-51,-53,-70,-74,-69,-200,-75,-74,-82,-200,-76,-78,-72,-84,-77,-80,-80,-83,-85,-74,-200,-86,-84,-81,-87,-200,-88,-82,-82,-77,-89,-200,-200,-88,-200,-90,-91,-92,-76,-200,-92,-73,-200,-200,-200,-200,-200,-200,-89,-90,-90,-90,-200,-200,-200,-200,-200
1526459882840,-23,-22,-34,-49,-39,-54,-47,-55,-51,-60,-57,-63,-58,-68,-61,-66,-54,-52,-66,-72,-69,-200,-67,-73,-85,-200,-78,-75,-82,-84,-82,-85,-80,-83,-85,-74,-82,-89,-81,-79,-88,-91,-88,-82,-82,-74,-89,-200,-200,-88,-200,-89,-92,-91,-76,-200,-92,-72,-200,-200,-200,-200,-200,-200,-89,-90,-88,-90,-200,-200,-200,-200,-200
1526459885876,-27,-21,-34,-49,-54,-53,-46,-58,-55,-59,-63,-65,-57,-67,-64,-66,-56,-56,-68,-73,-73,-200,-67,-77,-85,-200,-78,-75,-81,-76,-84,-83,-80,-82,-83,-74,-88,-86,-81,-83,-84,-91,-200,-81,-82,-75,-89,-200,-200,-88,-86,-89,-92,-92,-76,-200,-92,-76,-200,-200,-200,-200,-200,-200,-89,-90,-89,-90,-86,-90,-200,-200,-200
1526459888905,-26,-21,-35,-50,-55,-54,-48,-57,-53,-64,-64,-70,-54,-69,-65,-66,-56,-56,-68,-71,-69,-200,-68,-74,-85,-85,-79,-77,-81,-72,-79,-83,-80,-83,-83,-74,-88,-86,-81,-82,-89,-91,-200,-79,-82,-77,-200,-200,-89,-88,-84,-89,-91,-92,-82,-200,-92,-72,-92,-200,-200,-200,-200,-200,-200,-90,-89,-90,-86,-90,-88,-200,-200
1526459891941,-27,-19,-35,-50,-56,-53,-43,-57,-53,-60,-64,-65,-59,-67,-64,-66,-55,-53,-68,-70,-69,-200,-67,-74,-82,-85,-78,-78,-81,-72,-80,-82,-200,-82,-83,-77,-88,-86,-81,-80,-89,-86,-86,-79,-200,-76,-200,-200,-92,-90,-85,-89,-91,-92,-76,-200,-92,-72,-92,-200,-200,-200,-200,-200,-200,-200,-90,-200,-86,-90,-88,-200,-200
1526459894977,-7,-14,-10,-50,-11,-53,-45,-57,-53,-63,-64,-63,-55,-67,-65,-66,-55,-54,-79,-72,-79,-200,-68,-82,-85,-85,-77,-79,-81,-78,-83,-82,-200,-85,-84,-77,-88,-87,-81,-84,-89,-86,-86,-79,-200,-76,-90,-200,-92,-88,-85,-91,-91,-92,-76,-200,-92,-72,-92,-200,-85,-200,-200,-200,-200,-200,-90,-200,-86,-90,-88,-200,-200
1526459898015,-26,-27,-35,-49,-54,-53,-45,-59,-53,-64,-56,-70,-54,-69,-64,-66,-52,-55,-71,-71,-70,-75,-67,-74,-85,-85,-78,-76,-72,-76,-81,-92,-80,-85,-83,-77,-200,-85,-84,-80,-88,-86,-86,-81,-200,-75,-90,-200,-88,-91,-85,-89,-91,-200,-76,-200,-92,-72,-90,-200,-85,-200,-89,-200,-200,-200,-90,-200,-200,-200,-88,-200,-200
1526459901053,-27,-14,-34,-50,-55,-53,-46,-58,-49,-65,-72,-70,-57,-70,-63,-66,-56,-56,-70,-71,-69,-76,-67,-74,-85,-85,-78,-77,-81,-76,-82,-92,-80,-85,-84,-74,-71,-85,-81,-82,-88,-86,-86,-79,-80,-77,-90,-200,-88,-91,-87,-89,-200,-200,-76,-200,-92,-82,-90,-200,-85,-200,-89,-200,-200,-200,-90,-200,-85,-200,-200,-83,-200
1526459904089,-27,-24,-35,-50,-55,-53,-47,-52,-55,-64,-56,-65,-58,-67,-64,-50,-55,-54,-70,-70,-69,-70,-68,-74,-82,-85,-76,-76,-81,-76,-83,-92,-80,-80,-82,-74,-71,-85,-78,-82,-87,-200,-200,-80,-80,-77,-87,-200,-88,-88,-87,-90,-200,-90,-200,-200,-90,-72,-90,-200,-86,-200,-89,-200,-90,-200,-200,-200,-85,-200,-200,-83,-200
1526459907124,-26,-20,-34,-50,-54,-53,-46,-59,-51,-66,-56,-65,-58,-71,-64,-66,-55,-52,-71,-71,-68,-73,-67,-74,-82,-85,-80,-76,-81,-75,-84,-92,-79,-80,-83,-70,-71,-85,-78,-80,-88,-88,-200,-80,-81,-77,-87,-200,-88,-89,-90,-92,-200,-90,-200,-200,-90,-72,-92,-200,-86,-200,-89,-200,-90,-200,-200,-88,-85,-200,-200,-83,-200
1526459910158,-27,-7,-15,-50,-62,-53,-16,-59,-53,-61,-64,-64,-59,-68,-65,-67,-55,-58,-76,-68,-69,-84,-68,-74,-82,-200,-79,-84,-88,-75,-83,-81,-79,-82,-82,-82,-90,-200,-78,-89,-88,-88,-200,-82,-81,-76,-87,-200,-90,-88,-90,-92,-200,-92,-200,-200,-89,-80,-92,-200,-86,-200,-200,-200,-90,-200,-200,-88,-85,-200,-200,-83,-200
1526459913194,-27,-20,-35,-50,-52,-53,-45,-55,-50,-65,-56,-64,-58,-69,-65,-66,-56,-54,-69,-69,-69,-84,-67,-73,-82,-200,-75,-78,-81,-75,-83,-81,-81,-82,-86,-82,-90,-200,-78,-81,-87,-88,-200,-82,-81,-75,-87,-200,-90,-88,-90,-92,-92,-92,-82,-200,-90,-72,-92,-200,-86,-90,-200,-200,-91,-90,-200,-91,-200,-200,-200,-200,-92
