,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,MERCURY_0166,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D07F10,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz
1526459634733,-36,-41,-40,-66,-49,-58,-49,-67,-73,-51,-65,-62,-71,-73,-80,-70,-200,-200,-83,-72,-79,-75,-73,-65,-87,-84,-80,-77,-77,-200,-77,-85,-79,-73,-91,-83,-89,-86,-90,-89,-200,-200,-92,-85,-82,-91,-92,-91,-200,-90,-91,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-90,-200
1526459637763,-36,-39,-41,-66,-49,-59,-50,-67,-59,-50,-63,-62,-70,-78,-71,-71,-200,-200,-65,-71,-71,-77,-68,-65,-87,-200,-81,-80,-85,-200,-76,-85,-79,-74,-91,-83,-200,-90,-200,-87,-200,-200,-200,-85,-82,-91,-92,-91,-92,-90,-91,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-91,-200,-200,-200,-200,-90,-200
1526459640792,-36,-38,-39,-64,-49,-61,-48,-66,-65,-49,-62,-60,-74,-72,-71,-73,-200,-200,-65,-71,-71,-76,-71,-64,-83,-200,-72,-79,-85,-71,-75,-85,-79,-74,-91,-86,-200,-83,-200,-87,-200,-200,-200,-85,-82,-90,-89,-91,-92,-90,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-91,-200,-200,-200,-200,-90,-200
1526459643830,-32,-38,-38,-71,-47,-57,-48,-65,-57,-52,-61,-61,-60,-75,-70,-70,-200,-200,-65,-73,-70,-74,-66,-64,-80,-88,-83,-79,-85,-71,-78,-77,-82,-74,-200,-86,-90,-91,-200,-87,-200,-200,-89,-85,-81,-90,-89,-92,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-85,-200,-91,-200,-200,-200,-200,-90,-200
1526459646864,-38,-39,-40,-69,-50,-62,-49,-65,-57,-50,-62,-67,-71,-71,-73,-64,-200,-200,-65,-77,-67,-78,-68,-63,-80,-80,-81,-79,-86,-81,-73,-77,-83,-74,-200,-86,-86,-91,-200,-87,-200,-200,-89,-85,-81,-90,-90,-92,-92,-200,-90,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-85,-200,-91,-200,-200,-200,-200,-90,-200
1526459649900,-36,-37,-47,-80,-48,-58,-49,-63,-66,-52,-62,-67,-71,-71,-71,-71,-200,-90,-65,-84,-75,-76,-68,-63,-86,-80,-88,-79,-86,-81,-75,-77,-83,-73,-91,-86,-88,-88,-200,-88,-200,-200,-89,-85,-81,-89,-90,-92,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-90,-200
1526459652923,-33,-40,-38,-68,-49,-59,-45,-62,-63,-52,-62,-67,-70,-68,-73,-68,-200,-88,-200,-73,-72,-76,-68,-58,-86,-80,-88,-76,-86,-70,-78,-77,-74,-68,-91,-83,-88,-88,-200,-92,-200,-200,-89,-200,-82,-89,-90,-92,-200,-200,-90,-200,-200,-200,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-88,-200,-200,-200,-200,-200,-83
1526459655956,-35,-37,-46,-69,-47,-58,-47,-65,-57,-53,-62,-61,-67,-68,-75,-72,-200,-87,-82,-62,-72,-75,-73,-58,-86,-80,-79,-78,-86,-70,-77,-200,-75,-75,-91,-83,-88,-88,-90,-86,-200,-200,-90,-200,-82,-89,-90,-200,-91,-200,-90,-200,-200,-90,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-91,-88,-200,-200,-200,-200,-200,-83
1526459658992,-34,-39,-39,-67,-47,-58,-47,-66,-57,-49,-62,-62,-70,-67,-71,-71,-200,-87,-82,-68,-72,-78,-72,-58,-86,-83,-80,-78,-86,-70,-77,-85,-76,-69,-91,-87,-88,-88,-90,-86,-200,-200,-90,-200,-82,-89,-200,-200,-91,-200,-89,-200,-200,-91,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-91,-88,-200,-200,-200,-200,-90,-83
1526459662025,-34,-39,-42,-68,-48,-59,-47,-64,-58,-52,-63,-62,-68,-67,-73,-72,-200,-90,-68,-67,-74,-77,-71,-54,-86,-83,-81,-78,-86,-86,-80,-85,-75,-75,-89,-87,-88,-88,-90,-87,-200,-200,-90,-87,-82,-200,-200,-200,-91,-200,-89,-200,-200,-91,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-91,-88,-200,-200,-200,-200,-90,-83
1526459665062,-15,-40,-44,-77,-49,-59,-47,-62,-57,-54,-63,-67,-69,-70,-71,-72,-200,-90,-68,-69,-73,-77,-73,-58,-200,-83,-80,-77,-200,-86,-80,-85,-76,-82,-89,-86,-91,-89,-90,-87,-200,-200,-90,-87,-82,-92,-89,-200,-91,-200,-89,-200,-200,-91,-200,-200,-200,-200,-91,-200,-200,-200,-200,-200,-200,-91,-88,-200,-200,-200,-200,-90,-82
1526459668095,-34,-39,-42,-66,-48,-58,-47,-63,-56,-54,-61,-65,-68,-65,-72,-72,-81,-88,-68,-67,-73,-77,-71,-58,-86,-83,-81,-77,-200,-86,-79,-85,-76,-74,-89,-86,-91,-88,-200,-87,-200,-200,-89,-86,-82,-92,-89,-200,-90,-200,-91,-200,-200,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-82
