,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DQKJ,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,DLINK_D013A8,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro
1526459757557,-40,-45,-50,-53,-57,-71,-76,-65,-69,-73,-76,-83,-78,-87,-76,-81,-83,-81,-89,-84,-88,-200,-200,-200,-90,-89,-200,-78,-200,-200,-89,-200,-85,-90,-200,-200,-200,-200,-200,-92,-88,-89,-84,-200,-90,-200,-87,-83,-85,-83,-87,-87,-88,-87,-200,-200,-78,-85,-200,-90,-90,-200,-200,-200,-89,-89,-90,-91,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526459760568,-40,-46,-45,-52,-57,-69,-78,-64,-68,-74,-75,-83,-77,-86,-78,-81,-83,-80,-89,-81,-83,-200,-200,-90,-90,-89,-91,-78,-200,-200,-89,-200,-84,-90,-200,-91,-200,-200,-200,-92,-88,-89,-84,-87,-90,-200,-79,-80,-200,-83,-87,-87,-88,-87,-200,-200,-78,-85,-200,-200,-90,-200,-200,-91,-89,-89,-90,-91,-87,-90,-90,-90,-200,-200,-200,-200,-200
1526459763601,-41,-44,-46,-56,-57,-70,-78,-66,-68,-72,-76,-83,-77,-86,-76,-81,-78,-82,-89,-81,-83,-200,-200,-90,-90,-200,-91,-87,-200,-200,-89,-200,-84,-90,-200,-91,-200,-90,-200,-88,-200,-89,-85,-87,-200,-200,-87,-75,-200,-81,-87,-87,-88,-89,-200,-200,-78,-86,-200,-200,-90,-90,-200,-91,-89,-89,-90,-91,-87,-90,-90,-90,-200,-200,-200,-200,-200
1526459766636,-41,-44,-46,-58,-58,-72,-72,-65,-72,-74,-78,-82,-77,-80,-74,-81,-81,-80,-200,-81,-83,-200,-87,-90,-89,-200,-91,-88,-200,-200,-88,-87,-84,-88,-200,-91,-200,-90,-200,-88,-200,-200,-89,-87,-88,-200,-87,-85,-200,-83,-87,-87,-88,-89,-200,-200,-81,-86,-200,-200,-90,-90,-200,-91,-200,-200,-200,-200,-87,-90,-90,-90,-90,-200,-200,-200,-200
1526459769671,-40,-42,-45,-59,-57,-73,-72,-66,-70,-72,-75,-82,-77,-80,-74,-200,-77,-80,-86,-87,-83,-200,-87,-88,-87,-200,-91,-78,-90,-200,-88,-87,-82,-88,-200,-91,-200,-90,-200,-88,-89,-91,-89,-87,-88,-200,-87,-75,-200,-83,-87,-87,-88,-89,-200,-200,-81,-86,-200,-200,-200,-90,-200,-91,-200,-200,-91,-90,-200,-90,-90,-90,-90,-200,-200,-200,-200
1526459772706,-39,-44,-47,-56,-57,-70,-80,-66,-64,-72,-76,-84,-77,-81,-76,-84,-80,-81,-86,-85,-90,-200,-87,-88,-87,-91,-200,-87,-90,-200,-90,-87,-84,-88,-200,-91,-200,-90,-200,-88,-86,-91,-85,-87,-88,-91,-87,-83,-200,-86,-88,-88,-89,-90,-200,-200,-81,-86,-89,-200,-200,-90,-200,-200,-200,-200,-91,-90,-200,-200,-200,-200,-90,-91,-200,-200,-200
1526459775715,-40,-44,-45,-53,-57,-72,-76,-65,-69,-72,-76,-84,-78,-81,-65,-83,-80,-81,-88,-85,-87,-200,-200,-88,-89,-91,-92,-87,-90,-87,-90,-200,-85,-200,-200,-88,-200,-200,-200,-200,-86,-91,-85,-87,-89,-91,-200,-82,-200,-86,-88,-88,-89,-90,-200,-89,-91,-81,-89,-200,-200,-200,-200,-200,-200,-200,-91,-90,-200,-200,-200,-200,-200,-91,-200,-200,-200
1526459778723,-41,-43,-46,-56,-58,-71,-74,-65,-70,-75,-77,-84,-79,-82,-75,-84,-78,-80,-88,-85,-87,-200,-200,-200,-89,-91,-92,-78,-200,-87,-90,-88,-82,-200,-200,-88,-200,-200,-200,-200,-86,-200,-88,-87,-89,-91,-200,-82,-200,-85,-88,-89,-89,-90,-200,-89,-87,-81,-89,-200,-200,-90,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-91,-200,-200
1526459781735,-40,-44,-46,-56,-57,-72,-77,-65,-67,-75,-76,-84,-79,-82,-75,-83,-78,-82,-88,-85,-87,-200,-200,-200,-91,-200,-91,-78,-200,-87,-200,-88,-82,-200,-200,-88,-200,-200,-200,-200,-200,-90,-88,-87,-89,-91,-200,-82,-200,-85,-200,-89,-88,-90,-200,-89,-87,-84,-89,-200,-200,-90,-89,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-90,-91,-90,-200
1526459784758,-40,-44,-45,-55,-57,-71,-77,-65,-70,-75,-76,-82,-78,-82,-77,-83,-82,-82,-88,-200,-87,-200,-200,-200,-91,-200,-91,-81,-200,-87,-89,-88,-82,-200,-200,-89,-200,-200,-200,-200,-86,-90,-88,-87,-89,-200,-84,-80,-85,-85,-200,-89,-89,-200,-200,-89,-88,-84,-200,-200,-200,-90,-89,-200,-200,-200,-89,-200,-200,-200,-200,-200,-200,-90,-90,-90,-200
1526459787767,-42,-44,-44,-58,-57,-70,-77,-67,-73,-71,-77,-82,-79,-82,-75,-83,-82,-82,-88,-82,-200,-200,-200,-200,-91,-200,-91,-80,-200,-87,-89,-88,-82,-89,-200,-88,-200,-200,-200,-90,-85,-89,-88,-87,-89,-200,-84,-74,-85,-85,-200,-91,-88,-200,-200,-87,-88,-84,-92,-91,-200,-90,-89,-200,-200,-200,-89,-200,-87,-200,-200,-200,-200,-90,-90,-90,-200
1526459790801,-41,-45,-44,-54,-56,-70,-78,-65,-71,-71,-69,-83,-76,-200,-77,-82,-78,-79,-88,-82,-200,-200,-200,-200,-91,-200,-90,-88,-200,-90,-87,-90,-200,-89,-200,-88,-200,-200,-200,-90,-82,-89,-200,-81,-88,-200,-75,-79,-85,-200,-200,-88,-88,-200,-90,-87,-88,-84,-92,-91,-200,-90,-200,-200,-200,-200,-89,-200,-87,-200,-200,-200,-200,-200,-90,-90,-90
