,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,TP-LINK_1398,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,DLINK_D07F10,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D013A8,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro
1526459906183,-45,-40,-50,-61,-58,-63,-72,-62,-69,-83,-71,-74,-200,-200,-86,-85,-200,-73,-75,-200,-90,-84,-200,-200,-200,-86,-86,-83,-77,-87,-88,-200,-200,-88,-91,-85,-200,-200,-83,-76,-85,-87,-200,-89,-88,-90,-200,-200,-200,-88,-200,-89,-200,-91,-85,-200,-200,-91,-88,-90,-93,-92,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526459909190,-47,-39,-50,-61,-57,-64,-72,-64,-67,-82,-79,-73,-200,-88,-86,-85,-200,-73,-75,-200,-87,-85,-200,-200,-200,-200,-90,-83,-82,-87,-90,-200,-200,-200,-200,-85,-200,-200,-83,-78,-87,-87,-200,-200,-87,-90,-200,-200,-200,-88,-200,-89,-200,-91,-85,-200,-200,-91,-88,-90,-93,-92,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526459912212,-47,-43,-51,-58,-54,-64,-72,-57,-73,-84,-72,-72,-200,-88,-86,-84,-200,-73,-74,-200,-87,-83,-90,-200,-200,-200,-90,-82,-82,-87,-90,-200,-200,-200,-200,-85,-200,-200,-83,-77,-87,-87,-200,-93,-87,-90,-200,-200,-200,-88,-200,-89,-200,-91,-89,-200,-200,-91,-88,-200,-93,-92,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526459915243,-42,-42,-49,-58,-62,-67,-65,-68,-70,-84,-80,-66,-84,-88,-86,-86,-200,-42,-73,-200,-87,-85,-90,-200,-200,-87,-89,-82,-87,-81,-90,-200,-200,-200,-200,-89,-89,-200,-200,-76,-87,-87,-200,-93,-90,-90,-200,-200,-200,-88,-200,-90,-200,-87,-81,-200,-200,-91,-88,-200,-200,-92,-90,-200,-200,-200,-200,-200,-200,-200,-200
1526459918254,-45,-46,-43,-57,-56,-69,-54,-67,-70,-87,-85,-70,-84,-88,-200,-89,-200,-76,-73,-200,-87,-85,-90,-200,-200,-87,-90,-82,-87,-81,-90,-200,-200,-200,-200,-89,-89,-200,-90,-76,-87,-87,-200,-90,-90,-90,-200,-200,-200,-89,-200,-90,-91,-87,-78,-200,-200,-200,-200,-200,-200,-87,-90,-90,-200,-200,-200,-200,-200,-200,-200
1526459921283,-44,-41,-52,-69,-54,-63,-63,-66,-71,-86,-85,-70,-80,-200,-84,-89,-200,-73,-73,-200,-200,-85,-200,-200,-200,-89,-87,-84,-84,-85,-89,-200,-200,-200,-200,-88,-91,-200,-90,-77,-87,-200,-200,-90,-90,-90,-200,-200,-200,-89,-200,-90,-91,-87,-78,-200,-200,-200,-200,-93,-200,-87,-200,-90,-90,-200,-200,-200,-200,-200,-200
1526459924312,-43,-47,-49,-66,-59,-66,-70,-62,-70,-86,-85,-78,-80,-200,-82,-88,-89,-73,-200,-200,-84,-200,-200,-200,-200,-89,-87,-84,-84,-85,-89,-200,-200,-200,-200,-88,-91,-200,-88,-77,-81,-200,-200,-90,-200,-90,-200,-200,-200,-86,-200,-200,-90,-86,-78,-89,-200,-200,-200,-93,-200,-86,-200,-90,-90,-87,-90,-93,-200,-200,-200
1526459927320,-45,-43,-45,-69,-66,-63,-69,-65,-72,-86,-84,-75,-80,-200,-81,-86,-89,-73,-85,-200,-85,-200,-200,-200,-200,-89,-88,-86,-84,-85,-90,-200,-200,-90,-200,-84,-91,-200,-88,-80,-81,-85,-200,-90,-200,-90,-200,-200,-200,-86,-200,-200,-90,-86,-82,-89,-200,-200,-200,-93,-200,-86,-200,-90,-90,-87,-90,-93,-91,-200,-200
1526459930331,-45,-45,-56,-69,-62,-63,-66,-67,-73,-87,-86,-85,-80,-200,-81,-86,-89,-73,-85,-200,-85,-200,-200,-200,-200,-89,-88,-87,-84,-85,-90,-200,-200,-90,-200,-84,-91,-200,-89,-80,-81,-85,-200,-200,-200,-90,-200,-200,-200,-87,-200,-90,-95,-85,-78,-88,-200,-90,-200,-93,-200,-91,-200,-200,-90,-88,-90,-93,-91,-91,-200
1526459933359,-44,-47,-43,-69,-67,-65,-72,-71,-75,-84,-86,-85,-200,-200,-83,-86,-89,-200,-85,-200,-85,-200,-200,-200,-200,-89,-88,-87,-81,-200,-86,-200,-200,-90,-200,-84,-200,-200,-89,-80,-81,-85,-200,-200,-200,-200,-200,-200,-87,-87,-200,-91,-95,-86,-78,-88,-200,-90,-90,-200,-200,-88,-200,-200,-200,-88,-92,-93,-91,-91,-200
1526459936368,-44,-43,-48,-69,-76,-66,-77,-65,-73,-83,-79,-72,-83,-200,-82,-200,-200,-200,-80,-200,-200,-200,-200,-200,-200,-200,-200,-85,-83,-87,-86,-200,-200,-200,-200,-200,-200,-200,-88,-200,-87,-200,-200,-87,-200,-200,-200,-200,-86,-87,-200,-89,-87,-88,-81,-88,-200,-90,-90,-200,-200,-89,-200,-200,-200,-88,-92,-200,-200,-90,-200
1526459939390,-44,-42,-47,-67,-75,-68,-73,-65,-75,-83,-80,-76,-83,-200,-81,-200,-200,-86,-77,-200,-200,-200,-200,-200,-84,-90,-88,-85,-82,-87,-89,-200,-200,-200,-200,-86,-200,-200,-88,-78,-82,-200,-200,-87,-200,-200,-200,-200,-86,-85,-200,-89,-87,-87,-80,-200,-200,-90,-90,-200,-200,-89,-200,-200,-200,-83,-92,-200,-200,-90,-90
