,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526464378861,-41,-60,-65,-84,-74,-90,-73,-82,-89,-71,-76,-69,-89,-78,-87,-86,-92,-86,-89,-80,-91,-91,-97,-95,-200,-88,-200,-81,-200,-87,-96,-200,-200,-200,-98,-200,-200,-94,-88,-98,-96,-200,-200,-200,-200,-200,-200,-95,-86,-200,-94,-200,-200,-81,-97,-97,-96,-96,-200,-86,-200,-200,-95,-200,-200,-96,-94,-200,-95,-95,-96,-200,-200,-200,-200
1526464381902,-43,-63,-67,-85,-80,-90,-73,-84,-94,-73,-82,-70,-88,-83,-92,-86,-92,-86,-89,-81,-94,-91,-97,-95,-200,-85,-200,-82,-200,-87,-200,-200,-200,-200,-96,-200,-200,-94,-92,-98,-96,-200,-200,-200,-200,-200,-200,-96,-88,-200,-97,-200,-200,-83,-97,-97,-97,-96,-200,-93,-200,-200,-95,-200,-97,-96,-95,-200,-95,-95,-96,-200,-200,-200,-200
1526464384941,-42,-58,-64,-86,-75,-92,-75,-85,-94,-76,-72,-69,-89,-78,-95,-86,-92,-86,-94,-82,-88,-91,-93,-96,-200,-90,-200,-77,-200,-89,-96,-200,-200,-200,-98,-200,-200,-95,-92,-97,-200,-200,-200,-200,-200,-200,-200,-90,-92,-200,-97,-200,-200,-79,-97,-95,-93,-96,-200,-90,-200,-200,-200,-200,-96,-200,-94,-200,-200,-96,-96,-200,-200,-200,-200
1526464387983,-39,-58,-63,-87,-75,-90,-77,-85,-89,-72,-71,-69,-89,-71,-92,-72,-200,-83,-94,-80,-90,-200,-94,-96,-200,-93,-200,-78,-200,-89,-96,-200,-200,-200,-98,-89,-200,-95,-92,-97,-200,-200,-200,-200,-200,-200,-200,-89,-90,-200,-97,-200,-200,-80,-200,-95,-95,-99,-200,-91,-200,-200,-95,-200,-96,-200,-94,-200,-95,-96,-200,-200,-200,-200,-200
1526464391026,-39,-57,-64,-85,-73,-87,-76,-82,-90,-74,-74,-68,-89,-75,-92,-92,-94,-84,-92,-82,-92,-98,-93,-96,-200,-93,-200,-81,-200,-89,-96,-200,-200,-200,-98,-89,-200,-95,-89,-97,-200,-200,-200,-200,-200,-200,-200,-93,-90,-200,-200,-200,-200,-80,-200,-95,-95,-99,-200,-93,-200,-200,-95,-92,-96,-200,-94,-200,-95,-96,-200,-92,-200,-200,-200
1526464394073,-40,-58,-57,-87,-73,-88,-73,-83,-86,-75,-76,-66,-87,-72,-89,-87,-94,-85,-94,-79,-95,-98,-91,-98,-200,-90,-97,-79,-200,-87,-200,-200,-200,-200,-200,-91,-200,-97,-89,-97,-200,-200,-200,-96,-200,-200,-200,-96,-92,-200,-96,-200,-200,-84,-200,-96,-95,-99,-99,-93,-200,-200,-95,-95,-200,-97,-200,-94,-95,-200,-200,-92,-92,-200,-200
1526464397116,-44,-62,-61,-88,-72,-92,-74,-89,-89,-74,-81,-68,-85,-83,-89,-87,-94,-83,-92,-78,-95,-98,-95,-98,-200,-90,-97,-76,-200,-88,-200,-200,-200,-200,-95,-91,-200,-97,-94,-97,-97,-200,-200,-96,-200,-200,-200,-94,-90,-200,-97,-200,-200,-80,-200,-96,-95,-200,-99,-94,-200,-200,-200,-95,-200,-97,-93,-94,-200,-100,-200,-96,-92,-200,-200
1526464400152,-44,-64,-59,-87,-75,-91,-75,-84,-89,-77,-77,-66,-88,-80,-89,-84,-95,-82,-94,-78,-91,-98,-92,-96,-200,-91,-97,-77,-200,-86,-200,-200,-200,-200,-94,-91,-200,-97,-94,-97,-97,-200,-200,-96,-200,-200,-200,-97,-90,-200,-97,-200,-200,-80,-92,-96,-96,-96,-99,-90,-200,-200,-200,-90,-96,-97,-96,-94,-200,-100,-200,-96,-92,-200,-200
1526464403188,-48,-58,-61,-89,-83,-87,-75,-84,-89,-68,-65,-69,-85,-81,-91,-82,-93,-82,-94,-76,-87,-98,-92,-95,-200,-84,-200,-78,-200,-87,-200,-200,-200,-200,-94,-85,-200,-200,-94,-97,-95,-200,-200,-200,-200,-200,-200,-97,-94,-200,-93,-200,-200,-82,-92,-200,-97,-96,-200,-90,-200,-200,-96,-90,-96,-200,-96,-200,-200,-100,-200,-96,-200,-91,-200
1526464406239,-46,-58,-62,-88,-79,-86,-82,-75,-89,-70,-76,-69,-86,-81,-91,-84,-92,-88,-92,-75,-87,-86,-88,-94,-200,-82,-200,-86,-200,-88,-200,-200,-200,-200,-94,-95,-200,-100,-89,-97,-95,-200,-200,-200,-200,-200,-200,-91,-94,-200,-93,-96,-200,-78,-92,-91,-97,-96,-200,-94,-200,-200,-96,-90,-96,-200,-97,-200,-200,-200,-200,-200,-200,-91,-94
1526464409275,-45,-65,-67,-88,-76,-86,-76,-82,-90,-76,-75,-68,-89,-89,-91,-81,-94,-84,-86,-80,-91,-97,-88,-95,-200,-85,-200,-79,-200,-88,-97,-200,-200,-200,-200,-95,-200,-95,-89,-97,-95,-200,-200,-200,-200,-200,-200,-95,-89,-200,-93,-96,-200,-81,-96,-91,-97,-95,-98,-95,-200,-200,-96,-200,-200,-200,-92,-200,-200,-200,-200,-200,-200,-91,-94
1526464412319,-42,-69,-64,-90,-79,-88,-80,-80,-92,-77,-73,-69,-86,-85,-200,-84,-94,-86,-86,-81,-82,-91,-88,-95,-200,-86,-200,-77,-200,-88,-97,-200,-200,-200,-200,-88,-200,-95,-92,-97,-96,-200,-200,-200,-200,-200,-200,-91,-89,-200,-96,-96,-200,-81,-96,-91,-96,-95,-98,-95,-200,-200,-200,-90,-95,-200,-94,-200,-97,-96,-200,-200,-200,-92,-94
