,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,DLINK_D00ED8,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526464451534,-47,-75,-84,-78,-66,-88,-79,-91,-200,-200,-57,-88,-85,-200,-200,-78,-200,-88,-200,-86,-200,-200,-200,-95,-200,-83,-94,-200,-93,-91,-92,-81,-200,-200,-200,-200,-87,-200,-99,-96,-200,-88,-93,-200,-200,-200,-200,-200,-200,-200,-200,-95,-200,-95,-92,-96,-95,-200,-200,-91,-94,-97,-200
1526464454571,-47,-77,-82,-77,-71,-86,-81,-95,-200,-91,-56,-85,-87,-200,-200,-73,-200,-88,-97,-84,-200,-200,-200,-95,-200,-83,-200,-200,-93,-89,-89,-83,-200,-200,-200,-200,-87,-200,-200,-90,-200,-88,-91,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200,-93,-95,-96,-94,-200,-200,-200,-94,-97,-95
1526464457608,-52,-77,-89,-80,-70,-88,-80,-90,-200,-91,-56,-88,-82,-200,-200,-75,-94,-88,-97,-85,-200,-200,-200,-95,-200,-83,-200,-95,-93,-91,-89,-81,-200,-200,-94,-200,-92,-200,-200,-90,-200,-99,-93,-200,-200,-200,-94,-200,-200,-200,-200,-200,-200,-93,-95,-96,-96,-98,-200,-200,-200,-96,-95
1526464460650,-48,-75,-85,-80,-69,-89,-79,-93,-200,-91,-56,-87,-76,-95,-200,-74,-94,-90,-94,-85,-200,-200,-200,-95,-200,-200,-200,-95,-200,-90,-88,-82,-200,-200,-95,-200,-91,-200,-200,-90,-200,-95,-93,-88,-200,-200,-94,-200,-200,-200,-200,-200,-200,-97,-95,-95,-96,-98,-200,-91,-200,-96,-95
1526464463691,-46,-80,-86,-79,-68,-89,-82,-91,-94,-92,-54,-87,-82,-95,-200,-74,-96,-72,-94,-87,-200,-200,-200,-200,-200,-88,-93,-95,-200,-86,-98,-82,-200,-200,-95,-200,-91,-200,-96,-200,-200,-95,-93,-88,-200,-200,-94,-200,-200,-200,-200,-200,-200,-97,-94,-95,-96,-98,-200,-91,-200,-96,-200
1526464466728,-47,-76,-88,-80,-66,-88,-84,-91,-94,-92,-55,-92,-82,-94,-200,-78,-96,-72,-94,-85,-200,-200,-200,-94,-200,-88,-93,-97,-200,-89,-91,-81,-200,-200,-92,-93,-91,-200,-96,-94,-200,-89,-89,-88,-200,-200,-200,-200,-200,-200,-200,-200,-200,-97,-94,-97,-200,-200,-99,-90,-94,-200,-200
1526464469768,-49,-75,-86,-78,-68,-84,-79,-88,-97,-93,-58,-88,-83,-96,-200,-80,-96,-88,-200,-85,-200,-200,-200,-94,-200,-87,-90,-97,-95,-89,-92,-83,-200,-200,-97,-94,-93,-200,-96,-96,-200,-96,-92,-91,-200,-200,-96,-200,-200,-200,-200,-200,-200,-200,-94,-96,-200,-200,-99,-90,-93,-200,-200
1526464472794,-47,-78,-91,-82,-67,-84,-85,-91,-92,-93,-56,-88,-83,-96,-200,-75,-200,-88,-200,-85,-200,-200,-200,-94,-200,-83,-90,-97,-95,-89,-92,-81,-200,-200,-97,-96,-93,-200,-200,-96,-200,-96,-92,-95,-200,-200,-96,-200,-200,-200,-200,-200,-200,-96,-91,-96,-200,-200,-99,-90,-93,-200,-98
1526464475833,-48,-77,-83,-82,-65,-91,-82,-91,-96,-93,-54,-92,-85,-96,-200,-76,-200,-85,-200,-88,-200,-200,-200,-200,-200,-83,-93,-96,-92,-88,-92,-81,-200,-200,-93,-93,-90,-200,-96,-95,-200,-96,-90,-95,-200,-200,-96,-200,-200,-200,-200,-96,-200,-96,-95,-96,-200,-97,-96,-89,-93,-99,-98
1526464478873,-53,-78,-84,-83,-65,-92,-83,-91,-96,-91,-54,-92,-82,-98,-200,-75,-200,-85,-200,-83,-200,-200,-200,-200,-200,-83,-93,-96,-96,-89,-90,-82,-200,-200,-93,-93,-96,-200,-97,-95,-200,-91,-93,-95,-200,-200,-200,-200,-200,-200,-200,-96,-200,-96,-95,-98,-200,-97,-96,-89,-200,-99,-98
1526464481912,-53,-79,-82,-85,-70,-90,-77,-92,-98,-90,-54,-92,-80,-98,-200,-73,-200,-85,-200,-86,-200,-200,-200,-94,-200,-86,-93,-96,-91,-90,-88,-82,-200,-200,-93,-97,-93,-200,-97,-96,-200,-96,-90,-200,-200,-200,-200,-200,-200,-200,-200,-96,-200,-200,-94,-95,-94,-98,-96,-89,-200,-99,-200
1526464484952,-54,-80,-82,-86,-68,-91,-82,-92,-93,-89,-55,-95,-80,-98,-200,-74,-200,-85,-200,-86,-200,-200,-200,-95,-200,-85,-97,-95,-98,-91,-92,-81,-200,-200,-94,-97,-96,-200,-97,-96,-200,-96,-89,-200,-200,-200,-98,-200,-200,-200,-200,-200,-200,-200,-95,-95,-94,-98,-200,-200,-200,-200,-200
