,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526453549454,-200,-200,-200,-200,-200,-84,-200,-200,-75,-200,-200,-200,-200,-200,-200
1526453553691,-67,-200,-200,-84,-200,-85,-200,-200,-200,-81,-200,-200,-200,-200,-200
1526453553777,-67,-90,-200,-85,-200,-85,-200,-76,-78,-80,-200,-200,-200,-200,-200
1526453553887,-67,-89,-200,-85,-200,-200,-70,-200,-78,-81,-200,-200,-200,-200,-200
1526453553982,-67,-200,-89,-85,-78,-85,-200,-200,-78,-200,-200,-200,-200,-200,-200
1526453554082,-67,-200,-200,-200,-63,-85,-76,-200,-79,-200,-200,-200,-200,-200,-200
1526453558704,-68,-200,-86,-79,-200,-200,-200,-81,-67,-200,-88,-200,-200,-200,-200
1526453563723,-88,-200,-200,-75,-68,-88,-200,-200,-68,-65,-88,-200,-200,-200,-200
1526453563905,-200,-84,-200,-75,-200,-200,-200,-74,-200,-65,-88,-200,-200,-200,-200
1526453568681,-200,-200,-200,-200,-200,-85,-200,-76,-77,-88,-200,-200,-200,-200,-200
1526453568780,-66,-200,-86,-200,-88,-200,-200,-76,-77,-86,-200,-200,-200,-200,-200
1526453568962,-66,-88,-200,-200,-88,-85,-200,-75,-76,-86,-200,-200,-200,-200,-200
1526453569051,-66,-89,-89,-200,-200,-85,-200,-81,-67,-87,-91,-200,-200,-93,-200
1526453573687,-68,-90,-88,-79,-200,-200,-200,-81,-200,-67,-200,-200,-200,-200,-200
1526453573787,-68,-200,-90,-79,-63,-200,-200,-81,-66,-68,-200,-200,-200,-200,-200
1526453573900,-68,-90,-89,-79,-200,-200,-200,-200,-67,-67,-200,-200,-200,-200,-200
1526453573996,-68,-200,-89,-200,-64,-200,-75,-200,-67,-67,-200,-200,-200,-200,-200
1526453574089,-200,-200,-200,-200,-200,-200,-200,-200,-200,-67,-200,-200,-200,-200,-200
1526453578745,-200,-200,-87,-75,-72,-87,-200,-70,-200,-65,-89,-200,-200,-200,-200
1526453578885,-200,-83,-88,-76,-73,-88,-200,-200,-68,-64,-89,-200,-92,-200,-200
1526453579103,-200,-92,-200,-75,-70,-200,-200,-83,-200,-200,-200,-200,-200,-200,-200
1526453584228,-68,-90,-88,-78,-200,-200,-75,-79,-200,-66,-200,-200,-200,-200,-200
1526453584329,-200,-200,-200,-79,-200,-200,-75,-80,-66,-67,-89,-200,-200,-200,-200
1526453584471,-200,-200,-200,-79,-200,-200,-69,-200,-200,-200,-200,-200,-200,-200,-200
1526453588678,-200,-200,-200,-74,-200,-200,-62,-200,-200,-64,-200,-200,-200,-200,-200
1526453588879,-200,-200,-200,-75,-200,-200,-63,-200,-68,-64,-200,-200,-200,-200,-200
1526453588994,-200,-200,-200,-200,-200,-200,-200,-200,-69,-64,-200,-200,-200,-200,-200
1526453589098,-200,-81,-85,-84,-200,-82,-200,-200,-77,-64,-86,-200,-200,-200,-200
1526453593760,-200,-81,-85,-200,-74,-200,-200,-77,-200,-79,-200,-200,-200,-200,-200
1526453593875,-200,-82,-85,-200,-72,-200,-72,-80,-77,-80,-87,-200,-200,-200,-200
1526453593980,-200,-84,-84,-200,-74,-200,-200,-84,-200,-200,-200,-200,-200,-200,-200
1526453594129,-200,-88,-91,-200,-61,-200,-200,-200,-200,-200,-200,-200,-200,-200,-200
1526453598720,-81,-88,-200,-200,-200,-200,-65,-69,-200,-68,-84,-200,-200,-90,-200
1526453598816,-82,-88,-92,-200,-62,-200,-200,-69,-74,-68,-200,-200,-200,-200,-90
1526453598920,-81,-89,-200,-83,-200,-200,-200,-69,-82,-67,-85,-200,-200,-90,-92
1526453599024,-82,-200,-200,-200,-200,-200,-66,-69,-70,-68,-200,-200,-200,-200,-200
