,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526453858920,-89,-200,-200,-86,-81,-200,-200,-74,-76,-200,-200,-200,-200,-200,-200
1526453859056,-200,-200,-200,-85,-80,-72,-200,-73,-77,-88,-74,-90,-200,-200,-200
1526453863719,-200,-200,-200,-200,-82,-73,-89,-200,-66,-200,-200,-89,-200,-200,-200
1526453868705,-200,-200,-200,-82,-66,-62,-200,-78,-66,-200,-200,-200,-200,-200,-200
1526453868798,-200,-200,-200,-83,-67,-63,-90,-78,-66,-200,-200,-200,-200,-91,-200
1526453868898,-200,-200,-200,-83,-67,-63,-200,-79,-66,-83,-75,-200,-200,-200,-200
1526453869004,-200,-200,-68,-83,-67,-60,-200,-79,-200,-83,-64,-200,-200,-92,-200
1526453873692,-78,-200,-76,-84,-200,-200,-200,-79,-75,-90,-200,-200,-200,-200,-200
1526453873814,-78,-200,-77,-200,-65,-200,-89,-82,-75,-200,-200,-200,-200,-200,-200
1526453873922,-78,-200,-200,-200,-65,-200,-200,-200,-75,-90,-200,-86,-200,-200,-200
1526453874027,-78,-200,-200,-86,-65,-72,-200,-200,-76,-90,-64,-200,-200,-200,-200
1526453878722,-200,-200,-78,-200,-81,-72,-200,-200,-76,-200,-77,-200,-200,-200,-200
1526453878842,-83,-200,-78,-86,-82,-73,-200,-200,-77,-89,-77,-200,-200,-200,-200
1526453878943,-200,-200,-200,-200,-200,-200,-200,-200,-77,-200,-77,-89,-200,-200,-200
1526453879050,-200,-200,-79,-200,-67,-200,-91,-200,-76,-84,-77,-200,-200,-200,-200
1526453883781,-200,-200,-200,-200,-66,-62,-90,-200,-66,-200,-76,-200,-200,-200,-200
1526453883902,-200,-92,-68,-200,-67,-62,-90,-200,-66,-83,-75,-200,-200,-200,-200
1526453884021,-200,-200,-200,-200,-67,-62,-91,-200,-200,-200,-73,-200,-200,-200,-200
1526453888694,-78,-200,-76,-200,-200,-60,-200,-83,-76,-90,-64,-84,-200,-200,-89
1526453888829,-78,-200,-77,-83,-65,-60,-200,-82,-200,-90,-64,-85,-200,-200,-200
1526453888931,-78,-200,-200,-200,-200,-60,-90,-200,-200,-200,-64,-85,-200,-200,-200
1526453889045,-78,-200,-78,-200,-200,-200,-200,-83,-77,-200,-200,-86,-200,-200,-90
1526453893704,-82,-200,-200,-200,-81,-74,-200,-71,-77,-88,-200,-200,-200,-200,-200
1526453893834,-83,-200,-200,-87,-82,-74,-200,-200,-77,-200,-78,-200,-200,-200,-200
1526453893952,-200,-200,-200,-200,-81,-200,-200,-200,-200,-200,-77,-200,-200,-200,-200
1526453894053,-86,-200,-67,-200,-82,-200,-200,-200,-200,-82,-77,-200,-200,-200,-200
1526453898772,-200,-92,-200,-200,-67,-62,-91,-78,-66,-83,-200,-200,-200,-92,-200
1526453898883,-200,-92,-68,-83,-67,-62,-200,-200,-66,-83,-200,-200,-200,-90,-200
1526453898996,-200,-200,-68,-82,-200,-62,-200,-80,-65,-83,-75,-200,-200,-91,-200
1526453899103,-77,-200,-200,-83,-200,-200,-200,-200,-66,-89,-200,-200,-200,-200,-200
1526453903689,-200,-200,-77,-83,-64,-60,-200,-200,-78,-200,-64,-84,-200,-200,-200
1526453903768,-200,-200,-200,-82,-65,-200,-200,-200,-77,-200,-64,-84,-200,-200,-200
1526453903880,-78,-200,-77,-200,-65,-60,-200,-200,-78,-200,-64,-84,-200,-200,-200
1526453903979,-78,-200,-77,-200,-200,-60,-200,-200,-78,-200,-200,-84,-200,-200,-200
1526453904084,-78,-200,-200,-200,-200,-200,-200,-200,-76,-200,-200,-200,-200,-200,-200
