,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526453808805,-80,-81,-86,-200,-82,-76,-81,-200,-87,-200,-200,-200,-200,-200,-200
1526453808896,-81,-200,-200,-79,-200,-200,-82,-74,-86,-200,-200,-200,-81,-200,-88
1526453809031,-200,-200,-86,-200,-200,-75,-200,-74,-86,-200,-200,-200,-200,-200,-200
1526453809128,-88,-80,-87,-200,-200,-67,-200,-73,-200,-200,-200,-200,-81,-200,-200
1526453814103,-200,-200,-91,-83,-200,-200,-79,-79,-83,-200,-86,-91,-200,-200,-200
1526453814254,-200,-84,-93,-200,-200,-68,-80,-200,-85,-200,-200,-200,-200,-200,-200
1526453814354,-88,-200,-92,-84,-65,-200,-200,-79,-88,-200,-200,-200,-200,-200,-200
1526453818686,-78,-82,-87,-84,-65,-67,-81,-63,-84,-66,-88,-200,-200,-200,-200
1526453818795,-77,-82,-200,-82,-65,-68,-80,-63,-84,-67,-89,-200,-77,-88,-200
1526453818904,-200,-81,-200,-200,-200,-68,-80,-63,-85,-66,-200,-200,-200,-89,-200
1526453819013,-90,-200,-200,-83,-65,-68,-80,-63,-200,-67,-200,-200,-90,-89,-200
1526453824065,-82,-88,-200,-200,-63,-200,-200,-200,-83,-200,-200,-200,-200,-200,-200
1526453824214,-200,-97,-200,-200,-200,-75,-200,-77,-200,-67,-89,-200,-88,-200,-200
1526453824660,-200,-88,-200,-83,-63,-68,-78,-70,-83,-61,-86,-200,-86,-200,-200
