,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0,vlucci.com AC-V1.4.0.0
1526453953791,-200,-200,-88,-74,-200,-86,-200,-73,-88,-88,-200,-200,-200,-92
1526453953936,-74,-66,-200,-200,-79,-86,-200,-72,-200,-88,-200,-200,-200,-200
1526453954037,-200,-66,-200,-200,-79,-87,-200,-72,-200,-200,-200,-200,-200,-200
1526453954150,-200,-200,-89,-200,-200,-87,-200,-200,-200,-200,-200,-200,-200,-200
1526453958675,-63,-62,-200,-66,-79,-82,-89,-200,-200,-200,-200,-89,-89,-200
1526453958790,-63,-200,-200,-200,-200,-83,-91,-81,-78,-200,-200,-89,-200,-200
1526453958893,-63,-62,-200,-200,-79,-200,-88,-200,-200,-81,-200,-89,-200,-200
1526453958992,-63,-61,-200,-200,-79,-200,-89,-200,-200,-200,-200,-200,-200,-200
1526453959105,-65,-66,-200,-67,-84,-76,-89,-80,-69,-75,-200,-200,-85,-200
1526453963773,-200,-67,-200,-76,-84,-77,-200,-200,-200,-200,-200,-200,-85,-200
1526453963878,-200,-200,-87,-200,-84,-76,-200,-200,-200,-75,-200,-200,-85,-200
1526453964025,-79,-67,-86,-75,-83,-76,-86,-74,-200,-75,-200,-200,-200,-200
1526453968730,-80,-200,-200,-69,-83,-84,-89,-68,-200,-200,-200,-200,-200,-200
1526453968821,-79,-65,-200,-69,-200,-200,-90,-68,-200,-81,-200,-200,-200,-200
1526453968928,-79,-65,-200,-69,-83,-200,-89,-68,-200,-81,-200,-200,-200,-84
1526453969066,-79,-65,-200,-70,-200,-200,-200,-200,-78,-79,-92,-88,-200,-88
1526453973711,-62,-63,-200,-69,-78,-81,-200,-79,-200,-200,-200,-88,-200,-200
1526453973806,-62,-64,-200,-69,-78,-81,-200,-78,-200,-200,-92,-88,-200,-88
1526453973911,-63,-65,-200,-69,-79,-81,-86,-200,-77,-79,-200,-89,-200,-200
1526453974005,-62,-65,-200,-200,-79,-81,-87,-200,-77,-200,-200,-89,-200,-200
1526453978704,-66,-67,-200,-67,-200,-200,-85,-69,-69,-200,-200,-200,-85,-200
1526453978792,-200,-67,-200,-200,-85,-200,-86,-73,-69,-74,-200,-200,-86,-86
1526453978898,-66,-67,-87,-68,-85,-200,-85,-74,-200,-200,-200,-200,-200,-85
1526453978994,-200,-67,-87,-200,-200,-77,-85,-200,-69,-74,-200,-200,-200,-200
1526453979104,-200,-66,-200,-76,-200,-86,-86,-200,-200,-90,-200,-200,-200,-89
1526453983771,-200,-66,-200,-200,-79,-200,-200,-200,-200,-200,-200,-200,-200,-90
