,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,TP-LINK_1398,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro_5GHz,D-Link_DIR-823Pro,D-Link_DIR-823Pro,WHU-2018,D-Link_DIR-823Pro_5GHz,WHU-2018,WHU-2018,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro,D-Link_DIR-823Pro
1526452748687,-32,-45,-41,-31,-54,-61,-53,-51,-37,-55,-48,-67,-82,-69,-200,-74,-72,-69,-67,-73,-72,-78,-70,-84,-83,-87,-85,-200,-84,-81,-200,-200,-82,-68,-87,-200
1526452751694,-32,-45,-41,-31,-54,-61,-53,-51,-37,-55,-48,-68,-82,-69,-200,-74,-72,-69,-67,-73,-72,-78,-70,-84,-83,-87,-85,-200,-84,-81,-200,-200,-82,-68,-87,-200
1526452754717,-32,-42,-41,-32,-51,-60,-57,-51,-37,-54,-48,-70,-82,-69,-74,-73,-72,-69,-67,-72,-72,-73,-66,-85,-79,-87,-85,-200,-84,-81,-200,-200,-82,-68,-87,-77
1526452757743,-32,-42,-41,-32,-51,-60,-57,-51,-37,-54,-48,-68,-82,-69,-74,-73,-72,-69,-67,-72,-72,-73,-66,-85,-79,-87,-85,-200,-84,-81,-200,-200,-82,-68,-87,-77
1526452760764,-32,-42,-41,-31,-51,-61,-58,-51,-37,-53,-46,-67,-200,-68,-74,-72,-72,-70,-66,-72,-68,-73,-66,-85,-79,-86,-200,-200,-84,-82,-200,-200,-200,-68,-87,-77
1526452763783,-32,-42,-41,-31,-51,-61,-58,-51,-37,-53,-46,-68,-200,-68,-74,-72,-72,-70,-66,-72,-68,-73,-66,-85,-79,-86,-200,-200,-84,-82,-200,-200,-200,-68,-87,-77
1526452766804,-32,-45,-41,-31,-53,-57,-57,-51,-37,-55,-46,-67,-79,-68,-75,-72,-72,-68,-67,-71,-68,-73,-66,-81,-79,-88,-200,-200,-200,-82,-200,-200,-200,-68,-87,-77
1526452769823,-32,-45,-41,-31,-53,-57,-57,-51,-37,-55,-46,-69,-79,-68,-75,-72,-72,-68,-67,-71,-68,-73,-66,-81,-79,-88,-200,-200,-200,-82,-200,-200,-200,-68,-87,-77
1526452772839,-32,-45,-41,-31,-57,-58,-47,-49,-33,-55,-45,-67,-79,-68,-75,-72,-72,-68,-67,-71,-68,-73,-69,-81,-81,-88,-200,-200,-200,-82,-200,-200,-200,-200,-200,-77
1526452775855,-32,-45,-41,-31,-57,-58,-47,-49,-33,-55,-45,-65,-79,-68,-75,-72,-72,-68,-67,-71,-68,-73,-69,-81,-81,-88,-200,-200,-200,-82,-200,-200,-200,-200,-200,-77
1526452778872,-31,-46,-41,-13,-57,-53,-49,-48,-33,-55,-47,-67,-79,-68,-75,-72,-71,-69,-68,-74,-68,-73,-68,-80,-81,-88,-200,-200,-200,-82,-200,-200,-200,-200,-86,-77
1526452781887,-31,-46,-41,-13,-57,-53,-49,-48,-33,-55,-47,-68,-79,-68,-75,-72,-71,-69,-68,-74,-68,-73,-68,-80,-81,-88,-200,-200,-200,-82,-200,-200,-200,-200,-86,-77
